"V1","msats","visualPloidy","visualPloidy2","ploidyfinal"
"aka_101","diploid","tetrasporophyte","diploid","diploid"
"aka_115","haploid","putative tetrasporophyte","putative diploid","haploid"
"aka_116","diploid","tetrasporophyte","diploid","diploid"
"aka_126","diploid","tetrasporophyte","diploid","diploid"
"aka_128","diploid","tetrasporophyte","diploid","diploid"
"aka_131","diploid","tetrasporophyte","diploid","diploid"
"aka_132","diploid","tetrasporophyte","diploid","diploid"
"aka_133","diploid","tetrasporophyte","diploid","diploid"
"aka_134","diploid","tetrasporophyte","diploid","diploid"
"aka_141","diploid","tetrasporophyte","diploid","diploid"
"aka_143","diploid","tetrasporophyte","diploid","diploid"
"aka_172","haploid","tetrasporophyte","diploid","haploid"
"aka_174","diploid","tetrasporophyte","diploid","diploid"
"aka_181","diploid","tetrasporophyte","diploid","diploid"
"aka_189","diploid","tetrasporophyte","diploid","diploid"
"aka_191","diploid","tetrasporophyte","diploid","diploid"
"ave_008","diploid","putative tetrasporophyte","putative diploid","diploid"
"ave_015","diploid","putative tetrasporophyte","putative diploid","diploid"
"ave_017","diploid","vegetative","vegetative","diploid"
"ave_022","diploid","vegetative","vegetative","diploid"
"ave_032","diploid","vegetative","vegetative","diploid"
"ave_035","diploid","putative tetrasporophyte","putative diploid","diploid"
"ave_039","diploid","putative tetrasporophyte","putative diploid","diploid"
"ave_060","diploid","vegetative","vegetative","diploid"
"ave_063","diploid","vegetative","vegetative","diploid"
"ave_076","diploid","putative tetrasporophyte","putative diploid","diploid"
"ave_078","diploid","putative tetrasporophyte","putative diploid","diploid"
"ave_081","diploid","vegetative","vegetative","diploid"
"ave_084","diploid","putative tetrasporophyte","putative diploid","diploid"
"ave_085","diploid","putative tetrasporophyte","putative diploid","diploid"
"ave_087","diploid","vegetative","vegetative","diploid"
"ave_088","diploid","vegetative","vegetative","diploid"
"bob_004","diploid","putative tetrasporophyte","putative diploid","diploid"
"bob_009","diploid","tetrasporophyte","diploid","diploid"
"bob_011","diploid","tetrasporophyte","diploid","diploid"
"bob_018","diploid","tetrasporophyte","diploid","diploid"
