pop,Hexp.From.AF,natnon
aka,0.0852538458473237,Japan
ave,0.0936535668561739,Non-native
cfj,0.108371656038605,Non-native
cnt,0.0759708867432673,Japan
dhh,0.0227318581394568,Non-native
dns,0.0968858784092674,Non-native
ebp,0.083887065654471,Non-native
eld,0.0986962367836336,Non-native
far,0.0930424629261014,Non-native
fdm,0.10657941462173,Non-native
fpa,0.113724051794253,Non-native
fut,0.0583216013574706,Japan
gal,0.102396260272094,Non-native
grb,0.0796062804669932,Non-native
hay,0.0665109827217949,Japan
hik,0.0495691977127585,Japan
lhp,0.104020249028895,Non-native
mng,0.125684309480631,Japan
mou,0.0656175536358502,Japan
nyc,0.102517906797811,Non-native
osh,0.126640160625287,Non-native
pmo,0.08217539850909,Non-native
ptw,0.12685784682917,Non-native
sav,0.0827652855069435,Non-native
shk,0.0604055641119148,Japan
sou,0.117426327712477,Japan
tmb,0.116376837417644,Non-native
uho,0.11933346953091,Non-native
usu,0.0806509771093335,Japan
waj,0.0940887663883111,Japan
wwf,0.128139914236311,Non-native
bob,0.0729387065423857,Non-native
fpl,0.0739776691101935,Non-native
dhd,0.0723992961259291,Non-native
ris,0.0363474797034449,Non-native
