Hexp natnon
aka 0.0534374517674553 Japan
ave 0.0521760731661194 Non-native
bob 0.0459441789017323 Non-native
cfj 0.07115403217518 Non-native
cnt 0.0431553394589751 Japan
dhd 0.0317427223585581 Non-native
dhh 0.0158160970961105 Non-native
dns 0.068491884423484 Non-native
ebp 0.0718120079981266 Non-native
eld 0.0581303873098546 Non-native
far 0.0503877395764313 Non-native
fdm 0.065121416300552 Non-native
fpa 0.0536074327279276 Non-native
fpl 0.0414393251342425 Non-native
fut 0.03492468304497 Japan
gal 0.0514419353839482 Non-native
grb 0.05590534337022 Non-native
hay 0.0400424797946965 Japan
hik 0.0229764271056341 Japan
lhp 0.0681622435735155 Non-native
mng 0.0812181432656066 Japan
mou 0.0296251680860601 Japan
nyc 0.0631570040066925 Non-native
osh 0.0825145615414072 Non-native
pmo 0.0640244305925014 Non-native
ptw 0.0647760289994987 Non-native
ris 0.0201916525630771 Non-native
sav 0.0470962291518411 Non-native
shk 0.0327864162785894 Japan
sou 0.0773137468097656 Japan
tmb 0.0641776681397865 Non-native
uho 0.0798949080906399 Non-native
usu 0.0481067229709551 Japan
waj 0.0603076378780963 Japan
wwf 0.0896209539990508 Non-native
