ind,mll_id,unique_mll,pop
aka_101,1,1,aka
aka_116,2,1,aka
aka_126,3,1,aka
aka_128,4,1,aka
aka_131,5,1,aka
aka_132,6,1,aka
aka_133,7,1,aka
aka_134,8,1,aka
aka_141,9,1,aka
aka_143,10,1,aka
aka_174,11,1,aka
aka_181,12,1,aka
aka_189,13,1,aka
aka_191,14,1,aka
ave_008,1,1,ave
ave_015,1,0,ave
ave_039,1,0,ave
ave_060,1,0,ave
ave_081,1,0,ave
ave_087,1,0,ave
ave_017,2,1,ave
ave_022,3,1,ave
ave_032,4,1,ave
ave_035,5,1,ave
ave_088,5,0,ave
ave_063,6,1,ave
ave_076,7,1,ave
ave_078,8,1,ave
ave_084,9,1,ave
ave_085,10,1,ave
cfj_006,1,1,cfj
cfj_009,2,1,cfj
cfj_016,3,1,cfj
cfj_028,4,1,cfj
cfj_037,5,1,cfj
cfj_049,6,1,cfj
cfj_058,6,0,cfj
cfj_079,6,0,cfj
cfj_056,7,1,cfj
cfj_066,8,1,cfj
cfj_071,8,0,cfj
cfj_069,9,1,cfj
cfj_074,10,1,cfj
cfj_083,11,1,cfj
cnt_001,1,1,cnt
cnt_009,2,1,cnt
cnt_011,2,0,cnt
cnt_016,3,1,cnt
cnt_025,4,1,cnt
cnt_032,5,1,cnt
cnt_036,6,1,cnt
cnt_040,7,1,cnt
cnt_052,8,1,cnt
cnt_063,9,1,cnt
cnt_069,10,1,cnt
cnt_072,11,1,cnt
dhh_023,1,1,dhh
dhh_028,2,1,dhh
dhh_039,3,1,dhh
dns_008,1,1,dns
dns_010,2,1,dns
dns_011,3,1,dns
dns_012,4,1,dns
dns_016,5,1,dns
dns_035,6,1,dns
dns_038,7,1,dns
dns_046,8,1,dns
dns_048,9,1,dns
dns_060,10,1,dns
dns_063,11,1,dns
dns_064,12,1,dns
dns_067,13,1,dns
dns_069,14,1,dns
dns_075,14,0,dns
dns_077,15,1,dns
ebp_005,1,1,ebp
ebp_009,1,0,ebp
ebp_010,1,0,ebp
ebp_015,1,0,ebp
ebp_020,1,0,ebp
ebp_021,1,0,ebp
ebp_025,1,0,ebp
ebp_032,1,0,ebp
ebp_044,1,0,ebp
ebp_059,1,0,ebp
ebp_062,1,0,ebp
ebp_068,1,0,ebp
ebp_080,1,0,ebp
ebp_099,1,0,ebp
ebp_042,2,1,ebp
ebp_055,2,0,ebp
eld_001,1,1,eld
eld_005,1,0,eld
eld_010,1,0,eld
eld_016,1,0,eld
eld_021,1,0,eld
eld_022,1,0,eld
eld_024,1,0,eld
eld_060,1,0,eld
eld_077,1,0,eld
eld_028,2,1,eld
eld_051,3,1,eld
eld_055,3,0,eld
eld_067,3,0,eld
eld_068,3,0,eld
eld_085,3,0,eld
far_009,1,1,far
far_013,2,1,far
far_017,2,0,far
far_019,2,0,far
far_025,2,0,far
far_015,3,1,far
far_029,3,0,far
far_043,3,0,far
far_047,3,0,far
far_058,3,0,far
far_060,3,0,far
far_062,3,0,far
far_072,3,0,far
far_075,3,0,far
far_085,3,0,far
fdm_008,1,1,fdm
fdm_009,2,1,fdm
fdm_031,3,1,fdm
fdm_035,4,1,fdm
fdm_039,5,1,fdm
fdm_064,6,1,fdm
fdm_068,6,0,fdm
fdm_069,7,1,fdm
fdm_073,8,1,fdm
fdm_091,8,0,fdm
fdm_096,8,0,fdm
fdm_075,9,1,fdm
fdm_081,10,1,fdm
fdm_084,11,1,fdm
fdm_090,12,1,fdm
fpa_001,1,1,fpa
fpa_002,2,1,fpa
fpa_027,2,0,fpa
fpa_011,3,1,fpa
fpa_016,4,1,fpa
fpa_022,5,1,fpa
fpa_025,6,1,fpa
fpa_006,7,1,fpa
fpa_029,7,0,fpa
fpa_038,7,0,fpa
fpa_057,7,0,fpa
fpa_059,7,0,fpa
fpa_069,7,0,fpa
fpa_074,7,0,fpa
fpa_053,8,1,fpa
fut_009,1,1,fut
fut_013,2,1,fut
fut_014,3,1,fut
fut_015,4,1,fut
fut_016,5,1,fut
fut_017,6,1,fut
fut_018,7,1,fut
fut_024,8,1,fut
fut_035,9,1,fut
fut_036,10,1,fut
fut_040,11,1,fut
fut_044,12,1,fut
fut_049,13,1,fut
fut_050,14,1,fut
fut_051,15,1,fut
fut_064,16,1,fut
gal_003,1,1,gal
gal_010,1,0,gal
gal_011,1,0,gal
gal_014,1,0,gal
gal_017,1,0,gal
gal_039,1,0,gal
gal_057,1,0,gal
gal_074,1,0,gal
gal_077,1,0,gal
gal_090,1,0,gal
gal_016,2,1,gal
gal_060,2,0,gal
gal_066,2,0,gal
gal_023,3,1,gal
grb_031,1,1,grb
grb_045,1,0,grb
grb_049,1,0,grb
grb_053,1,0,grb
grb_060,1,0,grb
grb_034,2,1,grb
grb_026,3,1,grb
grb_036,3,0,grb
grb_064,3,0,grb
grb_073,3,0,grb
grb_080,3,0,grb
grb_081,3,0,grb
grb_038,4,1,grb
grb_068,5,1,grb
grb_077,6,1,grb
hay_106,1,1,hay
hay_109,2,1,hay
hay_112,3,1,hay
hay_115,3,0,hay
hay_117,4,1,hay
hay_118,5,1,hay
hay_126,6,1,hay
hay_127,7,1,hay
hay_128,8,1,hay
hay_130,9,1,hay
hay_134,9,0,hay
hay_136,10,1,hay
hay_139,11,1,hay
hay_148,12,1,hay
hik_112,1,1,hik
hik_123,2,1,hik
hik_127,3,1,hik
hik_128,4,1,hik
hik_129,5,1,hik
hik_131,6,1,hik
hik_156,7,1,hik
hik_160,8,1,hik
hik_172,9,1,hik
hik_195,10,1,hik
hik_200,11,1,hik
lhp_001,1,1,lhp
lhp_002,2,1,lhp
lhp_010,3,1,lhp
lhp_013,4,1,lhp
lhp_017,5,1,lhp
lhp_028,6,1,lhp
lhp_037,7,1,lhp
lhp_045,8,1,lhp
lhp_048,9,1,lhp
lhp_055,10,1,lhp
lhp_060,11,1,lhp
lhp_070,12,1,lhp
lhp_071,13,1,lhp
lhp_076,14,1,lhp
lhp_084,15,1,lhp
lhp_091,16,1,lhp
mng_111,1,1,mng
mng_115,2,1,mng
mng_117,3,1,mng
mng_145,3,0,mng
mng_118,4,1,mng
mng_122,5,1,mng
mng_126,5,0,mng
mng_130,6,1,mng
mng_136,7,1,mng
mng_138,8,1,mng
mng_144,9,1,mng
mng_147,10,1,mng
mng_149,11,1,mng
mng_158,12,1,mng
mou_013,1,1,mou
mou_015,2,1,mou
mou_043,2,0,mou
mou_056,3,1,mou
mou_079,4,1,mou
mou_081,5,1,mou
mou_086,6,1,mou
nyc_006,1,1,nyc
nyc_008,2,1,nyc
nyc_011,3,1,nyc
nyc_013,4,1,nyc
nyc_015,5,1,nyc
nyc_022,6,1,nyc
nyc_034,7,1,nyc
nyc_036,8,1,nyc
nyc_039,9,1,nyc
nyc_045,10,1,nyc
nyc_056,11,1,nyc
nyc_061,12,1,nyc
nyc_066,13,1,nyc
nyc_067,14,1,nyc
nyc_068,15,1,nyc
nyc_089,16,1,nyc
osh_009,1,1,osh
osh_017,2,1,osh
osh_024,2,0,osh
osh_037,2,0,osh
osh_019,3,1,osh
osh_030,4,1,osh
osh_064,4,0,osh
osh_074,4,0,osh
osh_043,5,1,osh
osh_051,6,1,osh
osh_067,7,1,osh
osh_080,8,1,osh
osh_083,9,1,osh
osh_089,10,1,osh
osh_094,11,1,osh
osh_100,12,1,osh
pmo_001,1,1,pmo
pmo_002,1,0,pmo
pmo_003,1,0,pmo
pmo_010,1,0,pmo
pmo_020,1,0,pmo
pmo_056,1,0,pmo
pmo_058,1,0,pmo
pmo_081,1,0,pmo
pmo_028,2,1,pmo
pmo_030,2,0,pmo
pmo_033,2,0,pmo
pmo_035,2,0,pmo
pmo_060,2,0,pmo
pmo_077,2,0,pmo
pmo_079,3,1,pmo
pmo_095,3,0,pmo
ptw_008,1,1,ptw
ptw_020,2,1,ptw
ptw_022,2,0,ptw
ptw_023,3,1,ptw
ptw_029,4,1,ptw
ptw_037,5,1,ptw
ptw_042,6,1,ptw
ptw_072,7,1,ptw
ptw_074,8,1,ptw
sav_009,1,1,sav
sav_010,1,0,sav
sav_014,1,0,sav
sav_025,1,0,sav
sav_033,1,0,sav
sav_078,1,0,sav
sav_086,1,0,sav
sav_021,2,1,sav
sav_028,3,1,sav
sav_034,3,0,sav
sav_037,4,1,sav
sav_045,4,0,sav
sav_038,5,1,sav
sav_067,5,0,sav
sav_075,6,1,sav
sav_080,6,0,sav
shk_012,1,1,shk
shk_029,2,1,shk
shk_031,3,1,shk
shk_047,4,1,shk
shk_051,5,1,shk
shk_052,6,1,shk
shk_053,7,1,shk
shk_054,8,1,shk
shk_063,9,1,shk
shk_064,10,1,shk
shk_067,11,1,shk
shk_075,12,1,shk
shk_077,13,1,shk
shk_080,14,1,shk
shk_082,15,1,shk
shk_090,16,1,shk
sou_032,1,1,sou
sou_033,2,1,sou
sou_035,3,1,sou
sou_036,3,0,sou
sou_041,4,1,sou
sou_043,5,1,sou
sou_053,6,1,sou
sou_057,7,1,sou
sou_064,8,1,sou
sou_078,9,1,sou
sou_079,9,0,sou
sou_088,10,1,sou
sou_090,11,1,sou
sou_099,12,1,sou
tmb_001,1,1,tmb
tmb_011,2,1,tmb
tmb_021,3,1,tmb
tmb_023,4,1,tmb
tmb_030,5,1,tmb
tmb_032,6,1,tmb
tmb_035,7,1,tmb
tmb_038,8,1,tmb
tmb_044,9,1,tmb
tmb_055,10,1,tmb
tmb_065,11,1,tmb
tmb_067,12,1,tmb
tmb_085,13,1,tmb
tmb_094,14,1,tmb
uho_006,1,1,uho
uho_010,2,1,uho
uho_018,2,0,uho
uho_015,3,1,uho
uho_017,4,1,uho
uho_038,4,0,uho
uho_040,4,0,uho
uho_079,4,0,uho
uho_022,5,1,uho
uho_024,6,1,uho
uho_034,7,1,uho
uho_039,8,1,uho
uho_043,9,1,uho
uho_046,10,1,uho
uho_069,11,1,uho
uho_100,12,1,uho
usu_114,1,1,usu
usu_118,2,1,usu
usu_149,3,1,usu
usu_156,4,1,usu
usu_163,5,1,usu
