region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.725461
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.712594
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.623755
(24,98)(66768,109295)(60000,110000)	chr01	85000	76	0.734703
(31,172)(72927,119227)(70000,120000)	chr01	95000	143	0.687903
(66,197)(99745,121372)(80000,130000)	chr01	105000	133	0.693909
(66,225)(99745,131673)(90000,140000)	chr01	115000	161	0.666220
(68,240)(101120,148599)(100000,150000)	chr01	125000	174	0.706331
(99,265)(112439,159252)(110000,160000)	chr01	135000	168	0.644668
(173,286)(121114,169571)(120000,170000)	chr01	145000	115	0.680355
(198,293)(130856,175991)(130000,180000)	chr01	155000	97	0.722791
(226,296)(146066,183449)(140000,190000)	chr01	165000	72	0.860187
(241,308)(155765,197658)(150000,200000)	chr01	175000	69	0.766003
(266,333)(165376,204116)(160000,210000)	chr01	185000	69	0.808198
(287,368)(175855,216859)(170000,220000)	chr01	195000	83	0.737374
(294,388)(183430,229717)(180000,230000)	chr01	205000	96	0.759071
(297,388)(193065,229717)(190000,240000)	chr01	215000	93	0.748932
(309,426)(202400,249999)(200000,250000)	chr01	225000	119	0.761974
(334,462)(214936,257533)(210000,260000)	chr01	235000	130	0.758299
(369,481)(224519,268043)(220000,270000)	chr01	245000	114	0.789282
(389,508)(241035,278351)(230000,280000)	chr01	255000	121	0.780475
(389,522)(241035,286071)(240000,290000)	chr01	265000	135	0.774322
(427,526)(250021,291347)(250000,300000)	chr01	275000	101	0.762384
(463,545)(267752,307842)(260000,310000)	chr01	285000	84	0.786152
(482,545)(270347,307842)(270000,320000)	chr01	295000	65	0.791503
(509,557)(284710,324273)(280000,330000)	chr01	305000	50	0.830688
(523,583)(291296,339583)(290000,340000)	chr01	315000	62	0.886583
(527,589)(303105,348196)(300000,350000)	chr01	325000	64	0.892387
(546,607)(322110,359771)(310000,360000)	chr01	335000	63	0.843244
(546,615)(322110,360805)(320000,370000)	chr01	345000	71	0.822768
(558,634)(334023,373127)(330000,380000)	chr01	355000	78	0.795196
(584,637)(342750,384275)(340000,390000)	chr01	365000	55	0.775548
(590,645)(356572,399618)(350000,400000)	chr01	375000	57	0.751136
(608,655)(360718,406909)(360000,410000)	chr01	385000	49	0.823677
(616,689)(371165,418272)(370000,420000)	chr01	395000	75	0.745979
(635,698)(384248,426178)(380000,430000)	chr01	405000	65	0.777971
(638,698)(399494,426178)(390000,440000)	chr01	415000	62	0.756055
(646,706)(405929,447272)(400000,450000)	chr01	425000	62	0.774456
(656,719)(413073,458510)(410000,460000)	chr01	435000	65	0.784096
(690,719)(422091,458510)(420000,470000)	chr01	445000	31	0.975059
(699,732)(447168,477626)(430000,480000)	chr01	455000	35	0.948265
(699,756)(447168,489540)(440000,490000)	chr01	465000	59	0.837157
(707,766)(458290,497021)(450000,500000)	chr01	475000	61	0.847058
(720,766)(472791,497021)(460000,510000)	chr01	485000	48	0.786754
(720,767)(472791,519445)(470000,520000)	chr01	495000	49	0.786752
(733,788)(484534,527912)(480000,530000)	chr01	505000	57	0.738006
(757,788)(490388,527912)(490000,540000)	chr01	515000	33	0.727128
(767,790)(519445,546039)(500000,550000)	chr01	525000	25	0.650681
(767,797)(519445,556579)(510000,560000)	chr01	535000	32	0.649282
(768,804)(520967,567617)(520000,570000)	chr01	545000	38	0.584130
(789,804)(546012,567617)(530000,580000)	chr01	555000	17	0.453708
(789,804)(546012,567617)(540000,590000)	chr01	565000	17	0.453708
(791,820)(553209,598747)(550000,600000)	chr01	575000	31	0.368639
(798,841)(567497,609080)(560000,610000)	chr01	585000	45	0.417285
(805,844)(598538,615712)(570000,620000)	chr01	595000	41	0.441389
(805,857)(598538,625368)(580000,630000)	chr01	605000	54	0.431908
(805,879)(598538,639995)(590000,640000)	chr01	615000	76	0.528582
(821,883)(608808,647580)(600000,650000)	chr01	625000	64	0.618578
(842,883)(615678,647580)(610000,660000)	chr01	635000	43	0.621096
(845,895)(622726,664539)(620000,670000)	chr01	645000	52	0.569043
(858,962)(631986,679765)(630000,680000)	chr01	655000	106	0.513521
(880,968)(640931,687635)(640000,690000)	chr01	665000	90	0.509894
(884,971)(664341,699440)(650000,700000)	chr01	675000	89	0.491966
(884,975)(664341,702132)(660000,710000)	chr01	685000	93	0.509442
(896,985)(670057,710536)(670000,720000)	chr01	695000	91	0.594255
(963,1014)(687435,726075)(680000,730000)	chr01	705000	53	0.773668
(969,1047)(699339,736121)(690000,740000)	chr01	715000	80	0.720945
(972,1053)(702035,749383)(700000,750000)	chr01	725000	83	0.714936
(976,1056)(710398,754850)(710000,760000)	chr01	735000	82	0.716860
(986,1063)(720265,768507)(720000,770000)	chr01	745000	79	0.618866
(1015,1070)(730423,774383)(730000,780000)	chr01	755000	57	0.671018
(1048,1071)(749258,780712)(740000,790000)	chr01	765000	25	0.688763
(1054,1071)(751549,780712)(750000,800000)	chr01	775000	19	0.692413
(1057,1075)(768476,800296)(760000,810000)	chr01	785000	20	0.771543
(1064,1105)(771638,819725)(770000,820000)	chr01	795000	43	0.901340
(1071,1107)(780712,824471)(780000,830000)	chr01	805000	38	0.879861
(1072,1147)(800261,839979)(790000,840000)	chr01	815000	77	0.837329
(1072,1148)(800261,849991)(800000,850000)	chr01	825000	78	0.834412
(1076,1153)(816740,852734)(810000,860000)	chr01	835000	79	0.793223
(1106,1156)(824403,860813)(820000,870000)	chr01	845000	52	0.802485
(1108,1162)(830052,877821)(830000,880000)	chr01	855000	56	0.794962
(1148,1170)(849991,888203)(840000,890000)	chr01	865000	24	0.823663
(1149,1176)(852666,898756)(850000,900000)	chr01	875000	29	0.841281
(1154,1176)(860727,898756)(860000,910000)	chr01	885000	24	0.888118
(1157,1206)(876147,916778)(870000,920000)	chr01	895000	51	0.921743
(1163,1233)(885386,929364)(880000,930000)	chr01	905000	72	0.892592
