region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.558466
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.370521
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.357275
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.357124
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.309066
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.277490
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.231386
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.170701
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.208013
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.265517
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.274955
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.396342
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.412838
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.463552
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.314078
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.255036
(285,366)(175855,216859)(170000,220000)	chr01	195000	83	0.241409
(292,388)(183430,229717)(180000,230000)	chr01	205000	98	0.268735
(295,388)(193065,229717)(190000,240000)	chr01	215000	95	0.195118
(307,428)(202400,249999)(200000,250000)	chr01	225000	123	0.153565
(332,465)(214936,258347)(210000,260000)	chr01	235000	135	0.195943
(367,484)(224519,268043)(220000,270000)	chr01	245000	119	0.148946
(389,512)(241035,278351)(230000,280000)	chr01	255000	125	0.142982
(389,536)(241035,286093)(240000,290000)	chr01	265000	149	0.154523
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.167494
(466,563)(267752,305489)(260000,310000)	chr01	285000	99	0.125862
(485,563)(270347,305489)(270000,320000)	chr01	295000	80	0.215196
(513,575)(281515,324273)(280000,330000)	chr01	305000	64	0.223614
(537,601)(291233,339583)(290000,340000)	chr01	315000	66	0.239469
(546,607)(303105,348196)(300000,350000)	chr01	325000	63	0.240009
(564,625)(322110,359771)(310000,360000)	chr01	335000	63	0.137197
(564,633)(322110,360805)(320000,370000)	chr01	345000	71	0.168910
(576,652)(334023,373127)(330000,380000)	chr01	355000	78	0.097383
(602,655)(342750,384275)(340000,390000)	chr01	365000	55	0.071156
(608,663)(356572,399618)(350000,400000)	chr01	375000	57	0.132778
(626,677)(360718,406909)(360000,410000)	chr01	385000	53	0.183503
(634,715)(371165,418272)(370000,420000)	chr01	395000	83	0.237038
(653,724)(384248,426178)(380000,430000)	chr01	405000	73	0.390378
(656,724)(399494,426178)(390000,440000)	chr01	415000	70	0.390400
(664,724)(405929,426178)(400000,450000)	chr01	425000	62	0.401442
(678,737)(412909,458510)(410000,460000)	chr01	435000	61	0.357985
(716,737)(422091,458510)(420000,470000)	chr01	445000	23	0.444163
(725,750)(458290,477626)(430000,480000)	chr01	455000	27	0.197306
(725,776)(458290,489540)(440000,490000)	chr01	465000	53	0.297512
(725,787)(458290,497075)(450000,500000)	chr01	475000	64	0.314033
(738,787)(472791,497075)(460000,510000)	chr01	485000	51	0.337025
(738,788)(472791,519445)(470000,520000)	chr01	495000	52	0.338532
(751,809)(482579,527912)(480000,530000)	chr01	505000	60	0.396021
(777,809)(490388,527912)(490000,540000)	chr01	515000	34	0.419471
(788,811)(519445,546039)(500000,550000)	chr01	525000	25	0.511912
(788,811)(519445,546039)(510000,560000)	chr01	535000	25	0.511912
(789,818)(520967,567617)(520000,570000)	chr01	545000	31	0.531379
(810,818)(546012,567617)(530000,580000)	chr01	555000	10	0.814008
(810,818)(546012,567617)(540000,590000)	chr01	565000	10	0.814008
(812,834)(567497,598747)(550000,600000)	chr01	575000	24	0.492289
(812,855)(567497,609080)(560000,610000)	chr01	585000	45	0.388120
(819,855)(598538,609080)(570000,620000)	chr01	595000	38	0.384278
(819,855)(598538,609080)(580000,630000)	chr01	605000	38	0.384278
(819,877)(598538,639995)(590000,640000)	chr01	615000	60	0.390193
(835,880)(608808,647580)(600000,650000)	chr01	625000	47	0.363730
(856,880)(631986,647580)(610000,660000)	chr01	635000	26	0.412242
(856,880)(631986,647580)(620000,670000)	chr01	645000	26	0.412242
(856,884)(631986,679765)(630000,680000)	chr01	655000	30	0.543291
(878,884)(640931,679765)(640000,690000)	chr01	665000	8	0.700872
(881,887)(679713,699440)(650000,700000)	chr01	675000	8	0.633991
(881,909)(679713,705398)(660000,710000)	chr01	685000	30	0.680196
(881,919)(679713,710536)(670000,720000)	chr01	695000	40	0.564485
(885,954)(699339,726176)(680000,730000)	chr01	705000	71	0.518650
(885,987)(699339,736121)(690000,740000)	chr01	715000	104	0.477806
(888,993)(702035,749383)(700000,750000)	chr01	725000	107	0.483360
(910,996)(710398,754850)(710000,760000)	chr01	735000	88	0.383909
(920,1036)(720265,768507)(720000,770000)	chr01	745000	118	0.501152
(955,1043)(730423,774383)(730000,780000)	chr01	755000	90	0.475621
(988,1044)(749258,780712)(740000,790000)	chr01	765000	58	0.533460
(994,1044)(751549,780712)(750000,800000)	chr01	775000	52	0.540329
(997,1048)(760149,800296)(760000,810000)	chr01	785000	53	0.561920
(1037,1078)(771638,819725)(770000,820000)	chr01	795000	43	0.588633
(1044,1080)(780712,824471)(780000,830000)	chr01	805000	38	0.617577
(1045,1133)(800261,839979)(790000,840000)	chr01	815000	90	0.537758
(1045,1134)(800261,849991)(800000,850000)	chr01	825000	91	0.535148
(1049,1139)(816740,852734)(810000,860000)	chr01	835000	92	0.531769
(1079,1142)(824403,860813)(820000,870000)	chr01	845000	65	0.433411
(1081,1148)(830052,877821)(830000,880000)	chr01	855000	69	0.447301
(1134,1158)(849991,888203)(840000,890000)	chr01	865000	26	0.770297
(1135,1165)(852666,898756)(850000,900000)	chr01	875000	32	0.896230
(1140,1190)(860727,909640)(860000,910000)	chr01	885000	52	0.770836
(1143,1220)(876147,916778)(870000,920000)	chr01	895000	79	0.626661
(1149,1247)(881512,929364)(880000,930000)	chr01	905000	100	0.559536
(1159,1251)(893856,936207)(890000,940000)	chr01	915000	94	0.522361
(1166,1284)(902874,949937)(900000,950000)	chr01	925000	120	0.387647
(1191,1297)(911188,952812)(910000,960000)	chr01	935000	108	0.304246
(1221,1305)(921481,969688)(920000,970000)	chr01	945000	86	0.269810
(1248,1350)(933153,979790)(930000,980000)	chr01	955000	104	0.234635
(1252,1370)(941192,981690)(940000,990000)	chr01	965000	120	0.238395
(1285,1386)(951051,994392)(950000,1000000)	chr01	975000	103	0.356164
(1298,1388)(964396,1007159)(960000,1010000)	chr01	985000	92	0.386868
(1306,1424)(972160,1019757)(970000,1020000)	chr01	995000	120	0.352175
(1351,1427)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.410453
(1371,1441)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.421473
(1387,1460)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.335586
(1389,1461)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.389746
(1425,1470)(1023745,1060127)(1020000,1070000)	chr01	1045000	47	0.654969
(1428,1470)(1030079,1060127)(1030000,1080000)	chr01	1055000	44	0.660262
(1442,1480)(1040190,1088668)(1040000,1090000)	chr01	1065000	40	0.731438
(1461,1480)(1059222,1088668)(1050000,1100000)	chr01	1075000	21	0.704569
(1462,1485)(1060081,1106471)(1060000,1110000)	chr01	1085000	25	0.595312
(1471,1488)(1080464,1118148)(1070000,1120000)	chr01	1095000	19	0.584566
(1471,1495)(1080464,1129684)(1080000,1130000)	chr01	1105000	26	0.558431
(1481,1525)(1106311,1137795)(1090000,1140000)	chr01	1115000	46	0.505146
(1481,1546)(1106311,1148852)(1100000,1150000)	chr01	1125000	67	0.567562
(1486,1548)(1110213,1156484)(1110000,1160000)	chr01	1135000	64	0.590695
(1489,1576)(1125674,1169984)(1120000,1170000)	chr01	1145000	89	0.588271
(1496,1583)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.543757
(1526,1587)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.541613
(1547,1594)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.481726
(1549,1602)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.445981
(1577,1616)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.378151
(1584,1616)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.499010
(1588,1635)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.454880
(1595,1639)(1202564,1248625)(1200000,1250000)	chr01	1225000	46	0.405832
