region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.424992
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.425283
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.453076
(24,100)(66768,109295)(60000,110000)	chr01	85000	78	0.591216
(31,174)(72927,119227)(70000,120000)	chr01	95000	145	0.543551
(66,199)(99745,121372)(80000,130000)	chr01	105000	135	0.584709
(66,227)(99745,131673)(90000,140000)	chr01	115000	163	0.557602
(68,242)(101120,148599)(100000,150000)	chr01	125000	176	0.515937
(101,267)(112439,159252)(110000,160000)	chr01	135000	168	0.254342
(175,288)(121114,169571)(120000,170000)	chr01	145000	115	0.324144
(200,295)(130856,175991)(130000,180000)	chr01	155000	97	0.345237
(228,298)(146066,183449)(140000,190000)	chr01	165000	72	0.369821
(243,310)(155765,197658)(150000,200000)	chr01	175000	69	0.503993
(268,335)(165376,204116)(160000,210000)	chr01	185000	69	0.616809
(289,370)(175855,216859)(170000,220000)	chr01	195000	83	0.621115
(296,390)(183430,229717)(180000,230000)	chr01	205000	96	0.638071
(299,390)(193065,229717)(190000,240000)	chr01	215000	93	0.638119
(311,428)(202400,249999)(200000,250000)	chr01	225000	119	0.628897
(336,464)(214936,257533)(210000,260000)	chr01	235000	130	0.575966
(371,483)(224519,268043)(220000,270000)	chr01	245000	114	0.470815
(391,512)(241035,278351)(230000,280000)	chr01	255000	123	0.422350
(391,536)(241035,286093)(240000,290000)	chr01	265000	147	0.412736
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.340714
(465,567)(267752,307842)(260000,310000)	chr01	285000	104	0.276001
(484,568)(270347,317230)(270000,320000)	chr01	295000	86	0.342790
(513,580)(281515,324273)(280000,330000)	chr01	305000	69	0.253300
(537,606)(291233,339583)(290000,340000)	chr01	315000	71	0.388363
(546,612)(303105,348196)(300000,350000)	chr01	325000	68	0.377520
(568,630)(317230,359771)(310000,360000)	chr01	335000	64	0.391518
(569,638)(322110,360805)(320000,370000)	chr01	345000	71	0.366933
(581,657)(334023,373127)(330000,380000)	chr01	355000	78	0.411427
(607,660)(342750,384275)(340000,390000)	chr01	365000	55	0.355766
(613,668)(356572,399618)(350000,400000)	chr01	375000	57	0.326079
(631,682)(360718,406909)(360000,410000)	chr01	385000	53	0.563909
(639,720)(371165,418272)(370000,420000)	chr01	395000	83	0.471595
(658,729)(384248,426178)(380000,430000)	chr01	405000	73	0.517769
(661,729)(399494,426178)(390000,440000)	chr01	415000	70	0.483120
(669,749)(405929,447446)(400000,450000)	chr01	425000	82	0.470543
(683,762)(412909,458510)(410000,460000)	chr01	435000	81	0.457720
(721,762)(422091,458510)(420000,470000)	chr01	445000	43	0.577125
(730,775)(440021,477626)(430000,480000)	chr01	455000	47	0.521245
(730,801)(440021,489540)(440000,490000)	chr01	465000	73	0.479609
(750,812)(458290,497075)(450000,500000)	chr01	475000	64	0.554644
(763,812)(472791,497075)(460000,510000)	chr01	485000	51	0.438832
(763,813)(472791,519445)(470000,520000)	chr01	495000	52	0.438828
(776,834)(482579,527912)(480000,530000)	chr01	505000	60	0.585708
(802,834)(490388,527912)(490000,540000)	chr01	515000	34	0.679274
(813,836)(519445,546039)(500000,550000)	chr01	525000	25	0.647250
(813,843)(519445,556579)(510000,560000)	chr01	535000	32	0.597242
(814,850)(520967,567617)(520000,570000)	chr01	545000	38	0.553232
(835,850)(546012,567617)(530000,580000)	chr01	555000	17	0.380341
(835,850)(546012,567617)(540000,590000)	chr01	565000	17	0.380341
(837,866)(553209,598747)(550000,600000)	chr01	575000	31	0.363432
(844,887)(567497,609080)(560000,610000)	chr01	585000	45	0.321850
(851,893)(598538,615712)(570000,620000)	chr01	595000	44	0.316250
(851,907)(598538,629014)(580000,630000)	chr01	605000	58	0.302178
(851,929)(598538,639995)(590000,640000)	chr01	615000	80	0.338981
(867,933)(608808,647580)(600000,650000)	chr01	625000	68	0.340073
(888,933)(615547,647580)(610000,660000)	chr01	635000	47	0.345600
(894,945)(622726,664539)(620000,670000)	chr01	645000	53	0.278671
(908,1012)(631986,679765)(630000,680000)	chr01	655000	106	0.212243
(930,1018)(640931,687635)(640000,690000)	chr01	665000	90	0.185004
(934,1021)(664341,699440)(650000,700000)	chr01	675000	89	0.225410
(934,1025)(664341,702132)(660000,710000)	chr01	685000	93	0.224712
(946,1035)(670057,710536)(670000,720000)	chr01	695000	91	0.371873
(1013,1064)(687435,726075)(680000,730000)	chr01	705000	53	0.577743
(1019,1097)(699339,736121)(690000,740000)	chr01	715000	80	0.559161
(1022,1103)(702035,749383)(700000,750000)	chr01	725000	83	0.531387
(1026,1106)(710398,754850)(710000,760000)	chr01	735000	82	0.528041
(1036,1117)(720265,768507)(720000,770000)	chr01	745000	83	0.328098
(1065,1124)(730423,774383)(730000,780000)	chr01	755000	61	0.298202
(1098,1125)(749258,780712)(740000,790000)	chr01	765000	29	0.191043
(1104,1125)(751549,780712)(750000,800000)	chr01	775000	23	0.193014
(1107,1129)(768240,800296)(760000,810000)	chr01	785000	24	0.375805
(1118,1159)(771638,819725)(770000,820000)	chr01	795000	43	0.593327
(1125,1161)(780712,824471)(780000,830000)	chr01	805000	38	0.618537
(1126,1202)(800261,839979)(790000,840000)	chr01	815000	78	0.581582
(1126,1203)(800261,849991)(800000,850000)	chr01	825000	79	0.578292
(1130,1208)(816740,852734)(810000,860000)	chr01	835000	80	0.558281
(1160,1211)(824403,860813)(820000,870000)	chr01	845000	53	0.488587
(1162,1217)(830052,877821)(830000,880000)	chr01	855000	57	0.498556
(1203,1229)(849991,888203)(840000,890000)	chr01	865000	28	0.564192
(1204,1244)(852666,898885)(850000,900000)	chr01	875000	42	0.710031
(1209,1244)(860727,898885)(860000,910000)	chr01	885000	37	0.709959
(1212,1274)(876147,916778)(870000,920000)	chr01	895000	64	0.801609
(1218,1301)(881512,929364)(880000,930000)	chr01	905000	85	0.792723
(1230,1305)(890743,936207)(890000,940000)	chr01	915000	77	0.793609
(1245,1338)(911188,949937)(900000,950000)	chr01	925000	95	0.677927
(1245,1351)(911188,952812)(910000,960000)	chr01	935000	108	0.659481
(1275,1359)(921481,969688)(920000,970000)	chr01	945000	86	0.523353
(1302,1409)(933153,979790)(930000,980000)	chr01	955000	109	0.291588
(1306,1429)(941192,981690)(940000,990000)	chr01	965000	125	0.217393
(1339,1445)(951051,994392)(950000,1000000)	chr01	975000	108	0.315984
(1352,1447)(964396,1007159)(960000,1010000)	chr01	985000	97	0.333545
(1360,1483)(972160,1019757)(970000,1020000)	chr01	995000	125	0.287228
