region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.544097
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.507748
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.205474
(24,99)(66768,109295)(60000,110000)	chr01	85000	77	0.688320
(31,173)(72927,119227)(70000,120000)	chr01	95000	144	0.672217
(66,198)(99745,121372)(80000,130000)	chr01	105000	134	0.729759
(66,226)(99745,131673)(90000,140000)	chr01	115000	162	0.711646
(68,241)(101120,148599)(100000,150000)	chr01	125000	175	0.711080
(100,266)(112439,159252)(110000,160000)	chr01	135000	168	0.582565
(174,287)(121114,169571)(120000,170000)	chr01	145000	115	0.546538
(199,294)(130856,175991)(130000,180000)	chr01	155000	97	0.557641
(227,297)(146066,183449)(140000,190000)	chr01	165000	72	0.557230
(242,309)(155765,197658)(150000,200000)	chr01	175000	69	0.525112
(267,334)(165376,204116)(160000,210000)	chr01	185000	69	0.736408
(288,368)(175855,216832)(170000,220000)	chr01	195000	82	0.847064
(295,388)(183430,229717)(180000,230000)	chr01	205000	95	0.834383
(298,388)(193065,229717)(190000,240000)	chr01	215000	92	0.842133
(310,426)(202400,249999)(200000,250000)	chr01	225000	118	0.803329
(335,462)(214936,257533)(210000,260000)	chr01	235000	129	0.764811
(369,481)(224519,268043)(220000,270000)	chr01	245000	114	0.467802
(389,510)(241035,278351)(230000,280000)	chr01	255000	123	0.364876
(389,534)(241035,286093)(240000,290000)	chr01	265000	147	0.362342
(427,543)(250021,296664)(250000,300000)	chr01	275000	118	0.346415
(463,565)(267752,307842)(260000,310000)	chr01	285000	104	0.305685
(482,566)(270347,317230)(270000,320000)	chr01	295000	86	0.386412
(511,578)(281515,324273)(280000,330000)	chr01	305000	69	0.288461
(535,598)(291233,339583)(290000,340000)	chr01	315000	65	0.582236
(544,604)(303105,348196)(300000,350000)	chr01	325000	62	0.643037
(566,621)(317230,359771)(310000,360000)	chr01	335000	57	0.734030
(567,629)(322110,360805)(320000,370000)	chr01	345000	64	0.732360
(579,648)(336747,373127)(330000,380000)	chr01	355000	71	0.767887
(599,651)(342750,384275)(340000,390000)	chr01	365000	54	0.759224
(605,659)(356572,399618)(350000,400000)	chr01	375000	56	0.699524
(622,667)(360718,406909)(360000,410000)	chr01	385000	47	0.762229
(630,696)(371165,418272)(370000,420000)	chr01	395000	68	0.699422
(649,705)(384248,426178)(380000,430000)	chr01	405000	58	0.699533
(652,705)(399494,426178)(390000,440000)	chr01	415000	55	0.653126
(660,725)(405929,447446)(400000,450000)	chr01	425000	67	0.649365
(668,738)(412986,458510)(410000,460000)	chr01	435000	72	0.561635
(697,738)(422091,458510)(420000,470000)	chr01	445000	43	0.570168
(706,751)(440021,477626)(430000,480000)	chr01	455000	47	0.551808
(706,753)(440021,482581)(440000,490000)	chr01	465000	49	0.553904
(726,756)(458290,497075)(450000,500000)	chr01	475000	32	0.590683
(739,756)(472791,497075)(460000,510000)	chr01	485000	19	0.750457
(739,757)(472791,519445)(470000,520000)	chr01	495000	20	0.750457
(752,778)(482579,527912)(480000,530000)	chr01	505000	28	0.657396
(754,778)(496996,527912)(490000,540000)	chr01	515000	26	0.658039
(757,780)(519445,546039)(500000,550000)	chr01	525000	25	0.650612
(757,787)(519445,556579)(510000,560000)	chr01	535000	32	0.619524
(758,794)(520967,567617)(520000,570000)	chr01	545000	38	0.579481
(779,794)(546012,567617)(530000,580000)	chr01	555000	17	0.400488
(779,794)(546012,567617)(540000,590000)	chr01	565000	17	0.400488
(781,810)(553209,598747)(550000,600000)	chr01	575000	31	0.411070
(788,831)(567497,609080)(560000,610000)	chr01	585000	45	0.345419
(795,837)(598538,615712)(570000,620000)	chr01	595000	44	0.363033
(795,851)(598538,629014)(580000,630000)	chr01	605000	58	0.699232
(795,873)(598538,639995)(590000,640000)	chr01	615000	80	0.695415
(811,877)(608808,647580)(600000,650000)	chr01	625000	68	0.760709
(832,877)(615547,647580)(610000,660000)	chr01	635000	47	0.809700
(838,889)(622726,664539)(620000,670000)	chr01	645000	53	0.721032
(852,956)(631986,679765)(630000,680000)	chr01	655000	106	0.500947
(874,962)(640931,687635)(640000,690000)	chr01	665000	90	0.495626
(878,965)(664341,699440)(650000,700000)	chr01	675000	89	0.446651
(878,968)(664341,702132)(660000,710000)	chr01	685000	92	0.447963
(890,978)(670057,710536)(670000,720000)	chr01	695000	90	0.550129
(957,1007)(687435,726075)(680000,730000)	chr01	705000	52	0.738237
(963,1040)(699339,736121)(690000,740000)	chr01	715000	79	0.609872
(966,1046)(702087,749383)(700000,750000)	chr01	725000	82	0.624332
(969,1049)(710398,754850)(710000,760000)	chr01	735000	82	0.622342
(979,1060)(720265,768507)(720000,770000)	chr01	745000	83	0.507002
(1008,1067)(730423,774383)(730000,780000)	chr01	755000	61	0.444208
(1041,1068)(749258,780712)(740000,790000)	chr01	765000	29	0.288788
(1047,1068)(751549,780712)(750000,800000)	chr01	775000	23	0.289152
(1050,1072)(768240,800296)(760000,810000)	chr01	785000	24	0.255599
(1061,1102)(771638,819725)(770000,820000)	chr01	795000	43	0.556409
(1068,1104)(780712,824471)(780000,830000)	chr01	805000	38	0.566988
(1069,1143)(800261,839943)(790000,840000)	chr01	815000	76	0.571832
(1069,1144)(800261,849991)(800000,850000)	chr01	825000	77	0.571803
(1073,1149)(816740,852734)(810000,860000)	chr01	835000	78	0.579905
(1103,1152)(824403,860813)(820000,870000)	chr01	845000	51	0.532869
(1105,1158)(830052,877821)(830000,880000)	chr01	855000	55	0.526333
(1144,1170)(849991,888203)(840000,890000)	chr01	865000	28	0.625803
(1145,1181)(852666,898885)(850000,900000)	chr01	875000	38	0.733303
(1150,1181)(860727,898885)(860000,910000)	chr01	885000	33	0.758967
(1153,1211)(876147,916778)(870000,920000)	chr01	895000	60	0.781134
(1159,1238)(881512,929364)(880000,930000)	chr01	905000	81	0.717633
(1171,1242)(892660,936207)(890000,940000)	chr01	915000	73	0.723738
(1182,1275)(911188,949937)(900000,950000)	chr01	925000	95	0.710927
(1182,1288)(911188,952812)(910000,960000)	chr01	935000	108	0.705030
(1212,1296)(921481,969688)(920000,970000)	chr01	945000	86	0.693170
(1239,1346)(933153,979790)(930000,980000)	chr01	955000	109	0.707840
(1243,1366)(941192,981690)(940000,990000)	chr01	965000	125	0.692185
(1276,1382)(951051,994392)(950000,1000000)	chr01	975000	108	0.664162
(1289,1384)(964396,1007159)(960000,1010000)	chr01	985000	97	0.665849
(1297,1420)(972160,1019757)(970000,1020000)	chr01	995000	125	0.578017
(1347,1423)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.462074
(1367,1437)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.249056
(1383,1456)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.444003
(1385,1456)(1010494,1046545)(1010000,1060000)	chr01	1035000	73	0.446092
(1421,1465)(1023745,1060127)(1020000,1070000)	chr01	1045000	46	0.741684
(1424,1465)(1030079,1060127)(1030000,1080000)	chr01	1055000	43	0.742188
(1438,1475)(1040190,1088668)(1040000,1090000)	chr01	1065000	39	0.656323
(1457,1475)(1060081,1088668)(1050000,1100000)	chr01	1075000	20	0.181633
(1457,1480)(1060081,1106471)(1060000,1110000)	chr01	1085000	25	0.224561
(1466,1483)(1080464,1118148)(1070000,1120000)	chr01	1095000	19	0.247003
(1466,1493)(1080464,1129684)(1080000,1130000)	chr01	1105000	29	0.760447
(1476,1520)(1106311,1137795)(1090000,1140000)	chr01	1115000	46	0.698308
(1476,1537)(1106311,1148852)(1100000,1150000)	chr01	1125000	63	0.698425
(1481,1539)(1110213,1156484)(1110000,1160000)	chr01	1135000	60	0.710221
(1484,1567)(1125674,1169984)(1120000,1170000)	chr01	1145000	85	0.748478
(1494,1574)(1131938,1175775)(1130000,1180000)	chr01	1155000	82	0.688322
(1521,1578)(1141378,1187811)(1140000,1190000)	chr01	1165000	59	0.730693
(1538,1585)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.743370
(1540,1593)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.723569
(1568,1607)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.552895
(1575,1607)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.692056
(1579,1626)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.504189
(1586,1630)(1202564,1248625)(1200000,1250000)	chr01	1225000	46	0.470862
(1594,1630)(1215791,1248625)(1210000,1260000)	chr01	1235000	38	0.475785
(1608,1634)(1230664,1266942)(1220000,1270000)	chr01	1245000	28	0.192289
(1608,1640)(1230664,1271087)(1230000,1280000)	chr01	1255000	34	0.192051
