region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.657550
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.657799
(17,60)(66768,99748)(50000,100000)	chr01	75000	45	0.631849
(17,93)(66768,109295)(60000,110000)	chr01	85000	78	0.704113
(24,167)(72927,119227)(70000,120000)	chr01	95000	145	0.656644
(59,192)(99745,121372)(80000,130000)	chr01	105000	135	0.655020
(59,220)(99745,131673)(90000,140000)	chr01	115000	163	0.692495
(61,235)(101120,148599)(100000,150000)	chr01	125000	176	0.676731
(94,260)(112439,159252)(110000,160000)	chr01	135000	168	0.646059
(168,281)(121114,169571)(120000,170000)	chr01	145000	115	0.702734
(193,288)(130856,175991)(130000,180000)	chr01	155000	97	0.721103
(221,291)(146066,183449)(140000,190000)	chr01	165000	72	0.671092
(236,303)(155765,197658)(150000,200000)	chr01	175000	69	0.759108
(261,328)(165376,204116)(160000,210000)	chr01	185000	69	0.748816
(282,363)(175855,216859)(170000,220000)	chr01	195000	83	0.771582
(289,383)(183430,229717)(180000,230000)	chr01	205000	96	0.797834
(292,383)(193065,229717)(190000,240000)	chr01	215000	93	0.788604
(304,421)(202400,249999)(200000,250000)	chr01	225000	119	0.831088
(329,457)(214936,257533)(210000,260000)	chr01	235000	130	0.840923
(364,476)(224519,268043)(220000,270000)	chr01	245000	114	0.739488
(384,504)(241035,278351)(230000,280000)	chr01	255000	122	0.696796
(384,528)(241035,286093)(240000,290000)	chr01	265000	146	0.703253
(422,537)(250021,296664)(250000,300000)	chr01	275000	117	0.608276
(458,555)(267752,305489)(260000,310000)	chr01	285000	99	0.440471
(477,555)(270347,305489)(270000,320000)	chr01	295000	80	0.584471
(505,567)(281515,324273)(280000,330000)	chr01	305000	64	0.582381
(529,593)(291233,339583)(290000,340000)	chr01	315000	66	0.617896
(538,599)(303105,348196)(300000,350000)	chr01	325000	63	0.577583
(556,617)(322110,359771)(310000,360000)	chr01	335000	63	0.562873
(556,625)(322110,360805)(320000,370000)	chr01	345000	71	0.573882
(568,644)(334023,373127)(330000,380000)	chr01	355000	78	0.506799
(594,647)(342750,384275)(340000,390000)	chr01	365000	55	0.420484
(600,655)(356572,399618)(350000,400000)	chr01	375000	57	0.483032
(618,669)(360718,406909)(360000,410000)	chr01	385000	53	0.686590
(626,707)(371165,418272)(370000,420000)	chr01	395000	83	0.635932
(645,716)(384248,426178)(380000,430000)	chr01	405000	73	0.695841
(648,716)(399494,426178)(390000,440000)	chr01	415000	70	0.675499
(656,716)(405929,426178)(400000,450000)	chr01	425000	62	0.680627
(670,729)(412909,458510)(410000,460000)	chr01	435000	61	0.714691
(708,729)(422091,458510)(420000,470000)	chr01	445000	23	0.910516
(717,742)(458290,477626)(430000,480000)	chr01	455000	27	0.871048
(717,768)(458290,489540)(440000,490000)	chr01	465000	53	0.754806
(717,779)(458290,497075)(450000,500000)	chr01	475000	64	0.752838
(730,779)(472791,497075)(460000,510000)	chr01	485000	51	0.608833
(730,780)(472791,519445)(470000,520000)	chr01	495000	52	0.614059
(743,801)(482579,527912)(480000,530000)	chr01	505000	60	0.738009
(769,801)(490388,527912)(490000,540000)	chr01	515000	34	0.839783
(780,803)(519445,546039)(500000,550000)	chr01	525000	25	0.836583
(780,803)(519445,546039)(510000,560000)	chr01	535000	25	0.836583
(781,810)(520967,567617)(520000,570000)	chr01	545000	31	0.811552
(802,810)(546012,567617)(530000,580000)	chr01	555000	10	0.350318
(802,810)(546012,567617)(540000,590000)	chr01	565000	10	0.350318
(804,826)(567497,598747)(550000,600000)	chr01	575000	24	0.593513
(804,847)(567497,609080)(560000,610000)	chr01	585000	45	0.552933
(811,847)(598538,609080)(570000,620000)	chr01	595000	38	0.565280
(811,847)(598538,609080)(580000,630000)	chr01	605000	38	0.565280
(811,869)(598538,639995)(590000,640000)	chr01	615000	60	0.606301
(827,872)(608808,647580)(600000,650000)	chr01	625000	47	0.613055
(848,872)(631986,647580)(610000,660000)	chr01	635000	26	0.696823
(848,872)(631986,647580)(620000,670000)	chr01	645000	26	0.696823
(848,876)(631986,679765)(630000,680000)	chr01	655000	30	0.690220
(870,876)(640931,679765)(640000,690000)	chr01	665000	8	0.715647
(873,879)(679713,699440)(650000,700000)	chr01	675000	8	0.635458
(873,883)(679713,702132)(660000,710000)	chr01	685000	12	0.632529
(873,893)(679713,710536)(670000,720000)	chr01	695000	22	0.720083
(877,922)(699339,726075)(680000,730000)	chr01	705000	47	0.788026
(877,955)(699339,736121)(690000,740000)	chr01	715000	80	0.766413
(880,961)(702035,749383)(700000,750000)	chr01	725000	83	0.782658
(884,964)(710398,754850)(710000,760000)	chr01	735000	82	0.777470
(894,975)(720265,768507)(720000,770000)	chr01	745000	83	0.667137
