region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.833783
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.539771
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.605007
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.605109
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.481811
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.421557
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.427011
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.364344
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.424016
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.412073
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.433152
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.509072
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.507434
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.451532
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.493096
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.422972
(285,366)(175855,216859)(170000,220000)	chr01	195000	83	0.688044
(292,388)(183430,229717)(180000,230000)	chr01	205000	98	0.681438
(295,388)(193065,229717)(190000,240000)	chr01	215000	95	0.669564
(307,428)(202400,249999)(200000,250000)	chr01	225000	123	0.587829
(332,465)(214936,258347)(210000,260000)	chr01	235000	135	0.545918
(367,484)(224519,268043)(220000,270000)	chr01	245000	119	0.189141
(389,513)(241035,278351)(230000,280000)	chr01	255000	126	0.192919
(389,537)(241035,286093)(240000,290000)	chr01	265000	150	0.280337
(429,546)(250021,296664)(250000,300000)	chr01	275000	119	0.339797
(466,564)(267752,305489)(260000,310000)	chr01	285000	100	0.325248
(485,564)(270347,305489)(270000,320000)	chr01	295000	81	0.425869
(514,576)(281515,324273)(280000,330000)	chr01	305000	64	0.481213
(538,602)(291233,339583)(290000,340000)	chr01	315000	66	0.412052
(547,608)(303105,348196)(300000,350000)	chr01	325000	63	0.450909
(565,626)(322110,359771)(310000,360000)	chr01	335000	63	0.453447
(565,634)(322110,360805)(320000,370000)	chr01	345000	71	0.450701
(577,653)(334023,373127)(330000,380000)	chr01	355000	78	0.415793
(603,656)(342750,384275)(340000,390000)	chr01	365000	55	0.364187
(609,664)(356572,399618)(350000,400000)	chr01	375000	57	0.332881
(627,678)(360718,406909)(360000,410000)	chr01	385000	53	0.414734
(635,716)(371165,418272)(370000,420000)	chr01	395000	83	0.379893
(654,725)(384248,426178)(380000,430000)	chr01	405000	73	0.431189
(657,725)(399494,426178)(390000,440000)	chr01	415000	70	0.433363
(665,733)(405929,447272)(400000,450000)	chr01	425000	70	0.453536
(679,746)(412909,458510)(410000,460000)	chr01	435000	69	0.607970
(717,746)(422091,458510)(420000,470000)	chr01	445000	31	0.809656
(726,759)(447168,477626)(430000,480000)	chr01	455000	35	0.689339
(726,785)(447168,489540)(440000,490000)	chr01	465000	61	0.655697
(734,796)(458290,497075)(450000,500000)	chr01	475000	64	0.691879
(747,796)(472791,497075)(460000,510000)	chr01	485000	51	0.517672
(747,797)(472791,519445)(470000,520000)	chr01	495000	52	0.520276
(760,818)(482579,527912)(480000,530000)	chr01	505000	60	0.603169
(786,818)(490388,527912)(490000,540000)	chr01	515000	34	0.616855
(797,820)(519445,546039)(500000,550000)	chr01	525000	25	0.663660
(797,821)(519445,556579)(510000,560000)	chr01	535000	26	0.659993
(798,828)(520967,567617)(520000,570000)	chr01	545000	32	0.651214
(819,828)(546012,567617)(530000,580000)	chr01	555000	11	0.697926
(819,828)(546012,567617)(540000,590000)	chr01	565000	11	0.697926
(821,844)(556579,598747)(550000,600000)	chr01	575000	25	0.475848
(822,865)(567497,609080)(560000,610000)	chr01	585000	45	0.480337
(829,865)(598538,609080)(570000,620000)	chr01	595000	38	0.453147
(829,874)(598538,622801)(580000,630000)	chr01	605000	47	0.437426
(829,896)(598538,639995)(590000,640000)	chr01	615000	69	0.431798
(845,900)(608808,647580)(600000,650000)	chr01	625000	57	0.450426
(866,900)(622726,647580)(610000,660000)	chr01	635000	36	0.426847
(866,904)(622726,664510)(620000,670000)	chr01	645000	40	0.396278
(875,904)(631986,664510)(630000,680000)	chr01	655000	31	0.411113
(897,908)(640931,687537)(640000,690000)	chr01	665000	13	0.313019
(901,911)(664448,699440)(650000,700000)	chr01	675000	12	0.182558
(901,925)(664448,705398)(660000,710000)	chr01	685000	26	0.470281
(905,935)(687435,710536)(670000,720000)	chr01	695000	32	0.607154
(905,970)(687435,726176)(680000,730000)	chr01	705000	67	0.569598
(909,1003)(699339,736121)(690000,740000)	chr01	715000	96	0.532187
(912,1009)(702035,749383)(700000,750000)	chr01	725000	99	0.544416
(926,1012)(710398,754850)(710000,760000)	chr01	735000	88	0.510714
(936,1052)(720265,768507)(720000,770000)	chr01	745000	118	0.525600
(971,1059)(730423,774383)(730000,780000)	chr01	755000	90	0.506366
(1004,1060)(749258,780712)(740000,790000)	chr01	765000	58	0.599746
(1010,1060)(751549,780712)(750000,800000)	chr01	775000	52	0.595278
(1013,1064)(760149,800296)(760000,810000)	chr01	785000	53	0.618215
