region	chr	midPos	Nsites
(5,41)(34877,75784)(30000,80000)	chr01	55000	38	0.675570
(6,41)(40565,75784)(40000,90000)	chr01	65000	37	0.673882
(20,43)(72990,99748)(50000,100000)	chr01	75000	25	0.438583
(20,77)(72990,109295)(60000,110000)	chr01	85000	59	0.582839
(20,148)(72990,119227)(70000,120000)	chr01	95000	130	0.623563
(42,173)(99745,121372)(80000,130000)	chr01	105000	133	0.651024
(42,201)(99745,131673)(90000,140000)	chr01	115000	161	0.629092
(44,216)(101120,148599)(100000,150000)	chr01	125000	174	0.675084
(78,241)(112439,159252)(110000,160000)	chr01	135000	165	0.711171
(149,262)(121114,169571)(120000,170000)	chr01	145000	115	0.758657
(174,269)(130856,175991)(130000,180000)	chr01	155000	97	0.771026
(202,272)(146066,183449)(140000,190000)	chr01	165000	72	0.822619
(217,284)(155765,197658)(150000,200000)	chr01	175000	69	0.781772
(242,309)(165376,204116)(160000,210000)	chr01	185000	69	0.718979
(263,344)(175855,216859)(170000,220000)	chr01	195000	83	0.794520
(270,366)(183430,229717)(180000,230000)	chr01	205000	98	0.828256
(273,366)(193065,229717)(190000,240000)	chr01	215000	95	0.828463
(285,404)(202400,249999)(200000,250000)	chr01	225000	121	0.846765
(310,438)(214936,257492)(210000,260000)	chr01	235000	130	0.867470
(345,454)(224519,268043)(220000,270000)	chr01	245000	111	0.874173
(367,468)(241035,278259)(230000,280000)	chr01	255000	103	0.846871
(367,478)(241035,285977)(240000,290000)	chr01	265000	113	0.839670
(405,478)(250021,285977)(250000,300000)	chr01	275000	75	0.818835
(439,493)(267752,305489)(260000,310000)	chr01	285000	56	0.863016
(455,493)(270347,305489)(270000,320000)	chr01	295000	40	0.835202
(469,498)(284735,323234)(280000,330000)	chr01	305000	31	0.907544
(479,513)(303105,339583)(290000,340000)	chr01	315000	36	0.829278
(479,518)(303105,348196)(300000,350000)	chr01	325000	41	0.843462
(494,536)(322110,359771)(310000,360000)	chr01	335000	44	0.691400
(494,544)(322110,360805)(320000,370000)	chr01	345000	52	0.717577
(499,563)(334023,373127)(330000,380000)	chr01	355000	66	0.705729
(514,566)(342750,384275)(340000,390000)	chr01	365000	54	0.758977
(519,574)(356572,399618)(350000,400000)	chr01	375000	57	0.727256
(537,584)(360718,406909)(360000,410000)	chr01	385000	49	0.816105
(545,618)(371165,418272)(370000,420000)	chr01	395000	75	0.723787
(564,627)(384248,426178)(380000,430000)	chr01	405000	65	0.759786
(567,627)(399494,426178)(390000,440000)	chr01	415000	62	0.743087
(575,635)(405929,447272)(400000,450000)	chr01	425000	62	0.741114
(585,648)(413073,458510)(410000,460000)	chr01	435000	65	0.674587
(619,648)(422091,458510)(420000,470000)	chr01	445000	31	0.748391
(628,661)(447168,477626)(430000,480000)	chr01	455000	35	0.578994
(628,685)(447168,489540)(440000,490000)	chr01	465000	59	0.557636
(636,695)(458290,497021)(450000,500000)	chr01	475000	61	0.513602
(649,695)(472791,497021)(460000,510000)	chr01	485000	48	0.528318
(649,696)(472791,519445)(470000,520000)	chr01	495000	49	0.528317
(662,717)(484534,527912)(480000,530000)	chr01	505000	57	0.459724
(686,717)(490388,527912)(490000,540000)	chr01	515000	33	0.274343
(696,719)(519445,546039)(500000,550000)	chr01	525000	25	0.428528
(696,726)(519445,556579)(510000,560000)	chr01	535000	32	0.456067
(697,733)(520967,567617)(520000,570000)	chr01	545000	38	0.415693
(718,733)(546012,567617)(530000,580000)	chr01	555000	17	0.504546
(718,733)(546012,567617)(540000,590000)	chr01	565000	17	0.504546
(720,749)(553209,598747)(550000,600000)	chr01	575000	31	0.365789
(727,770)(567497,609080)(560000,610000)	chr01	585000	45	0.269940
(734,773)(598538,615712)(570000,620000)	chr01	595000	41	0.260866
(734,782)(598538,622801)(580000,630000)	chr01	605000	50	0.299152
(734,810)(598538,639995)(590000,640000)	chr01	615000	78	0.409216
(750,814)(608808,647580)(600000,650000)	chr01	625000	66	0.514420
(771,814)(615678,647580)(610000,660000)	chr01	635000	45	0.534753
(774,826)(622726,664539)(620000,670000)	chr01	645000	54	0.510252
(783,893)(631986,679765)(630000,680000)	chr01	655000	112	0.510279
(811,899)(640931,687635)(640000,690000)	chr01	665000	90	0.519473
(815,902)(664341,699440)(650000,700000)	chr01	675000	89	0.484095
(815,924)(664341,705398)(660000,710000)	chr01	685000	111	0.493735
(827,934)(670057,710536)(670000,720000)	chr01	695000	109	0.499273
(894,969)(687435,726176)(680000,730000)	chr01	705000	77	0.590555
(900,1002)(699339,736121)(690000,740000)	chr01	715000	104	0.540869
(903,1008)(702035,749383)(700000,750000)	chr01	725000	107	0.535673
(925,1011)(710398,754850)(710000,760000)	chr01	735000	88	0.562834
(935,1047)(720265,768507)(720000,770000)	chr01	745000	114	0.676651
(970,1052)(730423,774383)(730000,780000)	chr01	755000	84	0.656949
(1003,1053)(749258,780712)(740000,790000)	chr01	765000	52	0.739459
(1009,1053)(751549,780712)(750000,800000)	chr01	775000	46	0.749771
(1012,1057)(760149,800296)(760000,810000)	chr01	785000	47	0.744974
(1048,1087)(774173,819725)(770000,820000)	chr01	795000	41	0.575074
(1053,1089)(780712,824471)(780000,830000)	chr01	805000	38	0.623348
(1054,1139)(800261,839864)(790000,840000)	chr01	815000	87	0.706038
(1054,1140)(800261,849991)(800000,850000)	chr01	825000	88	0.703766
(1058,1147)(816740,855718)(810000,860000)	chr01	835000	91	0.604865
(1088,1150)(824403,860813)(820000,870000)	chr01	845000	64	0.617469
(1090,1156)(830052,877821)(830000,880000)	chr01	855000	68	0.642641
(1140,1164)(849991,888203)(840000,890000)	chr01	865000	26	0.633417
(1141,1170)(852666,898756)(850000,900000)	chr01	875000	31	0.671019
(1148,1186)(860727,908031)(860000,910000)	chr01	885000	40	0.682893
(1151,1216)(876147,916778)(870000,920000)	chr01	895000	67	0.787263
(1157,1243)(885386,929364)(880000,930000)	chr01	905000	88	0.760269
(1165,1247)(890743,936207)(890000,940000)	chr01	915000	84	0.741956
(1171,1280)(902874,949937)(900000,950000)	chr01	925000	111	0.713164
(1187,1293)(911188,952812)(910000,960000)	chr01	935000	108	0.734022
(1217,1301)(921481,969688)(920000,970000)	chr01	945000	86	0.666394
(1244,1349)(933153,979790)(930000,980000)	chr01	955000	107	0.743142
(1248,1369)(941192,981690)(940000,990000)	chr01	965000	123	0.878958
(1281,1385)(951051,994392)(950000,1000000)	chr01	975000	106	0.925014
(1294,1387)(964396,1007159)(960000,1010000)	chr01	985000	95	0.990455
(1302,1423)(972160,1019757)(970000,1020000)	chr01	995000	123	0.929115
(1350,1426)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.927833
(1370,1440)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.779811
(1386,1459)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.795331
(1388,1463)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.823045
(1424,1472)(1023745,1060127)(1020000,1070000)	chr01	1045000	50	0.831380
(1427,1472)(1030079,1060127)(1030000,1080000)	chr01	1055000	47	0.786333
(1441,1494)(1040190,1088668)(1040000,1090000)	chr01	1065000	55	0.932514
(1460,1494)(1059222,1088668)(1050000,1100000)	chr01	1075000	36	0.926607
(1464,1499)(1060081,1106471)(1060000,1110000)	chr01	1085000	37	0.927741
(1473,1513)(1080464,1118148)(1070000,1120000)	chr01	1095000	42	0.894612
(1473,1525)(1080464,1129684)(1080000,1130000)	chr01	1105000	54	0.862236
(1495,1556)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.612748
(1495,1577)(1106311,1148852)(1100000,1150000)	chr01	1125000	84	0.593689
(1500,1579)(1110213,1156484)(1110000,1160000)	chr01	1135000	81	0.548292
(1514,1606)(1125674,1169984)(1120000,1170000)	chr01	1145000	94	0.577094
