region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.034924
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.044951
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.100292
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.100308
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.114316
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.090912
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.097511
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.086076
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.083873
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.095773
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.134978
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.181419
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.182459
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.216047
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.178063
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.123137
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.096874
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.086011
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.086179
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.094657
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.093924
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.046442
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.065189
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.069104
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.065025
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.060991
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.094878
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.090907
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.129869
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.127272
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.123314
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.100847
(591,668)(334023,373127)(330000,380000)	chr01	355000	79	0.087655
(617,671)(342750,384275)(340000,390000)	chr01	365000	56	0.069438
(623,679)(356572,399618)(350000,400000)	chr01	375000	58	0.065909
(641,693)(360718,406909)(360000,410000)	chr01	385000	54	0.124447
(649,731)(371165,418272)(370000,420000)	chr01	395000	84	0.088873
(669,740)(384248,426178)(380000,430000)	chr01	405000	73	0.106420
(672,740)(399494,426178)(390000,440000)	chr01	415000	70	0.089434
(680,760)(405929,447446)(400000,450000)	chr01	425000	82	0.081353
(694,773)(412909,458510)(410000,460000)	chr01	435000	81	0.055248
(732,773)(422091,458510)(420000,470000)	chr01	445000	43	0.082403
(741,786)(440021,477626)(430000,480000)	chr01	455000	47	0.112026
(741,812)(440021,489540)(440000,490000)	chr01	465000	73	0.121464
(761,823)(458290,497075)(450000,500000)	chr01	475000	64	0.140787
(774,823)(472791,497075)(460000,510000)	chr01	485000	51	0.153614
(774,824)(472791,519445)(470000,520000)	chr01	495000	52	0.150979
(787,845)(482579,527912)(480000,530000)	chr01	505000	60	0.126221
(813,845)(490388,527912)(490000,540000)	chr01	515000	34	0.112271
(824,847)(519445,546039)(500000,550000)	chr01	525000	25	0.113897
(824,854)(519445,556579)(510000,560000)	chr01	535000	32	0.109477
(825,861)(520967,567617)(520000,570000)	chr01	545000	38	0.105526
(846,861)(546012,567617)(530000,580000)	chr01	555000	17	0.093411
(846,861)(546012,567617)(540000,590000)	chr01	565000	17	0.093411
(848,877)(553209,598747)(550000,600000)	chr01	575000	31	0.082684
(855,898)(567497,609080)(560000,610000)	chr01	585000	45	0.048666
(862,904)(598538,615712)(570000,620000)	chr01	595000	44	0.036749
(862,918)(598538,629014)(580000,630000)	chr01	605000	58	0.028457
(862,946)(598538,639995)(590000,640000)	chr01	615000	86	0.039832
(878,950)(608808,647580)(600000,650000)	chr01	625000	74	0.032882
(899,950)(615547,647580)(610000,660000)	chr01	635000	53	0.036475
(905,962)(622726,664539)(620000,670000)	chr01	645000	59	0.031738
(919,1029)(631986,679765)(630000,680000)	chr01	655000	112	0.042386
(947,1035)(640931,687635)(640000,690000)	chr01	665000	90	0.041482
(951,1038)(664341,699440)(650000,700000)	chr01	675000	89	0.042762
(951,1060)(664341,705398)(660000,710000)	chr01	685000	111	0.052778
(963,1070)(670057,710536)(670000,720000)	chr01	695000	109	0.063576
(1030,1105)(687435,726176)(680000,730000)	chr01	705000	77	0.094323
(1036,1138)(699339,736121)(690000,740000)	chr01	715000	104	0.082207
(1039,1144)(702035,749383)(700000,750000)	chr01	725000	107	0.084571
(1061,1147)(710398,754850)(710000,760000)	chr01	735000	88	0.090300
(1071,1187)(720265,768507)(720000,770000)	chr01	745000	118	0.075972
(1106,1194)(730423,774383)(730000,780000)	chr01	755000	90	0.079001
(1139,1195)(749258,780712)(740000,790000)	chr01	765000	58	0.089396
(1145,1195)(751549,780712)(750000,800000)	chr01	775000	52	0.084853
(1148,1199)(760149,800296)(760000,810000)	chr01	785000	53	0.072522
(1188,1229)(771638,819725)(770000,820000)	chr01	795000	43	0.112601
(1195,1231)(780712,824471)(780000,830000)	chr01	805000	38	0.113852
(1196,1285)(800261,839979)(790000,840000)	chr01	815000	91	0.103773
(1196,1286)(800261,849991)(800000,850000)	chr01	825000	92	0.103330
(1200,1293)(816740,855718)(810000,860000)	chr01	835000	95	0.096875
(1230,1296)(824403,860813)(820000,870000)	chr01	845000	68	0.086674
(1232,1302)(830052,877821)(830000,880000)	chr01	855000	72	0.110314
(1286,1314)(849991,888203)(840000,890000)	chr01	865000	30	0.204606
(1287,1329)(852666,898885)(850000,900000)	chr01	875000	44	0.190051
(1294,1354)(860727,909640)(860000,910000)	chr01	885000	62	0.152970
(1297,1384)(876147,916778)(870000,920000)	chr01	895000	89	0.126380
(1303,1411)(881512,929364)(880000,930000)	chr01	905000	110	0.091612
(1315,1415)(890743,936207)(890000,940000)	chr01	915000	102	0.079253
(1330,1448)(902874,949937)(900000,950000)	chr01	925000	120	0.113248
(1355,1461)(911188,952812)(910000,960000)	chr01	935000	108	0.113928
(1385,1469)(921481,969688)(920000,970000)	chr01	945000	86	0.114448
(1412,1519)(933153,979790)(930000,980000)	chr01	955000	109	0.098822
(1416,1539)(941192,981690)(940000,990000)	chr01	965000	125	0.085961
(1449,1555)(951051,994392)(950000,1000000)	chr01	975000	108	0.032768
(1462,1557)(964396,1007159)(960000,1010000)	chr01	985000	97	0.027678
(1470,1593)(972160,1019757)(970000,1020000)	chr01	995000	125	0.027998
(1520,1596)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.015451
(1540,1610)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.015444
(1556,1629)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.018879
(1558,1633)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.020137
(1594,1649)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.229337
(1597,1649)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.229403
(1611,1672)(1040190,1088668)(1040000,1090000)	chr01	1065000	63	0.239698
(1630,1672)(1059222,1088668)(1050000,1100000)	chr01	1075000	44	0.261530
(1634,1677)(1060081,1106471)(1060000,1110000)	chr01	1085000	45	0.271220
(1650,1690)(1080464,1118148)(1070000,1120000)	chr01	1095000	42	0.175768
(1650,1702)(1080464,1129684)(1080000,1130000)	chr01	1105000	54	0.146926
(1673,1733)(1106311,1137795)(1090000,1140000)	chr01	1115000	62	0.102514
(1673,1754)(1106311,1148852)(1100000,1150000)	chr01	1125000	83	0.067012
(1678,1756)(1110213,1156484)(1110000,1160000)	chr01	1135000	80	0.071330
(1691,1784)(1125674,1169984)(1120000,1170000)	chr01	1145000	95	0.081313
(1703,1791)(1131938,1175775)(1130000,1180000)	chr01	1155000	90	0.080486
(1734,1795)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.062813
(1755,1802)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.118829
(1757,1810)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.133240
(1785,1824)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.097179
(1792,1824)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.110093
(1796,1843)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.085993
(1803,1851)(1202564,1248625)(1200000,1250000)	chr01	1225000	50	0.113191
(1811,1851)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.087047
(1825,1856)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.101566
(1825,1862)(1230664,1271087)(1230000,1280000)	chr01	1255000	39	0.089969
(1844,1877)(1242138,1287173)(1240000,1290000)	chr01	1265000	35	0.091968
(1852,1880)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.050949
(1852,1923)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.076724
(1857,1931)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.078517
(1863,1940)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.088616
(1878,1964)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.138776
(1881,1999)(1306965,1348194)(1300000,1350000)	chr01	1325000	120	0.219363
(1924,2003)(1311649,1355827)(1310000,1360000)	chr01	1335000	81	0.241711
(1932,2015)(1326979,1369999)(1320000,1370000)	chr01	1345000	85	0.243346
(1941,2040)(1330096,1376926)(1330000,1380000)	chr01	1355000	101	0.217697
(1965,2042)(1340379,1380434)(1340000,1390000)	chr01	1365000	79	0.217876
(2000,2099)(1354558,1399777)(1350000,1400000)	chr01	1375000	101	0.087141
(2004,2136)(1365354,1408031)(1360000,1410000)	chr01	1385000	134	0.094197
(2016,2156)(1370042,1417953)(1370000,1420000)	chr01	1395000	142	0.083755
(2041,2178)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.090989
(2043,2186)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.091073
(2100,2208)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.117056
(2137,2208)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.119845
(2157,2224)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.162110
(2179,2235)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.191236
(2187,2244)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.203467
(2209,2256)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.160558
(2209,2256)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.160558
(2225,2259)(1470369,1518981)(1470000,1520000)	chr01	1495000	36	0.176560
(2236,2285)(1480472,1528219)(1480000,1530000)	chr01	1505000	51	0.112395
(2245,2291)(1494294,1539114)(1490000,1540000)	chr01	1515000	48	0.125381
(2257,2303)(1518851,1541686)(1500000,1550000)	chr01	1525000	48	0.142809
(2257,2310)(1518851,1559963)(1510000,1560000)	chr01	1535000	55	0.136852
(2260,2315)(1520238,1565601)(1520000,1570000)	chr01	1545000	57	0.069778
(2286,2325)(1534100,1576258)(1530000,1580000)	chr01	1555000	41	0.021358
(2292,2337)(1541517,1589999)(1540000,1590000)	chr01	1565000	47	0.030432
(2304,2355)(1557459,1594343)(1550000,1600000)	chr01	1575000	53	0.042427
(2311,2374)(1565554,1609534)(1560000,1610000)	chr01	1585000	65	0.049151
(2316,2395)(1571517,1615954)(1570000,1620000)	chr01	1595000	81	0.067554
(2326,2407)(1582529,1625070)(1580000,1630000)	chr01	1605000	83	0.088852
(2338,2407)(1590004,1625070)(1590000,1640000)	chr01	1615000	71	0.068584
(2356,2437)(1602281,1647959)(1600000,1650000)	chr01	1625000	83	0.078357
(2375,2461)(1614247,1659319)(1610000,1660000)	chr01	1635000	88	0.077429
(2396,2480)(1622917,1668636)(1620000,1670000)	chr01	1645000	86	0.074385
(2408,2512)(1641495,1679436)(1630000,1680000)	chr01	1655000	106	0.069915
(2408,2524)(1641495,1686842)(1640000,1690000)	chr01	1665000	118	0.068906
(2438,2532)(1655037,1699901)(1650000,1700000)	chr01	1675000	96	0.067604
(2462,2536)(1666837,1707624)(1660000,1710000)	chr01	1685000	76	0.070184
(2481,2537)(1672203,1718665)(1670000,1720000)	chr01	1695000	58	0.065637
(2513,2550)(1684895,1726909)(1680000,1730000)	chr01	1705000	39	0.147910
(2525,2591)(1694753,1739508)(1690000,1740000)	chr01	1715000	68	0.124143
(2533,2607)(1707516,1747885)(1700000,1750000)	chr01	1725000	76	0.114391
(2537,2623)(1718665,1759177)(1710000,1760000)	chr01	1735000	88	0.076812
(2538,2652)(1726685,1768287)(1720000,1770000)	chr01	1745000	116	0.056993
(2551,2671)(1730802,1778629)(1730000,1780000)	chr01	1755000	122	0.031526
(2592,2693)(1741381,1788908)(1740000,1790000)	chr01	1765000	103	0.021553
(2608,2693)(1750964,1788908)(1750000,1800000)	chr01	1775000	87	0.015553
(2624,2701)(1760369,1809286)(1760000,1810000)	chr01	1785000	79	0.037694
(2653,2738)(1775143,1819814)(1770000,1820000)	chr01	1795000	87	0.133437
(2672,2770)(1785664,1829936)(1780000,1830000)	chr01	1805000	100	0.165734
(2694,2777)(1808990,1834989)(1790000,1840000)	chr01	1815000	85	0.151788
(2694,2793)(1808990,1845832)(1800000,1850000)	chr01	1825000	101	0.117428
