region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.206975
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.123489
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.183547
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.183180
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.175600
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.157068
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.148598
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.104880
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.097813
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.146711
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.154658
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.211628
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.197235
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.261468
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.204386
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.221520
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.352183
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.367763
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.372098
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.340945
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.323013
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.141578
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.122686
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.130412
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.124001
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.104819
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.177242
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.167434
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.269375
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.270084
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.191339
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.188483
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.202849
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.140792
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.161358
(641,692)(360718,406909)(360000,410000)	chr01	385000	53	0.232477
(649,730)(371165,418272)(370000,420000)	chr01	395000	83	0.213030
(668,739)(384248,426178)(380000,430000)	chr01	405000	73	0.228646
(671,739)(399494,426178)(390000,440000)	chr01	415000	70	0.225899
(679,759)(405929,447446)(400000,450000)	chr01	425000	82	0.298951
(693,772)(412909,458510)(410000,460000)	chr01	435000	81	0.370257
(731,772)(422091,458510)(420000,470000)	chr01	445000	43	0.465631
(740,785)(440021,477626)(430000,480000)	chr01	455000	47	0.382239
(740,811)(440021,489540)(440000,490000)	chr01	465000	73	0.356804
(760,822)(458290,497075)(450000,500000)	chr01	475000	64	0.310391
(773,822)(472791,497075)(460000,510000)	chr01	485000	51	0.130844
(773,823)(472791,519445)(470000,520000)	chr01	495000	52	0.129348
(786,844)(482579,527912)(480000,530000)	chr01	505000	60	0.249351
(812,844)(490388,527912)(490000,540000)	chr01	515000	34	0.269991
(823,846)(519445,546039)(500000,550000)	chr01	525000	25	0.418226
