region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.032500
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.340996
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.387833
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.388136
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.456301
(26,103)(66768,109295)(60000,110000)	chr01	85000	79	0.463317
(33,177)(72927,119227)(70000,120000)	chr01	95000	146	0.451797
(68,202)(99745,121372)(80000,130000)	chr01	105000	136	0.459700
(68,230)(99745,131673)(90000,140000)	chr01	115000	164	0.469097
(70,245)(101120,148599)(100000,150000)	chr01	125000	177	0.419633
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.385495
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.283505
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.283417
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.132278
(246,313)(155765,197658)(150000,200000)	chr01	175000	69	0.276858
(271,338)(165376,204116)(160000,210000)	chr01	185000	69	0.473730
(292,373)(175855,216859)(170000,220000)	chr01	195000	83	0.588596
(299,395)(183430,229717)(180000,230000)	chr01	205000	98	0.572949
(302,395)(193065,229717)(190000,240000)	chr01	215000	95	0.573158
(314,435)(202400,249999)(200000,250000)	chr01	225000	123	0.538949
(339,472)(214936,258347)(210000,260000)	chr01	235000	135	0.472258
(374,491)(224519,268043)(220000,270000)	chr01	245000	119	0.178557
(396,520)(241035,278351)(230000,280000)	chr01	255000	126	0.157623
(396,544)(241035,286093)(240000,290000)	chr01	265000	150	0.158108
(436,553)(250021,296664)(250000,300000)	chr01	275000	119	0.153213
(473,575)(267752,307842)(260000,310000)	chr01	285000	104	0.122798
(492,576)(270347,317230)(270000,320000)	chr01	295000	86	0.182683
(521,588)(281515,324273)(280000,330000)	chr01	305000	69	0.185682
(545,614)(291233,339583)(290000,340000)	chr01	315000	71	0.303353
(554,620)(303105,348196)(300000,350000)	chr01	325000	68	0.306285
(576,638)(317230,359771)(310000,360000)	chr01	335000	64	0.238312
(577,646)(322110,360805)(320000,370000)	chr01	345000	71	0.221377
(589,666)(334023,373127)(330000,380000)	chr01	355000	79	0.185743
(615,669)(342750,384275)(340000,390000)	chr01	365000	56	0.088832
(621,677)(356572,399618)(350000,400000)	chr01	375000	58	0.158867
(639,691)(360718,406909)(360000,410000)	chr01	385000	54	0.218603
(647,729)(371165,418272)(370000,420000)	chr01	395000	84	0.218831
(667,738)(384248,426178)(380000,430000)	chr01	405000	73	0.283929
(670,738)(399494,426178)(390000,440000)	chr01	415000	70	0.282965
(678,758)(405929,447446)(400000,450000)	chr01	425000	82	0.234472
(692,771)(412909,458510)(410000,460000)	chr01	435000	81	0.245224
(730,771)(422091,458510)(420000,470000)	chr01	445000	43	0.269062
(739,781)(440021,476556)(430000,480000)	chr01	455000	44	0.274511
(739,807)(440021,489540)(440000,490000)	chr01	465000	70	0.274770
(759,818)(458290,497075)(450000,500000)	chr01	475000	61	0.296041
(772,818)(472791,497075)(460000,510000)	chr01	485000	48	0.303447
(772,819)(472791,519445)(470000,520000)	chr01	495000	49	0.345945
(782,840)(482579,527912)(480000,530000)	chr01	505000	60	0.293841
(808,840)(490388,527912)(490000,540000)	chr01	515000	34	0.310016
(819,842)(519445,546039)(500000,550000)	chr01	525000	25	0.309137
(819,849)(519445,556579)(510000,560000)	chr01	535000	32	0.342416
(820,856)(520967,567617)(520000,570000)	chr01	545000	38	0.294951
(841,856)(546012,567617)(530000,580000)	chr01	555000	17	0.359309
(841,856)(546012,567617)(540000,590000)	chr01	565000	17	0.359309
(843,872)(553209,598747)(550000,600000)	chr01	575000	31	0.398909
(850,893)(567497,609080)(560000,610000)	chr01	585000	45	0.282243
(857,899)(598538,615712)(570000,620000)	chr01	595000	44	0.379926
(857,913)(598538,629014)(580000,630000)	chr01	605000	58	0.333036
(857,941)(598538,639995)(590000,640000)	chr01	615000	86	0.355471
(873,945)(608808,647580)(600000,650000)	chr01	625000	74	0.355997
(894,945)(615547,647580)(610000,660000)	chr01	635000	53	0.432034
(900,956)(622726,664539)(620000,670000)	chr01	645000	58	0.355277
(914,1023)(631986,679765)(630000,680000)	chr01	655000	111	0.411426
(942,1029)(640931,687635)(640000,690000)	chr01	665000	89	0.400269
(946,1032)(664365,699440)(650000,700000)	chr01	675000	88	0.393617
(946,1054)(664365,705398)(660000,710000)	chr01	685000	110	0.393018
(957,1064)(670057,710536)(670000,720000)	chr01	695000	109	0.371337
(1024,1099)(687435,726176)(680000,730000)	chr01	705000	77	0.224010
(1030,1132)(699339,736121)(690000,740000)	chr01	715000	104	0.175135
(1033,1138)(702035,749383)(700000,750000)	chr01	725000	107	0.162587
(1055,1141)(710398,754850)(710000,760000)	chr01	735000	88	0.105289
(1065,1181)(720265,768507)(720000,770000)	chr01	745000	118	0.136934
(1100,1188)(730423,774383)(730000,780000)	chr01	755000	90	0.134951
(1133,1189)(749258,780712)(740000,790000)	chr01	765000	58	0.186070
(1139,1189)(751549,780712)(750000,800000)	chr01	775000	52	0.221115
(1142,1193)(760149,800296)(760000,810000)	chr01	785000	53	0.163505
(1182,1223)(771638,819725)(770000,820000)	chr01	795000	43	0.029043
(1189,1225)(780712,824471)(780000,830000)	chr01	805000	38	0.027222
(1190,1279)(800261,839979)(790000,840000)	chr01	815000	91	0.073685
(1190,1280)(800261,849991)(800000,850000)	chr01	825000	92	0.073535
(1194,1287)(816740,855718)(810000,860000)	chr01	835000	95	0.068398
(1224,1290)(824403,860813)(820000,870000)	chr01	845000	68	0.097838
(1226,1296)(830052,877821)(830000,880000)	chr01	855000	72	0.097486
(1280,1308)(849991,888203)(840000,890000)	chr01	865000	30	0.106024
(1281,1323)(852666,898885)(850000,900000)	chr01	875000	44	0.137212
(1288,1348)(860727,909640)(860000,910000)	chr01	885000	62	0.093221
(1291,1378)(876147,916778)(870000,920000)	chr01	895000	89	0.084102
(1297,1405)(881512,929364)(880000,930000)	chr01	905000	110	0.103961
(1309,1409)(890743,936207)(890000,940000)	chr01	915000	102	0.102752
(1324,1442)(902874,949937)(900000,950000)	chr01	925000	120	0.115552
(1349,1455)(911188,952812)(910000,960000)	chr01	935000	108	0.124964
(1379,1463)(921481,969688)(920000,970000)	chr01	945000	86	0.136883
(1406,1513)(933153,979790)(930000,980000)	chr01	955000	109	0.126360
(1410,1533)(941192,981690)(940000,990000)	chr01	965000	125	0.102330
(1443,1549)(951051,994392)(950000,1000000)	chr01	975000	108	0.072986
(1456,1551)(964396,1007159)(960000,1010000)	chr01	985000	97	0.069588
(1464,1587)(972160,1019757)(970000,1020000)	chr01	995000	125	0.066519
(1514,1590)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.032077
(1534,1604)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.052823
(1550,1623)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.088913
(1552,1627)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.091485
(1588,1639)(1023745,1067383)(1020000,1070000)	chr01	1045000	53	0.127547
(1591,1639)(1030079,1067383)(1030000,1080000)	chr01	1055000	50	0.123200
(1605,1662)(1040190,1088668)(1040000,1090000)	chr01	1065000	59	0.212029
(1624,1662)(1059222,1088668)(1050000,1100000)	chr01	1075000	40	0.201676
(1628,1667)(1060081,1106471)(1060000,1110000)	chr01	1085000	41	0.206990
(1640,1680)(1080464,1118148)(1070000,1120000)	chr01	1095000	42	0.260375
(1640,1692)(1080464,1129684)(1080000,1130000)	chr01	1105000	54	0.254265
(1663,1723)(1106311,1137795)(1090000,1140000)	chr01	1115000	62	0.098361
(1663,1744)(1106311,1148852)(1100000,1150000)	chr01	1125000	83	0.130366
(1668,1746)(1110213,1156484)(1110000,1160000)	chr01	1135000	80	0.129092
(1681,1774)(1125674,1169984)(1120000,1170000)	chr01	1145000	95	0.131412
(1693,1781)(1131938,1175775)(1130000,1180000)	chr01	1155000	90	0.124038
(1724,1785)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.137868
(1745,1792)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.103250
(1747,1800)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.121260
(1775,1814)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.101314
(1782,1814)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.121454
(1786,1833)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.112042
(1793,1841)(1202564,1248625)(1200000,1250000)	chr01	1225000	50	0.241865
(1801,1841)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.254456
(1815,1846)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.318594
(1815,1852)(1230664,1271087)(1230000,1280000)	chr01	1255000	39	0.261198
(1834,1867)(1242138,1287173)(1240000,1290000)	chr01	1265000	35	0.228496
(1842,1870)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.106284
(1842,1913)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.126591
(1847,1921)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.107519
(1853,1930)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.127161
(1868,1954)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.122202
(1871,1989)(1306965,1348194)(1300000,1350000)	chr01	1325000	120	0.106299
(1914,1993)(1311649,1355827)(1310000,1360000)	chr01	1335000	81	0.087342
(1922,2005)(1326979,1369999)(1320000,1370000)	chr01	1345000	85	0.074671
(1931,2030)(1330096,1376926)(1330000,1380000)	chr01	1355000	101	0.068321
(1955,2032)(1340379,1380434)(1340000,1390000)	chr01	1365000	79	0.068736
(1990,2089)(1354558,1399777)(1350000,1400000)	chr01	1375000	101	0.073660
(1994,2126)(1365354,1408031)(1360000,1410000)	chr01	1385000	134	0.088997
(2006,2146)(1370042,1417953)(1370000,1420000)	chr01	1395000	142	0.116311
(2031,2168)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.136679
(2033,2176)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.147679
(2090,2198)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.198312
(2127,2198)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.211198
(2147,2214)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.217879
(2169,2225)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.223752
(2177,2234)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.201474
(2199,2246)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.175394
(2199,2246)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.175394
(2215,2248)(1470369,1518877)(1470000,1520000)	chr01	1495000	35	0.186885
(2226,2274)(1480472,1528219)(1480000,1530000)	chr01	1505000	50	0.167804
(2235,2280)(1494294,1539114)(1490000,1540000)	chr01	1515000	47	0.170765
(2247,2292)(1518851,1541686)(1500000,1550000)	chr01	1525000	47	0.193047
(2247,2299)(1518851,1559963)(1510000,1560000)	chr01	1535000	54	0.187473
(2249,2304)(1520238,1565601)(1520000,1570000)	chr01	1545000	57	0.086877
(2275,2314)(1534100,1576258)(1530000,1580000)	chr01	1555000	41	0.013601
(2281,2326)(1541517,1589999)(1540000,1590000)	chr01	1565000	47	0.025229
(2293,2344)(1557459,1594343)(1550000,1600000)	chr01	1575000	53	0.029938
(2300,2363)(1565554,1609534)(1560000,1610000)	chr01	1585000	65	0.097356
(2305,2384)(1571517,1615954)(1570000,1620000)	chr01	1595000	81	0.128719
(2315,2396)(1582529,1625070)(1580000,1630000)	chr01	1605000	83	0.164009
(2327,2396)(1590004,1625070)(1590000,1640000)	chr01	1615000	71	0.152025
(2345,2426)(1602281,1647959)(1600000,1650000)	chr01	1625000	83	0.200458
(2364,2450)(1614247,1659319)(1610000,1660000)	chr01	1635000	88	0.143053
(2385,2469)(1622917,1668636)(1620000,1670000)	chr01	1645000	86	0.084623
(2397,2501)(1641495,1679436)(1630000,1680000)	chr01	1655000	106	0.063396
(2397,2513)(1641495,1686842)(1640000,1690000)	chr01	1665000	118	0.059922
(2427,2521)(1655037,1699901)(1650000,1700000)	chr01	1675000	96	0.049805
(2451,2525)(1666837,1707624)(1660000,1710000)	chr01	1685000	76	0.057015
(2470,2526)(1672203,1718665)(1670000,1720000)	chr01	1695000	58	0.061684
(2502,2539)(1684895,1726909)(1680000,1730000)	chr01	1705000	39	0.047527
(2514,2580)(1694753,1739508)(1690000,1740000)	chr01	1715000	68	0.050525
(2522,2596)(1707516,1747885)(1700000,1750000)	chr01	1725000	76	0.087970
(2526,2612)(1718665,1759177)(1710000,1760000)	chr01	1735000	88	0.121531
(2527,2641)(1726685,1768287)(1720000,1770000)	chr01	1745000	116	0.100088
(2540,2660)(1730802,1778629)(1730000,1780000)	chr01	1755000	122	0.141393
(2581,2682)(1741381,1788908)(1740000,1790000)	chr01	1765000	103	0.169862
(2597,2682)(1750964,1788908)(1750000,1800000)	chr01	1775000	87	0.153578
(2613,2690)(1760369,1809286)(1760000,1810000)	chr01	1785000	79	0.116716
(2642,2727)(1775143,1819814)(1770000,1820000)	chr01	1795000	87	0.294407
(2661,2759)(1785664,1829936)(1780000,1830000)	chr01	1805000	100	0.330568
(2683,2766)(1808990,1834989)(1790000,1840000)	chr01	1815000	85	0.419090
(2683,2782)(1808990,1845832)(1800000,1850000)	chr01	1825000	101	0.334544
(2691,2791)(1810148,1857922)(1810000,1860000)	chr01	1835000	102	0.286846
(2728,2791)(1820045,1857922)(1820000,1870000)	chr01	1845000	65	0.287655
(2760,2792)(1833262,1874016)(1830000,1880000)	chr01	1855000	34	0.235696
(2767,2817)(1844345,1886510)(1840000,1890000)	chr01	1865000	52	0.070641
(2783,2820)(1857713,1891379)(1850000,1900000)	chr01	1875000	39	0.099601
(2792,2820)(1874016,1891379)(1860000,1910000)	chr01	1885000	30	0.151579
(2792,2820)(1874016,1891379)(1870000,1920000)	chr01	1895000	30	0.151579
(2793,2834)(1882508,1927820)(1880000,1930000)	chr01	1905000	43	0.162051
(2818,2843)(1891326,1938492)(1890000,1940000)	chr01	1915000	27	0.206367
(2821,2846)(1921289,1943645)(1900000,1950000)	chr01	1925000	27	0.214085
(2821,2857)(1921289,1959486)(1910000,1960000)	chr01	1935000	38	0.178384
(2821,2860)(1921289,1968482)(1920000,1970000)	chr01	1945000	41	0.160797
(2835,2891)(1937045,1976145)(1930000,1980000)	chr01	1955000	58	0.181787
(2844,2899)(1943618,1985957)(1940000,1990000)	chr01	1965000	57	0.156410
(2847,2900)(1959324,1997703)(1950000,2000000)	chr01	1975000	55	0.152385
(2858,2906)(1968396,2005901)(1960000,2010000)	chr01	1985000	50	0.167851
(2861,2933)(1973922,2016645)(1970000,2020000)	chr01	1995000	74	0.180373
(2892,2943)(1985852,2024923)(1980000,2030000)	chr01	2005000	53	0.093952
(2900,2969)(1997703,2038800)(1990000,2040000)	chr01	2015000	71	0.379146
(2901,2972)(2005804,2048565)(2000000,2050000)	chr01	2025000	73	0.389085
(2907,2973)(2010476,2056981)(2010000,2060000)	chr01	2035000	68	0.394541
(2934,2981)(2022428,2065186)(2020000,2070000)	chr01	2045000	49	0.381843
(2944,2999)(2030685,2075408)(2030000,2080000)	chr01	2055000	57	0.344864
(2970,3030)(2048522,2089758)(2040000,2090000)	chr01	2065000	62	0.191854
(2973,3032)(2056981,2098350)(2050000,2100000)	chr01	2075000	61	0.191802
(2974,3046)(2064938,2104411)(2060000,2110000)	chr01	2085000	74	0.176305
(2982,3075)(2072783,2119863)(2070000,2120000)	chr01	2095000	95	0.090328
(3000,3075)(2083605,2119863)(2080000,2130000)	chr01	2105000	77	0.083692
(3031,3082)(2098323,2135516)(2090000,2140000)	chr01	2115000	53	0.086989
