region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.733775
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.734058
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.708437
(24,101)(66768,109295)(60000,110000)	chr01	85000	79	0.696550
(31,175)(72927,119227)(70000,120000)	chr01	95000	146	0.540884
(66,200)(99745,121372)(80000,130000)	chr01	105000	136	0.474108
(66,228)(99745,131673)(90000,140000)	chr01	115000	164	0.452479
(68,243)(101120,148599)(100000,150000)	chr01	125000	177	0.458091
(102,268)(112439,159252)(110000,160000)	chr01	135000	168	0.404858
(176,289)(121114,169571)(120000,170000)	chr01	145000	115	0.463167
(201,296)(130856,175991)(130000,180000)	chr01	155000	97	0.508366
(229,299)(146066,183449)(140000,190000)	chr01	165000	72	0.591147
(244,311)(155765,197658)(150000,200000)	chr01	175000	69	0.626501
(269,336)(165376,204116)(160000,210000)	chr01	185000	69	0.463264
(290,371)(175855,216859)(170000,220000)	chr01	195000	83	0.493993
(297,393)(183430,229717)(180000,230000)	chr01	205000	98	0.548471
(300,393)(193065,229717)(190000,240000)	chr01	215000	95	0.550630
(312,431)(202400,249999)(200000,250000)	chr01	225000	121	0.558938
(337,468)(214936,258347)(210000,260000)	chr01	235000	133	0.563223
(372,487)(224519,268043)(220000,270000)	chr01	245000	117	0.632193
(394,514)(241035,278351)(230000,280000)	chr01	255000	122	0.605818
(394,528)(241035,286071)(240000,290000)	chr01	265000	136	0.619074
(432,532)(250021,291347)(250000,300000)	chr01	275000	102	0.635097
(469,551)(267752,307842)(260000,310000)	chr01	285000	84	0.669748
(488,551)(270347,307842)(270000,320000)	chr01	295000	65	0.616235
(515,563)(284710,324273)(280000,330000)	chr01	305000	50	0.651603
(529,589)(291296,339583)(290000,340000)	chr01	315000	62	0.587305
(533,595)(303105,348196)(300000,350000)	chr01	325000	64	0.598628
(552,613)(322110,359771)(310000,360000)	chr01	335000	63	0.562560
