region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.187512
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.295803
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.335726
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.335831
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.368235
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.346009
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.268142
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.203498
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.189199
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.174723
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.127850
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.139459
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.145773
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.160906
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.272351
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.250294
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.338416
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.303728
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.303849
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.251385
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.271927
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.101946
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.113324
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.119014
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.115798
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.088182
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.117380
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.123963
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.185846
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.227365
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.172298
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.183985
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.208170
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.167467
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.140057
(641,692)(360718,406909)(360000,410000)	chr01	385000	53	0.182624
(649,730)(371165,418272)(370000,420000)	chr01	395000	83	0.151861
(668,739)(384248,426178)(380000,430000)	chr01	405000	73	0.127430
(671,739)(399494,426178)(390000,440000)	chr01	415000	70	0.129046
(679,759)(405929,447446)(400000,450000)	chr01	425000	82	0.295341
(693,772)(412909,458510)(410000,460000)	chr01	435000	81	0.289284
(731,772)(422091,458510)(420000,470000)	chr01	445000	43	0.392010
(740,785)(440021,477626)(430000,480000)	chr01	455000	47	0.364624
(740,811)(440021,489540)(440000,490000)	chr01	465000	73	0.353212
(760,822)(458290,497075)(450000,500000)	chr01	475000	64	0.200383
(773,822)(472791,497075)(460000,510000)	chr01	485000	51	0.228666
(773,823)(472791,519445)(470000,520000)	chr01	495000	52	0.226068
(786,844)(482579,527912)(480000,530000)	chr01	505000	60	0.243102
(812,844)(490388,527912)(490000,540000)	chr01	515000	34	0.235341
(823,846)(519445,546039)(500000,550000)	chr01	525000	25	0.323972
(823,853)(519445,556579)(510000,560000)	chr01	535000	32	0.291192
(824,860)(520967,567617)(520000,570000)	chr01	545000	38	0.288916
(845,860)(546012,567617)(530000,580000)	chr01	555000	17	0.336272
(845,860)(546012,567617)(540000,590000)	chr01	565000	17	0.336272
(847,876)(553209,598747)(550000,600000)	chr01	575000	31	0.178129
(854,897)(567497,609080)(560000,610000)	chr01	585000	45	0.189820
(861,903)(598538,615712)(570000,620000)	chr01	595000	44	0.192394
(861,917)(598538,629014)(580000,630000)	chr01	605000	58	0.150327
(861,945)(598538,639995)(590000,640000)	chr01	615000	86	0.138775
(877,949)(608808,647580)(600000,650000)	chr01	625000	74	0.198765
(898,949)(615547,647580)(610000,660000)	chr01	635000	53	0.204450
(904,961)(622726,664539)(620000,670000)	chr01	645000	59	0.204843
(918,1028)(631986,679765)(630000,680000)	chr01	655000	112	0.293944
(946,1034)(640931,687635)(640000,690000)	chr01	665000	90	0.313156
(950,1037)(664341,699440)(650000,700000)	chr01	675000	89	0.290567
(950,1051)(664341,705398)(660000,710000)	chr01	685000	103	0.294782
(962,1061)(670057,710536)(670000,720000)	chr01	695000	101	0.353431
(1029,1096)(687435,726176)(680000,730000)	chr01	705000	69	0.395595
(1035,1129)(699339,736121)(690000,740000)	chr01	715000	96	0.306539
(1038,1135)(702035,749383)(700000,750000)	chr01	725000	99	0.306695
