region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.569302
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.550158
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.449289
(24,101)(66768,109295)(60000,110000)	chr01	85000	79	0.471942
(31,175)(72927,119227)(70000,120000)	chr01	95000	146	0.432729
(66,200)(99745,121372)(80000,130000)	chr01	105000	136	0.398894
(66,228)(99745,131673)(90000,140000)	chr01	115000	164	0.386010
(68,243)(101120,148599)(100000,150000)	chr01	125000	177	0.386196
(102,268)(112439,159252)(110000,160000)	chr01	135000	168	0.351719
(176,289)(121114,169571)(120000,170000)	chr01	145000	115	0.329098
(201,296)(130856,175991)(130000,180000)	chr01	155000	97	0.360263
(229,299)(146066,183449)(140000,190000)	chr01	165000	72	0.424892
(244,311)(155765,197658)(150000,200000)	chr01	175000	69	0.371898
(269,336)(165376,204116)(160000,210000)	chr01	185000	69	0.383984
(290,371)(175855,216859)(170000,220000)	chr01	195000	83	0.441691
(297,393)(183430,229717)(180000,230000)	chr01	205000	98	0.490486
(300,393)(193065,229717)(190000,240000)	chr01	215000	95	0.474734
(312,431)(202400,249999)(200000,250000)	chr01	225000	121	0.629955
(337,468)(214936,258347)(210000,260000)	chr01	235000	133	0.648896
(372,487)(224519,268043)(220000,270000)	chr01	245000	117	0.739781
(394,514)(241035,278351)(230000,280000)	chr01	255000	122	0.755574
(394,528)(241035,286071)(240000,290000)	chr01	265000	136	0.747070
(432,532)(250021,291347)(250000,300000)	chr01	275000	102	0.709870
(469,551)(267752,307842)(260000,310000)	chr01	285000	84	0.749678
(488,551)(270347,307842)(270000,320000)	chr01	295000	65	0.731923
(515,563)(284710,324273)(280000,330000)	chr01	305000	50	0.753545
(529,589)(291296,339583)(290000,340000)	chr01	315000	62	0.762396
(533,595)(303105,348196)(300000,350000)	chr01	325000	64	0.753734
(552,613)(322110,359771)(310000,360000)	chr01	335000	63	0.688910
(552,621)(322110,360805)(320000,370000)	chr01	345000	71	0.694552
(564,641)(334023,373127)(330000,380000)	chr01	355000	79	0.606198
(590,644)(342750,384275)(340000,390000)	chr01	365000	56	0.594691
(596,652)(356572,399618)(350000,400000)	chr01	375000	58	0.592257
(614,662)(360718,406909)(360000,410000)	chr01	385000	50	0.645053
(622,696)(371165,418272)(370000,420000)	chr01	395000	76	0.573581
(642,705)(384248,426178)(380000,430000)	chr01	405000	65	0.600032
(645,705)(399494,426178)(390000,440000)	chr01	415000	62	0.570175
(653,713)(405929,447272)(400000,450000)	chr01	425000	62	0.560826
(663,726)(413073,458510)(410000,460000)	chr01	435000	65	0.554426
(697,726)(422091,458510)(420000,470000)	chr01	445000	31	0.602811
(706,739)(447168,477626)(430000,480000)	chr01	455000	35	0.555683
(706,763)(447168,489540)(440000,490000)	chr01	465000	59	0.557670
(714,773)(458290,497021)(450000,500000)	chr01	475000	61	0.603238
(727,773)(472791,497021)(460000,510000)	chr01	485000	48	0.568017
(727,774)(472791,519445)(470000,520000)	chr01	495000	49	0.562829
(740,795)(484534,527912)(480000,530000)	chr01	505000	57	0.535924
(764,795)(490388,527912)(490000,540000)	chr01	515000	33	0.503614
(774,797)(519445,546039)(500000,550000)	chr01	525000	25	0.378490
(774,804)(519445,556579)(510000,560000)	chr01	535000	32	0.429227
(775,811)(520967,567617)(520000,570000)	chr01	545000	38	0.363457
(796,811)(546012,567617)(530000,580000)	chr01	555000	17	0.340515
(796,811)(546012,567617)(540000,590000)	chr01	565000	17	0.340515
(798,827)(553209,598747)(550000,600000)	chr01	575000	31	0.296497
(805,848)(567497,609080)(560000,610000)	chr01	585000	45	0.294008
(812,851)(598538,615712)(570000,620000)	chr01	595000	41	0.330177
(812,864)(598538,625368)(580000,630000)	chr01	605000	54	0.291815
(812,892)(598538,639995)(590000,640000)	chr01	615000	82	0.419514
(828,896)(608808,647580)(600000,650000)	chr01	625000	70	0.433019
(849,896)(615678,647580)(610000,660000)	chr01	635000	49	0.441681
(852,908)(622726,664539)(620000,670000)	chr01	645000	58	0.392669
(865,975)(631986,679765)(630000,680000)	chr01	655000	112	0.381531
(893,981)(640931,687635)(640000,690000)	chr01	665000	90	0.301963
(897,984)(664341,699440)(650000,700000)	chr01	675000	89	0.307147
(897,1006)(664341,705398)(660000,710000)	chr01	685000	111	0.308838
(909,1016)(670057,710536)(670000,720000)	chr01	695000	109	0.329980
(976,1051)(687435,726176)(680000,730000)	chr01	705000	77	0.393947
(982,1084)(699339,736121)(690000,740000)	chr01	715000	104	0.361914
(985,1090)(702035,749383)(700000,750000)	chr01	725000	107	0.358820
(1007,1093)(710398,754850)(710000,760000)	chr01	735000	88	0.382009
(1017,1129)(720265,768507)(720000,770000)	chr01	745000	114	0.514573
(1052,1136)(730423,774383)(730000,780000)	chr01	755000	86	0.519836
(1085,1137)(749258,780712)(740000,790000)	chr01	765000	54	0.610327
(1091,1137)(751549,780712)(750000,800000)	chr01	775000	48	0.622295
(1094,1141)(760149,800296)(760000,810000)	chr01	785000	49	0.632489
(1130,1171)(771638,819725)(770000,820000)	chr01	795000	43	0.549698
(1137,1173)(780712,824471)(780000,830000)	chr01	805000	38	0.561057
(1138,1226)(800261,839979)(790000,840000)	chr01	815000	90	0.609754
(1138,1227)(800261,849991)(800000,850000)	chr01	825000	91	0.608358
(1142,1234)(816740,855718)(810000,860000)	chr01	835000	94	0.629706
(1172,1237)(824403,860813)(820000,870000)	chr01	845000	67	0.657648
(1174,1243)(830052,877821)(830000,880000)	chr01	855000	71	0.643657
(1227,1251)(849991,888203)(840000,890000)	chr01	865000	26	0.636106
(1228,1257)(852666,898756)(850000,900000)	chr01	875000	31	0.626589
(1235,1282)(860727,909640)(860000,910000)	chr01	885000	49	0.423158
(1238,1312)(876147,916778)(870000,920000)	chr01	895000	76	0.432710
(1244,1339)(885386,929364)(880000,930000)	chr01	905000	97	0.402295
(1252,1343)(890743,936207)(890000,940000)	chr01	915000	93	0.375970
(1258,1376)(902874,949937)(900000,950000)	chr01	925000	120	0.514621
(1283,1389)(911188,952812)(910000,960000)	chr01	935000	108	0.513516
(1313,1397)(921481,969688)(920000,970000)	chr01	945000	86	0.521390
(1340,1447)(933153,979790)(930000,980000)	chr01	955000	109	0.535761
(1344,1467)(941192,981690)(940000,990000)	chr01	965000	125	0.536376
(1377,1483)(951051,994392)(950000,1000000)	chr01	975000	108	0.462811
(1390,1485)(964396,1007159)(960000,1010000)	chr01	985000	97	0.467822
(1398,1521)(972160,1019757)(970000,1020000)	chr01	995000	125	0.558224
(1448,1524)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.635699
(1468,1538)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.664528
(1484,1557)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.697948
(1486,1561)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.733618
(1522,1577)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.767793
(1525,1577)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.767875
(1539,1599)(1040190,1088668)(1040000,1090000)	chr01	1065000	62	0.837837
(1558,1599)(1059222,1088668)(1050000,1100000)	chr01	1075000	43	0.832008
(1562,1604)(1060081,1106471)(1060000,1110000)	chr01	1085000	44	0.813121
(1578,1618)(1080464,1118148)(1070000,1120000)	chr01	1095000	42	0.750031
(1578,1630)(1080464,1129684)(1080000,1130000)	chr01	1105000	54	0.749642
(1600,1661)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.534433
(1600,1682)(1106311,1148852)(1100000,1150000)	chr01	1125000	84	0.492848
(1605,1684)(1110213,1156484)(1110000,1160000)	chr01	1135000	81	0.488617
(1619,1711)(1125674,1169984)(1120000,1170000)	chr01	1145000	94	0.513722
(1631,1718)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.425609
(1662,1722)(1141378,1187811)(1140000,1190000)	chr01	1165000	62	0.437016
(1683,1729)(1156468,1197035)(1150000,1200000)	chr01	1175000	48	0.462274
