region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.435364
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.396470
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.331645
(24,102)(66768,109295)(60000,110000)	chr01	85000	80	0.457102
(31,176)(72927,119227)(70000,120000)	chr01	95000	147	0.433875
(66,201)(99745,121372)(80000,130000)	chr01	105000	137	0.463668
(66,229)(99745,131673)(90000,140000)	chr01	115000	165	0.473717
(68,244)(101120,148599)(100000,150000)	chr01	125000	178	0.485666
(103,269)(112439,159252)(110000,160000)	chr01	135000	168	0.459420
(177,290)(121114,169571)(120000,170000)	chr01	145000	115	0.485848
(202,297)(130856,175991)(130000,180000)	chr01	155000	97	0.503078
(230,300)(146066,183449)(140000,190000)	chr01	165000	72	0.481242
(245,312)(155765,197658)(150000,200000)	chr01	175000	69	0.381938
(270,337)(165376,204116)(160000,210000)	chr01	185000	69	0.597845
(291,371)(175855,216832)(170000,220000)	chr01	195000	82	0.744031
(298,393)(183430,229717)(180000,230000)	chr01	205000	97	0.758400
(301,393)(193065,229717)(190000,240000)	chr01	215000	94	0.771675
(313,433)(202400,249999)(200000,250000)	chr01	225000	122	0.740613
(338,470)(214936,258347)(210000,260000)	chr01	235000	134	0.681207
(372,489)(224519,268043)(220000,270000)	chr01	245000	119	0.502561
(394,518)(241035,278351)(230000,280000)	chr01	255000	126	0.430730
(394,542)(241035,286093)(240000,290000)	chr01	265000	150	0.431199
(434,551)(250021,296664)(250000,300000)	chr01	275000	119	0.377082
(471,573)(267752,307842)(260000,310000)	chr01	285000	104	0.327351
(490,574)(270347,317230)(270000,320000)	chr01	295000	86	0.459399
(519,586)(281515,324273)(280000,330000)	chr01	305000	69	0.471198
(543,606)(291233,339583)(290000,340000)	chr01	315000	65	0.660696
(552,612)(303105,348196)(300000,350000)	chr01	325000	62	0.681845
(574,629)(317230,359771)(310000,360000)	chr01	335000	57	0.686294
(575,637)(322110,360805)(320000,370000)	chr01	345000	64	0.663488
(587,656)(336747,373127)(330000,380000)	chr01	355000	71	0.649486
(607,659)(342750,384275)(340000,390000)	chr01	365000	54	0.605321
(613,667)(356572,399618)(350000,400000)	chr01	375000	56	0.530986
(630,675)(360718,406909)(360000,410000)	chr01	385000	47	0.603241
(638,704)(371165,418272)(370000,420000)	chr01	395000	68	0.531332
(657,713)(384248,426178)(380000,430000)	chr01	405000	58	0.609748
(660,713)(399494,426178)(390000,440000)	chr01	415000	55	0.569229
(668,733)(405929,447446)(400000,450000)	chr01	425000	67	0.591151
(676,746)(412986,458510)(410000,460000)	chr01	435000	72	0.504581
(705,746)(422091,458510)(420000,470000)	chr01	445000	43	0.577277
(714,759)(440021,477626)(430000,480000)	chr01	455000	47	0.410436
(714,761)(440021,482581)(440000,490000)	chr01	465000	49	0.413192
(734,764)(458290,497075)(450000,500000)	chr01	475000	32	0.371376
(747,764)(472791,497075)(460000,510000)	chr01	485000	19	0.439183
(747,765)(472791,519445)(470000,520000)	chr01	495000	20	0.426078
(760,786)(482579,527912)(480000,530000)	chr01	505000	28	0.295275
(762,786)(496996,527912)(490000,540000)	chr01	515000	26	0.284979
(765,788)(519445,546039)(500000,550000)	chr01	525000	25	0.384609
(765,795)(519445,556579)(510000,560000)	chr01	535000	32	0.367467
(766,802)(520967,567617)(520000,570000)	chr01	545000	38	0.348028
(787,802)(546012,567617)(530000,580000)	chr01	555000	17	0.406752
(787,802)(546012,567617)(540000,590000)	chr01	565000	17	0.406752
(789,818)(553209,598747)(550000,600000)	chr01	575000	31	0.338370
(796,839)(567497,609080)(560000,610000)	chr01	585000	45	0.382646
(803,845)(598538,615712)(570000,620000)	chr01	595000	44	0.461370
(803,859)(598538,629014)(580000,630000)	chr01	605000	58	0.593474
(803,881)(598538,639995)(590000,640000)	chr01	615000	80	0.606620
(819,885)(608808,647580)(600000,650000)	chr01	625000	68	0.617694
(840,885)(615547,647580)(610000,660000)	chr01	635000	47	0.675705
(846,897)(622726,664539)(620000,670000)	chr01	645000	53	0.652983
(860,964)(631986,679765)(630000,680000)	chr01	655000	106	0.580312
(882,964)(640931,679765)(640000,690000)	chr01	665000	84	0.567359
(886,967)(664341,699440)(650000,700000)	chr01	675000	83	0.567976
(886,988)(664341,705398)(660000,710000)	chr01	685000	104	0.529074
(898,998)(670057,710536)(670000,720000)	chr01	695000	102	0.499123
(965,1033)(699339,726176)(680000,730000)	chr01	705000	70	0.421293
(965,1066)(699339,736121)(690000,740000)	chr01	715000	103	0.371309
(968,1072)(702087,749383)(700000,750000)	chr01	725000	106	0.363043
(989,1075)(710398,754850)(710000,760000)	chr01	735000	88	0.380499
(999,1115)(720265,768507)(720000,770000)	chr01	745000	118	0.363437
(1034,1122)(730423,774383)(730000,780000)	chr01	755000	90	0.264832
(1067,1123)(749258,780712)(740000,790000)	chr01	765000	58	0.247748
(1073,1123)(751549,780712)(750000,800000)	chr01	775000	52	0.259229
(1076,1127)(760149,800296)(760000,810000)	chr01	785000	53	0.423292
(1116,1157)(771638,819725)(770000,820000)	chr01	795000	43	0.558865
(1123,1159)(780712,824471)(780000,830000)	chr01	805000	38	0.589084
(1124,1211)(800261,839943)(790000,840000)	chr01	815000	89	0.571925
(1124,1212)(800261,849991)(800000,850000)	chr01	825000	90	0.570135
(1128,1219)(816740,855718)(810000,860000)	chr01	835000	93	0.537347
(1158,1222)(824403,860813)(820000,870000)	chr01	845000	66	0.545432
(1160,1228)(830052,877821)(830000,880000)	chr01	855000	70	0.545637
(1212,1240)(849991,888203)(840000,890000)	chr01	865000	30	0.598652
(1213,1251)(852666,898885)(850000,900000)	chr01	875000	40	0.733861
(1220,1276)(860727,909640)(860000,910000)	chr01	885000	58	0.631368
(1223,1306)(876147,916778)(870000,920000)	chr01	895000	85	0.535988
(1229,1333)(881512,929364)(880000,930000)	chr01	905000	106	0.484375
(1241,1337)(892660,936207)(890000,940000)	chr01	915000	98	0.449737
(1252,1370)(902874,949937)(900000,950000)	chr01	925000	120	0.425876
(1277,1383)(911188,952812)(910000,960000)	chr01	935000	108	0.400492
(1307,1391)(921481,969688)(920000,970000)	chr01	945000	86	0.452344
(1334,1441)(933153,979790)(930000,980000)	chr01	955000	109	0.444814
(1338,1461)(941192,981690)(940000,990000)	chr01	965000	125	0.471034
(1371,1477)(951051,994392)(950000,1000000)	chr01	975000	108	0.452307
(1384,1479)(964396,1007159)(960000,1010000)	chr01	985000	97	0.479086
(1392,1515)(972160,1019757)(970000,1020000)	chr01	995000	125	0.436597
(1442,1518)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.491994
(1462,1532)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.396366
(1478,1551)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.391371
(1480,1555)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.386216
(1516,1571)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.741818
(1519,1571)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.743082
(1533,1594)(1040190,1088668)(1040000,1090000)	chr01	1065000	63	0.759901
(1552,1594)(1059222,1088668)(1050000,1100000)	chr01	1075000	44	0.775026
(1556,1599)(1060081,1106471)(1060000,1110000)	chr01	1085000	45	0.756470
(1572,1613)(1080464,1118148)(1070000,1120000)	chr01	1095000	43	0.648156
(1572,1625)(1080464,1129684)(1080000,1130000)	chr01	1105000	55	0.694120
(1595,1656)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.586454
(1595,1677)(1106311,1148852)(1100000,1150000)	chr01	1125000	84	0.542022
(1600,1679)(1110213,1156484)(1110000,1160000)	chr01	1135000	81	0.554624
(1614,1707)(1125674,1169984)(1120000,1170000)	chr01	1145000	95	0.602187
(1626,1714)(1131938,1175775)(1130000,1180000)	chr01	1155000	90	0.532710
(1657,1718)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.569234
(1678,1725)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.663128
(1680,1733)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.732731
(1708,1747)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.631009
(1715,1747)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.716027
(1719,1766)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.592387
(1726,1774)(1202564,1248625)(1200000,1250000)	chr01	1225000	50	0.593817
(1734,1774)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.422360
(1748,1779)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.272835
(1748,1785)(1230664,1271087)(1230000,1280000)	chr01	1255000	39	0.272179
(1767,1800)(1242138,1287173)(1240000,1290000)	chr01	1265000	35	0.321280
(1775,1803)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.290954
(1775,1846)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.444361
(1780,1854)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.423070
(1786,1863)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.422119
(1801,1887)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.407763
(1804,1921)(1306965,1348194)(1300000,1350000)	chr01	1325000	119	0.406213
(1847,1925)(1311649,1355827)(1310000,1360000)	chr01	1335000	80	0.291457
(1855,1937)(1326979,1369999)(1320000,1370000)	chr01	1345000	84	0.359886
(1864,1960)(1330096,1376926)(1330000,1380000)	chr01	1355000	98	0.427872
(1888,1962)(1340379,1380434)(1340000,1390000)	chr01	1365000	76	0.480248
(1922,2019)(1354558,1399777)(1350000,1400000)	chr01	1375000	99	0.357687
(1926,2056)(1365354,1408031)(1360000,1410000)	chr01	1385000	132	0.324058
(1938,2076)(1370042,1417953)(1370000,1420000)	chr01	1395000	140	0.363932
(1961,2098)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.483193
(1963,2106)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.498762
(2020,2128)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.595848
(2057,2128)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.638760
(2077,2144)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.644617
(2099,2155)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.438756
(2107,2164)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.390038
(2129,2176)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.277557
(2129,2176)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.277557
(2145,2178)(1470369,1518877)(1470000,1520000)	chr01	1495000	35	0.242918
(2156,2204)(1480472,1528219)(1480000,1530000)	chr01	1505000	50	0.180697
(2165,2210)(1494294,1539114)(1490000,1540000)	chr01	1515000	47	0.141825
