region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.693431
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.571657
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.439648
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.423603
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.342131
(26,103)(66768,109295)(60000,110000)	chr01	85000	79	0.406376
(33,177)(72927,119227)(70000,120000)	chr01	95000	146	0.485540
(68,202)(99745,121372)(80000,130000)	chr01	105000	136	0.541036
(68,230)(99745,131673)(90000,140000)	chr01	115000	164	0.529953
(70,245)(101120,148599)(100000,150000)	chr01	125000	177	0.495080
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.605745
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.711417
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.724313
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.766922
(246,308)(155765,197658)(150000,200000)	chr01	175000	64	0.798321
(271,333)(165376,204116)(160000,210000)	chr01	185000	64	0.779391
(292,368)(175855,216859)(170000,220000)	chr01	195000	78	0.677329
(299,390)(183430,229717)(180000,230000)	chr01	205000	93	0.671695
(302,390)(195626,229717)(190000,240000)	chr01	215000	90	0.655698
(309,428)(202400,249999)(200000,250000)	chr01	225000	121	0.733365
(334,465)(214936,258347)(210000,260000)	chr01	235000	133	0.733453
(369,484)(224519,268043)(220000,270000)	chr01	245000	117	0.701431
(391,513)(241035,278351)(230000,280000)	chr01	255000	124	0.687081
(391,537)(241035,286093)(240000,290000)	chr01	265000	148	0.656744
(429,546)(250021,296664)(250000,300000)	chr01	275000	119	0.526339
(466,568)(267752,307842)(260000,310000)	chr01	285000	104	0.419875
(485,569)(270347,317230)(270000,320000)	chr01	295000	86	0.488110
(514,581)(281515,324273)(280000,330000)	chr01	305000	69	0.501641
(538,607)(291233,339583)(290000,340000)	chr01	315000	71	0.637706
(547,613)(303105,348196)(300000,350000)	chr01	325000	68	0.611762
(569,631)(317230,359771)(310000,360000)	chr01	335000	64	0.736173
(570,639)(322110,360805)(320000,370000)	chr01	345000	71	0.735279
(582,658)(334023,373127)(330000,380000)	chr01	355000	78	0.783075
(608,658)(342750,373127)(340000,390000)	chr01	365000	52	0.780464
(614,666)(356572,399618)(350000,400000)	chr01	375000	54	0.761574
(632,679)(360718,406783)(360000,410000)	chr01	385000	49	0.800804
(640,706)(371165,418272)(370000,420000)	chr01	395000	68	0.751390
(659,715)(399494,426178)(380000,430000)	chr01	405000	58	0.757372
(659,715)(399494,426178)(390000,440000)	chr01	415000	58	0.757372
(667,717)(405929,447272)(400000,450000)	chr01	425000	52	0.771936
(680,717)(413073,447272)(410000,460000)	chr01	435000	39	0.705364
(707,717)(422091,447272)(420000,470000)	chr01	445000	12	0.792014
(716,730)(447245,477626)(430000,480000)	chr01	455000	16	0.403606
(716,751)(447245,489386)(440000,490000)	chr01	465000	37	0.704914
(718,762)(472791,497075)(450000,500000)	chr01	475000	46	0.762647
(718,762)(472791,497075)(460000,510000)	chr01	485000	46	0.762647
(718,763)(472791,519445)(470000,520000)	chr01	495000	47	0.747761
(731,775)(482579,525090)(480000,530000)	chr01	505000	46	0.875691
(752,775)(490388,525090)(490000,540000)	chr01	515000	25	0.836895
(763,777)(519445,546039)(500000,550000)	chr01	525000	16	0.821991
(763,778)(519445,556579)(510000,560000)	chr01	535000	17	0.820761
(764,785)(520967,567617)(520000,570000)	chr01	545000	23	0.767981
(776,785)(546012,567617)(530000,580000)	chr01	555000	11	0.456742
(776,785)(546012,567617)(540000,590000)	chr01	565000	11	0.456742
(778,801)(556579,598747)(550000,600000)	chr01	575000	25	0.275581
(779,822)(567497,609080)(560000,610000)	chr01	585000	45	0.363367
(786,827)(598538,615712)(570000,620000)	chr01	595000	43	0.451695
(786,841)(598538,629014)(580000,630000)	chr01	605000	57	0.327000
(786,863)(598538,639995)(590000,640000)	chr01	615000	79	0.286644
(802,867)(608808,647580)(600000,650000)	chr01	625000	67	0.283951
(823,867)(615625,647580)(610000,660000)	chr01	635000	46	0.242182
(828,879)(622726,664539)(620000,670000)	chr01	645000	53	0.172672
(842,946)(631986,679765)(630000,680000)	chr01	655000	106	0.299324
(864,952)(640931,687635)(640000,690000)	chr01	665000	90	0.328594
(868,955)(664341,699440)(650000,700000)	chr01	675000	89	0.346673
(868,977)(664341,705398)(660000,710000)	chr01	685000	111	0.337630
(880,987)(670057,710536)(670000,720000)	chr01	695000	109	0.348536
(947,1022)(687435,726176)(680000,730000)	chr01	705000	77	0.325856
(953,1055)(699339,736121)(690000,740000)	chr01	715000	104	0.257835
(956,1061)(702035,749383)(700000,750000)	chr01	725000	107	0.218435
(978,1063)(710398,751567)(710000,760000)	chr01	735000	87	0.195774
(988,1101)(720265,768507)(720000,770000)	chr01	745000	115	0.301842
(1023,1106)(730423,774383)(730000,780000)	chr01	755000	85	0.326664
(1056,1107)(749258,780712)(740000,790000)	chr01	765000	53	0.363648
(1062,1107)(751549,780712)(750000,800000)	chr01	775000	47	0.374637
(1064,1111)(760149,800296)(760000,810000)	chr01	785000	49	0.367562
(1102,1141)(774173,819725)(770000,820000)	chr01	795000	41	0.334876
(1107,1143)(780712,824471)(780000,830000)	chr01	805000	38	0.319048
(1108,1197)(800261,839979)(790000,840000)	chr01	815000	91	0.383832
(1108,1198)(800261,849991)(800000,850000)	chr01	825000	92	0.383026
(1112,1205)(816740,855718)(810000,860000)	chr01	835000	95	0.476690
(1142,1208)(824403,860813)(820000,870000)	chr01	845000	68	0.548231
(1144,1214)(830052,877821)(830000,880000)	chr01	855000	72	0.541538
(1198,1224)(849991,888203)(840000,890000)	chr01	865000	28	0.629966
(1199,1225)(852666,898756)(850000,900000)	chr01	875000	28	0.639727
(1206,1250)(860727,909640)(860000,910000)	chr01	885000	46	0.439303
(1209,1280)(876147,916778)(870000,920000)	chr01	895000	73	0.309056
(1215,1307)(885300,929364)(880000,930000)	chr01	905000	94	0.246967
(1225,1311)(898756,936207)(890000,940000)	chr01	915000	88	0.227034
(1226,1344)(902874,949937)(900000,950000)	chr01	925000	120	0.286247
(1251,1357)(911188,952812)(910000,960000)	chr01	935000	108	0.279689
(1281,1362)(921481,969688)(920000,970000)	chr01	945000	83	0.376953
(1308,1387)(933153,979790)(930000,980000)	chr01	955000	81	0.567270
(1312,1407)(941192,981690)(940000,990000)	chr01	965000	97	0.644987
(1345,1423)(951051,994392)(950000,1000000)	chr01	975000	80	0.719839
(1358,1425)(964396,1007159)(960000,1010000)	chr01	985000	69	0.768774
(1363,1461)(972160,1019757)(970000,1020000)	chr01	995000	100	0.689754
(1388,1464)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.661047
(1408,1478)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.605715
(1424,1497)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.621253
(1426,1498)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.616274
(1462,1514)(1023745,1067383)(1020000,1070000)	chr01	1045000	54	0.728931
(1465,1514)(1030079,1067383)(1030000,1080000)	chr01	1055000	51	0.736280
(1479,1537)(1040190,1088668)(1040000,1090000)	chr01	1065000	60	0.750796
(1498,1537)(1059222,1088668)(1050000,1100000)	chr01	1075000	41	0.727061
(1499,1542)(1060081,1106471)(1060000,1110000)	chr01	1085000	45	0.747929
(1515,1556)(1080464,1118148)(1070000,1120000)	chr01	1095000	43	0.817175
(1515,1568)(1080464,1129684)(1080000,1130000)	chr01	1105000	55	0.872320
(1538,1599)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.806377
(1538,1619)(1106311,1148852)(1100000,1150000)	chr01	1125000	83	0.792222
(1543,1621)(1110213,1156484)(1110000,1160000)	chr01	1135000	80	0.783347
(1557,1649)(1125674,1169984)(1120000,1170000)	chr01	1145000	94	0.726234
(1569,1656)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.611545
(1600,1660)(1141378,1187811)(1140000,1190000)	chr01	1165000	62	0.576500
(1620,1667)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.566505
(1622,1675)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.639693
(1650,1689)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.632450
(1657,1689)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.723453
(1661,1708)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.643433
(1668,1714)(1202564,1247876)(1200000,1250000)	chr01	1225000	48	0.588746
(1676,1714)(1215791,1247876)(1210000,1260000)	chr01	1235000	40	0.434212
(1690,1719)(1230664,1266942)(1220000,1270000)	chr01	1245000	31	0.395806
(1690,1725)(1230664,1271087)(1230000,1280000)	chr01	1255000	37	0.378043
(1709,1740)(1242138,1287173)(1240000,1290000)	chr01	1265000	33	0.409104
(1715,1743)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.384735
(1715,1786)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.448980
(1720,1794)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.462515
(1726,1803)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.480934
(1741,1827)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.350889
(1744,1861)(1306965,1348194)(1300000,1350000)	chr01	1325000	119	0.368017
(1787,1865)(1311649,1355827)(1310000,1360000)	chr01	1335000	80	0.329035
(1795,1877)(1326979,1369999)(1320000,1370000)	chr01	1345000	84	0.408847
(1804,1896)(1330096,1376887)(1330000,1380000)	chr01	1355000	94	0.452861
(1828,1898)(1340379,1380434)(1340000,1390000)	chr01	1365000	72	0.498415
(1862,1955)(1354558,1399777)(1350000,1400000)	chr01	1375000	95	0.582010
(1866,1992)(1365354,1408031)(1360000,1410000)	chr01	1385000	128	0.617369
(1878,2012)(1370042,1417953)(1370000,1420000)	chr01	1395000	136	0.596224
(1897,2034)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.619997
(1899,2042)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.621772
(1956,2064)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.627216
(1993,2064)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.580665
(2013,2080)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.578864
(2035,2091)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.285170
(2043,2100)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.309214
(2065,2112)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.310398
(2065,2112)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.310398
(2081,2114)(1470369,1518877)(1470000,1520000)	chr01	1495000	35	0.273593
(2092,2140)(1480472,1528219)(1480000,1530000)	chr01	1505000	50	0.328388
(2101,2146)(1494294,1539114)(1490000,1540000)	chr01	1515000	47	0.322179
(2113,2161)(1518851,1541686)(1500000,1550000)	chr01	1525000	50	0.390053
(2113,2168)(1518851,1559963)(1510000,1560000)	chr01	1535000	57	0.381215
(2115,2173)(1520238,1565601)(1520000,1570000)	chr01	1545000	60	0.344005
(2141,2183)(1534100,1576258)(1530000,1580000)	chr01	1555000	44	0.280371
(2147,2195)(1540673,1589999)(1540000,1590000)	chr01	1565000	50	0.349226
(2162,2213)(1557459,1594343)(1550000,1600000)	chr01	1575000	53	0.326685
(2169,2232)(1565554,1609534)(1560000,1610000)	chr01	1585000	65	0.381517
(2174,2253)(1571517,1615954)(1570000,1620000)	chr01	1595000	81	0.391896
(2184,2265)(1582529,1625070)(1580000,1630000)	chr01	1605000	83	0.440708
(2196,2265)(1590004,1625070)(1590000,1640000)	chr01	1615000	71	0.395802
(2214,2295)(1602281,1647959)(1600000,1650000)	chr01	1625000	83	0.526925
(2233,2319)(1614247,1659319)(1610000,1660000)	chr01	1635000	88	0.525309
(2254,2338)(1622917,1668636)(1620000,1670000)	chr01	1645000	86	0.522186
(2266,2370)(1641495,1679436)(1630000,1680000)	chr01	1655000	106	0.553790
(2266,2377)(1641495,1686820)(1640000,1690000)	chr01	1665000	113	0.558518
(2296,2379)(1655037,1694770)(1650000,1700000)	chr01	1675000	85	0.529673
(2320,2379)(1666837,1694770)(1660000,1710000)	chr01	1685000	61	0.542847
(2339,2380)(1672203,1718665)(1670000,1720000)	chr01	1695000	43	0.603433
(2371,2393)(1686691,1726909)(1680000,1730000)	chr01	1705000	24	0.674646
(2378,2433)(1694769,1738652)(1690000,1740000)	chr01	1715000	57	0.794200
(2380,2440)(1718665,1746953)(1700000,1750000)	chr01	1725000	62	0.795691
(2380,2455)(1718665,1751147)(1710000,1760000)	chr01	1735000	77	0.735577
(2381,2479)(1726685,1768287)(1720000,1770000)	chr01	1745000	100	0.726692
(2394,2498)(1730802,1778629)(1730000,1780000)	chr01	1755000	106	0.782547
(2434,2520)(1741381,1788908)(1740000,1790000)	chr01	1765000	88	0.776654
(2441,2520)(1750964,1788908)(1750000,1800000)	chr01	1775000	81	0.774455
(2456,2528)(1760369,1809286)(1760000,1810000)	chr01	1785000	74	0.846362
(2480,2559)(1775143,1819814)(1770000,1820000)	chr01	1795000	81	0.888440
(2499,2590)(1785664,1829936)(1780000,1830000)	chr01	1805000	93	0.846347
(2521,2597)(1808990,1834989)(1790000,1840000)	chr01	1815000	78	0.811213
(2521,2613)(1808990,1845832)(1800000,1850000)	chr01	1825000	94	0.780940
(2529,2622)(1810310,1857922)(1810000,1860000)	chr01	1835000	95	0.724969
(2560,2622)(1820045,1857922)(1820000,1870000)	chr01	1845000	64	0.661751
(2591,2623)(1833262,1874016)(1830000,1880000)	chr01	1855000	34	0.320648
(2598,2648)(1844345,1886510)(1840000,1890000)	chr01	1865000	52	0.377407
(2614,2651)(1857713,1891379)(1850000,1900000)	chr01	1875000	39	0.347593
(2623,2651)(1874016,1891379)(1860000,1910000)	chr01	1885000	30	0.480896
(2623,2651)(1874016,1891379)(1870000,1920000)	chr01	1895000	30	0.480896
(2624,2664)(1882508,1927820)(1880000,1930000)	chr01	1905000	42	0.487889
(2649,2672)(1891326,1938492)(1890000,1940000)	chr01	1915000	25	0.553612
(2652,2672)(1921365,1938492)(1900000,1950000)	chr01	1925000	22	0.576015
(2652,2683)(1921365,1959486)(1910000,1960000)	chr01	1935000	33	0.435126
(2652,2686)(1921365,1968482)(1920000,1970000)	chr01	1945000	36	0.434324
(2665,2717)(1937045,1976145)(1930000,1980000)	chr01	1955000	54	0.515353
(2673,2725)(1959324,1985957)(1940000,1990000)	chr01	1965000	54	0.517062
(2673,2726)(1959324,1997703)(1950000,2000000)	chr01	1975000	55	0.512561
(2684,2732)(1968396,2005901)(1960000,2010000)	chr01	1985000	50	0.593041
(2687,2759)(1973922,2016645)(1970000,2020000)	chr01	1995000	74	0.648831
(2718,2769)(1985852,2024923)(1980000,2030000)	chr01	2005000	53	0.675398
(2726,2795)(1997703,2038800)(1990000,2040000)	chr01	2015000	71	0.646281
(2727,2798)(2005804,2048565)(2000000,2050000)	chr01	2025000	73	0.677953
(2733,2803)(2010476,2056981)(2010000,2060000)	chr01	2035000	72	0.661096
(2760,2811)(2022428,2065186)(2020000,2070000)	chr01	2045000	53	0.590367
(2770,2829)(2030685,2075408)(2030000,2080000)	chr01	2055000	61	0.597365
(2796,2860)(2048522,2089758)(2040000,2090000)	chr01	2065000	66	0.592089
(2799,2862)(2056895,2098350)(2050000,2100000)	chr01	2075000	65	0.574083
(2804,2876)(2064938,2104411)(2060000,2110000)	chr01	2085000	74	0.539737
(2812,2905)(2072783,2119863)(2070000,2120000)	chr01	2095000	95	0.572731
(2830,2905)(2083605,2119863)(2080000,2130000)	chr01	2105000	77	0.544350
(2861,2912)(2098323,2135516)(2090000,2140000)	chr01	2115000	53	0.533710
(2863,2931)(2103406,2144713)(2100000,2150000)	chr01	2125000	70	0.557464
(2877,2942)(2110077,2153664)(2110000,2160000)	chr01	2135000	67	0.594354
(2906,2956)(2135395,2169153)(2120000,2170000)	chr01	2145000	52	0.578652
(2906,2976)(2135395,2176991)(2130000,2180000)	chr01	2155000	72	0.599320
(2913,3001)(2142749,2188441)(2140000,2190000)	chr01	2165000	90	0.569484
(2932,3024)(2150176,2198527)(2150000,2200000)	chr01	2175000	94	0.655246
(2943,3044)(2166029,2206253)(2160000,2210000)	chr01	2185000	103	0.605916
(2957,3059)(2170452,2216710)(2170000,2220000)	chr01	2195000	104	0.573802
(2977,3062)(2180217,2221974)(2180000,2230000)	chr01	2205000	87	0.544650
(3002,3083)(2193888,2237856)(2190000,2240000)	chr01	2215000	83	0.610215
(3025,3087)(2200974,2248960)(2200000,2250000)	chr01	2225000	64	0.507468
(3045,3104)(2214796,2253815)(2210000,2260000)	chr01	2235000	61	0.753313
(3060,3143)(2221944,2268623)(2220000,2270000)	chr01	2245000	85	0.775988
(3063,3154)(2231673,2277833)(2230000,2280000)	chr01	2255000	93	0.790539
(3084,3182)(2248846,2284724)(2240000,2290000)	chr01	2265000	100	0.646650
(3088,3188)(2250673,2290161)(2250000,2300000)	chr01	2275000	102	0.576112
(3105,3195)(2263428,2300926)(2260000,2310000)	chr01	2285000	92	0.298917
(3144,3214)(2270935,2317563)(2270000,2320000)	chr01	2295000	72	0.290551
(3155,3214)(2281592,2317563)(2280000,2330000)	chr01	2305000	61	0.291185
(3183,3214)(2290032,2317563)(2290000,2340000)	chr01	2315000	33	0.324163
(3189,3224)(2300836,2349544)(2300000,2350000)	chr01	2325000	37	0.356598
(3196,3246)(2314964,2357061)(2310000,2360000)	chr01	2335000	52	0.415801
(3215,3257)(2342747,2360811)(2320000,2370000)	chr01	2345000	44	0.345490
(3215,3267)(2342747,2370267)(2330000,2380000)	chr01	2355000	54	0.310581
(3215,3303)(2342747,2386007)(2340000,2390000)	chr01	2365000	90	0.244690
(3225,3324)(2352351,2399499)(2350000,2400000)	chr01	2375000	101	0.380796
(3247,3363)(2360586,2409712)(2360000,2410000)	chr01	2385000	118	0.374850
(3258,3374)(2370097,2417064)(2370000,2420000)	chr01	2395000	118	0.386021
(3268,3381)(2380855,2428154)(2380000,2430000)	chr01	2405000	115	0.412742
(3304,3387)(2392306,2437420)(2390000,2440000)	chr01	2415000	85	0.502242
(3325,3414)(2401257,2449050)(2400000,2450000)	chr01	2425000	91	0.274273
(3364,3421)(2416895,2458916)(2410000,2460000)	chr01	2435000	59	0.241379
(3375,3456)(2425196,2463590)(2420000,2470000)	chr01	2445000	83	0.345238
(3382,3481)(2436146,2479203)(2430000,2480000)	chr01	2455000	101	0.484699
(3388,3484)(2444103,2482772)(2440000,2490000)	chr01	2465000	98	0.485883
(3415,3493)(2452762,2493742)(2450000,2500000)	chr01	2475000	80	0.610866
(3422,3532)(2460117,2508548)(2460000,2510000)	chr01	2485000	112	0.658627
(3457,3555)(2471748,2517089)(2470000,2520000)	chr01	2495000	100	0.715444
(3482,3578)(2482746,2529777)(2480000,2530000)	chr01	2505000	98	0.667532
(3485,3596)(2492434,2538351)(2490000,2540000)	chr01	2515000	113	0.641129
(3494,3602)(2502513,2545863)(2500000,2550000)	chr01	2525000	110	0.617071
(3533,3618)(2511731,2558042)(2510000,2560000)	chr01	2535000	87	0.561030
(3556,3630)(2522672,2568170)(2520000,2570000)	chr01	2545000	76	0.568238
(3579,3654)(2530300,2579515)(2530000,2580000)	chr01	2555000	77	0.458878
(3597,3665)(2545703,2589457)(2540000,2590000)	chr01	2565000	70	0.462286
(3603,3710)(2554825,2599467)(2550000,2600000)	chr01	2575000	109	0.471860
(3619,3727)(2562903,2607844)(2560000,2610000)	chr01	2585000	110	0.510211
(3631,3731)(2570732,2611794)(2570000,2620000)	chr01	2595000	102	0.503770
(3655,3755)(2589283,2629677)(2580000,2630000)	chr01	2605000	102	0.548949
(3666,3755)(2592709,2629677)(2590000,2640000)	chr01	2615000	91	0.555102
(3711,3762)(2601984,2647685)(2600000,2650000)	chr01	2625000	53	0.620577
(3728,3781)(2611745,2652589)(2610000,2660000)	chr01	2635000	55	0.557269
(3732,3795)(2620268,2662872)(2620000,2670000)	chr01	2645000	65	0.499391
(3756,3816)(2641421,2679588)(2630000,2680000)	chr01	2655000	62	0.428769
(3756,3816)(2641421,2679588)(2640000,2690000)	chr01	2665000	62	0.428769
(3763,3831)(2650843,2696549)(2650000,2700000)	chr01	2675000	70	0.280916
(3782,3840)(2661618,2708952)(2660000,2710000)	chr01	2685000	60	0.408702
(3796,3854)(2677007,2715573)(2670000,2720000)	chr01	2695000	60	0.525889
(3817,3880)(2694353,2729927)(2680000,2730000)	chr01	2705000	65	0.426022
(3817,3886)(2694353,2733254)(2690000,2740000)	chr01	2715000	71	0.389875
(3832,3886)(2707188,2733254)(2700000,2750000)	chr01	2725000	56	0.395738
(3841,3894)(2713158,2758192)(2710000,2760000)	chr01	2735000	55	0.190824
(3855,3925)(2723210,2769321)(2720000,2770000)	chr01	2745000	72	0.071683
(3881,3925)(2733051,2769321)(2730000,2780000)	chr01	2755000	46	0.069979
(3887,3925)(2758090,2769321)(2740000,2790000)	chr01	2765000	40	0.068329
(3887,3933)(2758090,2797152)(2750000,2800000)	chr01	2775000	48	0.078009
(3895,3937)(2764352,2804008)(2760000,2810000)	chr01	2785000	44	0.223617
(3926,3957)(2793625,2819143)(2770000,2820000)	chr01	2795000	33	0.829801
(3926,3984)(2793625,2824191)(2780000,2830000)	chr01	2805000	60	0.868270
(3926,4019)(2793625,2836231)(2790000,2840000)	chr01	2815000	95	0.899231
(3934,4060)(2803650,2848490)(2800000,2850000)	chr01	2825000	128	0.843451
(3938,4068)(2810429,2858402)(2810000,2860000)	chr01	2835000	132	0.846207
(3958,4068)(2822414,2858402)(2820000,2870000)	chr01	2845000	112	0.825111
(3985,4083)(2830574,2877428)(2830000,2880000)	chr01	2855000	100	0.719104
(4020,4083)(2847749,2877428)(2840000,2890000)	chr01	2865000	65	0.383564
(4061,4083)(2850466,2877428)(2850000,2900000)	chr01	2875000	24	0.414894
(4069,4083)(2874017,2877428)(2860000,2910000)	chr01	2885000	16	0.282644
(4069,4088)(2874017,2917420)(2870000,2920000)	chr01	2895000	21	0.295250
(4084,4094)(2917349,2928377)(2880000,2930000)	chr01	2905000	12	0.457437
(4084,4109)(2917349,2938302)(2890000,2940000)	chr01	2915000	27	0.388344
(4084,4113)(2917349,2947500)(2900000,2950000)	chr01	2925000	31	0.388344
(4084,4131)(2917349,2958530)(2910000,2960000)	chr01	2935000	49	0.379235
(4089,4146)(2925940,2966828)(2920000,2970000)	chr01	2945000	59	0.462422
(4095,4160)(2930458,2978558)(2930000,2980000)	chr01	2955000	67	0.475553
(4110,4207)(2947464,2986369)(2940000,2990000)	chr01	2965000	99	0.428446
(4114,4215)(2950452,2997442)(2950000,3000000)	chr01	2975000	103	0.409147
(4132,4231)(2966561,3006443)(2960000,3010000)	chr01	2985000	101	0.415910
(4147,4241)(2974790,3019074)(2970000,3020000)	chr01	2995000	96	0.397638
(4161,4271)(2982714,3026807)(2980000,3030000)	chr01	3005000	112	0.380692
(4208,4277)(2991288,3031371)(2990000,3040000)	chr01	3015000	71	0.396740
(4216,4295)(3000293,3042909)(3000000,3050000)	chr01	3025000	81	0.433905
(4232,4316)(3018840,3059830)(3010000,3060000)	chr01	3035000	86	0.492248
(4242,4337)(3021041,3065460)(3020000,3070000)	chr01	3045000	97	0.536507
(4272,4398)(3031309,3079001)(3030000,3080000)	chr01	3055000	128	0.528896
(4278,4418)(3040139,3088876)(3040000,3090000)	chr01	3065000	142	0.582203
(4296,4441)(3059392,3098204)(3050000,3100000)	chr01	3075000	147	0.583049
(4317,4448)(3060346,3107048)(3060000,3110000)	chr01	3085000	133	0.566315
(4338,4491)(3074196,3119995)(3070000,3120000)	chr01	3095000	155	0.518690
(4399,4495)(3083763,3123200)(3080000,3130000)	chr01	3105000	98	0.540153
(4419,4505)(3092551,3131534)(3090000,3140000)	chr01	3115000	88	0.540708
(4442,4505)(3103004,3131534)(3100000,3150000)	chr01	3125000	65	0.533765
(4449,4517)(3112075,3157744)(3110000,3160000)	chr01	3135000	70	0.644228
(4492,4531)(3120038,3166095)(3120000,3170000)	chr01	3145000	41	0.866676
(4496,4560)(3131448,3174114)(3130000,3180000)	chr01	3155000	66	0.877849
(4506,4567)(3153592,3189074)(3140000,3190000)	chr01	3165000	63	0.837476
(4506,4576)(3153592,3199967)(3150000,3200000)	chr01	3175000	72	0.847633
(4518,4616)(3165884,3208602)(3160000,3210000)	chr01	3185000	100	0.781895
