region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.724828
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.708973
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.619208
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.599186
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.555775
(26,101)(66768,109295)(60000,110000)	chr01	85000	77	0.651415
(33,175)(72927,119227)(70000,120000)	chr01	95000	144	0.641421
(68,200)(99745,121372)(80000,130000)	chr01	105000	134	0.651812
(68,228)(99745,131673)(90000,140000)	chr01	115000	162	0.644962
(70,243)(101120,148599)(100000,150000)	chr01	125000	175	0.617049
(102,268)(112439,159252)(110000,160000)	chr01	135000	168	0.650859
(176,289)(121114,169571)(120000,170000)	chr01	145000	115	0.729145
(201,296)(130856,175991)(130000,180000)	chr01	155000	97	0.751055
(229,299)(146066,183449)(140000,190000)	chr01	165000	72	0.785662
(244,306)(155765,197658)(150000,200000)	chr01	175000	64	0.843921
(269,331)(165376,204116)(160000,210000)	chr01	185000	64	0.856312
(290,366)(175855,216859)(170000,220000)	chr01	195000	78	0.835393
(297,388)(183430,229717)(180000,230000)	chr01	205000	93	0.825843
(300,388)(195626,229717)(190000,240000)	chr01	215000	90	0.819029
(307,426)(202400,249999)(200000,250000)	chr01	225000	121	0.831191
(332,463)(214936,258347)(210000,260000)	chr01	235000	133	0.796434
(367,482)(224519,268043)(220000,270000)	chr01	245000	117	0.693200
(389,511)(241035,278351)(230000,280000)	chr01	255000	124	0.673487
(389,535)(241035,286093)(240000,290000)	chr01	265000	148	0.642253
(427,544)(250021,296664)(250000,300000)	chr01	275000	119	0.487508
(464,566)(267752,307842)(260000,310000)	chr01	285000	104	0.519682
(483,567)(270347,317230)(270000,320000)	chr01	295000	86	0.615370
(512,579)(281515,324273)(280000,330000)	chr01	305000	69	0.639984
(536,605)(291233,339583)(290000,340000)	chr01	315000	71	0.773237
(545,611)(303105,348196)(300000,350000)	chr01	325000	68	0.765715
(567,629)(317230,359771)(310000,360000)	chr01	335000	64	0.771882
(568,637)(322110,360805)(320000,370000)	chr01	345000	71	0.761590
(580,656)(334023,373127)(330000,380000)	chr01	355000	78	0.794419
(606,656)(342750,373127)(340000,390000)	chr01	365000	52	0.771601
(612,664)(356572,399618)(350000,400000)	chr01	375000	54	0.731669
(630,677)(360718,406783)(360000,410000)	chr01	385000	49	0.777359
(638,704)(371165,418272)(370000,420000)	chr01	395000	68	0.724270
(657,713)(399494,426178)(380000,430000)	chr01	405000	58	0.689978
(657,713)(399494,426178)(390000,440000)	chr01	415000	58	0.689978
(665,715)(405929,447272)(400000,450000)	chr01	425000	52	0.712094
(678,715)(413073,447272)(410000,460000)	chr01	435000	39	0.608670
(705,715)(422091,447272)(420000,470000)	chr01	445000	12	0.496615
(714,725)(447245,476556)(430000,480000)	chr01	455000	13	0.710037
(714,746)(447245,489386)(440000,490000)	chr01	465000	34	0.720159
(716,757)(472791,497075)(450000,500000)	chr01	475000	43	0.770505
(716,757)(472791,497075)(460000,510000)	chr01	485000	43	0.770505
(716,758)(472791,519445)(470000,520000)	chr01	495000	44	0.748383
(726,770)(482579,525090)(480000,530000)	chr01	505000	46	0.756311
(747,770)(490388,525090)(490000,540000)	chr01	515000	25	0.775049
(758,772)(519445,546039)(500000,550000)	chr01	525000	16	0.717284
(758,773)(519445,556579)(510000,560000)	chr01	535000	17	0.714657
(759,780)(520967,567617)(520000,570000)	chr01	545000	23	0.749446
(771,780)(546012,567617)(530000,580000)	chr01	555000	11	0.719933
(771,780)(546012,567617)(540000,590000)	chr01	565000	11	0.719933
(773,796)(556579,598747)(550000,600000)	chr01	575000	25	0.567787
(774,817)(567497,609080)(560000,610000)	chr01	585000	45	0.458305
(781,822)(598538,615712)(570000,620000)	chr01	595000	43	0.547373
(781,836)(598538,629014)(580000,630000)	chr01	605000	57	0.538204
(781,858)(598538,639995)(590000,640000)	chr01	615000	79	0.490102
(797,862)(608808,647580)(600000,650000)	chr01	625000	67	0.566949
