region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.481385
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.137016
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.112436
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.112442
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.111976
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.107323
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.066187
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.068651
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.070503
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.059652
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.055840
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.044403
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.013392
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	-0.003873
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.098816
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.117747
(285,366)(175855,216859)(170000,220000)	chr01	195000	83	0.159394
(292,388)(183430,229717)(180000,230000)	chr01	205000	98	0.186048
(295,388)(193065,229717)(190000,240000)	chr01	215000	95	0.186049
(307,428)(202400,249999)(200000,250000)	chr01	225000	123	0.184042
(332,465)(214936,258347)(210000,260000)	chr01	235000	135	0.178176
(367,484)(224519,268043)(220000,270000)	chr01	245000	119	0.120380
(389,512)(241035,278351)(230000,280000)	chr01	255000	125	0.108794
(389,536)(241035,286093)(240000,290000)	chr01	265000	149	0.099417
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.074756
(466,563)(267752,305489)(260000,310000)	chr01	285000	99	-0.037602
(485,563)(270347,305489)(270000,320000)	chr01	295000	80	-0.035784
(513,575)(281515,324273)(280000,330000)	chr01	305000	64	-0.035768
(537,601)(291233,339583)(290000,340000)	chr01	315000	66	0.021875
(546,607)(303105,348196)(300000,350000)	chr01	325000	63	0.021821
(564,625)(322110,359771)(310000,360000)	chr01	335000	63	0.133458
