region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.480139
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.429039
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.388902
(24,103)(66768,109295)(60000,110000)	chr01	85000	81	0.446500
(31,177)(72927,119227)(70000,120000)	chr01	95000	148	0.562911
(66,202)(99745,121372)(80000,130000)	chr01	105000	138	0.578750
(66,230)(99745,131673)(90000,140000)	chr01	115000	166	0.590948
(68,245)(101120,148599)(100000,150000)	chr01	125000	179	0.555027
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.584282
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.506849
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.516748
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.485914
(246,313)(155765,197658)(150000,200000)	chr01	175000	69	0.594249
(271,338)(165376,204116)(160000,210000)	chr01	185000	69	0.491595
(292,366)(175855,216859)(170000,220000)	chr01	195000	76	0.629147
(299,388)(183430,229717)(180000,230000)	chr01	205000	91	0.622114
(302,388)(193065,229717)(190000,240000)	chr01	215000	88	0.612284
(314,428)(202400,249999)(200000,250000)	chr01	225000	116	0.569848
(339,465)(215040,258347)(210000,260000)	chr01	235000	128	0.574796
(367,484)(224519,268043)(220000,270000)	chr01	245000	119	0.481307
(389,513)(241035,278351)(230000,280000)	chr01	255000	126	0.469368
(389,537)(241035,286093)(240000,290000)	chr01	265000	150	0.453087
(429,546)(250021,296664)(250000,300000)	chr01	275000	119	0.442879
(466,568)(267752,307842)(260000,310000)	chr01	285000	104	0.415737
(485,569)(270347,317230)(270000,320000)	chr01	295000	86	0.445365
(514,581)(281515,324273)(280000,330000)	chr01	305000	69	0.431858
(538,607)(291233,339583)(290000,340000)	chr01	315000	71	0.550331
(547,613)(303105,348196)(300000,350000)	chr01	325000	68	0.560162
(569,631)(317230,359771)(310000,360000)	chr01	335000	64	0.527187
(570,639)(322110,360805)(320000,370000)	chr01	345000	71	0.522313
(582,658)(334023,373127)(330000,380000)	chr01	355000	78	0.590039
(608,661)(342750,384275)(340000,390000)	chr01	365000	55	0.561577
(614,669)(356572,399618)(350000,400000)	chr01	375000	57	0.530522
(632,683)(360718,406909)(360000,410000)	chr01	385000	53	0.675651
(640,721)(371165,418272)(370000,420000)	chr01	395000	83	0.638595
(659,730)(384248,426178)(380000,430000)	chr01	405000	73	0.670710
(662,730)(399494,426178)(390000,440000)	chr01	415000	70	0.661400
(670,750)(405929,447446)(400000,450000)	chr01	425000	82	0.613145
(684,763)(412909,458510)(410000,460000)	chr01	435000	81	0.591857
(722,763)(422091,458510)(420000,470000)	chr01	445000	43	0.594193
(731,776)(440021,477626)(430000,480000)	chr01	455000	47	0.501634
(731,802)(440021,489540)(440000,490000)	chr01	465000	73	0.499770
(751,813)(458290,497075)(450000,500000)	chr01	475000	64	0.564117
(764,813)(472791,497075)(460000,510000)	chr01	485000	51	0.539539
(764,814)(472791,519445)(470000,520000)	chr01	495000	52	0.526013
(777,835)(482579,527912)(480000,530000)	chr01	505000	60	0.141458
(803,835)(490388,527912)(490000,540000)	chr01	515000	34	0.063817
(814,837)(519445,546039)(500000,550000)	chr01	525000	25	0.082257
(814,841)(519445,556579)(510000,560000)	chr01	535000	29	0.079768
(815,848)(520967,567617)(520000,570000)	chr01	545000	35	0.120959
(836,848)(546012,567617)(530000,580000)	chr01	555000	14	0.225269
(836,848)(546012,567617)(540000,590000)	chr01	565000	14	0.225269
(838,864)(553209,598747)(550000,600000)	chr01	575000	28	0.145118
(842,885)(567497,609080)(560000,610000)	chr01	585000	45	0.201091
(849,891)(598538,615712)(570000,620000)	chr01	595000	44	0.383734
(849,905)(598538,629014)(580000,630000)	chr01	605000	58	0.374979
(849,933)(598538,639995)(590000,640000)	chr01	615000	86	0.560116
(865,937)(608808,647580)(600000,650000)	chr01	625000	74	0.615520
(886,937)(615547,647580)(610000,660000)	chr01	635000	53	0.627904
(892,949)(622726,664539)(620000,670000)	chr01	645000	59	0.606704
(906,1016)(631986,679765)(630000,680000)	chr01	655000	112	0.666518
(934,1022)(640931,687635)(640000,690000)	chr01	665000	90	0.662135
(938,1025)(664341,699440)(650000,700000)	chr01	675000	89	0.650135
(938,1032)(664341,702232)(660000,710000)	chr01	685000	96	0.645601
(950,1042)(670057,710536)(670000,720000)	chr01	695000	94	0.693933
(1017,1077)(687435,726176)(680000,730000)	chr01	705000	62	0.537330
(1023,1110)(699339,736121)(690000,740000)	chr01	715000	89	0.393074
(1026,1116)(702035,749383)(700000,750000)	chr01	725000	92	0.401161
(1033,1119)(710398,754850)(710000,760000)	chr01	735000	88	0.395909
(1043,1159)(720265,768507)(720000,770000)	chr01	745000	118	0.554277
(1078,1166)(730423,774383)(730000,780000)	chr01	755000	90	0.610069
(1111,1167)(749258,780712)(740000,790000)	chr01	765000	58	0.763436
(1117,1167)(751549,780712)(750000,800000)	chr01	775000	52	0.778001
(1120,1171)(760149,800296)(760000,810000)	chr01	785000	53	0.784360
(1160,1201)(771638,819725)(770000,820000)	chr01	795000	43	0.427474
(1167,1203)(780712,824471)(780000,830000)	chr01	805000	38	0.419616
(1168,1257)(800261,839979)(790000,840000)	chr01	815000	91	0.424569
(1168,1258)(800261,849991)(800000,850000)	chr01	825000	92	0.424547
(1172,1263)(816740,852734)(810000,860000)	chr01	835000	93	0.427029
(1202,1266)(824403,860813)(820000,870000)	chr01	845000	66	0.474338
(1204,1272)(830052,877821)(830000,880000)	chr01	855000	70	0.475668
(1258,1284)(849991,888203)(840000,890000)	chr01	865000	28	0.674676
(1259,1299)(852666,898885)(850000,900000)	chr01	875000	42	0.755766
(1264,1324)(860727,909640)(860000,910000)	chr01	885000	62	0.773644
(1267,1354)(876147,916778)(870000,920000)	chr01	895000	89	0.493099
(1273,1381)(881512,929364)(880000,930000)	chr01	905000	110	0.418785
(1285,1385)(890743,936207)(890000,940000)	chr01	915000	102	0.328436
(1300,1418)(902874,949937)(900000,950000)	chr01	925000	120	0.363526
(1325,1431)(911188,952812)(910000,960000)	chr01	935000	108	0.359852
(1355,1439)(921481,969688)(920000,970000)	chr01	945000	86	0.465267
(1382,1489)(933153,979790)(930000,980000)	chr01	955000	109	0.589638
(1386,1509)(941192,981690)(940000,990000)	chr01	965000	125	0.659909
(1419,1525)(951051,994392)(950000,1000000)	chr01	975000	108	0.744734
(1432,1527)(964396,1007159)(960000,1010000)	chr01	985000	97	0.766000
(1440,1563)(972160,1019757)(970000,1020000)	chr01	995000	125	0.754727
