region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.874442
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.570857
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.582013
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.582494
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.478901
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.494637
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.467712
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.406405
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.455605
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.439272
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.426822
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.475372
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.474261
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.388507
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.388998
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.411503
(285,366)(175855,216859)(170000,220000)	chr01	195000	83	0.520005
(292,388)(183430,229717)(180000,230000)	chr01	205000	98	0.535095
(295,388)(193065,229717)(190000,240000)	chr01	215000	95	0.518329
(307,428)(202400,249999)(200000,250000)	chr01	225000	123	0.447920
(332,465)(214936,258347)(210000,260000)	chr01	235000	135	0.393117
(367,484)(224519,268043)(220000,270000)	chr01	245000	119	0.222537
(389,513)(241035,278351)(230000,280000)	chr01	255000	126	0.176941
(389,537)(241035,286093)(240000,290000)	chr01	265000	150	0.244800
(429,546)(250021,296664)(250000,300000)	chr01	275000	119	0.320850
(466,564)(267752,305489)(260000,310000)	chr01	285000	100	0.318229
(485,564)(270347,305489)(270000,320000)	chr01	295000	81	0.396716
(514,576)(281515,324273)(280000,330000)	chr01	305000	64	0.430766
(538,602)(291233,339583)(290000,340000)	chr01	315000	66	0.304375
(547,608)(303105,348196)(300000,350000)	chr01	325000	63	0.244409
(565,626)(322110,359771)(310000,360000)	chr01	335000	63	0.291335
(565,634)(322110,360805)(320000,370000)	chr01	345000	71	0.294826
(577,653)(334023,373127)(330000,380000)	chr01	355000	78	0.289790
(603,656)(342750,384275)(340000,390000)	chr01	365000	55	0.280771
(609,664)(356572,399618)(350000,400000)	chr01	375000	57	0.254920
(627,678)(360718,406909)(360000,410000)	chr01	385000	53	0.335436
(635,716)(371165,418272)(370000,420000)	chr01	395000	83	0.295740
(654,725)(384248,426178)(380000,430000)	chr01	405000	73	0.363422
(657,725)(399494,426178)(390000,440000)	chr01	415000	70	0.363425
(665,733)(405929,447272)(400000,450000)	chr01	425000	70	0.390798
(679,746)(412909,458510)(410000,460000)	chr01	435000	69	0.569629
