region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.769645
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.710297
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.632382
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.610220
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.568100
(26,103)(66768,109295)(60000,110000)	chr01	85000	79	0.547701
(33,177)(72927,119227)(70000,120000)	chr01	95000	146	0.560139
(68,202)(99745,121372)(80000,130000)	chr01	105000	136	0.571705
(68,230)(99745,131673)(90000,140000)	chr01	115000	164	0.562634
(70,245)(101120,148599)(100000,150000)	chr01	125000	177	0.525545
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.637671
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.741794
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.750499
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.785231
(246,308)(155765,197658)(150000,200000)	chr01	175000	64	0.822398
(271,333)(165376,204116)(160000,210000)	chr01	185000	64	0.788856
(292,368)(175855,216859)(170000,220000)	chr01	195000	78	0.754321
(299,390)(183430,229717)(180000,230000)	chr01	205000	93	0.724517
(302,390)(195626,229717)(190000,240000)	chr01	215000	90	0.703735
(309,428)(202400,249999)(200000,250000)	chr01	225000	121	0.722852
(334,465)(214936,258347)(210000,260000)	chr01	235000	133	0.686573
(369,484)(224519,268043)(220000,270000)	chr01	245000	117	0.576234
(391,513)(241035,278351)(230000,280000)	chr01	255000	124	0.562734
(391,537)(241035,286093)(240000,290000)	chr01	265000	148	0.550689
(429,546)(250021,296664)(250000,300000)	chr01	275000	119	0.426126
(466,568)(267752,307842)(260000,310000)	chr01	285000	104	0.498330
(485,569)(270347,317230)(270000,320000)	chr01	295000	86	0.577021
(514,581)(281515,324273)(280000,330000)	chr01	305000	69	0.622740
(538,607)(291233,339583)(290000,340000)	chr01	315000	71	0.724311
(547,613)(303105,348196)(300000,350000)	chr01	325000	68	0.721233
(569,631)(317230,359771)(310000,360000)	chr01	335000	64	0.754034
(570,639)(322110,360805)(320000,370000)	chr01	345000	71	0.754529
(582,658)(334023,373127)(330000,380000)	chr01	355000	78	0.807422
(608,658)(342750,373127)(340000,390000)	chr01	365000	52	0.799058
(614,666)(356572,399618)(350000,400000)	chr01	375000	54	0.774475
