region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.554139
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.395632
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.487050
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.487200
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.456327
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.440975
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.364720
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.187204
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.165242
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.140487
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.051978
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.107548
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.093716
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.110627
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.169587
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.353403
(294,368)(175855,216859)(170000,220000)	chr01	195000	76	0.364913
(301,390)(183430,229717)(180000,230000)	chr01	205000	91	0.392441
(304,390)(193065,229717)(190000,240000)	chr01	215000	88	0.392452
(316,430)(202400,249999)(200000,250000)	chr01	225000	116	0.389173
(341,467)(215040,258347)(210000,260000)	chr01	235000	128	0.317677
(369,486)(224519,268043)(220000,270000)	chr01	245000	119	0.247116
(391,515)(241035,278351)(230000,280000)	chr01	255000	126	0.242291
(391,539)(241035,286093)(240000,290000)	chr01	265000	150	0.228390
(431,548)(250021,296664)(250000,300000)	chr01	275000	119	0.212267
(468,570)(267752,307842)(260000,310000)	chr01	285000	104	0.145925
(487,571)(270347,317230)(270000,320000)	chr01	295000	86	0.203386
(516,583)(281515,324273)(280000,330000)	chr01	305000	69	0.121511
(540,609)(291233,339583)(290000,340000)	chr01	315000	71	0.155533
(549,615)(303105,348196)(300000,350000)	chr01	325000	68	0.138289
(571,633)(317230,359771)(310000,360000)	chr01	335000	64	0.169707
(572,641)(322110,360805)(320000,370000)	chr01	345000	71	0.152926
(584,660)(334023,373127)(330000,380000)	chr01	355000	78	0.154333
(610,663)(342750,384275)(340000,390000)	chr01	365000	55	0.176763
(616,671)(356572,399618)(350000,400000)	chr01	375000	57	0.173873
(634,685)(360718,406909)(360000,410000)	chr01	385000	53	0.355350
(642,723)(371165,418272)(370000,420000)	chr01	395000	83	0.282079
(661,732)(384248,426178)(380000,430000)	chr01	405000	73	0.327454
(664,732)(399494,426178)(390000,440000)	chr01	415000	70	0.298076
(672,752)(405929,447446)(400000,450000)	chr01	425000	82	0.224952
(686,765)(412909,458510)(410000,460000)	chr01	435000	81	0.199472
(724,765)(422091,458510)(420000,470000)	chr01	445000	43	0.216601
(733,778)(440021,477626)(430000,480000)	chr01	455000	47	0.263298
(733,804)(440021,489540)(440000,490000)	chr01	465000	73	0.261235
(753,815)(458290,497075)(450000,500000)	chr01	475000	64	0.447885
(766,815)(472791,497075)(460000,510000)	chr01	485000	51	0.406572
(766,816)(472791,519445)(470000,520000)	chr01	495000	52	0.406571
(779,837)(482579,527912)(480000,530000)	chr01	505000	60	0.254852
(805,837)(490388,527912)(490000,540000)	chr01	515000	34	0.260146
(816,839)(519445,546039)(500000,550000)	chr01	525000	25	0.151060
(816,843)(519445,556579)(510000,560000)	chr01	535000	29	0.301124
(817,850)(520967,567617)(520000,570000)	chr01	545000	35	0.302373
(838,850)(546012,567617)(530000,580000)	chr01	555000	14	0.489689
(838,850)(546012,567617)(540000,590000)	chr01	565000	14	0.489689
(840,866)(553209,598747)(550000,600000)	chr01	575000	28	0.431783
(844,887)(567497,609080)(560000,610000)	chr01	585000	45	0.285130
(851,893)(598538,615712)(570000,620000)	chr01	595000	44	0.523133
(851,907)(598538,629014)(580000,630000)	chr01	605000	58	0.440875
(851,935)(598538,639995)(590000,640000)	chr01	615000	86	0.521303
(867,939)(608808,647580)(600000,650000)	chr01	625000	74	0.519787
(888,939)(615547,647580)(610000,660000)	chr01	635000	53	0.519825
(894,951)(622726,664539)(620000,670000)	chr01	645000	59	0.460558
(908,1018)(631986,679765)(630000,680000)	chr01	655000	112	0.425426
(936,1024)(640931,687635)(640000,690000)	chr01	665000	90	0.180061
(940,1027)(664341,699440)(650000,700000)	chr01	675000	89	0.110483
(940,1034)(664341,702232)(660000,710000)	chr01	685000	96	0.259946
(952,1044)(670057,710536)(670000,720000)	chr01	695000	94	0.328290
(1019,1079)(687435,726176)(680000,730000)	chr01	705000	62	0.266683
(1025,1112)(699339,736121)(690000,740000)	chr01	715000	89	0.238284
(1028,1118)(702035,749383)(700000,750000)	chr01	725000	92	0.227990
(1035,1121)(710398,754850)(710000,760000)	chr01	735000	88	0.181025
(1045,1161)(720265,768507)(720000,770000)	chr01	745000	118	0.400580
(1080,1168)(730423,774383)(730000,780000)	chr01	755000	90	0.479463
(1113,1169)(749258,780712)(740000,790000)	chr01	765000	58	0.606009
(1119,1169)(751549,780712)(750000,800000)	chr01	775000	52	0.634812
(1122,1173)(760149,800296)(760000,810000)	chr01	785000	53	0.649354
(1162,1203)(771638,819725)(770000,820000)	chr01	795000	43	0.318173
(1169,1205)(780712,824471)(780000,830000)	chr01	805000	38	0.336328
(1170,1259)(800261,839979)(790000,840000)	chr01	815000	91	0.358328
(1170,1260)(800261,849991)(800000,850000)	chr01	825000	92	0.358323
(1174,1265)(816740,852734)(810000,860000)	chr01	835000	93	0.335881
(1204,1268)(824403,860813)(820000,870000)	chr01	845000	66	0.367121
(1206,1274)(830052,877821)(830000,880000)	chr01	855000	70	0.355961
(1260,1286)(849991,888203)(840000,890000)	chr01	865000	28	0.451406
(1261,1301)(852666,898885)(850000,900000)	chr01	875000	42	0.664597
(1266,1326)(860727,909640)(860000,910000)	chr01	885000	62	0.563191
(1269,1356)(876147,916778)(870000,920000)	chr01	895000	89	0.340854
(1275,1383)(881512,929364)(880000,930000)	chr01	905000	110	0.345537
(1287,1387)(890743,936207)(890000,940000)	chr01	915000	102	0.310414
(1302,1420)(902874,949937)(900000,950000)	chr01	925000	120	0.197681
(1327,1433)(911188,952812)(910000,960000)	chr01	935000	108	0.182515
(1357,1441)(921481,969688)(920000,970000)	chr01	945000	86	0.169967
(1384,1491)(933153,979790)(930000,980000)	chr01	955000	109	0.074739
