region	chr	midPos	Nsites
(2,21)(27510,49086)(10000,60000)	chr01	35000	21	0.548503
(2,21)(27510,49086)(20000,70000)	chr01	45000	21	0.548503
(7,43)(34877,75784)(30000,80000)	chr01	55000	38	0.301797
(8,43)(40565,75784)(40000,90000)	chr01	65000	37	0.251618
(22,45)(72990,99748)(50000,100000)	chr01	75000	25	0.276726
(22,81)(72990,109295)(60000,110000)	chr01	85000	61	0.270768
(22,152)(72990,119227)(70000,120000)	chr01	95000	132	0.498945
(44,177)(99745,121372)(80000,130000)	chr01	105000	135	0.546224
(44,205)(99745,131673)(90000,140000)	chr01	115000	163	0.550350
(46,220)(101120,148599)(100000,150000)	chr01	125000	176	0.574613
(82,245)(112439,159252)(110000,160000)	chr01	135000	165	0.610533
(153,266)(121114,169571)(120000,170000)	chr01	145000	115	0.540173
(178,273)(130856,175991)(130000,180000)	chr01	155000	97	0.548392
(206,276)(146066,183449)(140000,190000)	chr01	165000	72	0.533835
(221,288)(155765,197658)(150000,200000)	chr01	175000	69	0.460836
(246,313)(165376,204116)(160000,210000)	chr01	185000	69	0.442591
(267,348)(175855,216859)(170000,220000)	chr01	195000	83	0.464911
(274,370)(183430,229717)(180000,230000)	chr01	205000	98	0.479743
(277,370)(193065,229717)(190000,240000)	chr01	215000	95	0.484971
(289,410)(202400,249999)(200000,250000)	chr01	225000	123	0.465906
(314,444)(214936,257492)(210000,260000)	chr01	235000	132	0.558977
(349,460)(224519,268043)(220000,270000)	chr01	245000	113	0.567017
(371,474)(241035,278259)(230000,280000)	chr01	255000	105	0.530529
(371,484)(241035,285977)(240000,290000)	chr01	265000	115	0.525835
(411,484)(250021,285977)(250000,300000)	chr01	275000	75	0.548873
(445,499)(267752,305489)(260000,310000)	chr01	285000	56	0.581647
(461,499)(270347,305489)(270000,320000)	chr01	295000	40	0.660396
(475,504)(284735,323234)(280000,330000)	chr01	305000	31	0.709742
(485,519)(303105,339583)(290000,340000)	chr01	315000	36	0.600881
(485,524)(303105,348196)(300000,350000)	chr01	325000	41	0.616591
(500,542)(322110,359771)(310000,360000)	chr01	335000	44	0.300682
(500,550)(322110,360805)(320000,370000)	chr01	345000	52	0.290301
(505,569)(334023,373127)(330000,380000)	chr01	355000	66	0.257278
(520,572)(342750,384275)(340000,390000)	chr01	365000	54	0.257794
(525,580)(356572,399618)(350000,400000)	chr01	375000	57	0.180211
(543,594)(360718,406909)(360000,410000)	chr01	385000	53	0.209246
(551,632)(371165,418272)(370000,420000)	chr01	395000	83	0.211987
(570,641)(384248,426178)(380000,430000)	chr01	405000	73	0.246542
(573,641)(399494,426178)(390000,440000)	chr01	415000	70	0.248594
(581,657)(405929,447272)(400000,450000)	chr01	425000	78	0.474834
(595,670)(412909,458510)(410000,460000)	chr01	435000	77	0.499476
(633,670)(422091,458510)(420000,470000)	chr01	445000	39	0.596208
(642,683)(440021,477626)(430000,480000)	chr01	455000	43	0.534336
