region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.771651
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.728235
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.745980
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.735053
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.745458
(19,94)(66768,109295)(60000,110000)	chr01	85000	77	0.738553
(26,168)(72927,119227)(70000,120000)	chr01	95000	144	0.641007
(61,193)(99745,121372)(80000,130000)	chr01	105000	134	0.595002
(61,221)(99745,131673)(90000,140000)	chr01	115000	162	0.616396
(63,236)(101120,148599)(100000,150000)	chr01	125000	175	0.574262
(95,261)(112439,159252)(110000,160000)	chr01	135000	168	0.617940
(169,282)(121114,169571)(120000,170000)	chr01	145000	115	0.749225
(194,289)(130856,175991)(130000,180000)	chr01	155000	97	0.776801
(222,292)(146066,183449)(140000,190000)	chr01	165000	72	0.797262
(237,299)(155765,197658)(150000,200000)	chr01	175000	64	0.869890
(262,324)(165376,204116)(160000,210000)	chr01	185000	64	0.854734
(283,359)(175855,216859)(170000,220000)	chr01	195000	78	0.895834
(290,381)(183430,229717)(180000,230000)	chr01	205000	93	0.889856
(293,381)(195626,229717)(190000,240000)	chr01	215000	90	0.884008
(300,419)(202400,249999)(200000,250000)	chr01	225000	121	0.865516
(325,456)(214936,258347)(210000,260000)	chr01	235000	133	0.852277
(360,475)(224519,268043)(220000,270000)	chr01	245000	117	0.700324
(382,503)(241035,278351)(230000,280000)	chr01	255000	123	0.686505
(382,527)(241035,286093)(240000,290000)	chr01	265000	147	0.695663
(420,536)(250021,296664)(250000,300000)	chr01	275000	118	0.606621
(457,554)(267752,305489)(260000,310000)	chr01	285000	99	0.585826
(476,554)(270347,305489)(270000,320000)	chr01	295000	80	0.713239
(504,566)(281515,324273)(280000,330000)	chr01	305000	64	0.739218
(528,592)(291233,339583)(290000,340000)	chr01	315000	66	0.792990
(537,598)(303105,348196)(300000,350000)	chr01	325000	63	0.787651
(555,616)(322110,359771)(310000,360000)	chr01	335000	63	0.818006
(555,624)(322110,360805)(320000,370000)	chr01	345000	71	0.807554
(567,643)(334023,373127)(330000,380000)	chr01	355000	78	0.784991
(593,643)(342750,373127)(340000,390000)	chr01	365000	52	0.743571
(599,651)(356572,399618)(350000,400000)	chr01	375000	54	0.722376
(617,664)(360718,406783)(360000,410000)	chr01	385000	49	0.802687
(625,691)(371165,418272)(370000,420000)	chr01	395000	68	0.752028
(644,700)(399494,426178)(380000,430000)	chr01	405000	58	0.771670
(644,700)(399494,426178)(390000,440000)	chr01	415000	58	0.771670
(652,700)(405929,426178)(400000,450000)	chr01	425000	50	0.791081
(665,700)(413073,426178)(410000,460000)	chr01	435000	37	0.702361
(692,700)(422091,426178)(420000,470000)	chr01	445000	10	0.808257
(701,713)(472791,477626)(430000,480000)	chr01	455000	14	0.655742
(701,734)(472791,489386)(440000,490000)	chr01	465000	35	0.698427
(701,745)(472791,497075)(450000,500000)	chr01	475000	46	0.747074
(701,745)(472791,497075)(460000,510000)	chr01	485000	46	0.747074
(701,746)(472791,519445)(470000,520000)	chr01	495000	47	0.724815
(714,758)(482579,525090)(480000,530000)	chr01	505000	46	0.762952
(735,758)(490388,525090)(490000,540000)	chr01	515000	25	0.796280
(746,760)(519445,546039)(500000,550000)	chr01	525000	16	0.758960
(746,760)(519445,546039)(510000,560000)	chr01	535000	16	0.758960
(747,767)(520967,567617)(520000,570000)	chr01	545000	22	0.779353
(759,767)(546012,567617)(530000,580000)	chr01	555000	10	0.553310
(759,767)(546012,567617)(540000,590000)	chr01	565000	10	0.553310
(761,783)(567497,598747)(550000,600000)	chr01	575000	24	0.677643
(761,804)(567497,609080)(560000,610000)	chr01	585000	45	0.645792
(768,804)(598538,609080)(570000,620000)	chr01	595000	38	0.655708
(768,804)(598538,609080)(580000,630000)	chr01	605000	38	0.655708
(768,826)(598538,639995)(590000,640000)	chr01	615000	60	0.512649
(784,829)(608808,647580)(600000,650000)	chr01	625000	47	0.536324
(805,829)(631986,647580)(610000,660000)	chr01	635000	26	0.491319
(805,829)(631986,647580)(620000,670000)	chr01	645000	26	0.491319
(805,833)(631986,679765)(630000,680000)	chr01	655000	30	0.539609
(827,833)(640931,679765)(640000,690000)	chr01	665000	8	0.840368
(830,836)(679713,699440)(650000,700000)	chr01	675000	8	0.661636
(830,858)(679713,705398)(660000,710000)	chr01	685000	30	0.709163
(830,868)(679713,710536)(670000,720000)	chr01	695000	40	0.604206
(834,903)(699339,726176)(680000,730000)	chr01	705000	71	0.673071
(834,936)(699339,736121)(690000,740000)	chr01	715000	104	0.640606
(837,942)(702035,749383)(700000,750000)	chr01	725000	107	0.640111
(859,944)(710398,751567)(710000,760000)	chr01	735000	87	0.604183
(869,982)(720265,768507)(720000,770000)	chr01	745000	115	0.614255
(904,987)(730423,774383)(730000,780000)	chr01	755000	85	0.573882
(937,988)(749258,780712)(740000,790000)	chr01	765000	53	0.599526
(943,988)(751549,780712)(750000,800000)	chr01	775000	47	0.603341
(945,992)(760149,800296)(760000,810000)	chr01	785000	49	0.601258
(983,1022)(774173,819725)(770000,820000)	chr01	795000	41	0.667525
(988,1024)(780712,824471)(780000,830000)	chr01	805000	38	0.492708
(989,1077)(800261,839979)(790000,840000)	chr01	815000	90	0.476929
(989,1078)(800261,849991)(800000,850000)	chr01	825000	91	0.476662
(993,1083)(816740,852734)(810000,860000)	chr01	835000	92	0.521734
(1023,1086)(824403,860813)(820000,870000)	chr01	845000	65	0.520672
(1025,1092)(830052,877821)(830000,880000)	chr01	855000	69	0.520917
(1078,1100)(849991,888203)(840000,890000)	chr01	865000	24	0.649747
(1079,1101)(852666,898756)(850000,900000)	chr01	875000	24	0.649579
(1084,1126)(860727,909640)(860000,910000)	chr01	885000	44	0.632881
(1087,1156)(876147,916778)(870000,920000)	chr01	895000	71	0.507267
(1093,1183)(885300,929364)(880000,930000)	chr01	905000	92	0.477407
(1101,1187)(898756,936207)(890000,940000)	chr01	915000	88	0.462447
(1102,1220)(902874,949937)(900000,950000)	chr01	925000	120	0.446459
(1127,1233)(911188,952812)(910000,960000)	chr01	935000	108	0.401987
(1157,1238)(921481,969688)(920000,970000)	chr01	945000	83	0.486087
(1184,1263)(933153,979790)(930000,980000)	chr01	955000	81	0.698004
(1188,1283)(941192,981690)(940000,990000)	chr01	965000	97	0.740654
(1221,1299)(951051,994392)(950000,1000000)	chr01	975000	80	0.813170
(1234,1301)(964396,1007159)(960000,1010000)	chr01	985000	69	0.855553
(1239,1337)(972160,1019757)(970000,1020000)	chr01	995000	100	0.766285
(1264,1340)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.719846
(1284,1354)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.670276
(1300,1373)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.664380
(1302,1374)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.658606
(1338,1383)(1023745,1060127)(1020000,1070000)	chr01	1045000	47	0.775988
(1341,1383)(1030079,1060127)(1030000,1080000)	chr01	1055000	44	0.777418
(1355,1393)(1040190,1088668)(1040000,1090000)	chr01	1065000	40	0.831354
(1374,1393)(1059222,1088668)(1050000,1100000)	chr01	1075000	21	0.841395
(1375,1398)(1060081,1106471)(1060000,1110000)	chr01	1085000	25	0.814385
(1384,1401)(1080464,1118148)(1070000,1120000)	chr01	1095000	19	0.768788
(1384,1408)(1080464,1129684)(1080000,1130000)	chr01	1105000	26	0.791950
(1394,1438)(1106311,1137795)(1090000,1140000)	chr01	1115000	46	0.770596
(1394,1458)(1106311,1148852)(1100000,1150000)	chr01	1125000	66	0.780821
(1399,1460)(1110213,1156484)(1110000,1160000)	chr01	1135000	63	0.787235
(1402,1488)(1125674,1169984)(1120000,1170000)	chr01	1145000	88	0.758928
(1409,1495)(1131938,1175775)(1130000,1180000)	chr01	1155000	88	0.712327
(1439,1499)(1141378,1187811)(1140000,1190000)	chr01	1165000	62	0.656344
(1459,1506)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.596392
(1461,1514)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.661530
(1489,1528)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.638480
(1496,1528)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.719548
(1500,1547)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.643436
(1507,1549)(1202564,1247876)(1200000,1250000)	chr01	1225000	44	0.595452
(1515,1549)(1215791,1247876)(1210000,1260000)	chr01	1235000	36	0.436157
(1529,1554)(1230664,1266942)(1220000,1270000)	chr01	1245000	27	0.498088
(1529,1560)(1230664,1271087)(1230000,1280000)	chr01	1255000	33	0.545284
(1548,1574)(1247842,1287173)(1240000,1290000)	chr01	1265000	28	0.788208
(1550,1577)(1260436,1299829)(1250000,1300000)	chr01	1275000	29	0.809906
(1550,1620)(1260436,1309752)(1260000,1310000)	chr01	1285000	72	0.713719
(1555,1628)(1271029,1311855)(1270000,1320000)	chr01	1295000	75	0.730873
(1561,1637)(1281877,1328440)(1280000,1330000)	chr01	1305000	78	0.756002
(1575,1660)(1299742,1339830)(1290000,1340000)	chr01	1315000	87	0.677004
(1578,1694)(1306965,1348194)(1300000,1350000)	chr01	1325000	118	0.624575
(1621,1698)(1311649,1355827)(1310000,1360000)	chr01	1335000	79	0.613980
(1629,1710)(1326979,1369999)(1320000,1370000)	chr01	1345000	83	0.636617
(1638,1725)(1330096,1376887)(1330000,1380000)	chr01	1355000	89	0.619002
(1661,1727)(1340379,1380434)(1340000,1390000)	chr01	1365000	68	0.656959
(1695,1784)(1354558,1399777)(1350000,1400000)	chr01	1375000	91	0.763671
(1699,1821)(1365354,1408031)(1360000,1410000)	chr01	1385000	124	0.776299
(1711,1841)(1370042,1417953)(1370000,1420000)	chr01	1395000	132	0.712477
(1726,1863)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.711647
(1728,1871)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.730378
(1785,1893)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.684925
(1822,1893)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.622137
(1842,1909)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.676141
(1864,1920)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.613479
(1872,1929)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.484034
(1894,1941)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.307333
(1894,1941)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.307333
(1910,1943)(1470369,1518877)(1470000,1520000)	chr01	1495000	35	0.221770
(1921,1969)(1480472,1528219)(1480000,1530000)	chr01	1505000	50	0.247079
(1930,1975)(1494294,1539114)(1490000,1540000)	chr01	1515000	47	0.176322
(1942,1990)(1518851,1541686)(1500000,1550000)	chr01	1525000	50	0.256205
(1942,1997)(1518851,1559963)(1510000,1560000)	chr01	1535000	57	0.283809
(1944,2002)(1520238,1565601)(1520000,1570000)	chr01	1545000	60	0.272878
(1970,2012)(1534100,1576258)(1530000,1580000)	chr01	1555000	44	0.251883
(1976,2024)(1540673,1589999)(1540000,1590000)	chr01	1565000	50	0.332097
(1991,2042)(1557459,1594343)(1550000,1600000)	chr01	1575000	53	0.381412
(1998,2061)(1565554,1609534)(1560000,1610000)	chr01	1585000	65	0.449253
(2003,2082)(1571517,1615954)(1570000,1620000)	chr01	1595000	81	0.462400
(2013,2094)(1582529,1625070)(1580000,1630000)	chr01	1605000	83	0.519447
(2025,2094)(1590004,1625070)(1590000,1640000)	chr01	1615000	71	0.482821
(2043,2124)(1602281,1647959)(1600000,1650000)	chr01	1625000	83	0.614895
(2062,2148)(1614247,1659319)(1610000,1660000)	chr01	1635000	88	0.600182
(2083,2167)(1622917,1668636)(1620000,1670000)	chr01	1645000	86	0.650058
(2095,2199)(1641495,1679436)(1630000,1680000)	chr01	1655000	106	0.682702
(2095,2206)(1641495,1686820)(1640000,1690000)	chr01	1665000	113	0.666185
(2125,2208)(1655037,1694770)(1650000,1700000)	chr01	1675000	85	0.622269
(2149,2208)(1666837,1694770)(1660000,1710000)	chr01	1685000	61	0.642969
(2168,2209)(1672203,1718665)(1670000,1720000)	chr01	1695000	43	0.648478
(2200,2222)(1686691,1726909)(1680000,1730000)	chr01	1705000	24	0.413746
(2207,2262)(1694769,1738652)(1690000,1740000)	chr01	1715000	57	0.742964
(2209,2269)(1718665,1746953)(1700000,1750000)	chr01	1725000	62	0.763881
(2209,2284)(1718665,1751147)(1710000,1760000)	chr01	1735000	77	0.746960
(2210,2308)(1726685,1768287)(1720000,1770000)	chr01	1745000	100	0.741749
(2223,2327)(1730802,1778629)(1730000,1780000)	chr01	1755000	106	0.814990
(2263,2349)(1741381,1788908)(1740000,1790000)	chr01	1765000	88	0.815272
(2270,2349)(1750964,1788908)(1750000,1800000)	chr01	1775000	81	0.814610
(2285,2357)(1760369,1809286)(1760000,1810000)	chr01	1785000	74	0.849198
(2309,2388)(1775143,1819814)(1770000,1820000)	chr01	1795000	81	0.898636
(2328,2419)(1785664,1829936)(1780000,1830000)	chr01	1805000	93	0.867115
(2350,2426)(1808990,1834989)(1790000,1840000)	chr01	1815000	78	0.826038
(2350,2442)(1808990,1845832)(1800000,1850000)	chr01	1825000	94	0.813812
(2358,2451)(1810310,1857922)(1810000,1860000)	chr01	1835000	95	0.772965
(2389,2451)(1820045,1857922)(1820000,1870000)	chr01	1845000	64	0.707638
(2420,2452)(1833262,1874016)(1830000,1880000)	chr01	1855000	34	0.389742
(2427,2477)(1844345,1886510)(1840000,1890000)	chr01	1865000	52	0.528446
(2443,2480)(1857713,1891379)(1850000,1900000)	chr01	1875000	39	0.481579
(2452,2480)(1874016,1891379)(1860000,1910000)	chr01	1885000	30	0.616664
(2452,2480)(1874016,1891379)(1870000,1920000)	chr01	1895000	30	0.616664
(2453,2493)(1882508,1927820)(1880000,1930000)	chr01	1905000	42	0.702408
(2478,2501)(1891326,1938492)(1890000,1940000)	chr01	1915000	25	0.771773
(2481,2501)(1921365,1938492)(1900000,1950000)	chr01	1925000	22	0.820693
(2481,2512)(1921365,1959486)(1910000,1960000)	chr01	1935000	33	0.646729
(2481,2515)(1921365,1968482)(1920000,1970000)	chr01	1945000	36	0.681479
(2494,2546)(1937045,1976145)(1930000,1980000)	chr01	1955000	54	0.774848
(2502,2554)(1959324,1985957)(1940000,1990000)	chr01	1965000	54	0.737347
(2502,2555)(1959324,1997703)(1950000,2000000)	chr01	1975000	55	0.728940
(2513,2561)(1968396,2005901)(1960000,2010000)	chr01	1985000	50	0.821000
(2516,2588)(1973922,2016645)(1970000,2020000)	chr01	1995000	74	0.772107
(2547,2598)(1985852,2024923)(1980000,2030000)	chr01	2005000	53	0.714926
(2555,2624)(1997703,2038800)(1990000,2040000)	chr01	2015000	71	0.719992
(2556,2627)(2005804,2048565)(2000000,2050000)	chr01	2025000	73	0.743358
(2562,2632)(2010476,2056981)(2010000,2060000)	chr01	2035000	72	0.732201
(2589,2640)(2022428,2065186)(2020000,2070000)	chr01	2045000	53	0.663440
(2599,2658)(2030685,2075408)(2030000,2080000)	chr01	2055000	61	0.640407
(2625,2689)(2048522,2089758)(2040000,2090000)	chr01	2065000	66	0.621888
(2628,2691)(2056895,2098350)(2050000,2100000)	chr01	2075000	65	0.606550
(2633,2705)(2064938,2104411)(2060000,2110000)	chr01	2085000	74	0.593081
(2641,2734)(2072783,2119863)(2070000,2120000)	chr01	2095000	95	0.697694
(2659,2734)(2083605,2119863)(2080000,2130000)	chr01	2105000	77	0.706666
(2690,2741)(2098323,2135516)(2090000,2140000)	chr01	2115000	53	0.757372
(2692,2755)(2103406,2144547)(2100000,2150000)	chr01	2125000	65	0.773151
(2706,2766)(2110077,2153664)(2110000,2160000)	chr01	2135000	62	0.834686
(2735,2779)(2135395,2169153)(2120000,2170000)	chr01	2145000	46	0.824649
(2735,2799)(2135395,2176991)(2130000,2180000)	chr01	2155000	66	0.768761
(2742,2824)(2142749,2188441)(2140000,2190000)	chr01	2165000	84	0.729809
(2756,2847)(2150176,2198527)(2150000,2200000)	chr01	2175000	93	0.625451
(2767,2867)(2166029,2206253)(2160000,2210000)	chr01	2185000	102	0.577790
(2780,2882)(2170452,2216710)(2170000,2220000)	chr01	2195000	104	0.562090
(2800,2885)(2180217,2221974)(2180000,2230000)	chr01	2205000	87	0.521682
(2825,2906)(2193888,2237856)(2190000,2240000)	chr01	2215000	83	0.512364
(2848,2910)(2200974,2248960)(2200000,2250000)	chr01	2225000	64	0.615522
(2868,2927)(2214796,2253815)(2210000,2260000)	chr01	2235000	61	0.782738
(2883,2966)(2221944,2268623)(2220000,2270000)	chr01	2245000	85	0.756797
(2886,2977)(2231673,2277833)(2230000,2280000)	chr01	2255000	93	0.764386
(2907,3005)(2248846,2284724)(2240000,2290000)	chr01	2265000	100	0.668491
(2911,3011)(2250673,2290161)(2250000,2300000)	chr01	2275000	102	0.600210
(2928,3018)(2263428,2300926)(2260000,2310000)	chr01	2285000	92	0.326338
(2967,3037)(2270935,2317563)(2270000,2320000)	chr01	2295000	72	0.375879
(2978,3037)(2281592,2317563)(2280000,2330000)	chr01	2305000	61	0.375736
(3006,3037)(2290032,2317563)(2290000,2340000)	chr01	2315000	33	0.444671
(3012,3047)(2300836,2349544)(2300000,2350000)	chr01	2325000	37	0.495779
(3019,3064)(2314964,2357061)(2310000,2360000)	chr01	2335000	47	0.654589
(3038,3074)(2342747,2360749)(2320000,2370000)	chr01	2345000	38	0.607328
(3038,3074)(2342747,2360749)(2330000,2380000)	chr01	2355000	38	0.607328
(3038,3110)(2342747,2386007)(2340000,2390000)	chr01	2365000	74	0.411772
(3048,3131)(2352351,2399499)(2350000,2400000)	chr01	2375000	85	0.557304
(3065,3170)(2360586,2409712)(2360000,2410000)	chr01	2385000	107	0.507119
(3075,3181)(2380855,2417064)(2370000,2420000)	chr01	2395000	108	0.537122
(3075,3188)(2380855,2428154)(2380000,2430000)	chr01	2405000	115	0.550999
(3111,3194)(2392306,2437420)(2390000,2440000)	chr01	2415000	85	0.705217
(3132,3221)(2401257,2449050)(2400000,2450000)	chr01	2425000	91	0.410940
(3171,3228)(2416895,2458916)(2410000,2460000)	chr01	2435000	59	0.308681
(3182,3256)(2425196,2463590)(2420000,2470000)	chr01	2445000	76	0.324886
(3189,3281)(2436146,2479203)(2430000,2480000)	chr01	2455000	94	0.545733
(3195,3284)(2444103,2482772)(2440000,2490000)	chr01	2465000	91	0.550442
(3222,3293)(2452762,2493742)(2450000,2500000)	chr01	2475000	73	0.666831
(3229,3332)(2460117,2508548)(2460000,2510000)	chr01	2485000	105	0.705675
(3257,3355)(2471748,2517089)(2470000,2520000)	chr01	2495000	100	0.781140
(3282,3378)(2482746,2529777)(2480000,2530000)	chr01	2505000	98	0.695653
(3285,3396)(2492434,2538351)(2490000,2540000)	chr01	2515000	113	0.680200
(3294,3402)(2502513,2545863)(2500000,2550000)	chr01	2525000	110	0.644838
(3333,3418)(2511731,2558042)(2510000,2560000)	chr01	2535000	87	0.595966
(3356,3429)(2522672,2568170)(2520000,2570000)	chr01	2545000	75	0.633107
(3379,3443)(2530300,2579515)(2530000,2580000)	chr01	2555000	66	0.632163
(3397,3454)(2545703,2589457)(2540000,2590000)	chr01	2565000	59	0.494973
(3403,3499)(2554825,2599467)(2550000,2600000)	chr01	2575000	98	0.431112
(3419,3516)(2562963,2607844)(2560000,2610000)	chr01	2585000	99	0.499057
(3430,3520)(2570732,2611794)(2570000,2620000)	chr01	2595000	92	0.459102
(3444,3544)(2589283,2629677)(2580000,2630000)	chr01	2605000	102	0.522789
(3455,3544)(2592709,2629677)(2590000,2640000)	chr01	2615000	91	0.604183
(3500,3551)(2601984,2647685)(2600000,2650000)	chr01	2625000	53	0.780239
(3517,3570)(2611745,2652589)(2610000,2660000)	chr01	2635000	55	0.785773
(3521,3584)(2620268,2662872)(2620000,2670000)	chr01	2645000	65	0.763434
(3545,3605)(2641421,2679588)(2630000,2680000)	chr01	2655000	62	0.704823
(3545,3605)(2641421,2679588)(2640000,2690000)	chr01	2665000	62	0.704823
(3552,3620)(2650843,2696549)(2650000,2700000)	chr01	2675000	70	0.723949
(3571,3629)(2661618,2708952)(2660000,2710000)	chr01	2685000	60	0.638995
(3585,3643)(2677007,2715573)(2670000,2720000)	chr01	2695000	60	0.622001
