region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.554511
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.518719
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.287994
(24,102)(66768,109295)(60000,110000)	chr01	85000	80	0.504179
(31,176)(72927,119227)(70000,120000)	chr01	95000	147	0.531989
(66,201)(99745,121372)(80000,130000)	chr01	105000	137	0.559619
(66,229)(99745,131673)(90000,140000)	chr01	115000	165	0.557807
(68,244)(101120,148599)(100000,150000)	chr01	125000	178	0.532176
(103,269)(112439,159252)(110000,160000)	chr01	135000	168	0.489794
(177,290)(121114,169571)(120000,170000)	chr01	145000	115	0.418019
(202,297)(130856,175991)(130000,180000)	chr01	155000	97	0.418997
(230,300)(146066,183449)(140000,190000)	chr01	165000	72	0.381367
(245,312)(155765,197658)(150000,200000)	chr01	175000	69	0.387442
(270,337)(165376,204116)(160000,210000)	chr01	185000	69	0.550270
(291,364)(175855,216832)(170000,220000)	chr01	195000	75	0.612114
(298,386)(183430,229717)(180000,230000)	chr01	205000	90	0.639207
(301,386)(193065,229717)(190000,240000)	chr01	215000	87	0.642014
(313,426)(202400,249999)(200000,250000)	chr01	225000	115	0.595587
(338,463)(215040,258347)(210000,260000)	chr01	235000	127	0.494862
(365,482)(224519,268043)(220000,270000)	chr01	245000	119	0.399549
(387,511)(241035,278351)(230000,280000)	chr01	255000	126	0.315941
(387,535)(241035,286093)(240000,290000)	chr01	265000	150	0.310457
(427,544)(250021,296664)(250000,300000)	chr01	275000	119	0.237161
(464,566)(267752,307842)(260000,310000)	chr01	285000	104	0.234827
(483,567)(270347,317230)(270000,320000)	chr01	295000	86	0.295171
(512,579)(281515,324273)(280000,330000)	chr01	305000	69	0.277939
(536,599)(291233,339583)(290000,340000)	chr01	315000	65	0.571585
(545,605)(303105,348196)(300000,350000)	chr01	325000	62	0.623809
(567,622)(317230,359771)(310000,360000)	chr01	335000	57	0.691681
(568,630)(322110,360805)(320000,370000)	chr01	345000	64	0.713630
(580,649)(336747,373127)(330000,380000)	chr01	355000	71	0.753919
(600,652)(342750,384275)(340000,390000)	chr01	365000	54	0.725265
(606,660)(356572,399618)(350000,400000)	chr01	375000	56	0.685895
(623,668)(360718,406909)(360000,410000)	chr01	385000	47	0.726907
(631,697)(371165,418272)(370000,420000)	chr01	395000	68	0.642791
(650,706)(384248,426178)(380000,430000)	chr01	405000	58	0.662325
(653,706)(399494,426178)(390000,440000)	chr01	415000	55	0.625539
(661,726)(405929,447446)(400000,450000)	chr01	425000	67	0.559955
(669,739)(412986,458510)(410000,460000)	chr01	435000	72	0.495351
(698,739)(422091,458510)(420000,470000)	chr01	445000	43	0.489948
(707,752)(440021,477626)(430000,480000)	chr01	455000	47	0.304007
(707,754)(440021,482581)(440000,490000)	chr01	465000	49	0.309338
(727,757)(458290,497075)(450000,500000)	chr01	475000	32	0.392853
(740,757)(472791,497075)(460000,510000)	chr01	485000	19	0.483205
(740,758)(472791,519445)(470000,520000)	chr01	495000	20	0.483205
(753,779)(482579,527912)(480000,530000)	chr01	505000	28	0.448077
(755,779)(496996,527912)(490000,540000)	chr01	515000	26	0.442845
(758,781)(519445,546039)(500000,550000)	chr01	525000	25	0.433456
(758,785)(519445,556579)(510000,560000)	chr01	535000	29	0.447382
(759,792)(520967,567617)(520000,570000)	chr01	545000	35	0.419993
(780,792)(546012,567617)(530000,580000)	chr01	555000	14	0.355208
(780,792)(546012,567617)(540000,590000)	chr01	565000	14	0.355208
(782,808)(553209,598747)(550000,600000)	chr01	575000	28	0.398653
(786,829)(567497,609080)(560000,610000)	chr01	585000	45	0.465168
(793,835)(598538,615712)(570000,620000)	chr01	595000	44	0.454922
(793,849)(598538,629014)(580000,630000)	chr01	605000	58	0.706915
(793,877)(598538,639995)(590000,640000)	chr01	615000	86	0.684319
(809,881)(608808,647580)(600000,650000)	chr01	625000	74	0.713261
(830,881)(615547,647580)(610000,660000)	chr01	635000	53	0.713208
(836,893)(622726,664539)(620000,670000)	chr01	645000	59	0.701396
(850,960)(631986,679765)(630000,680000)	chr01	655000	112	0.607668
(878,966)(640931,687635)(640000,690000)	chr01	665000	90	0.609915
(882,969)(664341,699440)(650000,700000)	chr01	675000	89	0.593023
(882,975)(664341,702232)(660000,710000)	chr01	685000	95	0.594189
(894,985)(670057,710536)(670000,720000)	chr01	695000	93	0.639746
(961,1020)(687435,726176)(680000,730000)	chr01	705000	61	0.548099
(967,1053)(699339,736121)(690000,740000)	chr01	715000	88	0.434934
(970,1059)(702087,749383)(700000,750000)	chr01	725000	91	0.420109
(976,1062)(710398,754850)(710000,760000)	chr01	735000	88	0.403760
