region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.760641
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.584157
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.500858
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.501114
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.407959
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.396727
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.381466
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.334100
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.373396
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.348256
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.341494
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.320278
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.311214
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.191731
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.373925
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.367364
(285,366)(175855,216859)(170000,220000)	chr01	195000	83	0.559846
(292,388)(183430,229717)(180000,230000)	chr01	205000	98	0.587940
(295,388)(193065,229717)(190000,240000)	chr01	215000	95	0.588519
(307,428)(202400,249999)(200000,250000)	chr01	225000	123	0.555025
(332,465)(214936,258347)(210000,260000)	chr01	235000	135	0.613858
(367,484)(224519,268043)(220000,270000)	chr01	245000	119	0.405669
(389,512)(241035,278351)(230000,280000)	chr01	255000	125	0.373023
(389,536)(241035,286093)(240000,290000)	chr01	265000	149	0.408819
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.439898
(466,563)(267752,305489)(260000,310000)	chr01	285000	99	0.253735
(485,563)(270347,305489)(270000,320000)	chr01	295000	80	0.352713
(513,575)(281515,324273)(280000,330000)	chr01	305000	64	0.362080
(537,601)(291233,339583)(290000,340000)	chr01	315000	66	0.438052
(546,607)(303105,348196)(300000,350000)	chr01	325000	63	0.436531
(564,625)(322110,359771)(310000,360000)	chr01	335000	63	0.466578
(564,633)(322110,360805)(320000,370000)	chr01	345000	71	0.508551
(576,652)(334023,373127)(330000,380000)	chr01	355000	78	0.411596
(602,655)(342750,384275)(340000,390000)	chr01	365000	55	0.255374
(608,663)(356572,399618)(350000,400000)	chr01	375000	57	0.388812
(626,677)(360718,406909)(360000,410000)	chr01	385000	53	0.495768
(634,715)(371165,418272)(370000,420000)	chr01	395000	83	0.515060
(653,724)(384248,426178)(380000,430000)	chr01	405000	73	0.619171
(656,724)(399494,426178)(390000,440000)	chr01	415000	70	0.627255
(664,724)(405929,426178)(400000,450000)	chr01	425000	62	0.607756
(678,737)(412909,458510)(410000,460000)	chr01	435000	61	0.697809
(716,737)(422091,458510)(420000,470000)	chr01	445000	23	0.787179
(725,750)(458290,477626)(430000,480000)	chr01	455000	27	0.641444
(725,776)(458290,489540)(440000,490000)	chr01	465000	53	0.642980
(725,787)(458290,497075)(450000,500000)	chr01	475000	64	0.636079
(738,787)(472791,497075)(460000,510000)	chr01	485000	51	0.513675
