region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.359433
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.251797
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.225649
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.225681
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.253013
(26,103)(66768,109295)(60000,110000)	chr01	85000	79	0.325572
(33,177)(72927,119227)(70000,120000)	chr01	95000	146	0.362329
(68,202)(99745,121372)(80000,130000)	chr01	105000	136	0.403451
(68,230)(99745,131673)(90000,140000)	chr01	115000	164	0.428131
(70,245)(101120,148599)(100000,150000)	chr01	125000	177	0.354261
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.323685
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.319436
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.333078
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.251735
(246,313)(155765,197658)(150000,200000)	chr01	175000	69	0.483352
(271,338)(165376,204116)(160000,210000)	chr01	185000	69	0.516554
(292,373)(175855,216859)(170000,220000)	chr01	195000	83	0.696570
(299,395)(183430,229717)(180000,230000)	chr01	205000	98	0.693559
(302,395)(193065,229717)(190000,240000)	chr01	215000	95	0.693668
(314,435)(202400,249999)(200000,250000)	chr01	225000	123	0.632090
(339,472)(214936,258347)(210000,260000)	chr01	235000	135	0.568785
(374,491)(224519,268043)(220000,270000)	chr01	245000	119	0.151249
(396,520)(241035,278351)(230000,280000)	chr01	255000	126	0.129959
(396,544)(241035,286093)(240000,290000)	chr01	265000	150	0.152554
(436,553)(250021,296664)(250000,300000)	chr01	275000	119	0.145018
(473,575)(267752,307842)(260000,310000)	chr01	285000	104	0.126515
(492,576)(270347,317230)(270000,320000)	chr01	295000	86	0.176034
(521,588)(281515,324273)(280000,330000)	chr01	305000	69	0.199579
(545,614)(291233,339583)(290000,340000)	chr01	315000	71	0.428169
(554,620)(303105,348196)(300000,350000)	chr01	325000	68	0.459936
(576,638)(317230,359771)(310000,360000)	chr01	335000	64	0.397110
(577,646)(322110,360805)(320000,370000)	chr01	345000	71	0.423114
(589,665)(334023,373127)(330000,380000)	chr01	355000	78	0.428301
(615,668)(342750,384275)(340000,390000)	chr01	365000	55	0.254619
(621,676)(356572,399618)(350000,400000)	chr01	375000	57	0.262515
(639,690)(360718,406909)(360000,410000)	chr01	385000	53	0.317379
(647,728)(371165,418272)(370000,420000)	chr01	395000	83	0.282859
(666,737)(384248,426178)(380000,430000)	chr01	405000	73	0.388063
(669,737)(399494,426178)(390000,440000)	chr01	415000	70	0.398918
(677,757)(405929,447446)(400000,450000)	chr01	425000	82	0.434362
(691,770)(412909,458510)(410000,460000)	chr01	435000	81	0.448165
(729,770)(422091,458510)(420000,470000)	chr01	445000	43	0.527996
(738,780)(440021,476556)(430000,480000)	chr01	455000	44	0.454074
(738,806)(440021,489540)(440000,490000)	chr01	465000	70	0.450768
(758,817)(458290,497075)(450000,500000)	chr01	475000	61	0.407663
(771,817)(472791,497075)(460000,510000)	chr01	485000	48	0.427221
(771,818)(472791,519445)(470000,520000)	chr01	495000	49	0.473774
(781,839)(482579,527912)(480000,530000)	chr01	505000	60	0.461960
(807,839)(490388,527912)(490000,540000)	chr01	515000	34	0.477031
(818,841)(519445,546039)(500000,550000)	chr01	525000	25	0.561270
(818,848)(519445,556579)(510000,560000)	chr01	535000	32	0.662979
(819,855)(520967,567617)(520000,570000)	chr01	545000	38	0.652905
(840,855)(546012,567617)(530000,580000)	chr01	555000	17	0.807285
(840,855)(546012,567617)(540000,590000)	chr01	565000	17	0.807285
(842,871)(553209,598747)(550000,600000)	chr01	575000	31	0.607431
(849,892)(567497,609080)(560000,610000)	chr01	585000	45	0.351367
(856,898)(598538,615712)(570000,620000)	chr01	595000	44	0.284949
(856,912)(598538,629014)(580000,630000)	chr01	605000	58	0.282499
(856,940)(598538,639995)(590000,640000)	chr01	615000	86	0.344560
(872,944)(608808,647580)(600000,650000)	chr01	625000	74	0.375818
(893,944)(615547,647580)(610000,660000)	chr01	635000	53	0.407188
(899,955)(622726,664539)(620000,670000)	chr01	645000	58	0.380985
(913,1022)(631986,679765)(630000,680000)	chr01	655000	111	0.333006
(941,1028)(640931,687635)(640000,690000)	chr01	665000	89	0.281023
(945,1031)(664365,699440)(650000,700000)	chr01	675000	88	0.256984
(945,1045)(664365,705398)(660000,710000)	chr01	685000	102	0.318440
(956,1055)(670057,710536)(670000,720000)	chr01	695000	101	0.415648
(1023,1090)(687435,726176)(680000,730000)	chr01	705000	69	0.514547
(1029,1123)(699339,736121)(690000,740000)	chr01	715000	96	0.440638
(1032,1129)(702035,749383)(700000,750000)	chr01	725000	99	0.432854
(1046,1132)(710398,754850)(710000,760000)	chr01	735000	88	0.405476
(1056,1172)(720265,768507)(720000,770000)	chr01	745000	118	0.529073
(1091,1179)(730423,774383)(730000,780000)	chr01	755000	90	0.535646
(1124,1180)(749258,780712)(740000,790000)	chr01	765000	58	0.654500
(1130,1180)(751549,780712)(750000,800000)	chr01	775000	52	0.683446
(1133,1184)(760149,800296)(760000,810000)	chr01	785000	53	0.699531
(1173,1214)(771638,819725)(770000,820000)	chr01	795000	43	0.399921
(1180,1216)(780712,824471)(780000,830000)	chr01	805000	38	0.416085
(1181,1270)(800261,839979)(790000,840000)	chr01	815000	91	0.373648
(1181,1271)(800261,849991)(800000,850000)	chr01	825000	92	0.373602
(1185,1276)(816740,852734)(810000,860000)	chr01	835000	93	0.325530
(1215,1279)(824403,860813)(820000,870000)	chr01	845000	66	0.322441
(1217,1285)(830052,877821)(830000,880000)	chr01	855000	70	0.332900
(1271,1297)(849991,888203)(840000,890000)	chr01	865000	28	0.459232
(1272,1312)(852666,898885)(850000,900000)	chr01	875000	42	0.558934
(1277,1337)(860727,909640)(860000,910000)	chr01	885000	62	0.513608
(1280,1367)(876147,916778)(870000,920000)	chr01	895000	89	0.339606
(1286,1394)(881512,929364)(880000,930000)	chr01	905000	110	0.311562
(1298,1398)(890743,936207)(890000,940000)	chr01	915000	102	0.265296
(1313,1431)(902874,949937)(900000,950000)	chr01	925000	120	0.435082
(1338,1444)(911188,952812)(910000,960000)	chr01	935000	108	0.452559
(1368,1452)(921481,969688)(920000,970000)	chr01	945000	86	0.519637
(1395,1502)(933153,979790)(930000,980000)	chr01	955000	109	0.480580
(1399,1522)(941192,981690)(940000,990000)	chr01	965000	125	0.465113
(1432,1538)(951051,994392)(950000,1000000)	chr01	975000	108	0.254788
(1445,1540)(964396,1007159)(960000,1010000)	chr01	985000	97	0.177896
(1453,1576)(972160,1019757)(970000,1020000)	chr01	995000	125	0.140629
(1503,1579)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.102028
(1523,1593)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.047705
(1539,1612)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.069629
(1541,1616)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.075961
(1577,1628)(1023745,1067383)(1020000,1070000)	chr01	1045000	53	0.138265
(1580,1628)(1030079,1067383)(1030000,1080000)	chr01	1055000	50	0.134020
(1594,1651)(1040190,1088668)(1040000,1090000)	chr01	1065000	59	0.136262
(1613,1651)(1059222,1088668)(1050000,1100000)	chr01	1075000	40	0.136577
(1617,1656)(1060081,1106471)(1060000,1110000)	chr01	1085000	41	0.144269
(1629,1670)(1080464,1118148)(1070000,1120000)	chr01	1095000	43	0.191183
(1629,1682)(1080464,1129684)(1080000,1130000)	chr01	1105000	55	0.190736
(1652,1713)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.316689
(1652,1734)(1106311,1148852)(1100000,1150000)	chr01	1125000	84	0.363856
(1657,1736)(1110213,1156484)(1110000,1160000)	chr01	1135000	81	0.362344
(1671,1764)(1125674,1169984)(1120000,1170000)	chr01	1145000	95	0.319602
(1683,1771)(1131938,1175775)(1130000,1180000)	chr01	1155000	90	0.305294
(1714,1775)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.300453
(1735,1782)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.166574
(1737,1790)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.125496
(1765,1804)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.069538
(1772,1804)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.022021
(1776,1823)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.039885
(1783,1831)(1202564,1248625)(1200000,1250000)	chr01	1225000	50	0.309330
(1791,1831)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.388587
(1805,1836)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.470031
(1805,1842)(1230664,1271087)(1230000,1280000)	chr01	1255000	39	0.397609
(1824,1857)(1242138,1287173)(1240000,1290000)	chr01	1265000	35	0.426479
(1832,1860)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.233431
(1832,1903)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.170714
(1837,1911)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.150242
(1843,1920)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.173426
(1858,1944)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.106311
(1861,1979)(1306965,1348194)(1300000,1350000)	chr01	1325000	120	0.077937
(1904,1983)(1311649,1355827)(1310000,1360000)	chr01	1335000	81	0.105381
(1912,1995)(1326979,1369999)(1320000,1370000)	chr01	1345000	85	0.123203
(1921,2020)(1330096,1376926)(1330000,1380000)	chr01	1355000	101	0.141292
(1945,2022)(1340379,1380434)(1340000,1390000)	chr01	1365000	79	0.164837
(1980,2079)(1354558,1399777)(1350000,1400000)	chr01	1375000	101	0.263302
(1984,2116)(1365354,1408031)(1360000,1410000)	chr01	1385000	134	0.232400
(1996,2136)(1370042,1417953)(1370000,1420000)	chr01	1395000	142	0.243217
(2021,2158)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.228906
(2023,2166)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.228051
(2080,2188)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.245569
(2117,2188)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.242469
(2137,2204)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.250310
(2159,2215)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.292985
(2167,2224)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.304783
(2189,2236)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.220223
(2189,2236)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.220223
(2205,2238)(1470369,1518877)(1470000,1520000)	chr01	1495000	35	0.226751
(2216,2264)(1480472,1528219)(1480000,1530000)	chr01	1505000	50	0.197518
(2225,2270)(1494294,1539114)(1490000,1540000)	chr01	1515000	47	0.202397
(2237,2285)(1518851,1541686)(1500000,1550000)	chr01	1525000	50	0.368015
(2237,2292)(1518851,1559963)(1510000,1560000)	chr01	1535000	57	0.357344
(2239,2297)(1520238,1565601)(1520000,1570000)	chr01	1545000	60	0.260209
(2265,2307)(1534100,1576258)(1530000,1580000)	chr01	1555000	44	0.199121
(2271,2319)(1540673,1589999)(1540000,1590000)	chr01	1565000	50	0.209168
(2286,2337)(1557459,1594343)(1550000,1600000)	chr01	1575000	53	0.086796
(2293,2356)(1565554,1609534)(1560000,1610000)	chr01	1585000	65	0.170994
(2298,2377)(1571517,1615954)(1570000,1620000)	chr01	1595000	81	0.208200
(2308,2389)(1582529,1625070)(1580000,1630000)	chr01	1605000	83	0.253967
(2320,2389)(1590004,1625070)(1590000,1640000)	chr01	1615000	71	0.238666
(2338,2419)(1602281,1647959)(1600000,1650000)	chr01	1625000	83	0.266860
(2357,2443)(1614247,1659319)(1610000,1660000)	chr01	1635000	88	0.189946
(2378,2462)(1622917,1668636)(1620000,1670000)	chr01	1645000	86	0.266227
(2390,2494)(1641495,1679436)(1630000,1680000)	chr01	1655000	106	0.222406
(2390,2506)(1641495,1686842)(1640000,1690000)	chr01	1665000	118	0.219722
(2420,2514)(1655037,1699901)(1650000,1700000)	chr01	1675000	96	0.205041
(2444,2518)(1666837,1707624)(1660000,1710000)	chr01	1685000	76	0.204745
(2463,2519)(1672203,1718665)(1670000,1720000)	chr01	1695000	58	0.128007
(2495,2532)(1684895,1726909)(1680000,1730000)	chr01	1705000	39	0.452458
(2507,2573)(1694753,1739508)(1690000,1740000)	chr01	1715000	68	0.400086
(2515,2589)(1707516,1747885)(1700000,1750000)	chr01	1725000	76	0.424380
(2519,2605)(1718665,1759177)(1710000,1760000)	chr01	1735000	88	0.333341
(2520,2634)(1726685,1768287)(1720000,1770000)	chr01	1745000	116	0.271904
(2533,2653)(1730802,1778629)(1730000,1780000)	chr01	1755000	122	0.159963
(2574,2675)(1741381,1788908)(1740000,1790000)	chr01	1765000	103	0.140953
(2590,2675)(1750964,1788908)(1750000,1800000)	chr01	1775000	87	0.115763
(2606,2683)(1760369,1809286)(1760000,1810000)	chr01	1785000	79	0.191049
(2635,2720)(1775143,1819814)(1770000,1820000)	chr01	1795000	87	0.481291
(2654,2752)(1785664,1829936)(1780000,1830000)	chr01	1805000	100	0.392659
(2676,2759)(1808990,1834989)(1790000,1840000)	chr01	1815000	85	0.324589
(2676,2775)(1808990,1845832)(1800000,1850000)	chr01	1825000	101	0.271393
(2684,2784)(1810148,1857922)(1810000,1860000)	chr01	1835000	102	0.216629
