region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.653310
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.653345
(17,60)(66768,99748)(50000,100000)	chr01	75000	45	0.607178
(17,93)(66768,109295)(60000,110000)	chr01	85000	78	0.618528
(24,167)(72927,119227)(70000,120000)	chr01	95000	145	0.600958
(59,192)(99745,121372)(80000,130000)	chr01	105000	135	0.566154
(59,220)(99745,131673)(90000,140000)	chr01	115000	163	0.611580
(61,235)(101120,148599)(100000,150000)	chr01	125000	176	0.600193
(94,260)(112439,159252)(110000,160000)	chr01	135000	168	0.590128
(168,281)(121114,169571)(120000,170000)	chr01	145000	115	0.649942
(193,288)(130856,175991)(130000,180000)	chr01	155000	97	0.683255
(221,291)(146066,183449)(140000,190000)	chr01	165000	72	0.618996
(236,303)(155765,197658)(150000,200000)	chr01	175000	69	0.599091
(261,328)(165376,204116)(160000,210000)	chr01	185000	69	0.605829
(282,363)(175855,216859)(170000,220000)	chr01	195000	83	0.542376
(289,383)(183430,229717)(180000,230000)	chr01	205000	96	0.600473
(292,383)(193065,229717)(190000,240000)	chr01	215000	93	0.578111
(304,421)(202400,249999)(200000,250000)	chr01	225000	119	0.630994
(329,457)(214936,257533)(210000,260000)	chr01	235000	130	0.604215
(364,476)(224519,268043)(220000,270000)	chr01	245000	114	0.549780
(384,505)(241035,278351)(230000,280000)	chr01	255000	123	0.509201
(384,529)(241035,286093)(240000,290000)	chr01	265000	147	0.545356
(422,538)(250021,296664)(250000,300000)	chr01	275000	118	0.502337
(458,556)(267752,305489)(260000,310000)	chr01	285000	100	0.435811
(477,556)(270347,305489)(270000,320000)	chr01	295000	81	0.569235
(506,568)(281515,324273)(280000,330000)	chr01	305000	64	0.589598
(530,594)(291233,339583)(290000,340000)	chr01	315000	66	0.492644
(539,600)(303105,348196)(300000,350000)	chr01	325000	63	0.422086
(557,618)(322110,359771)(310000,360000)	chr01	335000	63	0.400634
(557,626)(322110,360805)(320000,370000)	chr01	345000	71	0.373534
(569,645)(334023,373127)(330000,380000)	chr01	355000	78	0.379360
(595,648)(342750,384275)(340000,390000)	chr01	365000	55	0.372983
(601,656)(356572,399618)(350000,400000)	chr01	375000	57	0.354734
(619,670)(360718,406909)(360000,410000)	chr01	385000	53	0.569129
(627,708)(371165,418272)(370000,420000)	chr01	395000	83	0.487200
(646,717)(384248,426178)(380000,430000)	chr01	405000	73	0.516283
(649,717)(399494,426178)(390000,440000)	chr01	415000	70	0.480941
(657,725)(405929,447272)(400000,450000)	chr01	425000	70	0.517039
(671,738)(412909,458510)(410000,460000)	chr01	435000	69	0.621166
(709,738)(422091,458510)(420000,470000)	chr01	445000	31	0.961278
(718,751)(447168,477626)(430000,480000)	chr01	455000	35	0.852062
(718,777)(447168,489540)(440000,490000)	chr01	465000	61	0.746580
(726,788)(458290,497075)(450000,500000)	chr01	475000	64	0.755823
(739,788)(472791,497075)(460000,510000)	chr01	485000	51	0.570106
(739,789)(472791,519445)(470000,520000)	chr01	495000	52	0.569598
