region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.363352
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.363551
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.412706
(24,103)(66768,109295)(60000,110000)	chr01	85000	81	0.604134
(31,177)(72927,119227)(70000,120000)	chr01	95000	148	0.570222
(66,202)(99745,121372)(80000,130000)	chr01	105000	138	0.575370
(66,230)(99745,131673)(90000,140000)	chr01	115000	166	0.573195
(68,245)(101120,148599)(100000,150000)	chr01	125000	179	0.557872
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.496400
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.509206
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.535142
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.541512
(246,313)(155765,197658)(150000,200000)	chr01	175000	69	0.563680
(271,338)(165376,204116)(160000,210000)	chr01	185000	69	0.482285
(292,373)(175855,216859)(170000,220000)	chr01	195000	83	0.371910
(299,395)(183430,229717)(180000,230000)	chr01	205000	98	0.418249
(302,395)(193065,229717)(190000,240000)	chr01	215000	95	0.401957
(314,435)(202400,249999)(200000,250000)	chr01	225000	123	0.381755
(339,472)(214936,258347)(210000,260000)	chr01	235000	135	0.428198
(374,491)(224519,268043)(220000,270000)	chr01	245000	119	0.425044
(396,520)(241035,278351)(230000,280000)	chr01	255000	126	0.397308
(396,544)(241035,286093)(240000,290000)	chr01	265000	150	0.378544
(436,553)(250021,296664)(250000,300000)	chr01	275000	119	0.394454
(473,575)(267752,307842)(260000,310000)	chr01	285000	104	0.327896
(492,576)(270347,317230)(270000,320000)	chr01	295000	86	0.354727
(521,588)(281515,324273)(280000,330000)	chr01	305000	69	0.340260
(545,614)(291233,339583)(290000,340000)	chr01	315000	71	0.377757
(554,620)(303105,348196)(300000,350000)	chr01	325000	68	0.377127
(576,638)(317230,359771)(310000,360000)	chr01	335000	64	0.308778
(577,646)(322110,360805)(320000,370000)	chr01	345000	71	0.322830
(589,665)(334023,373127)(330000,380000)	chr01	355000	78	0.286837
(615,668)(342750,384275)(340000,390000)	chr01	365000	55	0.276946
(621,676)(356572,399618)(350000,400000)	chr01	375000	57	0.216313
(639,689)(360718,406783)(360000,410000)	chr01	385000	52	0.317501
(647,716)(371165,418272)(370000,420000)	chr01	395000	71	0.243722
(666,725)(384248,426178)(380000,430000)	chr01	405000	61	0.247030
(669,725)(399494,426178)(390000,440000)	chr01	415000	58	0.209435
(677,745)(405929,447446)(400000,450000)	chr01	425000	70	0.321158
(690,758)(413073,458510)(410000,460000)	chr01	435000	70	0.367325
(717,758)(422091,458510)(420000,470000)	chr01	445000	43	0.477239
(726,771)(440021,477626)(430000,480000)	chr01	455000	47	0.519017
(726,797)(440021,489540)(440000,490000)	chr01	465000	73	0.555883
(746,808)(458290,497075)(450000,500000)	chr01	475000	64	0.603367
(759,808)(472791,497075)(460000,510000)	chr01	485000	51	0.652762
(759,809)(472791,519445)(470000,520000)	chr01	495000	52	0.642005
(772,830)(482579,527912)(480000,530000)	chr01	505000	60	0.573303
(798,830)(490388,527912)(490000,540000)	chr01	515000	34	0.527408
(809,832)(519445,546039)(500000,550000)	chr01	525000	25	0.429667
(809,839)(519445,556579)(510000,560000)	chr01	535000	32	0.378280
(810,846)(520967,567617)(520000,570000)	chr01	545000	38	0.328420
(831,846)(546012,567617)(530000,580000)	chr01	555000	17	0.130131
(831,846)(546012,567617)(540000,590000)	chr01	565000	17	0.130131
(833,862)(553209,598747)(550000,600000)	chr01	575000	31	0.182341
(840,883)(567497,609080)(560000,610000)	chr01	585000	45	0.176651
(847,889)(598538,615712)(570000,620000)	chr01	595000	44	0.416920
(847,903)(598538,629014)(580000,630000)	chr01	605000	58	0.321406
(847,931)(598538,639995)(590000,640000)	chr01	615000	86	0.415352
(863,935)(608808,647580)(600000,650000)	chr01	625000	74	0.424093
(884,935)(615547,647580)(610000,660000)	chr01	635000	53	0.450755
(890,947)(622726,664539)(620000,670000)	chr01	645000	59	0.419039
(904,1014)(631986,679765)(630000,680000)	chr01	655000	112	0.515598
(932,1020)(640931,687635)(640000,690000)	chr01	665000	90	0.519541
(936,1023)(664341,699440)(650000,700000)	chr01	675000	89	0.528083
(936,1045)(664341,705398)(660000,710000)	chr01	685000	111	0.504724
(948,1055)(670057,710536)(670000,720000)	chr01	695000	109	0.499520
(1015,1090)(687435,726176)(680000,730000)	chr01	705000	77	0.373460
(1021,1123)(699339,736121)(690000,740000)	chr01	715000	104	0.306494
