region	chr	midPos	Nsites
(2,20)(34877,49138)(10000,60000)	chr01	35000	20	0.199570
(2,20)(34877,49138)(20000,70000)	chr01	45000	20	0.199570
(2,55)(34877,79275)(30000,80000)	chr01	55000	55	0.436918
(3,55)(40565,79275)(40000,90000)	chr01	65000	54	0.437229
(21,57)(72927,99748)(50000,100000)	chr01	75000	38	0.525598
(21,92)(72927,109295)(60000,110000)	chr01	85000	73	0.504529
(21,149)(72927,119132)(70000,120000)	chr01	95000	130	0.670875
(56,174)(99745,121372)(80000,130000)	chr01	105000	120	0.773440
(56,188)(99745,131673)(90000,140000)	chr01	115000	134	0.792614
(58,203)(101120,148599)(100000,150000)	chr01	125000	147	0.766836
(93,228)(112439,159252)(110000,160000)	chr01	135000	137	0.851630
(150,249)(121114,169571)(120000,170000)	chr01	145000	101	0.791579
(175,256)(131445,175991)(130000,180000)	chr01	155000	83	0.759593
(189,259)(146066,183449)(140000,190000)	chr01	165000	72	0.725068
(204,271)(155765,197658)(150000,200000)	chr01	175000	69	0.724433
(229,296)(165376,204116)(160000,210000)	chr01	185000	69	0.666255
(250,323)(175855,216832)(170000,220000)	chr01	195000	75	0.579910
(257,344)(183430,229717)(180000,230000)	chr01	205000	89	0.592026
(260,344)(193065,229717)(190000,240000)	chr01	215000	86	0.577511
(272,382)(202400,249999)(200000,250000)	chr01	225000	112	0.585081
(297,418)(215040,257533)(210000,260000)	chr01	235000	123	0.596308
(324,437)(224519,268043)(220000,270000)	chr01	245000	115	0.648812
(345,464)(241035,278351)(230000,280000)	chr01	255000	121	0.667558
(345,485)(241035,286071)(240000,290000)	chr01	265000	142	0.684892
(383,492)(250021,291347)(250000,300000)	chr01	275000	111	0.726849
(419,503)(267752,305489)(260000,310000)	chr01	285000	86	0.739990
(438,503)(270347,305489)(270000,320000)	chr01	295000	67	0.741749
(465,515)(281515,324273)(280000,330000)	chr01	305000	52	0.775828
(486,541)(291233,339583)(290000,340000)	chr01	315000	57	0.819774
(493,547)(305433,348196)(300000,350000)	chr01	325000	56	0.824633
(504,564)(322110,359771)(310000,360000)	chr01	335000	62	0.802319
(504,572)(322110,360805)(320000,370000)	chr01	345000	70	0.773760
(516,591)(334023,373127)(330000,380000)	chr01	355000	77	0.699305
(542,594)(342750,384275)(340000,390000)	chr01	365000	54	0.647966
(548,602)(356572,399618)(350000,400000)	chr01	375000	56	0.613831
(565,611)(360718,406909)(360000,410000)	chr01	385000	48	0.574182
(573,647)(371165,418272)(370000,420000)	chr01	395000	76	0.641144
(592,656)(384248,426178)(380000,430000)	chr01	405000	66	0.650788
(595,656)(399494,426178)(390000,440000)	chr01	415000	63	0.612620
(603,667)(405929,447419)(400000,450000)	chr01	425000	66	0.669809
(612,680)(412986,458510)(410000,460000)	chr01	435000	70	0.768457
(648,680)(422091,458510)(420000,470000)	chr01	445000	34	0.826229
(657,693)(440110,477626)(430000,480000)	chr01	455000	38	0.798619
(657,719)(440110,489540)(440000,490000)	chr01	465000	64	0.765372
(668,730)(458290,497075)(450000,500000)	chr01	475000	64	0.752338
(681,730)(472791,497075)(460000,510000)	chr01	485000	51	0.619217
(681,731)(472791,519445)(470000,520000)	chr01	495000	52	0.612539
(694,752)(482579,527912)(480000,530000)	chr01	505000	60	0.616528
(720,752)(490388,527912)(490000,540000)	chr01	515000	34	0.641028
(731,754)(519445,546039)(500000,550000)	chr01	525000	25	0.568425
(731,761)(519445,556579)(510000,560000)	chr01	535000	32	0.475179
(732,768)(520967,567617)(520000,570000)	chr01	545000	38	0.471853
(753,768)(546012,567617)(530000,580000)	chr01	555000	17	0.264037
(753,768)(546012,567617)(540000,590000)	chr01	565000	17	0.264037
(755,784)(553209,598747)(550000,600000)	chr01	575000	31	0.532503
(762,805)(567497,609080)(560000,610000)	chr01	585000	45	0.529058
(769,811)(598538,615712)(570000,620000)	chr01	595000	44	0.522957
(769,825)(598538,629014)(580000,630000)	chr01	605000	58	0.462148
(769,853)(598538,639995)(590000,640000)	chr01	615000	86	0.561113
(785,855)(608808,647580)(600000,650000)	chr01	625000	72	0.516571
(806,855)(615547,647580)(610000,660000)	chr01	635000	51	0.553058
