region	chr	midPos	Nsites
(2,16)(34877,49086)(10000,60000)	chr01	35000	16	0.616107
(2,16)(34877,49086)(20000,70000)	chr01	45000	16	0.616107
(2,38)(34877,75784)(30000,80000)	chr01	55000	38	0.687423
(3,38)(40565,75784)(40000,90000)	chr01	65000	37	0.662251
(17,40)(72990,99748)(50000,100000)	chr01	75000	25	0.722677
(17,75)(72990,109295)(60000,110000)	chr01	85000	60	0.579418
(17,129)(72990,119132)(70000,120000)	chr01	95000	114	0.555569
(39,154)(99745,121372)(80000,130000)	chr01	105000	117	0.487391
(39,168)(99745,131673)(90000,140000)	chr01	115000	131	0.610015
(41,183)(101120,148599)(100000,150000)	chr01	125000	144	0.634262
(76,208)(112439,159252)(110000,160000)	chr01	135000	134	0.638622
(130,229)(121114,169571)(120000,170000)	chr01	145000	101	0.615691
(155,236)(131445,175991)(130000,180000)	chr01	155000	83	0.602609
(169,239)(146066,183449)(140000,190000)	chr01	165000	72	0.516861
(184,251)(155765,197658)(150000,200000)	chr01	175000	69	0.462125
(209,276)(165376,204116)(160000,210000)	chr01	185000	69	0.576300
(230,303)(175855,216832)(170000,220000)	chr01	195000	75	0.650322
(237,324)(183430,229717)(180000,230000)	chr01	205000	89	0.794471
(240,324)(193065,229717)(190000,240000)	chr01	215000	86	0.809898
(252,362)(202400,249999)(200000,250000)	chr01	225000	112	0.839145
(277,396)(215040,257492)(210000,260000)	chr01	235000	121	0.843437
(304,412)(224519,268043)(220000,270000)	chr01	245000	110	0.854771
(325,426)(241035,278259)(230000,280000)	chr01	255000	103	0.789759
(325,436)(241035,285977)(240000,290000)	chr01	265000	113	0.793564
(363,436)(250021,285977)(250000,300000)	chr01	275000	75	0.781210
(397,447)(267752,305489)(260000,310000)	chr01	285000	52	0.816887
(413,447)(270347,305489)(270000,320000)	chr01	295000	36	0.799972
(427,452)(284735,323234)(280000,330000)	chr01	305000	27	0.921685
(437,467)(305433,339583)(290000,340000)	chr01	315000	32	0.830974
(437,472)(305433,348196)(300000,350000)	chr01	325000	37	0.854825
(448,489)(322110,359771)(310000,360000)	chr01	335000	43	0.731632
(448,497)(322110,360805)(320000,370000)	chr01	345000	51	0.713690
(453,516)(334023,373127)(330000,380000)	chr01	355000	65	0.724251
(468,519)(342750,384275)(340000,390000)	chr01	365000	53	0.751983
(473,527)(356572,399618)(350000,400000)	chr01	375000	56	0.706712
(490,536)(360718,406909)(360000,410000)	chr01	385000	48	0.743208
(498,572)(371165,418272)(370000,420000)	chr01	395000	76	0.759550
(517,581)(384248,426178)(380000,430000)	chr01	405000	66	0.757721
(520,581)(399494,426178)(390000,440000)	chr01	415000	63	0.728924
(528,590)(405929,447272)(400000,450000)	chr01	425000	64	0.739103
(537,603)(412986,458510)(410000,460000)	chr01	435000	68	0.734272
(573,603)(422091,458510)(420000,470000)	chr01	445000	32	0.720550
(582,616)(440110,477626)(430000,480000)	chr01	455000	36	0.623028
(582,642)(440110,489540)(440000,490000)	chr01	465000	62	0.622050
(591,653)(458290,497075)(450000,500000)	chr01	475000	64	0.618298
(604,653)(472791,497075)(460000,510000)	chr01	485000	51	0.644039
(604,654)(472791,519445)(470000,520000)	chr01	495000	52	0.644038
(617,675)(482579,527912)(480000,530000)	chr01	505000	60	0.591524
(643,675)(490388,527912)(490000,540000)	chr01	515000	34	0.553685
(654,677)(519445,546039)(500000,550000)	chr01	525000	25	0.499272
(654,684)(519445,556579)(510000,560000)	chr01	535000	32	0.422839
(655,691)(520967,567617)(520000,570000)	chr01	545000	38	0.480143
(676,691)(546012,567617)(530000,580000)	chr01	555000	17	0.542200
(676,691)(546012,567617)(540000,590000)	chr01	565000	17	0.542200
(678,707)(553209,598747)(550000,600000)	chr01	575000	31	0.393649
(685,728)(567497,609080)(560000,610000)	chr01	585000	45	0.601023
(692,733)(598538,615712)(570000,620000)	chr01	595000	43	0.581666
(692,742)(598538,622801)(580000,630000)	chr01	605000	52	0.624167
(692,770)(598538,639995)(590000,640000)	chr01	615000	80	0.658551
(708,772)(608808,647580)(600000,650000)	chr01	625000	66	0.693942
(729,772)(615625,647580)(610000,660000)	chr01	635000	45	0.662422
(734,784)(622726,664539)(620000,670000)	chr01	645000	52	0.642220
(743,851)(631986,679765)(630000,680000)	chr01	655000	110	0.590005
(771,857)(647375,687635)(640000,690000)	chr01	665000	88	0.497113
(773,860)(664341,699440)(650000,700000)	chr01	675000	89	0.511207
(773,878)(664341,705398)(660000,710000)	chr01	685000	107	0.658100
(785,888)(670057,710536)(670000,720000)	chr01	695000	105	0.682342
(852,920)(687435,726075)(680000,730000)	chr01	705000	70	0.746918
(858,953)(699339,736121)(690000,740000)	chr01	715000	97	0.665731
(861,959)(702087,749383)(700000,750000)	chr01	725000	100	0.675485
(879,961)(710398,751567)(710000,760000)	chr01	735000	84	0.588910
(889,997)(720265,768507)(720000,770000)	chr01	745000	110	0.688704
(921,1002)(730423,774383)(730000,780000)	chr01	755000	83	0.702662
(954,1003)(749258,780712)(740000,790000)	chr01	765000	51	0.801180
(960,1003)(751549,780712)(750000,800000)	chr01	775000	45	0.798094
(962,1007)(760149,800296)(760000,810000)	chr01	785000	47	0.772834
(998,1037)(774173,819725)(770000,820000)	chr01	795000	41	0.869180
(1003,1039)(780712,824471)(780000,830000)	chr01	805000	38	0.903496
(1004,1088)(800261,839864)(790000,840000)	chr01	815000	86	0.859679
(1004,1089)(800261,849991)(800000,850000)	chr01	825000	87	0.859589
(1008,1096)(816740,855718)(810000,860000)	chr01	835000	90	0.848291
(1038,1099)(824403,860813)(820000,870000)	chr01	845000	63	0.760021
(1040,1105)(830052,877821)(830000,880000)	chr01	855000	67	0.773439
(1089,1117)(849991,888203)(840000,890000)	chr01	865000	30	0.785232
(1090,1132)(852666,898885)(850000,900000)	chr01	875000	44	0.771362
(1097,1139)(860727,906189)(860000,910000)	chr01	885000	44	0.770682
(1100,1169)(876147,916778)(870000,920000)	chr01	895000	71	0.788904
(1106,1196)(881512,929364)(880000,930000)	chr01	905000	92	0.675152
(1118,1200)(890743,936207)(890000,940000)	chr01	915000	84	0.546916
(1133,1233)(902874,949937)(900000,950000)	chr01	925000	102	0.821068
(1140,1246)(911188,952812)(910000,960000)	chr01	935000	108	0.857509
(1170,1254)(921481,969688)(920000,970000)	chr01	945000	86	0.858246
(1197,1297)(933153,979790)(930000,980000)	chr01	955000	102	0.906968
(1201,1317)(941192,981690)(940000,990000)	chr01	965000	118	0.913100
(1234,1333)(951051,994392)(950000,1000000)	chr01	975000	101	0.861928
(1247,1335)(964396,1007159)(960000,1010000)	chr01	985000	90	0.832653
(1255,1371)(972160,1019757)(970000,1020000)	chr01	995000	118	0.728432
(1298,1374)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.749212
(1318,1388)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.430252
(1334,1407)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.670026
(1336,1411)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.669356
(1372,1420)(1023745,1060127)(1020000,1070000)	chr01	1045000	50	0.876077
(1375,1420)(1030079,1060127)(1030000,1080000)	chr01	1055000	47	0.845084
(1389,1442)(1040190,1088668)(1040000,1090000)	chr01	1065000	55	0.848513
(1408,1442)(1059222,1088668)(1050000,1100000)	chr01	1075000	36	0.806591
(1412,1447)(1060081,1106471)(1060000,1110000)	chr01	1085000	37	0.802114
(1421,1461)(1080464,1118148)(1070000,1120000)	chr01	1095000	42	0.799211
(1421,1467)(1080464,1129684)(1080000,1130000)	chr01	1105000	48	0.798909
(1443,1498)(1106311,1137795)(1090000,1140000)	chr01	1115000	57	0.514642
(1443,1519)(1106311,1148852)(1100000,1150000)	chr01	1125000	78	0.473815
(1448,1521)(1110213,1156484)(1110000,1160000)	chr01	1135000	75	0.478691
(1462,1549)(1125771,1169984)(1120000,1170000)	chr01	1145000	89	0.551148
(1468,1556)(1131938,1175775)(1130000,1180000)	chr01	1155000	90	0.530744
(1499,1560)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.524950
(1520,1567)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.578509
(1522,1575)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.600565
(1550,1589)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.541629
(1557,1589)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.575452
(1561,1608)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.482869
(1568,1616)(1202564,1248625)(1200000,1250000)	chr01	1225000	50	0.511050
(1576,1616)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.453073
(1590,1620)(1230664,1266942)(1220000,1270000)	chr01	1245000	32	0.460192
(1590,1620)(1230664,1266942)(1230000,1280000)	chr01	1255000	32	0.460192
(1609,1626)(1242138,1286999)(1240000,1290000)	chr01	1265000	19	0.682257
(1617,1628)(1260554,1299754)(1250000,1300000)	chr01	1275000	13	0.530270
(1617,1635)(1260554,1308573)(1260000,1310000)	chr01	1285000	20	0.666245
(1621,1635)(1281877,1308573)(1270000,1320000)	chr01	1295000	16	0.673129
(1621,1641)(1281877,1328440)(1280000,1330000)	chr01	1305000	22	0.645121
(1627,1656)(1299742,1339830)(1290000,1340000)	chr01	1315000	31	0.587714
(1629,1690)(1306965,1348194)(1300000,1350000)	chr01	1325000	63	0.490603
(1636,1694)(1326979,1355827)(1310000,1360000)	chr01	1335000	60	0.501610
