region	chr	midPos	Nsites
(2,21)(27510,49086)(10000,60000)	chr01	35000	21	0.741328
(2,21)(27510,49086)(20000,70000)	chr01	45000	21	0.741328
(7,43)(34877,75784)(30000,80000)	chr01	55000	38	0.388558
(8,43)(40565,75784)(40000,90000)	chr01	65000	37	0.338624
(22,45)(72990,99748)(50000,100000)	chr01	75000	25	0.333393
(22,81)(72990,109295)(60000,110000)	chr01	85000	61	0.365806
(22,152)(72990,119227)(70000,120000)	chr01	95000	132	0.642613
(44,177)(99745,121372)(80000,130000)	chr01	105000	135	0.718865
(44,205)(99745,131673)(90000,140000)	chr01	115000	163	0.719933
(46,220)(101120,148599)(100000,150000)	chr01	125000	176	0.706726
(82,245)(112439,159252)(110000,160000)	chr01	135000	165	0.758022
(153,266)(121114,169571)(120000,170000)	chr01	145000	115	0.705872
(178,273)(130856,175991)(130000,180000)	chr01	155000	97	0.683491
(206,276)(146066,183449)(140000,190000)	chr01	165000	72	0.667000
(221,288)(155765,197658)(150000,200000)	chr01	175000	69	0.646969
(246,313)(165376,204116)(160000,210000)	chr01	185000	69	0.559231
(267,348)(175855,216859)(170000,220000)	chr01	195000	83	0.562496
(274,370)(183430,229717)(180000,230000)	chr01	205000	98	0.608938
(277,370)(193065,229717)(190000,240000)	chr01	215000	95	0.613334
(289,410)(202400,249999)(200000,250000)	chr01	225000	123	0.608482
(314,444)(214936,257492)(210000,260000)	chr01	235000	132	0.688420
(349,460)(224519,268043)(220000,270000)	chr01	245000	113	0.649880
(371,474)(241035,278259)(230000,280000)	chr01	255000	105	0.571329
(371,484)(241035,285977)(240000,290000)	chr01	265000	115	0.571809
(411,484)(250021,285977)(250000,300000)	chr01	275000	75	0.603188
(445,499)(267752,305489)(260000,310000)	chr01	285000	56	0.547823
(461,499)(270347,305489)(270000,320000)	chr01	295000	40	0.645468
(475,504)(284735,323234)(280000,330000)	chr01	305000	31	0.679061
(485,519)(303105,339583)(290000,340000)	chr01	315000	36	0.654637
(485,524)(303105,348196)(300000,350000)	chr01	325000	41	0.696331
(500,542)(322110,359771)(310000,360000)	chr01	335000	44	0.507106
(500,550)(322110,360805)(320000,370000)	chr01	345000	52	0.497543
(505,569)(334023,373127)(330000,380000)	chr01	355000	66	0.460511
(520,572)(342750,384275)(340000,390000)	chr01	365000	54	0.401631
(525,580)(356572,399618)(350000,400000)	chr01	375000	57	0.234501
(543,594)(360718,406909)(360000,410000)	chr01	385000	53	0.304922
(551,632)(371165,418272)(370000,420000)	chr01	395000	83	0.309198
(570,641)(384248,426178)(380000,430000)	chr01	405000	73	0.377942
(573,641)(399494,426178)(390000,440000)	chr01	415000	70	0.377536
(581,657)(405929,447272)(400000,450000)	chr01	425000	78	0.547265
(595,670)(412909,458510)(410000,460000)	chr01	435000	77	0.625895
(633,670)(422091,458510)(420000,470000)	chr01	445000	39	0.721547
(642,683)(440021,477626)(430000,480000)	chr01	455000	43	0.659751
(642,709)(440021,489540)(440000,490000)	chr01	465000	69	0.643261
(658,720)(458290,497075)(450000,500000)	chr01	475000	64	0.606928
(671,720)(472791,497075)(460000,510000)	chr01	485000	51	0.522309
(671,721)(472791,519445)(470000,520000)	chr01	495000	52	0.521057
(684,742)(482579,527912)(480000,530000)	chr01	505000	60	0.541330
(710,742)(490388,527912)(490000,540000)	chr01	515000	34	0.489432
(721,744)(519445,546039)(500000,550000)	chr01	525000	25	0.486021
(721,751)(519445,556579)(510000,560000)	chr01	535000	32	0.445098
(722,758)(520967,567617)(520000,570000)	chr01	545000	38	0.397482
(743,758)(546012,567617)(530000,580000)	chr01	555000	17	0.319662
(743,758)(546012,567617)(540000,590000)	chr01	565000	17	0.319662
(745,774)(553209,598747)(550000,600000)	chr01	575000	31	0.339575
(752,795)(567497,609080)(560000,610000)	chr01	585000	45	0.558481
(759,800)(598538,615712)(570000,620000)	chr01	595000	43	0.626296
(759,809)(598538,622801)(580000,630000)	chr01	605000	52	0.610699
(759,837)(598538,639995)(590000,640000)	chr01	615000	80	0.551090
(775,841)(608808,647580)(600000,650000)	chr01	625000	68	0.564055
(796,841)(615625,647580)(610000,660000)	chr01	635000	47	0.463646
(801,853)(622726,664539)(620000,670000)	chr01	645000	54	0.422611
(810,920)(631986,679765)(630000,680000)	chr01	655000	112	0.372070
(838,926)(640931,687635)(640000,690000)	chr01	665000	90	0.372024
(842,929)(664341,699440)(650000,700000)	chr01	675000	89	0.367874
(842,951)(664341,705398)(660000,710000)	chr01	685000	111	0.412829
(854,961)(670057,710536)(670000,720000)	chr01	695000	109	0.501447
(921,996)(687435,726176)(680000,730000)	chr01	705000	77	0.644116
(927,1029)(699339,736121)(690000,740000)	chr01	715000	104	0.544818
(930,1035)(702035,749383)(700000,750000)	chr01	725000	107	0.533565
(952,1038)(710398,754850)(710000,760000)	chr01	735000	88	0.518806
(962,1076)(720265,768507)(720000,770000)	chr01	745000	116	0.440777
(997,1081)(730423,774383)(730000,780000)	chr01	755000	86	0.365345
(1030,1082)(749258,780712)(740000,790000)	chr01	765000	54	0.453133
(1036,1082)(751549,780712)(750000,800000)	chr01	775000	48	0.472645
(1039,1086)(760149,800296)(760000,810000)	chr01	785000	49	0.451927
(1077,1116)(774173,819725)(770000,820000)	chr01	795000	41	0.297243
(1082,1118)(780712,824471)(780000,830000)	chr01	805000	38	0.306288
(1083,1169)(800261,839864)(790000,840000)	chr01	815000	88	0.397904
(1083,1170)(800261,849991)(800000,850000)	chr01	825000	89	0.397554
(1087,1177)(816740,855718)(810000,860000)	chr01	835000	92	0.465278
(1117,1180)(824403,860813)(820000,870000)	chr01	845000	65	0.524667
(1119,1186)(830052,877821)(830000,880000)	chr01	855000	69	0.550927
(1170,1198)(849991,888203)(840000,890000)	chr01	865000	30	0.632412
(1171,1213)(852666,898885)(850000,900000)	chr01	875000	44	0.677578
(1178,1229)(860727,908031)(860000,910000)	chr01	885000	53	0.579047
(1181,1259)(876147,916778)(870000,920000)	chr01	895000	80	0.644573
(1187,1286)(881512,929364)(880000,930000)	chr01	905000	101	0.651862
(1199,1290)(890743,936207)(890000,940000)	chr01	915000	93	0.663363
(1214,1323)(902874,949937)(900000,950000)	chr01	925000	111	0.675617
(1230,1336)(911188,952812)(910000,960000)	chr01	935000	108	0.688519
(1260,1344)(921481,969688)(920000,970000)	chr01	945000	86	0.687277
(1287,1392)(933153,979790)(930000,980000)	chr01	955000	107	0.647324
(1291,1412)(941192,981690)(940000,990000)	chr01	965000	123	0.746353
