region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.670680
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.653963
(24,60)(66768,99748)(50000,100000)	chr01	75000	38	0.586909
(24,93)(66768,109295)(60000,110000)	chr01	85000	71	0.733013
(31,167)(72990,119227)(70000,120000)	chr01	95000	138	0.718352
(59,192)(99745,121372)(80000,130000)	chr01	105000	135	0.731506
(59,220)(99745,131673)(90000,140000)	chr01	115000	163	0.713009
(61,235)(101120,148599)(100000,150000)	chr01	125000	176	0.729634
(94,260)(112439,159252)(110000,160000)	chr01	135000	168	0.633742
(168,281)(121114,169571)(120000,170000)	chr01	145000	115	0.618015
(193,288)(130856,175991)(130000,180000)	chr01	155000	97	0.645991
(221,291)(146066,183449)(140000,190000)	chr01	165000	72	0.661062
(236,303)(155765,197658)(150000,200000)	chr01	175000	69	0.619194
(261,321)(165376,204116)(160000,210000)	chr01	185000	62	0.740345
(282,356)(175855,216859)(170000,220000)	chr01	195000	76	0.837448
(289,376)(183430,229717)(180000,230000)	chr01	205000	89	0.843044
(292,376)(193065,229717)(190000,240000)	chr01	215000	86	0.853468
(304,414)(202400,249999)(200000,250000)	chr01	225000	112	0.873875
(322,446)(214936,257533)(210000,260000)	chr01	235000	126	0.881928
(357,465)(224519,268043)(220000,270000)	chr01	245000	110	0.839306
(377,494)(241035,278351)(230000,280000)	chr01	255000	119	0.817230
(377,518)(241035,286093)(240000,290000)	chr01	265000	143	0.804274
(415,527)(250021,296664)(250000,300000)	chr01	275000	114	0.771407
(447,549)(267752,307842)(260000,310000)	chr01	285000	104	0.714260
(466,550)(270347,317230)(270000,320000)	chr01	295000	86	0.725604
(495,562)(281515,324273)(280000,330000)	chr01	305000	69	0.748899
(519,578)(291233,339583)(290000,340000)	chr01	315000	61	0.790968
(528,584)(303105,348196)(300000,350000)	chr01	325000	58	0.811956
(550,601)(317230,359771)(310000,360000)	chr01	335000	53	0.867875
(551,609)(322110,360805)(320000,370000)	chr01	345000	60	0.862745
(563,628)(334023,373127)(330000,380000)	chr01	355000	67	0.801868
(579,631)(342750,384275)(340000,390000)	chr01	365000	54	0.785165
(585,639)(356572,399618)(350000,400000)	chr01	375000	56	0.715902
(602,647)(360718,406783)(360000,410000)	chr01	385000	47	0.762407
(610,683)(371165,418272)(370000,420000)	chr01	395000	75	0.783177
(629,692)(384248,426178)(380000,430000)	chr01	405000	65	0.775252
(632,692)(399494,426178)(390000,440000)	chr01	415000	62	0.755520
(640,712)(405929,447446)(400000,450000)	chr01	425000	74	0.787614
(648,725)(412986,458510)(410000,460000)	chr01	435000	79	0.818652
(684,725)(422091,458510)(420000,470000)	chr01	445000	43	0.873903
(693,738)(440021,477626)(430000,480000)	chr01	455000	47	0.956312
(693,753)(440021,489540)(440000,490000)	chr01	465000	62	0.939983
(713,764)(458290,497075)(450000,500000)	chr01	475000	53	0.939537
(726,764)(472791,497075)(460000,510000)	chr01	485000	40	0.916624
(726,765)(472791,519445)(470000,520000)	chr01	495000	41	0.916624
(739,777)(482579,525090)(480000,530000)	chr01	505000	40	0.893990
(754,777)(490388,525090)(490000,540000)	chr01	515000	25	0.874758
(765,779)(519445,546039)(500000,550000)	chr01	525000	16	0.730003
(765,780)(519445,556579)(510000,560000)	chr01	535000	17	0.728834
(766,787)(520967,567617)(520000,570000)	chr01	545000	23	0.613567
(778,787)(546012,567617)(530000,580000)	chr01	555000	11	0.426012
(778,787)(546012,567617)(540000,590000)	chr01	565000	11	0.426012
(780,803)(556579,598747)(550000,600000)	chr01	575000	25	0.400323
(781,824)(567497,609080)(560000,610000)	chr01	585000	45	0.424504
(788,830)(598538,615712)(570000,620000)	chr01	595000	44	0.418939
(788,844)(598538,629014)(580000,630000)	chr01	605000	58	0.496402
(788,866)(598538,639995)(590000,640000)	chr01	615000	80	0.574553
(804,870)(608808,647580)(600000,650000)	chr01	625000	68	0.661853
(825,870)(615547,647580)(610000,660000)	chr01	635000	47	0.699336
(831,882)(622726,664539)(620000,670000)	chr01	645000	53	0.640005
(845,949)(631986,679765)(630000,680000)	chr01	655000	106	0.675347
(867,951)(640931,687635)(640000,690000)	chr01	665000	86	0.677341
(871,954)(664341,699440)(650000,700000)	chr01	675000	85	0.658022
(871,958)(664341,702132)(660000,710000)	chr01	685000	89	0.657900
(883,968)(670057,710536)(670000,720000)	chr01	695000	87	0.692473
(950,997)(687594,726075)(680000,730000)	chr01	705000	49	0.647688
(952,1030)(699339,736121)(690000,740000)	chr01	715000	80	0.646324
(955,1036)(702035,749383)(700000,750000)	chr01	725000	83	0.652830
(959,1039)(710398,754850)(710000,760000)	chr01	735000	82	0.656835
(969,1050)(720265,768507)(720000,770000)	chr01	745000	83	0.613076
(998,1057)(730423,774383)(730000,780000)	chr01	755000	61	0.663686
(1031,1058)(749258,780712)(740000,790000)	chr01	765000	29	0.697987
(1037,1058)(751549,780712)(750000,800000)	chr01	775000	23	0.737131
(1040,1062)(768240,800296)(760000,810000)	chr01	785000	24	0.676068
(1051,1092)(771638,819725)(770000,820000)	chr01	795000	43	0.827976
(1058,1094)(780712,824471)(780000,830000)	chr01	805000	38	0.722894
(1059,1132)(800261,839864)(790000,840000)	chr01	815000	75	0.722368
(1059,1133)(800261,849991)(800000,850000)	chr01	825000	76	0.721973
(1063,1138)(816740,852734)(810000,860000)	chr01	835000	77	0.766096
(1093,1141)(824403,860813)(820000,870000)	chr01	845000	50	0.702093
