region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.491001
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.491147
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.322861
(24,101)(66768,109295)(60000,110000)	chr01	85000	79	0.400501
(31,175)(72927,119227)(70000,120000)	chr01	95000	146	0.397911
(66,200)(99745,121372)(80000,130000)	chr01	105000	136	0.389326
(66,228)(99745,131673)(90000,140000)	chr01	115000	164	0.379510
(68,243)(101120,148599)(100000,150000)	chr01	125000	177	0.391816
(102,268)(112439,159252)(110000,160000)	chr01	135000	168	0.408542
(176,289)(121114,169571)(120000,170000)	chr01	145000	115	0.467510
(201,296)(130856,175991)(130000,180000)	chr01	155000	97	0.509221
(229,299)(146066,183449)(140000,190000)	chr01	165000	72	0.578510
(244,311)(155765,197658)(150000,200000)	chr01	175000	69	0.546086
(269,336)(165376,204116)(160000,210000)	chr01	185000	69	0.504952
(290,371)(175855,216859)(170000,220000)	chr01	195000	83	0.318431
(297,393)(183430,229717)(180000,230000)	chr01	205000	98	0.291520
(300,393)(193065,229717)(190000,240000)	chr01	215000	95	0.247643
(312,431)(202400,249999)(200000,250000)	chr01	225000	121	0.217355
(337,468)(214936,258347)(210000,260000)	chr01	235000	133	0.267134
(372,487)(224519,268043)(220000,270000)	chr01	245000	117	0.468193
(394,514)(241035,278351)(230000,280000)	chr01	255000	122	0.548456
(394,528)(241035,286071)(240000,290000)	chr01	265000	136	0.569859
(432,532)(250021,291347)(250000,300000)	chr01	275000	102	0.653239
(469,551)(267752,307842)(260000,310000)	chr01	285000	84	0.696834
(488,551)(270347,307842)(270000,320000)	chr01	295000	65	0.670046
(515,563)(284710,324273)(280000,330000)	chr01	305000	50	0.693731
(529,589)(291296,339583)(290000,340000)	chr01	315000	62	0.605371
(533,595)(303105,348196)(300000,350000)	chr01	325000	64	0.600280
(552,613)(322110,359771)(310000,360000)	chr01	335000	63	0.555438
(552,621)(322110,360805)(320000,370000)	chr01	345000	71	0.564482
(564,640)(334023,373127)(330000,380000)	chr01	355000	78	0.473400
(590,643)(342750,384275)(340000,390000)	chr01	365000	55	0.446541
(596,651)(356572,399618)(350000,400000)	chr01	375000	57	0.476760
(614,660)(360718,406783)(360000,410000)	chr01	385000	48	0.531184
(622,687)(371165,418272)(370000,420000)	chr01	395000	67	0.447495
(641,696)(384248,426178)(380000,430000)	chr01	405000	57	0.564282
(644,696)(399494,426178)(390000,440000)	chr01	415000	54	0.570208
(652,704)(405929,447272)(400000,450000)	chr01	425000	54	0.570993
(661,717)(413073,458510)(410000,460000)	chr01	435000	58	0.569715
(688,717)(422091,458510)(420000,470000)	chr01	445000	31	0.811772
(697,730)(447168,477626)(430000,480000)	chr01	455000	35	0.453194
(697,754)(447168,489540)(440000,490000)	chr01	465000	59	0.329033
(705,764)(458290,497021)(450000,500000)	chr01	475000	61	0.311414
