region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.370725
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.350806
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.340621
(24,103)(66768,109295)(60000,110000)	chr01	85000	81	0.460802
(31,177)(72927,119227)(70000,120000)	chr01	95000	148	0.512627
(66,202)(99745,121372)(80000,130000)	chr01	105000	138	0.523102
(66,230)(99745,131673)(90000,140000)	chr01	115000	166	0.519151
(68,245)(101120,148599)(100000,150000)	chr01	125000	179	0.507975
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.495418
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.427085
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.457442
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.444587
(246,313)(155765,197658)(150000,200000)	chr01	175000	69	0.464868
(271,338)(165376,204116)(160000,210000)	chr01	185000	69	0.366551
(292,373)(175855,216859)(170000,220000)	chr01	195000	83	0.364348
(299,395)(183430,229717)(180000,230000)	chr01	205000	98	0.394295
(302,395)(193065,229717)(190000,240000)	chr01	215000	95	0.390041
(314,435)(202400,249999)(200000,250000)	chr01	225000	123	0.460148
(339,472)(214936,258347)(210000,260000)	chr01	235000	135	0.504150
(374,491)(224519,268043)(220000,270000)	chr01	245000	119	0.518661
(396,520)(241035,278351)(230000,280000)	chr01	255000	126	0.526699
(396,544)(241035,286093)(240000,290000)	chr01	265000	150	0.498474
(436,553)(250021,296664)(250000,300000)	chr01	275000	119	0.442590
(473,575)(267752,307842)(260000,310000)	chr01	285000	104	0.332755
(492,576)(270347,317230)(270000,320000)	chr01	295000	86	0.387699
(521,588)(281515,324273)(280000,330000)	chr01	305000	69	0.348016
(545,614)(291233,339583)(290000,340000)	chr01	315000	71	0.427226
(554,620)(303105,348196)(300000,350000)	chr01	325000	68	0.433788
(576,638)(317230,359771)(310000,360000)	chr01	335000	64	0.425242
(577,646)(322110,360805)(320000,370000)	chr01	345000	71	0.380283
(589,665)(334023,373127)(330000,380000)	chr01	355000	78	0.375849
(615,668)(342750,384275)(340000,390000)	chr01	365000	55	0.352762
(621,675)(356572,399618)(350000,400000)	chr01	375000	56	0.303938
(639,689)(360718,406909)(360000,410000)	chr01	385000	52	0.525019
(647,727)(371165,418272)(370000,420000)	chr01	395000	82	0.532911
(666,736)(384248,426178)(380000,430000)	chr01	405000	72	0.580198
(669,736)(399494,426178)(390000,440000)	chr01	415000	69	0.567457
(676,756)(405929,447446)(400000,450000)	chr01	425000	82	0.545998
(690,769)(412909,458510)(410000,460000)	chr01	435000	81	0.474333
(728,769)(422091,458510)(420000,470000)	chr01	445000	43	0.444796
(737,782)(440021,477626)(430000,480000)	chr01	455000	47	0.418894
(737,803)(440021,489386)(440000,490000)	chr01	465000	68	0.496737
(757,806)(458290,497075)(450000,500000)	chr01	475000	51	0.541417
(770,806)(472791,497075)(460000,510000)	chr01	485000	38	0.652439
(770,807)(472791,519445)(470000,520000)	chr01	495000	39	0.630349
(783,828)(482579,527912)(480000,530000)	chr01	505000	47	0.545722
(804,828)(496996,527912)(490000,540000)	chr01	515000	26	0.327889
(807,830)(519445,546039)(500000,550000)	chr01	525000	25	0.383334
(807,837)(519445,556579)(510000,560000)	chr01	535000	32	0.360352
(808,844)(520967,567617)(520000,570000)	chr01	545000	38	0.444379
(829,844)(546012,567617)(530000,580000)	chr01	555000	17	0.521624
(829,844)(546012,567617)(540000,590000)	chr01	565000	17	0.521624
(831,860)(553209,598747)(550000,600000)	chr01	575000	31	0.436123
(838,881)(567497,609080)(560000,610000)	chr01	585000	45	0.429246
(845,887)(598538,615712)(570000,620000)	chr01	595000	44	0.424797
(845,901)(598538,629014)(580000,630000)	chr01	605000	58	0.354190
(845,929)(598538,639995)(590000,640000)	chr01	615000	86	0.503058
(861,933)(608808,647580)(600000,650000)	chr01	625000	74	0.499245
(882,933)(615547,647580)(610000,660000)	chr01	635000	53	0.534772
(888,945)(622726,664539)(620000,670000)	chr01	645000	59	0.443863
(902,1012)(631986,679765)(630000,680000)	chr01	655000	112	0.416269
(930,1018)(640931,687635)(640000,690000)	chr01	665000	90	0.337679
(934,1021)(664341,699440)(650000,700000)	chr01	675000	89	0.347751
(934,1043)(664341,705398)(660000,710000)	chr01	685000	111	0.331990
(946,1053)(670057,710536)(670000,720000)	chr01	695000	109	0.350508
(1013,1088)(687435,726176)(680000,730000)	chr01	705000	77	0.458613
(1019,1121)(699339,736121)(690000,740000)	chr01	715000	104	0.356492
(1022,1127)(702035,749383)(700000,750000)	chr01	725000	107	0.355326
(1044,1130)(710398,754850)(710000,760000)	chr01	735000	88	0.376988
(1054,1170)(720265,768507)(720000,770000)	chr01	745000	118	0.460809
(1089,1177)(730423,774383)(730000,780000)	chr01	755000	90	0.456596
(1122,1178)(749258,780712)(740000,790000)	chr01	765000	58	0.611153
(1128,1178)(751549,780712)(750000,800000)	chr01	775000	52	0.626036
(1131,1182)(760149,800296)(760000,810000)	chr01	785000	53	0.634762
(1171,1212)(771638,819725)(770000,820000)	chr01	795000	43	0.389329
(1178,1214)(780712,824471)(780000,830000)	chr01	805000	38	0.293089
(1179,1268)(800261,839979)(790000,840000)	chr01	815000	91	0.200207
(1179,1269)(800261,849991)(800000,850000)	chr01	825000	92	0.199665
(1183,1276)(816740,855718)(810000,860000)	chr01	835000	95	0.154084
(1213,1279)(824403,860813)(820000,870000)	chr01	845000	68	0.189273
(1215,1285)(830052,877821)(830000,880000)	chr01	855000	72	0.231126
(1269,1295)(849991,888203)(840000,890000)	chr01	865000	28	0.562308
(1270,1299)(852666,898885)(850000,900000)	chr01	875000	31	0.559822
(1277,1324)(860727,909640)(860000,910000)	chr01	885000	49	0.614389
(1280,1354)(876147,916778)(870000,920000)	chr01	895000	76	0.492690
(1286,1381)(885300,929364)(880000,930000)	chr01	905000	97	0.484628
(1296,1385)(898756,936207)(890000,940000)	chr01	915000	91	0.414019
(1300,1418)(902874,949937)(900000,950000)	chr01	925000	120	0.296163
(1325,1431)(911188,952812)(910000,960000)	chr01	935000	108	0.285158
(1355,1439)(921481,969688)(920000,970000)	chr01	945000	86	0.300170
(1382,1489)(933153,979790)(930000,980000)	chr01	955000	109	0.446075
(1386,1509)(941192,981690)(940000,990000)	chr01	965000	125	0.516109
(1419,1525)(951051,994392)(950000,1000000)	chr01	975000	108	0.704256
(1432,1527)(964396,1007159)(960000,1010000)	chr01	985000	97	0.725791
(1440,1563)(972160,1019757)(970000,1020000)	chr01	995000	125	0.725900
(1490,1566)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.775933
(1510,1580)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.800234
(1526,1598)(1007148,1046477)(1000000,1050000)	chr01	1025000	74	0.808848
(1528,1602)(1010494,1059378)(1010000,1060000)	chr01	1035000	76	0.798317
(1564,1618)(1023745,1067383)(1020000,1070000)	chr01	1045000	56	0.819367
