region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.794415
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.660660
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.607615
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.608025
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.535899
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.474844
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.397325
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.275611
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.310141
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.300791
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.304483
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.278580
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.275061
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.273071
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.407131
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.385263
(285,366)(175855,216859)(170000,220000)	chr01	195000	83	0.580836
(292,388)(183430,229717)(180000,230000)	chr01	205000	98	0.595310
(295,388)(193065,229717)(190000,240000)	chr01	215000	95	0.578711
(307,428)(202400,249999)(200000,250000)	chr01	225000	123	0.531670
(332,465)(214936,258347)(210000,260000)	chr01	235000	135	0.594737
(367,484)(224519,268043)(220000,270000)	chr01	245000	119	0.382618
(389,512)(241035,278351)(230000,280000)	chr01	255000	125	0.344492
(389,536)(241035,286093)(240000,290000)	chr01	265000	149	0.382795
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.416112
(466,563)(267752,305489)(260000,310000)	chr01	285000	99	0.240559
(485,563)(270347,305489)(270000,320000)	chr01	295000	80	0.331487
(513,575)(281515,324273)(280000,330000)	chr01	305000	64	0.358045
(537,601)(291233,339583)(290000,340000)	chr01	315000	66	0.413025
(546,607)(303105,348196)(300000,350000)	chr01	325000	63	0.415431
(564,625)(322110,359771)(310000,360000)	chr01	335000	63	0.405957
(564,633)(322110,360805)(320000,370000)	chr01	345000	71	0.449986
(576,652)(334023,373127)(330000,380000)	chr01	355000	78	0.377063
(602,655)(342750,384275)(340000,390000)	chr01	365000	55	0.246496
(608,663)(356572,399618)(350000,400000)	chr01	375000	57	0.353037
(626,677)(360718,406909)(360000,410000)	chr01	385000	53	0.482768
(634,715)(371165,418272)(370000,420000)	chr01	395000	83	0.467969
(653,724)(384248,426178)(380000,430000)	chr01	405000	73	0.546893
(656,724)(399494,426178)(390000,440000)	chr01	415000	70	0.551523
(664,724)(405929,426178)(400000,450000)	chr01	425000	62	0.530549
(678,737)(412909,458510)(410000,460000)	chr01	435000	61	0.636137
(716,737)(422091,458510)(420000,470000)	chr01	445000	23	0.763275
(725,750)(458290,477626)(430000,480000)	chr01	455000	27	0.654444
(725,776)(458290,489540)(440000,490000)	chr01	465000	53	0.638233
(725,787)(458290,497075)(450000,500000)	chr01	475000	64	0.623377
(738,787)(472791,497075)(460000,510000)	chr01	485000	51	0.481833
(738,788)(472791,519445)(470000,520000)	chr01	495000	52	0.487872
(751,809)(482579,527912)(480000,530000)	chr01	505000	60	0.560571
(777,809)(490388,527912)(490000,540000)	chr01	515000	34	0.498020
(788,811)(519445,546039)(500000,550000)	chr01	525000	25	0.526823
(788,811)(519445,546039)(510000,560000)	chr01	535000	25	0.526823
(789,818)(520967,567617)(520000,570000)	chr01	545000	31	0.478147
(810,818)(546012,567617)(530000,580000)	chr01	555000	10	0.372878
(810,818)(546012,567617)(540000,590000)	chr01	565000	10	0.372878
(812,834)(567497,598747)(550000,600000)	chr01	575000	24	0.561101
(812,855)(567497,609080)(560000,610000)	chr01	585000	45	0.591419
(819,855)(598538,609080)(570000,620000)	chr01	595000	38	0.631819
(819,855)(598538,609080)(580000,630000)	chr01	605000	38	0.631819
(819,877)(598538,639995)(590000,640000)	chr01	615000	60	0.606396
(835,880)(608808,647580)(600000,650000)	chr01	625000	47	0.578245
(856,880)(631986,647580)(610000,660000)	chr01	635000	26	0.534701
(856,880)(631986,647580)(620000,670000)	chr01	645000	26	0.534701
(856,884)(631986,679765)(630000,680000)	chr01	655000	30	0.503658
(878,884)(640931,679765)(640000,690000)	chr01	665000	8	0.415899
(881,887)(679713,699440)(650000,700000)	chr01	675000	8	0.356185
(881,909)(679713,705398)(660000,710000)	chr01	685000	30	0.562764
(881,919)(679713,710536)(670000,720000)	chr01	695000	40	0.496805
(885,954)(699339,726176)(680000,730000)	chr01	705000	71	0.611692
(885,987)(699339,736121)(690000,740000)	chr01	715000	104	0.561337
(888,993)(702035,749383)(700000,750000)	chr01	725000	107	0.561515
(910,996)(710398,754850)(710000,760000)	chr01	735000	88	0.531305
(920,1036)(720265,768507)(720000,770000)	chr01	745000	118	0.515367
(955,1043)(730423,774383)(730000,780000)	chr01	755000	90	0.381080
(988,1044)(749258,780712)(740000,790000)	chr01	765000	58	0.388846
(994,1044)(751549,780712)(750000,800000)	chr01	775000	52	0.390892
(997,1048)(760149,800296)(760000,810000)	chr01	785000	53	0.405902
(1037,1078)(771638,819725)(770000,820000)	chr01	795000	43	0.337966
(1044,1080)(780712,824471)(780000,830000)	chr01	805000	38	0.351013
(1045,1133)(800261,839979)(790000,840000)	chr01	815000	90	0.326148
(1045,1134)(800261,849991)(800000,850000)	chr01	825000	91	0.325860
(1049,1139)(816740,852734)(810000,860000)	chr01	835000	92	0.323191
(1079,1142)(824403,860813)(820000,870000)	chr01	845000	65	0.302793
(1081,1148)(830052,877821)(830000,880000)	chr01	855000	69	0.329852
(1134,1158)(849991,888203)(840000,890000)	chr01	865000	26	0.629569
(1135,1165)(852666,898756)(850000,900000)	chr01	875000	32	0.766568
(1140,1190)(860727,909640)(860000,910000)	chr01	885000	52	0.686818
(1143,1220)(876147,916778)(870000,920000)	chr01	895000	79	0.531056
(1149,1247)(881512,929364)(880000,930000)	chr01	905000	100	0.482279
(1159,1251)(893856,936207)(890000,940000)	chr01	915000	94	0.457148
(1166,1284)(902874,949937)(900000,950000)	chr01	925000	120	0.344774
(1191,1297)(911188,952812)(910000,960000)	chr01	935000	108	0.283166
(1221,1305)(921481,969688)(920000,970000)	chr01	945000	86	0.280924
(1248,1350)(933153,979790)(930000,980000)	chr01	955000	104	0.261036
(1252,1370)(941192,981690)(940000,990000)	chr01	965000	120	0.254816
(1285,1386)(951051,994392)(950000,1000000)	chr01	975000	103	0.343149
(1298,1388)(964396,1007159)(960000,1010000)	chr01	985000	92	0.365661
(1306,1424)(972160,1019757)(970000,1020000)	chr01	995000	120	0.314738
(1351,1427)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.321500
(1371,1441)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.317837
(1387,1460)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.210245
(1389,1461)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.277701
(1425,1470)(1023745,1060127)(1020000,1070000)	chr01	1045000	47	0.531664
(1428,1470)(1030079,1060127)(1030000,1080000)	chr01	1055000	44	0.549325
