region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.688623
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.596184
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.500415
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.471243
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.428347
(26,103)(66768,109295)(60000,110000)	chr01	85000	79	0.469416
(33,177)(72927,119227)(70000,120000)	chr01	95000	146	0.472332
(68,202)(99745,121372)(80000,130000)	chr01	105000	136	0.489587
(68,230)(99745,131673)(90000,140000)	chr01	115000	164	0.488592
(70,245)(101120,148599)(100000,150000)	chr01	125000	177	0.486420
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.574183
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.733102
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.756386
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.799319
(246,308)(155765,197658)(150000,200000)	chr01	175000	64	0.830791
(271,333)(165376,204116)(160000,210000)	chr01	185000	64	0.817413
(292,368)(175855,216859)(170000,220000)	chr01	195000	78	0.803634
(299,390)(183430,229717)(180000,230000)	chr01	205000	93	0.792989
(302,390)(195626,229717)(190000,240000)	chr01	215000	90	0.796744
(309,428)(202400,249999)(200000,250000)	chr01	225000	121	0.770334
(334,465)(214936,258347)(210000,260000)	chr01	235000	133	0.718591
(369,484)(224519,268043)(220000,270000)	chr01	245000	117	0.575989
(391,513)(241035,278351)(230000,280000)	chr01	255000	124	0.563666
(391,537)(241035,286093)(240000,290000)	chr01	265000	148	0.547203
(429,546)(250021,296664)(250000,300000)	chr01	275000	119	0.435438
(466,568)(267752,307842)(260000,310000)	chr01	285000	104	0.563992
(485,569)(270347,317230)(270000,320000)	chr01	295000	86	0.680461
(514,581)(281515,324273)(280000,330000)	chr01	305000	69	0.688608
(538,607)(291233,339583)(290000,340000)	chr01	315000	71	0.759885
(547,613)(303105,348196)(300000,350000)	chr01	325000	68	0.750837
(569,631)(317230,359771)(310000,360000)	chr01	335000	64	0.679328
(570,639)(322110,360805)(320000,370000)	chr01	345000	71	0.652472
(582,658)(334023,373127)(330000,380000)	chr01	355000	78	0.653761
(608,658)(342750,373127)(340000,390000)	chr01	365000	52	0.612725
(614,666)(356572,399618)(350000,400000)	chr01	375000	54	0.570328
(632,679)(360718,406783)(360000,410000)	chr01	385000	49	0.687520
(640,706)(371165,418272)(370000,420000)	chr01	395000	68	0.640196
(659,715)(399494,426178)(380000,430000)	chr01	405000	58	0.703747
(659,715)(399494,426178)(390000,440000)	chr01	415000	58	0.703747
(667,717)(405929,447272)(400000,450000)	chr01	425000	52	0.738288
(680,717)(413073,447272)(410000,460000)	chr01	435000	39	0.645374
(707,717)(422091,447272)(420000,470000)	chr01	445000	12	0.906383
(716,730)(447245,477626)(430000,480000)	chr01	455000	16	0.499451
(716,751)(447245,489386)(440000,490000)	chr01	465000	37	0.662761
(718,762)(472791,497075)(450000,500000)	chr01	475000	46	0.727427
(718,762)(472791,497075)(460000,510000)	chr01	485000	46	0.727427
(718,763)(472791,519445)(470000,520000)	chr01	495000	47	0.705007
(731,775)(482579,525090)(480000,530000)	chr01	505000	46	0.766853
(752,775)(490388,525090)(490000,540000)	chr01	515000	25	0.758939
(763,777)(519445,546039)(500000,550000)	chr01	525000	16	0.737935
(763,778)(519445,556579)(510000,560000)	chr01	535000	17	0.737529
(764,785)(520967,567617)(520000,570000)	chr01	545000	23	0.777191
(776,785)(546012,567617)(530000,580000)	chr01	555000	11	0.840919
(776,785)(546012,567617)(540000,590000)	chr01	565000	11	0.840919
(778,801)(556579,598747)(550000,600000)	chr01	575000	25	0.551256
(779,822)(567497,609080)(560000,610000)	chr01	585000	45	0.526710
(786,827)(598538,615712)(570000,620000)	chr01	595000	43	0.608653
(786,841)(598538,629014)(580000,630000)	chr01	605000	57	0.574524
(786,863)(598538,639995)(590000,640000)	chr01	615000	79	0.512705
(802,867)(608808,647580)(600000,650000)	chr01	625000	67	0.522148
(823,867)(615625,647580)(610000,660000)	chr01	635000	46	0.529909
(828,879)(622726,664539)(620000,670000)	chr01	645000	53	0.483239
(842,946)(631986,679765)(630000,680000)	chr01	655000	106	0.568247
(864,946)(640931,679765)(640000,690000)	chr01	665000	84	0.602432
(868,949)(664341,699440)(650000,700000)	chr01	675000	83	0.605602
(868,971)(664341,705398)(660000,710000)	chr01	685000	105	0.573808
