region	chr	midPos	Nsites
(2,20)(34877,49138)(10000,60000)	chr01	35000	20	0.249571
(2,20)(34877,49138)(20000,70000)	chr01	45000	20	0.249571
(2,55)(34877,79275)(30000,80000)	chr01	55000	55	0.521311
(3,55)(40565,79275)(40000,90000)	chr01	65000	54	0.521631
(21,57)(72927,99748)(50000,100000)	chr01	75000	38	0.617061
(21,90)(72927,109295)(60000,110000)	chr01	85000	71	0.731640
(21,147)(72927,119132)(70000,120000)	chr01	95000	128	0.817009
(56,172)(99745,121372)(80000,130000)	chr01	105000	118	0.871980
(56,186)(99745,131673)(90000,140000)	chr01	115000	132	0.881423
(58,201)(101120,148599)(100000,150000)	chr01	125000	145	0.858653
(91,226)(112439,159252)(110000,160000)	chr01	135000	137	0.852407
(148,247)(121114,169571)(120000,170000)	chr01	145000	101	0.779727
(173,254)(131445,175991)(130000,180000)	chr01	155000	83	0.763174
(187,257)(146066,183449)(140000,190000)	chr01	165000	72	0.729561
(202,269)(155765,197658)(150000,200000)	chr01	175000	69	0.753349
(227,294)(165376,204116)(160000,210000)	chr01	185000	69	0.794013
(248,321)(175855,216832)(170000,220000)	chr01	195000	75	0.816051
(255,342)(183430,229717)(180000,230000)	chr01	205000	89	0.832912
(258,342)(193065,229717)(190000,240000)	chr01	215000	86	0.837945
(270,380)(202400,249999)(200000,250000)	chr01	225000	112	0.841838
(295,416)(215040,257533)(210000,260000)	chr01	235000	123	0.777036
(322,435)(224519,268043)(220000,270000)	chr01	245000	115	0.760673
(343,462)(241035,278351)(230000,280000)	chr01	255000	121	0.742679
(343,483)(241035,286071)(240000,290000)	chr01	265000	142	0.749184
(381,490)(250021,291347)(250000,300000)	chr01	275000	111	0.747895
(417,501)(267752,305489)(260000,310000)	chr01	285000	86	0.807151
(436,501)(270347,305489)(270000,320000)	chr01	295000	67	0.831789
(463,513)(281515,324273)(280000,330000)	chr01	305000	52	0.858803
(484,539)(291233,339583)(290000,340000)	chr01	315000	57	0.919384
(491,545)(305433,348196)(300000,350000)	chr01	325000	56	0.921856
(502,562)(322110,359771)(310000,360000)	chr01	335000	62	0.830478
(502,570)(322110,360805)(320000,370000)	chr01	345000	70	0.800797
(514,589)(334023,373127)(330000,380000)	chr01	355000	77	0.778230
(540,592)(342750,384275)(340000,390000)	chr01	365000	54	0.726654
(546,600)(356572,399618)(350000,400000)	chr01	375000	56	0.695291
(563,609)(360718,406909)(360000,410000)	chr01	385000	48	0.666888
(571,645)(371165,418272)(370000,420000)	chr01	395000	76	0.721743
(590,654)(384248,426178)(380000,430000)	chr01	405000	66	0.723547
(593,654)(399494,426178)(390000,440000)	chr01	415000	63	0.704343
(601,665)(405929,447419)(400000,450000)	chr01	425000	66	0.758440
(610,678)(412986,458510)(410000,460000)	chr01	435000	70	0.749805
(646,678)(422091,458510)(420000,470000)	chr01	445000	34	0.746935
(655,688)(440110,476556)(430000,480000)	chr01	455000	35	0.669551
(655,714)(440110,489540)(440000,490000)	chr01	465000	61	0.634927
(666,725)(458290,497075)(450000,500000)	chr01	475000	61	0.540834
(679,725)(472791,497075)(460000,510000)	chr01	485000	48	0.597320
(679,726)(472791,519445)(470000,520000)	chr01	495000	49	0.622705
(689,747)(482579,527912)(480000,530000)	chr01	505000	60	0.646018
(715,747)(490388,527912)(490000,540000)	chr01	515000	34	0.712793
(726,749)(519445,546039)(500000,550000)	chr01	525000	25	0.631771
(726,756)(519445,556579)(510000,560000)	chr01	535000	32	0.637458
(727,763)(520967,567617)(520000,570000)	chr01	545000	38	0.588361
(748,763)(546012,567617)(530000,580000)	chr01	555000	17	0.561821
(748,763)(546012,567617)(540000,590000)	chr01	565000	17	0.561821
(750,779)(553209,598747)(550000,600000)	chr01	575000	31	0.664405
(757,800)(567497,609080)(560000,610000)	chr01	585000	45	0.502205
(764,806)(598538,615712)(570000,620000)	chr01	595000	44	0.602912
(764,820)(598538,629014)(580000,630000)	chr01	605000	58	0.577422
(764,848)(598538,639995)(590000,640000)	chr01	615000	86	0.650768
(780,850)(608808,647580)(600000,650000)	chr01	625000	72	0.644013
(801,850)(615547,647580)(610000,660000)	chr01	635000	51	0.719134
(807,861)(622726,664539)(620000,670000)	chr01	645000	56	0.679528
(821,928)(631986,679765)(630000,680000)	chr01	655000	109	0.686938
(849,934)(647375,687635)(640000,690000)	chr01	665000	87	0.675390
(851,937)(664365,699440)(650000,700000)	chr01	675000	88	0.667022
(851,955)(664365,705398)(660000,710000)	chr01	685000	106	0.704661
(862,965)(670057,710536)(670000,720000)	chr01	695000	105	0.691719
(929,997)(687435,726075)(680000,730000)	chr01	705000	70	0.644594
(935,1030)(699339,736121)(690000,740000)	chr01	715000	97	0.571162
(938,1036)(702087,749383)(700000,750000)	chr01	725000	100	0.577506
(956,1038)(710398,751567)(710000,760000)	chr01	735000	84	0.531335
(966,1074)(720265,768507)(720000,770000)	chr01	745000	110	0.596473
(998,1079)(730423,774383)(730000,780000)	chr01	755000	83	0.611245
(1031,1080)(749258,780712)(740000,790000)	chr01	765000	51	0.693144
(1037,1080)(751549,780712)(750000,800000)	chr01	775000	45	0.697830
(1039,1084)(760149,800296)(760000,810000)	chr01	785000	47	0.667589
(1075,1114)(774173,819725)(770000,820000)	chr01	795000	41	0.544208
(1080,1116)(780712,824471)(780000,830000)	chr01	805000	38	0.565397
(1081,1168)(800261,839979)(790000,840000)	chr01	815000	89	0.576675
(1081,1169)(800261,849991)(800000,850000)	chr01	825000	90	0.576590
(1085,1176)(816740,855718)(810000,860000)	chr01	835000	93	0.570326
(1115,1179)(824403,860813)(820000,870000)	chr01	845000	66	0.556001
(1117,1185)(830052,877821)(830000,880000)	chr01	855000	70	0.557599
(1169,1197)(849991,888203)(840000,890000)	chr01	865000	30	0.726647
