name1	name2	size.bp
chr01	Sc6Lk9p_174;HRSCAF=212	3561560
chr02	Sc6Lk9p_624;HRSCAF=756	2978886
chr03	Sc6Lk9p_379;HRSCAF=462	2789249
chr04	Sc6Lk9p_81;HRSCAF=104	2788748
chr05	Sc6Lk9p_346;HRSCAF=420	2514902
chr06	Sc6Lk9p_313;HRSCAF=378	2492776
chr07	Sc6Lk9p_76;HRSCAF=98	2329631
chr08	Sc6Lk9p_694;HRSCAF=844	2232126
chr09	Sc6Lk9p_74;HRSCAF=95	2165415
chr10	Sc6Lk9p_214;HRSCAF=260	2062363
chr11	Sc6Lk9p_258;HRSCAF=310	1936633
chr12	Sc6Lk9p_731;HRSCAF=925	1836688
chr13	Sc6Lk9p_550;HRSCAF=669	1809669
chr14	Sc6Lk9p_13;HRSCAF=14	1800760
chr15	Sc6Lk9p_125;HRSCAF=157	1777315
chr16	Sc6Lk9p_48;HRSCAF=62	1768953
chr17	Sc6Lk9p_285;HRSCAF=342	1705045
chr18	Sc6Lk9p_99;HRSCAF=125	1611111
chr19	Sc6Lk9p_588;HRSCAF=714	1598168
chr20	Sc6Lk9p_729;HRSCAF=893	1524965
chr21	Sc6Lk9p_72;HRSCAF=92	1488406
chr22	Sc6Lk9p_409;HRSCAF=500	1049767
chr23	Sc6Lk9p_730;HRSCAF=911	245746
chr24	Sc6Lk9p_223;HRSCAF=270	78972
