region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.680285
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.545834
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.498019
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.479642
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.475086
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.575741
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.533386
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.522337
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.495531
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.494022
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.406405
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.490590
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.498726
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.530512
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.476921
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.440249
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.207915
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.295362
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.297206
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.471524
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.513562
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.568070
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.535339
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.518632
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.437655
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.381087
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.471143
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.473822
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.560017
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.539464
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.515514
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.523935
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.582976
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.599784
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.588038
(641,691)(360718,406783)(360000,410000)	chr01	385000	52	0.759590
(649,718)(371165,418272)(370000,420000)	chr01	395000	71	0.720184
(668,727)(384248,426178)(380000,430000)	chr01	405000	61	0.722620
(671,727)(399494,426178)(390000,440000)	chr01	415000	58	0.706822
