region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.548166
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.548229
(24,60)(66768,99748)(50000,100000)	chr01	75000	38	0.540554
(24,95)(66768,109295)(60000,110000)	chr01	85000	73	0.426588
(31,169)(72990,119227)(70000,120000)	chr01	95000	140	0.305114
(59,194)(99745,121372)(80000,130000)	chr01	105000	137	0.202624
(59,222)(99745,131673)(90000,140000)	chr01	115000	165	0.172240
(61,237)(101120,148599)(100000,150000)	chr01	125000	178	0.168633
(96,262)(112439,159252)(110000,160000)	chr01	135000	168	0.197029
(170,283)(121114,169571)(120000,170000)	chr01	145000	115	0.177470
(195,290)(130856,175991)(130000,180000)	chr01	155000	97	0.202327
(223,293)(146066,183449)(140000,190000)	chr01	165000	72	0.242165
(238,305)(155765,197658)(150000,200000)	chr01	175000	69	0.261466
(263,323)(165376,204116)(160000,210000)	chr01	185000	62	0.419327
(284,357)(175855,216832)(170000,220000)	chr01	195000	75	0.642035
(291,379)(183430,229717)(180000,230000)	chr01	205000	90	0.722377
(294,379)(193065,229717)(190000,240000)	chr01	215000	87	0.754508
(306,419)(202400,249999)(200000,250000)	chr01	225000	115	0.746564
(324,451)(214936,257533)(210000,260000)	chr01	235000	129	0.750220
(358,470)(224519,268043)(220000,270000)	chr01	245000	114	0.731390
(380,499)(241035,278351)(230000,280000)	chr01	255000	121	0.733868
(380,523)(241035,286093)(240000,290000)	chr01	265000	145	0.746057
(420,532)(250021,296664)(250000,300000)	chr01	275000	114	0.778571
(452,554)(267752,307842)(260000,310000)	chr01	285000	104	0.691211
(471,555)(270347,317230)(270000,320000)	chr01	295000	86	0.698093
(500,567)(281515,324273)(280000,330000)	chr01	305000	69	0.698462
(524,578)(291233,339583)(290000,340000)	chr01	315000	56	0.707647
(533,584)(303105,348196)(300000,350000)	chr01	325000	53	0.698655
(555,601)(317230,359771)(310000,360000)	chr01	335000	48	0.803853
(556,609)(322110,360805)(320000,370000)	chr01	345000	55	0.802976
