region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.230567
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.230650
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.270201
(24,100)(66768,109295)(60000,110000)	chr01	85000	78	0.376808
(31,174)(72927,119227)(70000,120000)	chr01	95000	145	0.357200
(66,199)(99745,121372)(80000,130000)	chr01	105000	135	0.384517
(66,227)(99745,131673)(90000,140000)	chr01	115000	163	0.352982
(68,242)(101120,148599)(100000,150000)	chr01	125000	176	0.398633
(101,267)(112439,159252)(110000,160000)	chr01	135000	168	0.329027
(175,288)(121114,169571)(120000,170000)	chr01	145000	115	0.357158
(200,295)(130856,175991)(130000,180000)	chr01	155000	97	0.386442
(228,298)(146066,183449)(140000,190000)	chr01	165000	72	0.446460
(243,310)(155765,197658)(150000,200000)	chr01	175000	69	0.346808
(268,335)(165376,204116)(160000,210000)	chr01	185000	69	0.407545
(289,370)(175855,216859)(170000,220000)	chr01	195000	83	0.451254
(296,390)(183430,229717)(180000,230000)	chr01	205000	96	0.455128
(299,390)(193065,229717)(190000,240000)	chr01	215000	93	0.456238
(311,428)(202400,249999)(200000,250000)	chr01	225000	119	0.614069
(336,464)(214936,257533)(210000,260000)	chr01	235000	130	0.667794
(371,483)(224519,268043)(220000,270000)	chr01	245000	114	0.654055
(391,512)(241035,278351)(230000,280000)	chr01	255000	123	0.632374
(391,536)(241035,286093)(240000,290000)	chr01	265000	147	0.602812
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.438570
(465,567)(267752,307842)(260000,310000)	chr01	285000	104	0.187234
(484,568)(270347,317230)(270000,320000)	chr01	295000	86	0.245168
(513,580)(281515,324273)(280000,330000)	chr01	305000	69	0.132070
(537,606)(291233,339583)(290000,340000)	chr01	315000	71	0.247110
(546,612)(303105,348196)(300000,350000)	chr01	325000	68	0.248780
(568,630)(317230,359771)(310000,360000)	chr01	335000	64	0.242475
(569,638)(322110,360805)(320000,370000)	chr01	345000	71	0.229042
(581,657)(334023,373127)(330000,380000)	chr01	355000	78	0.258964
(607,660)(342750,384275)(340000,390000)	chr01	365000	55	0.250645
(613,668)(356572,399618)(350000,400000)	chr01	375000	57	0.235009
(631,682)(360718,406909)(360000,410000)	chr01	385000	53	0.450496
(639,720)(371165,418272)(370000,420000)	chr01	395000	83	0.393922
(658,729)(384248,426178)(380000,430000)	chr01	405000	73	0.426387
(661,729)(399494,426178)(390000,440000)	chr01	415000	70	0.388726
