region	chr	midPos	Nsites
(2,20)(34877,49138)(10000,60000)	chr01	35000	20	0.707207
(2,20)(34877,49138)(20000,70000)	chr01	45000	20	0.707207
(2,55)(34877,79275)(30000,80000)	chr01	55000	55	0.597737
(3,55)(40565,79275)(40000,90000)	chr01	65000	54	0.559470
(21,57)(72927,99748)(50000,100000)	chr01	75000	38	0.388149
(21,90)(72927,109295)(60000,110000)	chr01	85000	71	0.474192
(21,147)(72927,119132)(70000,120000)	chr01	95000	128	0.511882
(56,172)(99745,121372)(80000,130000)	chr01	105000	118	0.527430
(56,186)(99745,131673)(90000,140000)	chr01	115000	132	0.514767
(58,201)(101120,148599)(100000,150000)	chr01	125000	145	0.525276
(91,226)(112439,159252)(110000,160000)	chr01	135000	137	0.550197
(148,247)(121114,169571)(120000,170000)	chr01	145000	101	0.574248
(173,254)(131445,175991)(130000,180000)	chr01	155000	83	0.638487
(187,257)(146066,183449)(140000,190000)	chr01	165000	72	0.644883
(202,264)(155765,197658)(150000,200000)	chr01	175000	64	0.649951
(227,289)(165376,204116)(160000,210000)	chr01	185000	64	0.778597
(248,316)(175855,216832)(170000,220000)	chr01	195000	70	0.856193
(255,337)(183430,229717)(180000,230000)	chr01	205000	84	0.819243
(258,337)(195626,229717)(190000,240000)	chr01	215000	81	0.840991
(265,375)(202400,249999)(200000,250000)	chr01	225000	112	0.771724
(290,411)(215040,257533)(210000,260000)	chr01	235000	123	0.648763
(317,430)(224519,268043)(220000,270000)	chr01	245000	115	0.658911
(338,457)(241035,278351)(230000,280000)	chr01	255000	121	0.703588
(338,478)(241035,286071)(240000,290000)	chr01	265000	142	0.739405
(376,485)(250021,291347)(250000,300000)	chr01	275000	111	0.790868
(412,496)(267752,305489)(260000,310000)	chr01	285000	86	0.826437
(431,496)(270347,305489)(270000,320000)	chr01	295000	67	0.850084
(458,508)(281515,324273)(280000,330000)	chr01	305000	52	0.883562
(479,534)(291233,339583)(290000,340000)	chr01	315000	57	0.842857
(486,540)(305433,348196)(300000,350000)	chr01	325000	56	0.835464
(497,557)(322110,359771)(310000,360000)	chr01	335000	62	0.843577
(497,565)(322110,360805)(320000,370000)	chr01	345000	70	0.793262
(509,584)(334023,373127)(330000,380000)	chr01	355000	77	0.782078
(535,584)(342750,373127)(340000,390000)	chr01	365000	51	0.789574
(541,592)(356572,399618)(350000,400000)	chr01	375000	53	0.735989
(558,600)(360718,406783)(360000,410000)	chr01	385000	44	0.601038
(566,627)(371165,418272)(370000,420000)	chr01	395000	63	0.611703
(585,636)(399494,426178)(380000,430000)	chr01	405000	53	0.594394
(585,636)(399494,426178)(390000,440000)	chr01	415000	53	0.594394
(593,638)(405929,447272)(400000,450000)	chr01	425000	47	0.628847
(601,638)(413073,447272)(410000,460000)	chr01	435000	39	0.636646
(628,638)(422091,447272)(420000,470000)	chr01	445000	12	0.874815
(637,651)(447245,477626)(430000,480000)	chr01	455000	16	0.782057
(637,672)(447245,489386)(440000,490000)	chr01	465000	37	0.932582
(639,683)(472791,497075)(450000,500000)	chr01	475000	46	0.908808
(639,683)(472791,497075)(460000,510000)	chr01	485000	46	0.908808
(639,684)(472791,519445)(470000,520000)	chr01	495000	47	0.891138
(652,696)(482579,525090)(480000,530000)	chr01	505000	46	0.882683
(673,696)(490388,525090)(490000,540000)	chr01	515000	25	0.840633
(684,698)(519445,546039)(500000,550000)	chr01	525000	16	0.789225
(684,699)(519445,556579)(510000,560000)	chr01	535000	17	0.788787
(685,706)(520967,567617)(520000,570000)	chr01	545000	23	0.808423
(697,706)(546012,567617)(530000,580000)	chr01	555000	11	0.715644
(697,706)(546012,567617)(540000,590000)	chr01	565000	11	0.715644
(699,722)(556579,598747)(550000,600000)	chr01	575000	25	0.756622
(700,743)(567497,609080)(560000,610000)	chr01	585000	45	0.737704
(707,748)(598538,615712)(570000,620000)	chr01	595000	43	0.802385
(707,762)(598538,629014)(580000,630000)	chr01	605000	57	0.744604
(707,784)(598538,639995)(590000,640000)	chr01	615000	79	0.578954
(723,786)(608808,647580)(600000,650000)	chr01	625000	65	0.499092
(744,786)(615625,647580)(610000,660000)	chr01	635000	44	0.504766
(749,798)(622726,664539)(620000,670000)	chr01	645000	51	0.431610
(763,865)(631986,679765)(630000,680000)	chr01	655000	104	0.508419
(785,871)(647375,687635)(640000,690000)	chr01	665000	88	0.546200
(787,874)(664341,699440)(650000,700000)	chr01	675000	89	0.565023
(787,892)(664341,705398)(660000,710000)	chr01	685000	107	0.608490
(799,902)(670057,710536)(670000,720000)	chr01	695000	105	0.621010
(866,934)(687435,726075)(680000,730000)	chr01	705000	70	0.655730
(872,967)(699339,736121)(690000,740000)	chr01	715000	97	0.624639
(875,973)(702087,749383)(700000,750000)	chr01	725000	100	0.631339
(893,975)(710398,751567)(710000,760000)	chr01	735000	84	0.595837
(903,1011)(720265,768507)(720000,770000)	chr01	745000	110	0.634158
(935,1016)(730423,774383)(730000,780000)	chr01	755000	83	0.675794
(968,1017)(749258,780712)(740000,790000)	chr01	765000	51	0.713805
(974,1017)(751549,780712)(750000,800000)	chr01	775000	45	0.703770
(976,1021)(760149,800296)(760000,810000)	chr01	785000	47	0.674400
(1012,1051)(774173,819725)(770000,820000)	chr01	795000	41	0.907769
(1017,1053)(780712,824471)(780000,830000)	chr01	805000	38	0.910666
(1018,1105)(800261,839979)(790000,840000)	chr01	815000	89	0.869764
(1018,1106)(800261,849991)(800000,850000)	chr01	825000	90	0.869735
