region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.451993
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.400594
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.328534
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.305105
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.337847
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.383927
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.352848
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.340281
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.318588
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.313488
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.206883
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.138135
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.108988
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.085296
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.094318
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.148411
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.243810
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.295413
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.297169
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.446636
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.482132
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.495905
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.470411
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.446011
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.312651
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.208179
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.281016
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.287615
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.441834
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.424651
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.386173
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.389257
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.401113
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.378255
(623,677)(356572,399618)(350000,400000)	chr01	375000	56	0.375646
(641,690)(360718,406783)(360000,410000)	chr01	385000	51	0.657487
(649,717)(371165,418272)(370000,420000)	chr01	395000	70	0.617828
(668,726)(384248,426178)(380000,430000)	chr01	405000	60	0.650175
(671,726)(399494,426178)(390000,440000)	chr01	415000	57	0.628670
(678,746)(405929,447446)(400000,450000)	chr01	425000	70	0.629250
(691,759)(413073,458510)(410000,460000)	chr01	435000	70	0.591971
(718,759)(422091,458510)(420000,470000)	chr01	445000	43	0.635478
(727,772)(440021,477626)(430000,480000)	chr01	455000	47	0.595119
(727,793)(440021,489386)(440000,490000)	chr01	465000	68	0.576387
(747,796)(458290,497075)(450000,500000)	chr01	475000	51	0.586894
(760,796)(472791,497075)(460000,510000)	chr01	485000	38	0.485711
(760,797)(472791,519445)(470000,520000)	chr01	495000	39	0.478607
(773,818)(482579,527912)(480000,530000)	chr01	505000	47	0.431234
(794,818)(496996,527912)(490000,540000)	chr01	515000	26	0.297715
(797,820)(519445,546039)(500000,550000)	chr01	525000	25	0.350997
(797,827)(519445,556579)(510000,560000)	chr01	535000	32	0.321731
(798,834)(520967,567617)(520000,570000)	chr01	545000	38	0.336746
(819,834)(546012,567617)(530000,580000)	chr01	555000	17	0.370606
(819,834)(546012,567617)(540000,590000)	chr01	565000	17	0.370606
(821,850)(553209,598747)(550000,600000)	chr01	575000	31	0.228273
(828,871)(567497,609080)(560000,610000)	chr01	585000	45	0.266565
(835,877)(598538,615712)(570000,620000)	chr01	595000	44	0.207449
(835,891)(598538,629014)(580000,630000)	chr01	605000	58	0.167194
(835,919)(598538,639995)(590000,640000)	chr01	615000	86	0.350216
(851,923)(608808,647580)(600000,650000)	chr01	625000	74	0.370505
(872,923)(615547,647580)(610000,660000)	chr01	635000	53	0.390986
(878,935)(622726,664539)(620000,670000)	chr01	645000	59	0.369012
(892,1002)(631986,679765)(630000,680000)	chr01	655000	112	0.308332
(920,1008)(640931,687635)(640000,690000)	chr01	665000	90	0.177802
(924,1011)(664341,699440)(650000,700000)	chr01	675000	89	0.182412
(924,1033)(664341,705398)(660000,710000)	chr01	685000	111	0.190902
(936,1043)(670057,710536)(670000,720000)	chr01	695000	109	0.185563
(1003,1078)(687435,726176)(680000,730000)	chr01	705000	77	0.357549
(1009,1111)(699339,736121)(690000,740000)	chr01	715000	104	0.301651
(1012,1117)(702035,749383)(700000,750000)	chr01	725000	107	0.299596
(1034,1120)(710398,754850)(710000,760000)	chr01	735000	88	0.308469
(1044,1160)(720265,768507)(720000,770000)	chr01	745000	118	0.375319
(1079,1167)(730423,774383)(730000,780000)	chr01	755000	90	0.327883
(1112,1168)(749258,780712)(740000,790000)	chr01	765000	58	0.392032
(1118,1168)(751549,780712)(750000,800000)	chr01	775000	52	0.412928
(1121,1172)(760149,800296)(760000,810000)	chr01	785000	53	0.402819
(1161,1202)(771638,819725)(770000,820000)	chr01	795000	43	0.189776
(1168,1204)(780712,824471)(780000,830000)	chr01	805000	38	0.181586
(1169,1258)(800261,839979)(790000,840000)	chr01	815000	91	0.365423
(1169,1259)(800261,849991)(800000,850000)	chr01	825000	92	0.364613
(1173,1264)(816740,852734)(810000,860000)	chr01	835000	93	0.415026
(1203,1267)(824403,860813)(820000,870000)	chr01	845000	66	0.479164
(1205,1273)(830052,877821)(830000,880000)	chr01	855000	70	0.483889
(1259,1283)(849991,888203)(840000,890000)	chr01	865000	26	0.568619
(1260,1287)(852666,898885)(850000,900000)	chr01	875000	29	0.561509
(1265,1312)(860727,909640)(860000,910000)	chr01	885000	49	0.499616
(1268,1342)(876147,916778)(870000,920000)	chr01	895000	76	0.419622
(1274,1369)(885300,929364)(880000,930000)	chr01	905000	97	0.395228
(1284,1373)(898756,936207)(890000,940000)	chr01	915000	91	0.331039
(1288,1406)(902874,949937)(900000,950000)	chr01	925000	120	0.381031
(1313,1419)(911188,952812)(910000,960000)	chr01	935000	108	0.404737
(1343,1427)(921481,969688)(920000,970000)	chr01	945000	86	0.406197
(1370,1477)(933153,979790)(930000,980000)	chr01	955000	109	0.367638
(1374,1497)(941192,981690)(940000,990000)	chr01	965000	125	0.360643
(1407,1513)(951051,994392)(950000,1000000)	chr01	975000	108	0.341949
(1420,1515)(964396,1007159)(960000,1010000)	chr01	985000	97	0.317767
(1428,1551)(972160,1019757)(970000,1020000)	chr01	995000	125	0.330265
(1478,1554)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.353482
(1498,1568)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.359669
(1514,1587)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.360510
(1516,1591)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.373225
(1552,1607)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.453333
(1555,1607)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.456513
(1569,1630)(1040190,1088668)(1040000,1090000)	chr01	1065000	63	0.491572
(1588,1630)(1059222,1088668)(1050000,1100000)	chr01	1075000	44	0.518795
(1592,1635)(1060081,1106471)(1060000,1110000)	chr01	1085000	45	0.506272
(1608,1649)(1080464,1118148)(1070000,1120000)	chr01	1095000	43	0.425146
(1608,1661)(1080464,1129684)(1080000,1130000)	chr01	1105000	55	0.601407
(1631,1691)(1106311,1137795)(1090000,1140000)	chr01	1115000	62	0.710075
(1631,1712)(1106311,1148852)(1100000,1150000)	chr01	1125000	83	0.760007
(1636,1714)(1110213,1156484)(1110000,1160000)	chr01	1135000	80	0.760993
(1650,1742)(1125674,1169984)(1120000,1170000)	chr01	1145000	94	0.741473
(1662,1749)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.676357
(1692,1753)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.647374
(1713,1760)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.391103
(1715,1768)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.337327
(1743,1782)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.267192
(1750,1782)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.262740
(1754,1801)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.226638
(1761,1809)(1202564,1248625)(1200000,1250000)	chr01	1225000	50	0.246894
(1769,1809)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.270230
(1783,1814)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.211603
(1783,1820)(1230664,1271087)(1230000,1280000)	chr01	1255000	39	0.217126
(1802,1835)(1242138,1287173)(1240000,1290000)	chr01	1265000	35	0.190196
(1810,1838)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.145123
(1810,1881)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.150615
(1815,1889)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.197092
(1821,1898)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.201114
(1836,1922)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.226033
(1839,1956)(1306965,1348194)(1300000,1350000)	chr01	1325000	119	0.282933
(1882,1960)(1311649,1355827)(1310000,1360000)	chr01	1335000	80	0.323986
(1890,1972)(1326979,1369999)(1320000,1370000)	chr01	1345000	84	0.304561
(1899,1991)(1330096,1376926)(1330000,1380000)	chr01	1355000	94	0.290290
(1923,1993)(1340379,1380434)(1340000,1390000)	chr01	1365000	72	0.304249
(1957,2050)(1354558,1399777)(1350000,1400000)	chr01	1375000	95	0.192744
