region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.375622
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.335297
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.356321
(24,103)(66768,109295)(60000,110000)	chr01	85000	81	0.400875
(31,177)(72927,119227)(70000,120000)	chr01	95000	148	0.455387
(66,202)(99745,121372)(80000,130000)	chr01	105000	138	0.461834
(66,230)(99745,131673)(90000,140000)	chr01	115000	166	0.469544
(68,245)(101120,148599)(100000,150000)	chr01	125000	179	0.445817
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.448212
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.362611
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.396173
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.368770
(246,313)(155765,197658)(150000,200000)	chr01	175000	69	0.409842
(271,338)(165376,204116)(160000,210000)	chr01	185000	69	0.322544
(292,373)(175855,216859)(170000,220000)	chr01	195000	83	0.329683
(299,395)(183430,229717)(180000,230000)	chr01	205000	98	0.369294
(302,395)(193065,229717)(190000,240000)	chr01	215000	95	0.354880
(314,435)(202400,249999)(200000,250000)	chr01	225000	123	0.442524
(339,472)(214936,258347)(210000,260000)	chr01	235000	135	0.501378
(374,491)(224519,268043)(220000,270000)	chr01	245000	119	0.542285
(396,520)(241035,278351)(230000,280000)	chr01	255000	126	0.539576
(396,544)(241035,286093)(240000,290000)	chr01	265000	150	0.510797
(436,553)(250021,296664)(250000,300000)	chr01	275000	119	0.457203
(473,575)(267752,307842)(260000,310000)	chr01	285000	104	0.360443
(492,576)(270347,317230)(270000,320000)	chr01	295000	86	0.389607
(521,588)(281515,324273)(280000,330000)	chr01	305000	69	0.369448
(545,614)(291233,339583)(290000,340000)	chr01	315000	71	0.452792
(554,620)(303105,348196)(300000,350000)	chr01	325000	68	0.453706
(576,638)(317230,359771)(310000,360000)	chr01	335000	64	0.432109
(577,646)(322110,360805)(320000,370000)	chr01	345000	71	0.405786
(589,665)(334023,373127)(330000,380000)	chr01	355000	78	0.407400
(615,668)(342750,384275)(340000,390000)	chr01	365000	55	0.378860
(621,676)(356572,399618)(350000,400000)	chr01	375000	57	0.337382
(639,690)(360718,406909)(360000,410000)	chr01	385000	53	0.511824
(647,728)(371165,418272)(370000,420000)	chr01	395000	83	0.516899
(666,737)(384248,426178)(380000,430000)	chr01	405000	73	0.555056
(669,737)(399494,426178)(390000,440000)	chr01	415000	70	0.543280
(677,757)(405929,447446)(400000,450000)	chr01	425000	82	0.531053
(691,770)(412909,458510)(410000,460000)	chr01	435000	81	0.464130
(729,770)(422091,458510)(420000,470000)	chr01	445000	43	0.440399
(738,783)(440021,477626)(430000,480000)	chr01	455000	47	0.413384
(738,809)(440021,489540)(440000,490000)	chr01	465000	73	0.389504
(758,820)(458290,497075)(450000,500000)	chr01	475000	64	0.371481
(771,820)(472791,497075)(460000,510000)	chr01	485000	51	0.422790
(771,821)(472791,519445)(470000,520000)	chr01	495000	52	0.404531
(784,842)(482579,527912)(480000,530000)	chr01	505000	60	0.205218
(810,842)(490388,527912)(490000,540000)	chr01	515000	34	0.167989
(821,844)(519445,546039)(500000,550000)	chr01	525000	25	0.199965
(821,851)(519445,556579)(510000,560000)	chr01	535000	32	0.187383
(822,858)(520967,567617)(520000,570000)	chr01	545000	38	0.262076
(843,858)(546012,567617)(530000,580000)	chr01	555000	17	0.321436
(843,858)(546012,567617)(540000,590000)	chr01	565000	17	0.321436
(845,874)(553209,598747)(550000,600000)	chr01	575000	31	0.264759
(852,895)(567497,609080)(560000,610000)	chr01	585000	45	0.263839
(859,901)(598538,615712)(570000,620000)	chr01	595000	44	0.305644
