region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.242700
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.232201
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.236326
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.236410
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.228360
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.277228
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.228085
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.206584
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.187836
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.192914
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.151450
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.196213
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.206586
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.244701
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.243290
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.216781
(294,368)(175855,216859)(170000,220000)	chr01	195000	76	0.261736
(301,390)(183430,229717)(180000,230000)	chr01	205000	91	0.238141
(304,390)(193065,229717)(190000,240000)	chr01	215000	88	0.238710
(316,430)(202400,249999)(200000,250000)	chr01	225000	116	0.247927
(341,467)(215040,258347)(210000,260000)	chr01	235000	128	0.257452
(369,486)(224519,268043)(220000,270000)	chr01	245000	119	0.173371
(391,515)(241035,278351)(230000,280000)	chr01	255000	126	0.183322
(391,539)(241035,286093)(240000,290000)	chr01	265000	150	0.175475
(431,548)(250021,296664)(250000,300000)	chr01	275000	119	0.140896
(468,570)(267752,307842)(260000,310000)	chr01	285000	104	0.086309
(487,571)(270347,317230)(270000,320000)	chr01	295000	86	0.111710
(516,583)(281515,324273)(280000,330000)	chr01	305000	69	0.075195
(540,609)(291233,339583)(290000,340000)	chr01	315000	71	0.213094
(549,615)(303105,348196)(300000,350000)	chr01	325000	68	0.223275
(571,633)(317230,359771)(310000,360000)	chr01	335000	64	0.229531
(572,641)(322110,360805)(320000,370000)	chr01	345000	71	0.232892
(584,660)(334023,373127)(330000,380000)	chr01	355000	78	0.240945
(610,663)(342750,384275)(340000,390000)	chr01	365000	55	0.187827
(616,671)(356572,399618)(350000,400000)	chr01	375000	57	0.183650
(634,685)(360718,406909)(360000,410000)	chr01	385000	53	0.308072
(642,723)(371165,418272)(370000,420000)	chr01	395000	83	0.261755
(661,732)(384248,426178)(380000,430000)	chr01	405000	73	0.326431
(664,732)(399494,426178)(390000,440000)	chr01	415000	70	0.309719
(672,752)(405929,447446)(400000,450000)	chr01	425000	82	0.239435
(686,765)(412909,458510)(410000,460000)	chr01	435000	81	0.187790
(724,765)(422091,458510)(420000,470000)	chr01	445000	43	0.194453
(733,778)(440021,477626)(430000,480000)	chr01	455000	47	0.115288
(733,804)(440021,489540)(440000,490000)	chr01	465000	73	0.163064
(753,815)(458290,497075)(450000,500000)	chr01	475000	64	0.223952
(766,815)(472791,497075)(460000,510000)	chr01	485000	51	0.219923
(766,816)(472791,519445)(470000,520000)	chr01	495000	52	0.220387
(779,837)(482579,527912)(480000,530000)	chr01	505000	60	0.276181
(805,837)(490388,527912)(490000,540000)	chr01	515000	34	0.268410
(816,839)(519445,546039)(500000,550000)	chr01	525000	25	0.263819
(816,843)(519445,556579)(510000,560000)	chr01	535000	29	0.266100
(817,850)(520967,567617)(520000,570000)	chr01	545000	35	0.278181
(838,850)(546012,567617)(530000,580000)	chr01	555000	14	0.279343
(838,850)(546012,567617)(540000,590000)	chr01	565000	14	0.279343
(840,866)(553209,598747)(550000,600000)	chr01	575000	28	0.283255
(844,887)(567497,609080)(560000,610000)	chr01	585000	45	0.345893
(851,893)(598538,615712)(570000,620000)	chr01	595000	44	0.306806
(851,907)(598538,629014)(580000,630000)	chr01	605000	58	0.243716
(851,935)(598538,639995)(590000,640000)	chr01	615000	86	0.218110
(867,939)(608808,647580)(600000,650000)	chr01	625000	74	0.306306
(888,939)(615547,647580)(610000,660000)	chr01	635000	53	0.255218
(894,951)(622726,664539)(620000,670000)	chr01	645000	59	0.349796
(908,1018)(631986,679765)(630000,680000)	chr01	655000	112	0.440949
(936,1024)(640931,687635)(640000,690000)	chr01	665000	90	0.462035
(940,1027)(664341,699440)(650000,700000)	chr01	675000	89	0.431582
(940,1034)(664341,702232)(660000,710000)	chr01	685000	96	0.428650
(952,1044)(670057,710536)(670000,720000)	chr01	695000	94	0.451658
(1019,1079)(687435,726176)(680000,730000)	chr01	705000	62	0.370561
(1025,1112)(699339,736121)(690000,740000)	chr01	715000	89	0.281280
(1028,1118)(702035,749383)(700000,750000)	chr01	725000	92	0.278931
(1035,1121)(710398,754850)(710000,760000)	chr01	735000	88	0.266448
(1045,1161)(720265,768507)(720000,770000)	chr01	745000	118	0.405032
(1080,1168)(730423,774383)(730000,780000)	chr01	755000	90	0.439730
(1113,1169)(749258,780712)(740000,790000)	chr01	765000	58	0.574724
(1119,1169)(751549,780712)(750000,800000)	chr01	775000	52	0.595569
(1122,1173)(760149,800296)(760000,810000)	chr01	785000	53	0.619907
(1162,1203)(771638,819725)(770000,820000)	chr01	795000	43	0.499168
(1169,1205)(780712,824471)(780000,830000)	chr01	805000	38	0.527848
(1170,1259)(800261,839979)(790000,840000)	chr01	815000	91	0.500130
(1170,1260)(800261,849991)(800000,850000)	chr01	825000	92	0.499635
(1174,1265)(816740,852734)(810000,860000)	chr01	835000	93	0.484438
(1204,1268)(824403,860813)(820000,870000)	chr01	845000	66	0.455431
(1206,1274)(830052,877821)(830000,880000)	chr01	855000	70	0.448321
(1260,1286)(849991,888203)(840000,890000)	chr01	865000	28	0.348790
(1261,1301)(852666,898885)(850000,900000)	chr01	875000	42	0.444297
(1266,1326)(860727,909640)(860000,910000)	chr01	885000	62	0.420549
(1269,1356)(876147,916778)(870000,920000)	chr01	895000	89	0.318163
(1275,1383)(881512,929364)(880000,930000)	chr01	905000	110	0.302092
(1287,1387)(890743,936207)(890000,940000)	chr01	915000	102	0.269901
(1302,1420)(902874,949937)(900000,950000)	chr01	925000	120	0.251466
(1327,1433)(911188,952812)(910000,960000)	chr01	935000	108	0.239988
(1357,1441)(921481,969688)(920000,970000)	chr01	945000	86	0.230295
(1384,1491)(933153,979790)(930000,980000)	chr01	955000	109	0.143830
(1388,1511)(941192,981690)(940000,990000)	chr01	965000	125	0.141923
(1421,1527)(951051,994392)(950000,1000000)	chr01	975000	108	0.057001
(1434,1529)(964396,1007159)(960000,1010000)	chr01	985000	97	0.038351
(1442,1565)(972160,1019757)(970000,1020000)	chr01	995000	125	0.056169
(1492,1568)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.114664
(1512,1582)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.125254
(1528,1601)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.155472
(1530,1605)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.144775
(1566,1621)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.121142
(1569,1621)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.106378
(1583,1644)(1040190,1088668)(1040000,1090000)	chr01	1065000	63	0.153674
(1602,1644)(1059222,1088668)(1050000,1100000)	chr01	1075000	44	0.126455
(1606,1649)(1060081,1106471)(1060000,1110000)	chr01	1085000	45	0.140144
(1622,1663)(1080464,1118148)(1070000,1120000)	chr01	1095000	43	0.202691
(1622,1675)(1080464,1129684)(1080000,1130000)	chr01	1105000	55	0.158400
(1645,1706)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.250986
(1645,1727)(1106311,1148852)(1100000,1150000)	chr01	1125000	84	0.182738
(1650,1729)(1110213,1156484)(1110000,1160000)	chr01	1135000	81	0.175027
(1664,1757)(1125674,1169984)(1120000,1170000)	chr01	1145000	95	0.159209
(1676,1764)(1131938,1175775)(1130000,1180000)	chr01	1155000	90	0.159814
(1707,1768)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.066037
(1728,1775)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.070485
(1730,1783)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.100109
(1758,1797)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.112307
(1765,1797)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.128205
(1769,1816)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.182456
(1776,1824)(1202564,1248625)(1200000,1250000)	chr01	1225000	50	0.227550
(1784,1824)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.246033
(1798,1829)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.280215
(1798,1835)(1230664,1271087)(1230000,1280000)	chr01	1255000	39	0.227668
(1817,1850)(1242138,1287173)(1240000,1290000)	chr01	1265000	35	0.203874
(1825,1853)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.146287
(1825,1896)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.164641
(1830,1904)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.157792
(1836,1913)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.180465
(1851,1937)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.156015
(1854,1972)(1306965,1348194)(1300000,1350000)	chr01	1325000	120	0.127516
(1897,1976)(1311649,1355827)(1310000,1360000)	chr01	1335000	81	0.119054
