region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.465563
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.451411
(24,60)(66768,99748)(50000,100000)	chr01	75000	38	0.352843
(24,96)(66768,109295)(60000,110000)	chr01	85000	74	0.463660
(31,170)(72990,119227)(70000,120000)	chr01	95000	141	0.500466
(59,195)(99745,121372)(80000,130000)	chr01	105000	138	0.540028
(59,223)(99745,131673)(90000,140000)	chr01	115000	166	0.537671
(61,238)(101120,148599)(100000,150000)	chr01	125000	179	0.508037
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.466682
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.381715
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.389204
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.279245
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.287217
(264,324)(165376,204116)(160000,210000)	chr01	185000	62	0.454385
(285,359)(175855,216859)(170000,220000)	chr01	195000	76	0.591720
(292,381)(183430,229717)(180000,230000)	chr01	205000	91	0.660234
(295,381)(193065,229717)(190000,240000)	chr01	215000	88	0.675600
(307,421)(202400,249999)(200000,250000)	chr01	225000	116	0.761077
(325,453)(214936,257533)(210000,260000)	chr01	235000	130	0.788777
(360,472)(224519,268043)(220000,270000)	chr01	245000	114	0.818701
(382,501)(241035,278351)(230000,280000)	chr01	255000	121	0.804695
(382,525)(241035,286093)(240000,290000)	chr01	265000	145	0.780728
(422,534)(250021,296664)(250000,300000)	chr01	275000	114	0.752328
(454,556)(267752,307842)(260000,310000)	chr01	285000	104	0.666813
(473,557)(270347,317230)(270000,320000)	chr01	295000	86	0.675757
(502,569)(281515,324273)(280000,330000)	chr01	305000	69	0.686984
(526,585)(291233,339583)(290000,340000)	chr01	315000	61	0.733177
(535,591)(303105,348196)(300000,350000)	chr01	325000	58	0.744930
(557,608)(317230,359771)(310000,360000)	chr01	335000	53	0.846783
(558,616)(322110,360805)(320000,370000)	chr01	345000	60	0.852905
(570,635)(334023,373127)(330000,380000)	chr01	355000	67	0.784572
(586,638)(342750,384275)(340000,390000)	chr01	365000	54	0.751852
(592,646)(356572,399618)(350000,400000)	chr01	375000	56	0.702523
(609,654)(360718,406783)(360000,410000)	chr01	385000	47	0.643192
(617,690)(371165,418272)(370000,420000)	chr01	395000	75	0.768601
(636,699)(384248,426178)(380000,430000)	chr01	405000	65	0.765938
(639,699)(399494,426178)(390000,440000)	chr01	415000	62	0.762096
(647,719)(405929,447446)(400000,450000)	chr01	425000	74	0.723269
(655,732)(412986,458510)(410000,460000)	chr01	435000	79	0.766688
(691,732)(422091,458510)(420000,470000)	chr01	445000	43	0.702901
(700,745)(440021,477626)(430000,480000)	chr01	455000	47	0.672684
(700,760)(440021,489540)(440000,490000)	chr01	465000	62	0.755811
(720,771)(458290,497075)(450000,500000)	chr01	475000	53	0.844258
(733,771)(472791,497075)(460000,510000)	chr01	485000	40	0.821696
(733,772)(472791,519445)(470000,520000)	chr01	495000	41	0.819724
(746,784)(482579,525090)(480000,530000)	chr01	505000	40	0.888485
(761,784)(490388,525090)(490000,540000)	chr01	515000	25	0.843186
(772,786)(519445,546039)(500000,550000)	chr01	525000	16	0.687572
(772,787)(519445,556579)(510000,560000)	chr01	535000	17	0.684971
(773,794)(520967,567617)(520000,570000)	chr01	545000	23	0.581621
(785,794)(546012,567617)(530000,580000)	chr01	555000	11	0.502120
(785,794)(546012,567617)(540000,590000)	chr01	565000	11	0.502120
(787,810)(556579,598747)(550000,600000)	chr01	575000	25	0.336022
(788,831)(567497,609080)(560000,610000)	chr01	585000	45	0.408075
(795,837)(598538,615712)(570000,620000)	chr01	595000	44	0.541518
(795,851)(598538,629014)(580000,630000)	chr01	605000	58	0.451809
(795,873)(598538,639995)(590000,640000)	chr01	615000	80	0.404966
(811,877)(608808,647580)(600000,650000)	chr01	625000	68	0.395706
(832,877)(615547,647580)(610000,660000)	chr01	635000	47	0.373265
(838,889)(622726,664539)(620000,670000)	chr01	645000	53	0.330950
(852,956)(631986,679765)(630000,680000)	chr01	655000	106	0.508591
(874,958)(640931,687635)(640000,690000)	chr01	665000	86	0.528974
(878,961)(664341,699440)(650000,700000)	chr01	675000	85	0.560129
(878,980)(664341,705398)(660000,710000)	chr01	685000	104	0.535339
(890,990)(670057,710536)(670000,720000)	chr01	695000	102	0.545303
(957,1025)(687594,726176)(680000,730000)	chr01	705000	70	0.508384
(959,1058)(699339,736121)(690000,740000)	chr01	715000	101	0.419282
(962,1064)(702035,749383)(700000,750000)	chr01	725000	104	0.373792
(981,1067)(710398,754850)(710000,760000)	chr01	735000	88	0.393067
(991,1103)(720265,768507)(720000,770000)	chr01	745000	114	0.447693
(1026,1110)(730423,774383)(730000,780000)	chr01	755000	86	0.395120
(1059,1111)(749258,780712)(740000,790000)	chr01	765000	54	0.497941
(1065,1111)(751549,780712)(750000,800000)	chr01	775000	48	0.520630
(1068,1115)(760149,800296)(760000,810000)	chr01	785000	49	0.483884
(1104,1145)(771638,819725)(770000,820000)	chr01	795000	43	0.298990
(1111,1147)(780712,824471)(780000,830000)	chr01	805000	38	0.264333
(1112,1198)(800261,839864)(790000,840000)	chr01	815000	88	0.403858
(1112,1199)(800261,849991)(800000,850000)	chr01	825000	89	0.402693
(1116,1206)(816740,855718)(810000,860000)	chr01	835000	92	0.469590
(1146,1209)(824403,860813)(820000,870000)	chr01	845000	65	0.595006
(1148,1215)(830052,877821)(830000,880000)	chr01	855000	69	0.580146
(1199,1225)(849991,888203)(840000,890000)	chr01	865000	28	0.623418
(1200,1233)(852666,898885)(850000,900000)	chr01	875000	35	0.624498
(1207,1251)(860727,909640)(860000,910000)	chr01	885000	46	0.646033
(1210,1279)(876147,916778)(870000,920000)	chr01	895000	71	0.480674
(1216,1293)(885300,929364)(880000,930000)	chr01	905000	79	0.451320
(1226,1297)(893918,936207)(890000,940000)	chr01	915000	73	0.445482
(1234,1330)(902874,949937)(900000,950000)	chr01	925000	98	0.554272
(1252,1343)(911188,952812)(910000,960000)	chr01	935000	93	0.525749
(1280,1350)(929275,969688)(920000,970000)	chr01	945000	72	0.622640
(1294,1387)(933153,979790)(930000,980000)	chr01	955000	95	0.714698
(1298,1407)(941192,981690)(940000,990000)	chr01	965000	111	0.771428
(1331,1423)(951051,994392)(950000,1000000)	chr01	975000	94	0.790181
(1344,1425)(964396,1007159)(960000,1010000)	chr01	985000	83	0.814585
(1351,1461)(972160,1019757)(970000,1020000)	chr01	995000	112	0.718127
(1388,1464)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.659947
(1408,1478)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.285655
(1424,1497)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.272381
(1426,1501)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.278509
(1462,1517)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.340808
(1465,1517)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.342374
(1479,1539)(1040190,1088668)(1040000,1090000)	chr01	1065000	62	0.583259
(1498,1539)(1059222,1088668)(1050000,1100000)	chr01	1075000	43	0.615223
(1502,1544)(1060081,1106471)(1060000,1110000)	chr01	1085000	44	0.643382
(1518,1558)(1080464,1118148)(1070000,1120000)	chr01	1095000	42	0.818292
(1518,1570)(1080464,1129684)(1080000,1130000)	chr01	1105000	54	0.867910
(1540,1601)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.760306
(1540,1622)(1106311,1148852)(1100000,1150000)	chr01	1125000	84	0.732912
(1545,1624)(1110213,1156484)(1110000,1160000)	chr01	1135000	81	0.730905
(1559,1652)(1125674,1169984)(1120000,1170000)	chr01	1145000	95	0.693409
(1571,1659)(1131938,1175775)(1130000,1180000)	chr01	1155000	90	0.593838
(1602,1663)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.647336
(1623,1670)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.617624
(1625,1678)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.713703
(1653,1692)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.642841
(1660,1692)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.740437
(1664,1711)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.615434
(1671,1719)(1202564,1248625)(1200000,1250000)	chr01	1225000	50	0.623973
(1679,1719)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.411694
(1693,1724)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.481402
(1693,1730)(1230664,1271087)(1230000,1280000)	chr01	1255000	39	0.459399
(1712,1745)(1242138,1287173)(1240000,1290000)	chr01	1265000	35	0.625068
(1720,1748)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.642099
(1720,1791)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.647601
(1725,1799)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.677496
(1731,1808)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.684669
(1746,1832)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.637696
(1749,1866)(1306965,1348194)(1300000,1350000)	chr01	1325000	119	0.593098
(1792,1870)(1311649,1355827)(1310000,1360000)	chr01	1335000	80	0.552703
(1800,1882)(1326979,1369999)(1320000,1370000)	chr01	1345000	84	0.514598
(1809,1907)(1330096,1376926)(1330000,1380000)	chr01	1355000	100	0.578202
(1833,1909)(1340379,1380434)(1340000,1390000)	chr01	1365000	78	0.592886
(1867,1966)(1354558,1399777)(1350000,1400000)	chr01	1375000	101	0.462840
(1871,2003)(1365354,1408031)(1360000,1410000)	chr01	1385000	134	0.443989
(1883,2023)(1370042,1417953)(1370000,1420000)	chr01	1395000	142	0.485320
(1908,2045)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.514578
(1910,2053)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.516792
(1967,2075)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.676953
(2004,2075)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.763024
(2024,2091)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.730458
(2046,2102)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.358026
(2054,2111)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.356096
