region	chr	midPos	Nsites
(2,20)(34877,49138)(10000,60000)	chr01	35000	20	0.165405
(2,20)(34877,49138)(20000,70000)	chr01	45000	20	0.165405
(2,55)(34877,79275)(30000,80000)	chr01	55000	55	0.382428
(3,55)(40565,79275)(40000,90000)	chr01	65000	54	0.382594
(21,57)(72927,99748)(50000,100000)	chr01	75000	38	0.495699
(21,92)(72927,109295)(60000,110000)	chr01	85000	73	0.525812
(21,149)(72927,119132)(70000,120000)	chr01	95000	130	0.575772
(56,174)(99745,121372)(80000,130000)	chr01	105000	120	0.635244
(56,188)(99745,131673)(90000,140000)	chr01	115000	134	0.646552
(58,203)(101120,148599)(100000,150000)	chr01	125000	147	0.620292
(93,228)(112439,159252)(110000,160000)	chr01	135000	137	0.646669
(150,249)(121114,169571)(120000,170000)	chr01	145000	101	0.623081
(175,256)(131445,175991)(130000,180000)	chr01	155000	83	0.644903
(189,259)(146066,183449)(140000,190000)	chr01	165000	72	0.636223
(204,271)(155765,197658)(150000,200000)	chr01	175000	69	0.644073
(229,296)(165376,204116)(160000,210000)	chr01	185000	69	0.620499
(250,323)(175855,216832)(170000,220000)	chr01	195000	75	0.587583
(257,344)(183430,229717)(180000,230000)	chr01	205000	89	0.597027
(260,344)(193065,229717)(190000,240000)	chr01	215000	86	0.587393
(272,382)(202400,249999)(200000,250000)	chr01	225000	112	0.638109
(297,418)(215040,257533)(210000,260000)	chr01	235000	123	0.658332
(324,437)(224519,268043)(220000,270000)	chr01	245000	115	0.722929
(345,464)(241035,278351)(230000,280000)	chr01	255000	121	0.728580
(345,485)(241035,286071)(240000,290000)	chr01	265000	142	0.741642
(383,492)(250021,291347)(250000,300000)	chr01	275000	111	0.753547
(419,503)(267752,305489)(260000,310000)	chr01	285000	86	0.788007
(438,503)(270347,305489)(270000,320000)	chr01	295000	67	0.804351
(465,515)(281515,324273)(280000,330000)	chr01	305000	52	0.846545
(486,541)(291233,339583)(290000,340000)	chr01	315000	57	0.853570
(493,547)(305433,348196)(300000,350000)	chr01	325000	56	0.837410
(504,564)(322110,359771)(310000,360000)	chr01	335000	62	0.759855
(504,572)(322110,360805)(320000,370000)	chr01	345000	70	0.721474
(516,591)(334023,373127)(330000,380000)	chr01	355000	77	0.658217
(542,594)(342750,384275)(340000,390000)	chr01	365000	54	0.611724
(548,602)(356572,399618)(350000,400000)	chr01	375000	56	0.590826
(565,611)(360718,406909)(360000,410000)	chr01	385000	48	0.523077
(573,647)(371165,418272)(370000,420000)	chr01	395000	76	0.606494
(592,656)(384248,426178)(380000,430000)	chr01	405000	66	0.635599
(595,656)(399494,426178)(390000,440000)	chr01	415000	63	0.601380
(603,667)(405929,447419)(400000,450000)	chr01	425000	66	0.690454
(612,680)(412986,458510)(410000,460000)	chr01	435000	70	0.737852
(648,680)(422091,458510)(420000,470000)	chr01	445000	34	0.812929
(657,693)(440110,477626)(430000,480000)	chr01	455000	38	0.747162
(657,719)(440110,489540)(440000,490000)	chr01	465000	64	0.731995
(668,730)(458290,497075)(450000,500000)	chr01	475000	64	0.666719
(681,730)(472791,497075)(460000,510000)	chr01	485000	51	0.620996
(681,731)(472791,519445)(470000,520000)	chr01	495000	52	0.605694
(694,752)(482579,527912)(480000,530000)	chr01	505000	60	0.636150
(720,752)(490388,527912)(490000,540000)	chr01	515000	34	0.640876
(731,754)(519445,546039)(500000,550000)	chr01	525000	25	0.557745
(731,761)(519445,556579)(510000,560000)	chr01	535000	32	0.571680
(732,768)(520967,567617)(520000,570000)	chr01	545000	38	0.546573
(753,768)(546012,567617)(530000,580000)	chr01	555000	17	0.488290
(753,768)(546012,567617)(540000,590000)	chr01	565000	17	0.488290
(755,784)(553209,598747)(550000,600000)	chr01	575000	31	0.485224
(762,805)(567497,609080)(560000,610000)	chr01	585000	45	0.319865
(769,811)(598538,615712)(570000,620000)	chr01	595000	44	0.270949
(769,825)(598538,629014)(580000,630000)	chr01	605000	58	0.261435
(769,853)(598538,639995)(590000,640000)	chr01	615000	86	0.508859
(785,855)(608808,647580)(600000,650000)	chr01	625000	72	0.506413
(806,855)(615547,647580)(610000,660000)	chr01	635000	51	0.577576
(812,867)(622726,664539)(620000,670000)	chr01	645000	57	0.589931
(826,934)(631986,679765)(630000,680000)	chr01	655000	110	0.598008
(854,940)(647375,687635)(640000,690000)	chr01	665000	88	0.535355
(856,943)(664341,699440)(650000,700000)	chr01	675000	89	0.546820
(856,961)(664341,705398)(660000,710000)	chr01	685000	107	0.601443
(868,971)(670057,710536)(670000,720000)	chr01	695000	105	0.615811
(935,1003)(687435,726075)(680000,730000)	chr01	705000	70	0.631646
(941,1036)(699339,736121)(690000,740000)	chr01	715000	97	0.556038
(944,1042)(702087,749383)(700000,750000)	chr01	725000	100	0.568068
(962,1044)(710398,751567)(710000,760000)	chr01	735000	84	0.506938
(972,1080)(720265,768507)(720000,770000)	chr01	745000	110	0.532495
(1004,1085)(730423,774383)(730000,780000)	chr01	755000	83	0.550729
(1037,1086)(749258,780712)(740000,790000)	chr01	765000	51	0.635887
(1043,1086)(751549,780712)(750000,800000)	chr01	775000	45	0.623531
(1045,1090)(760149,800296)(760000,810000)	chr01	785000	47	0.594110
(1081,1120)(774173,819725)(770000,820000)	chr01	795000	41	0.424176
(1086,1122)(780712,824471)(780000,830000)	chr01	805000	38	0.426771
(1087,1174)(800261,839979)(790000,840000)	chr01	815000	89	0.489304
(1087,1175)(800261,849991)(800000,850000)	chr01	825000	90	0.489204
(1091,1182)(816740,855718)(810000,860000)	chr01	835000	93	0.479794
(1121,1185)(824403,860813)(820000,870000)	chr01	845000	66	0.503836
(1123,1191)(830052,877821)(830000,880000)	chr01	855000	70	0.501338
(1175,1203)(849991,888203)(840000,890000)	chr01	865000	30	0.685624
(1176,1218)(852666,898885)(850000,900000)	chr01	875000	44	0.707218
(1183,1229)(860727,909542)(860000,910000)	chr01	885000	48	0.779948
(1186,1259)(876147,916778)(870000,920000)	chr01	895000	75	0.801171
(1192,1286)(881512,929364)(880000,930000)	chr01	905000	96	0.740547
(1204,1290)(890743,936207)(890000,940000)	chr01	915000	88	0.712668
(1219,1323)(902874,949937)(900000,950000)	chr01	925000	106	0.685058
(1230,1336)(911188,952812)(910000,960000)	chr01	935000	108	0.646082
(1260,1344)(921481,969688)(920000,970000)	chr01	945000	86	0.590588
(1287,1389)(933153,979790)(930000,980000)	chr01	955000	104	0.622725
(1291,1409)(941192,981690)(940000,990000)	chr01	965000	120	0.568180
(1324,1425)(951051,994392)(950000,1000000)	chr01	975000	103	0.561352
(1337,1427)(964396,1007159)(960000,1010000)	chr01	985000	92	0.541528
(1345,1463)(972160,1019757)(970000,1020000)	chr01	995000	120	0.448452
(1390,1466)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.365968
(1410,1480)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.406654
(1426,1499)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.608319
(1428,1503)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.598179
(1464,1519)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.759376
(1467,1519)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.759611
(1481,1541)(1040190,1088668)(1040000,1090000)	chr01	1065000	62	0.744442
(1500,1541)(1059222,1088668)(1050000,1100000)	chr01	1075000	43	0.679386
(1504,1546)(1060081,1106471)(1060000,1110000)	chr01	1085000	44	0.723693
