region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.588543
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.588664
(24,60)(66768,99748)(50000,100000)	chr01	75000	38	0.623430
(24,94)(66768,109295)(60000,110000)	chr01	85000	72	0.566866
(31,168)(72990,119227)(70000,120000)	chr01	95000	139	0.407393
(59,193)(99745,121372)(80000,130000)	chr01	105000	136	0.328116
(59,221)(99745,131673)(90000,140000)	chr01	115000	164	0.312996
(61,236)(101120,148599)(100000,150000)	chr01	125000	177	0.336971
(95,261)(112439,159252)(110000,160000)	chr01	135000	168	0.296582
(169,282)(121114,169571)(120000,170000)	chr01	145000	115	0.352023
(194,289)(130856,175991)(130000,180000)	chr01	155000	97	0.397281
(222,292)(146066,183449)(140000,190000)	chr01	165000	72	0.491399
(237,304)(155765,197658)(150000,200000)	chr01	175000	69	0.487553
(262,322)(165376,204116)(160000,210000)	chr01	185000	62	0.619313
(283,357)(175855,216859)(170000,220000)	chr01	195000	76	0.764563
(290,379)(183430,229717)(180000,230000)	chr01	205000	91	0.803318
(293,379)(193065,229717)(190000,240000)	chr01	215000	88	0.815745
(305,417)(202400,249999)(200000,250000)	chr01	225000	114	0.822104
(323,449)(214936,257533)(210000,260000)	chr01	235000	128	0.816972
(358,468)(224519,268043)(220000,270000)	chr01	245000	112	0.842492
(380,495)(241035,278351)(230000,280000)	chr01	255000	117	0.817208
(380,509)(241035,286071)(240000,290000)	chr01	265000	131	0.810795
(418,513)(250021,291347)(250000,300000)	chr01	275000	97	0.804152
(450,532)(267752,307842)(260000,310000)	chr01	285000	84	0.780234
(469,532)(270347,307842)(270000,320000)	chr01	295000	65	0.717779
(496,544)(284710,324273)(280000,330000)	chr01	305000	50	0.761079
(510,560)(291296,339583)(290000,340000)	chr01	315000	52	0.747992
(514,566)(303105,348196)(300000,350000)	chr01	325000	54	0.787386
(533,583)(322110,359771)(310000,360000)	chr01	335000	52	0.839654
