region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.800205
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.604489
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.572894
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.573069
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.427037
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.421047
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.419945
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.363204
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.438084
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.426329
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.448150
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.544871
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.536948
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.491778
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.654057
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.558045
(285,366)(175855,216859)(170000,220000)	chr01	195000	83	0.796035
(292,388)(183430,229717)(180000,230000)	chr01	205000	98	0.801793
(295,388)(193065,229717)(190000,240000)	chr01	215000	95	0.795171
(307,428)(202400,249999)(200000,250000)	chr01	225000	123	0.711348
(332,465)(214936,258347)(210000,260000)	chr01	235000	135	0.710734
(367,484)(224519,268043)(220000,270000)	chr01	245000	119	0.305040
(389,512)(241035,278351)(230000,280000)	chr01	255000	125	0.282054
(389,536)(241035,286093)(240000,290000)	chr01	265000	149	0.362650
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.410636
(466,563)(267752,305489)(260000,310000)	chr01	285000	99	0.317719
(485,563)(270347,305489)(270000,320000)	chr01	295000	80	0.424126
(513,575)(281515,324273)(280000,330000)	chr01	305000	64	0.474820
(537,601)(291233,339583)(290000,340000)	chr01	315000	66	0.547664
(546,607)(303105,348196)(300000,350000)	chr01	325000	63	0.569133
(564,625)(322110,359771)(310000,360000)	chr01	335000	63	0.555217
(564,633)(322110,360805)(320000,370000)	chr01	345000	71	0.590027
(576,652)(334023,373127)(330000,380000)	chr01	355000	78	0.503845
(602,655)(342750,384275)(340000,390000)	chr01	365000	55	0.349853
(608,663)(356572,399618)(350000,400000)	chr01	375000	57	0.417761
(626,677)(360718,406909)(360000,410000)	chr01	385000	53	0.539585
(634,715)(371165,418272)(370000,420000)	chr01	395000	83	0.526347
(653,724)(384248,426178)(380000,430000)	chr01	405000	73	0.616678
(656,724)(399494,426178)(390000,440000)	chr01	415000	70	0.623927
(664,724)(405929,426178)(400000,450000)	chr01	425000	62	0.611019
(678,737)(412909,458510)(410000,460000)	chr01	435000	61	0.706957
(716,737)(422091,458510)(420000,470000)	chr01	445000	23	0.858486
(725,750)(458290,477626)(430000,480000)	chr01	455000	27	0.735313
(725,776)(458290,489540)(440000,490000)	chr01	465000	53	0.685528
(725,787)(458290,497075)(450000,500000)	chr01	475000	64	0.682902
(738,787)(472791,497075)(460000,510000)	chr01	485000	51	0.550887
(738,788)(472791,519445)(470000,520000)	chr01	495000	52	0.560489
(751,809)(482579,527912)(480000,530000)	chr01	505000	60	0.626513
(777,809)(490388,527912)(490000,540000)	chr01	515000	34	0.634149
(788,811)(519445,546039)(500000,550000)	chr01	525000	25	0.677034
(788,811)(519445,546039)(510000,560000)	chr01	535000	25	0.677034
(789,818)(520967,567617)(520000,570000)	chr01	545000	31	0.680536
(810,818)(546012,567617)(530000,580000)	chr01	555000	10	0.794461
(810,818)(546012,567617)(540000,590000)	chr01	565000	10	0.794461
(812,834)(567497,598747)(550000,600000)	chr01	575000	24	0.615941
(812,855)(567497,609080)(560000,610000)	chr01	585000	45	0.577988
(819,855)(598538,609080)(570000,620000)	chr01	595000	38	0.564234
(819,855)(598538,609080)(580000,630000)	chr01	605000	38	0.564234
(819,877)(598538,639995)(590000,640000)	chr01	615000	60	0.546144
(835,880)(608808,647580)(600000,650000)	chr01	625000	47	0.524110
(856,880)(631986,647580)(610000,660000)	chr01	635000	26	0.509242
(856,880)(631986,647580)(620000,670000)	chr01	645000	26	0.509242
(856,884)(631986,679765)(630000,680000)	chr01	655000	30	0.485920
(878,884)(640931,679765)(640000,690000)	chr01	665000	8	0.397230
(881,887)(679713,699440)(650000,700000)	chr01	675000	8	0.326026
(881,901)(679713,705398)(660000,710000)	chr01	685000	22	0.725829
(881,911)(679713,710536)(670000,720000)	chr01	695000	32	0.719450
(885,946)(699339,726176)(680000,730000)	chr01	705000	63	0.738198
(885,979)(699339,736121)(690000,740000)	chr01	715000	96	0.673038
(888,985)(702035,749383)(700000,750000)	chr01	725000	99	0.681826
(902,988)(710398,754850)(710000,760000)	chr01	735000	88	0.631946
(912,1028)(720265,768507)(720000,770000)	chr01	745000	118	0.624221
(947,1035)(730423,774383)(730000,780000)	chr01	755000	90	0.517013
(980,1036)(749258,780712)(740000,790000)	chr01	765000	58	0.588614
(986,1036)(751549,780712)(750000,800000)	chr01	775000	52	0.583134
(989,1040)(760149,800296)(760000,810000)	chr01	785000	53	0.604884
(1029,1070)(771638,819725)(770000,820000)	chr01	795000	43	0.333080
(1036,1072)(780712,824471)(780000,830000)	chr01	805000	38	0.371336
(1037,1125)(800261,839979)(790000,840000)	chr01	815000	90	0.332250
(1037,1126)(800261,849991)(800000,850000)	chr01	825000	91	0.332135
(1041,1131)(816740,852734)(810000,860000)	chr01	835000	92	0.318298
(1071,1134)(824403,860813)(820000,870000)	chr01	845000	65	0.313154
(1073,1140)(830052,877821)(830000,880000)	chr01	855000	69	0.341906
(1126,1150)(849991,888203)(840000,890000)	chr01	865000	26	0.596529
(1127,1157)(852666,898756)(850000,900000)	chr01	875000	32	0.745669
(1132,1182)(860727,909640)(860000,910000)	chr01	885000	52	0.731565
(1135,1212)(876147,916778)(870000,920000)	chr01	895000	79	0.517672
(1141,1239)(881512,929364)(880000,930000)	chr01	905000	100	0.446903
(1151,1243)(893856,936207)(890000,940000)	chr01	915000	94	0.411558
(1158,1276)(902874,949937)(900000,950000)	chr01	925000	120	0.346657
(1183,1289)(911188,952812)(910000,960000)	chr01	935000	108	0.310066
(1213,1297)(921481,969688)(920000,970000)	chr01	945000	86	0.321244
(1240,1342)(933153,979790)(930000,980000)	chr01	955000	104	0.327247
(1244,1362)(941192,981690)(940000,990000)	chr01	965000	120	0.337392
(1277,1378)(951051,994392)(950000,1000000)	chr01	975000	103	0.388005
(1290,1380)(964396,1007159)(960000,1010000)	chr01	985000	92	0.357285
(1298,1416)(972160,1019757)(970000,1020000)	chr01	995000	120	0.323450
(1343,1419)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.368459
(1363,1433)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.368216
(1379,1452)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.317062
(1381,1453)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.323011
(1417,1462)(1023745,1060127)(1020000,1070000)	chr01	1045000	47	0.452418
(1420,1462)(1030079,1060127)(1030000,1080000)	chr01	1055000	44	0.466869
(1434,1472)(1040190,1088668)(1040000,1090000)	chr01	1065000	40	0.586530
(1453,1472)(1059222,1088668)(1050000,1100000)	chr01	1075000	21	0.579097
(1454,1477)(1060081,1106471)(1060000,1110000)	chr01	1085000	25	0.586785
(1463,1480)(1080464,1118148)(1070000,1120000)	chr01	1095000	19	0.611567
(1463,1487)(1080464,1129684)(1080000,1130000)	chr01	1105000	26	0.626905
(1473,1517)(1106311,1137795)(1090000,1140000)	chr01	1115000	46	0.648053
(1473,1538)(1106311,1148852)(1100000,1150000)	chr01	1125000	67	0.665789
(1478,1540)(1110213,1156484)(1110000,1160000)	chr01	1135000	64	0.668020
(1481,1568)(1125674,1169984)(1120000,1170000)	chr01	1145000	89	0.604870
(1488,1575)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.569130
(1518,1579)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.504332
(1539,1586)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.234987
(1541,1594)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.238023
(1569,1608)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.310202
(1576,1608)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.354347
(1580,1627)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.338606
(1587,1631)(1202564,1248625)(1200000,1250000)	chr01	1225000	46	0.322450
(1595,1631)(1215791,1248625)(1210000,1260000)	chr01	1235000	38	0.336108
(1609,1636)(1230664,1266942)(1220000,1270000)	chr01	1245000	29	0.465563
(1609,1642)(1230664,1271087)(1230000,1280000)	chr01	1255000	35	0.433591
(1628,1656)(1247842,1287173)(1240000,1290000)	chr01	1265000	30	0.667535
(1632,1659)(1260436,1299829)(1250000,1300000)	chr01	1275000	29	0.739891
(1632,1702)(1260436,1309752)(1260000,1310000)	chr01	1285000	72	0.598940
(1637,1710)(1271029,1311855)(1270000,1320000)	chr01	1295000	75	0.575008
(1643,1719)(1281877,1328440)(1280000,1330000)	chr01	1305000	78	0.617745
(1657,1742)(1299742,1339830)(1290000,1340000)	chr01	1315000	87	0.510390
(1660,1777)(1306965,1348194)(1300000,1350000)	chr01	1325000	119	0.479375
(1703,1781)(1311649,1355827)(1310000,1360000)	chr01	1335000	80	0.481210
(1711,1793)(1326979,1369999)(1320000,1370000)	chr01	1345000	84	0.460922
(1720,1812)(1330096,1376926)(1330000,1380000)	chr01	1355000	94	0.404353
(1743,1814)(1340379,1380434)(1340000,1390000)	chr01	1365000	73	0.438957
(1778,1871)(1354558,1399777)(1350000,1400000)	chr01	1375000	95	0.364320
(1782,1908)(1365354,1408031)(1360000,1410000)	chr01	1385000	128	0.343459
(1794,1928)(1370042,1417953)(1370000,1420000)	chr01	1395000	136	0.330784
(1813,1950)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.288840
(1815,1958)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.320373
(1872,1980)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.419819
(1909,1980)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.427542
(1929,1996)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.491846
(1951,2007)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.554319
(1959,2016)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.531069
(1981,2028)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.384005
(1981,2028)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.384005
(1997,2030)(1470369,1518877)(1470000,1520000)	chr01	1495000	35	0.395692
(2008,2056)(1480472,1528219)(1480000,1530000)	chr01	1505000	50	0.308792
(2017,2062)(1494294,1539114)(1490000,1540000)	chr01	1515000	47	0.340558
(2029,2077)(1518851,1541686)(1500000,1550000)	chr01	1525000	50	0.377694
(2029,2084)(1518851,1559963)(1510000,1560000)	chr01	1535000	57	0.387091
(2031,2089)(1520238,1565601)(1520000,1570000)	chr01	1545000	60	0.262260
(2057,2099)(1534100,1576258)(1530000,1580000)	chr01	1555000	44	0.188568
(2063,2111)(1540673,1589999)(1540000,1590000)	chr01	1565000	50	0.183826
(2078,2129)(1557459,1594343)(1550000,1600000)	chr01	1575000	53	0.215947
(2085,2148)(1565554,1609534)(1560000,1610000)	chr01	1585000	65	0.268898
(2090,2169)(1571517,1615954)(1570000,1620000)	chr01	1595000	81	0.317392
(2100,2181)(1582529,1625070)(1580000,1630000)	chr01	1605000	83	0.382052
(2112,2181)(1590004,1625070)(1590000,1640000)	chr01	1615000	71	0.353490
(2130,2211)(1602281,1647959)(1600000,1650000)	chr01	1625000	83	0.340226
(2149,2235)(1614247,1659319)(1610000,1660000)	chr01	1635000	88	0.344476
(2170,2254)(1622917,1668636)(1620000,1670000)	chr01	1645000	86	0.370357
(2182,2286)(1641495,1679436)(1630000,1680000)	chr01	1655000	106	0.352538
(2182,2298)(1641495,1686842)(1640000,1690000)	chr01	1665000	118	0.339995
(2212,2306)(1655037,1699901)(1650000,1700000)	chr01	1675000	96	0.338626
(2236,2310)(1666837,1707624)(1660000,1710000)	chr01	1685000	76	0.298869
(2255,2311)(1672203,1718665)(1670000,1720000)	chr01	1695000	58	0.235468
(2287,2324)(1684895,1726909)(1680000,1730000)	chr01	1705000	39	0.235198
(2299,2365)(1694753,1739508)(1690000,1740000)	chr01	1715000	68	0.221665
(2307,2381)(1707516,1747885)(1700000,1750000)	chr01	1725000	76	0.216894
(2311,2397)(1718665,1759177)(1710000,1760000)	chr01	1735000	88	0.216220
(2312,2426)(1726685,1768287)(1720000,1770000)	chr01	1745000	116	0.171964
(2325,2445)(1730802,1778629)(1730000,1780000)	chr01	1755000	122	0.197795
(2366,2467)(1741381,1788908)(1740000,1790000)	chr01	1765000	103	0.201320
(2382,2467)(1750964,1788908)(1750000,1800000)	chr01	1775000	87	0.201841
(2398,2475)(1760369,1809286)(1760000,1810000)	chr01	1785000	79	0.213041
(2427,2512)(1775143,1819814)(1770000,1820000)	chr01	1795000	87	0.538102
(2446,2544)(1785664,1829936)(1780000,1830000)	chr01	1805000	100	0.456130
(2468,2551)(1808990,1834989)(1790000,1840000)	chr01	1815000	85	0.416543
(2468,2567)(1808990,1845832)(1800000,1850000)	chr01	1825000	101	0.359820
(2476,2576)(1810148,1857922)(1810000,1860000)	chr01	1835000	102	0.342660
(2513,2576)(1820045,1857922)(1820000,1870000)	chr01	1845000	65	0.218686
(2545,2577)(1833262,1874016)(1830000,1880000)	chr01	1855000	34	0.217179
(2552,2602)(1844345,1886510)(1840000,1890000)	chr01	1865000	52	0.284777
(2568,2605)(1857713,1891379)(1850000,1900000)	chr01	1875000	39	0.321820
(2577,2605)(1874016,1891379)(1860000,1910000)	chr01	1885000	30	0.373190
(2577,2605)(1874016,1891379)(1870000,1920000)	chr01	1895000	30	0.373190
(2578,2619)(1882508,1927820)(1880000,1930000)	chr01	1905000	43	0.364009
(2603,2628)(1891326,1938492)(1890000,1940000)	chr01	1915000	27	0.332494
(2606,2631)(1921289,1943645)(1900000,1950000)	chr01	1925000	27	0.432520
(2606,2642)(1921289,1959486)(1910000,1960000)	chr01	1935000	38	0.291136
