region	chr	midPos	Nsites
(2,20)(34877,49138)(10000,60000)	chr01	35000	20	0.236198
(2,20)(34877,49138)(20000,70000)	chr01	45000	20	0.236198
(2,55)(34877,79275)(30000,80000)	chr01	55000	55	0.426006
(3,55)(40565,79275)(40000,90000)	chr01	65000	54	0.426163
(21,57)(72927,99748)(50000,100000)	chr01	75000	38	0.554364
(21,92)(72927,109295)(60000,110000)	chr01	85000	73	0.593880
(21,149)(72927,119132)(70000,120000)	chr01	95000	130	0.664334
(56,174)(99745,121372)(80000,130000)	chr01	105000	120	0.733017
(56,188)(99745,131673)(90000,140000)	chr01	115000	134	0.752638
(58,203)(101120,148599)(100000,150000)	chr01	125000	147	0.743400
(93,228)(112439,159252)(110000,160000)	chr01	135000	137	0.780187
(150,249)(121114,169571)(120000,170000)	chr01	145000	101	0.796858
(175,256)(131445,175991)(130000,180000)	chr01	155000	83	0.781930
(189,259)(146066,183449)(140000,190000)	chr01	165000	72	0.731230
(204,271)(155765,197658)(150000,200000)	chr01	175000	69	0.728698
(229,296)(165376,204116)(160000,210000)	chr01	185000	69	0.705809
(250,323)(175855,216832)(170000,220000)	chr01	195000	75	0.753503
(257,344)(183430,229717)(180000,230000)	chr01	205000	89	0.776483
(260,344)(193065,229717)(190000,240000)	chr01	215000	86	0.794516
(272,382)(202400,249999)(200000,250000)	chr01	225000	112	0.755227
(297,418)(215040,257533)(210000,260000)	chr01	235000	123	0.690689
(324,437)(224519,268043)(220000,270000)	chr01	245000	115	0.649903
(345,464)(241035,278351)(230000,280000)	chr01	255000	121	0.650550
(345,485)(241035,286071)(240000,290000)	chr01	265000	142	0.679969
(383,492)(250021,291347)(250000,300000)	chr01	275000	111	0.715790
(419,503)(267752,305489)(260000,310000)	chr01	285000	86	0.817824
(438,503)(270347,305489)(270000,320000)	chr01	295000	67	0.845752
(465,515)(281515,324273)(280000,330000)	chr01	305000	52	0.870809
(486,541)(291233,339583)(290000,340000)	chr01	315000	57	0.892102
(493,547)(305433,348196)(300000,350000)	chr01	325000	56	0.892797
(504,564)(322110,359771)(310000,360000)	chr01	335000	62	0.767260
(504,572)(322110,360805)(320000,370000)	chr01	345000	70	0.726814
(516,591)(334023,373127)(330000,380000)	chr01	355000	77	0.650651
(542,594)(342750,384275)(340000,390000)	chr01	365000	54	0.594207
(548,602)(356572,399618)(350000,400000)	chr01	375000	56	0.545526
(565,611)(360718,406909)(360000,410000)	chr01	385000	48	0.549610
(573,647)(371165,418272)(370000,420000)	chr01	395000	76	0.612334
(592,656)(384248,426178)(380000,430000)	chr01	405000	66	0.675099
(595,656)(399494,426178)(390000,440000)	chr01	415000	63	0.641432
(603,667)(405929,447419)(400000,450000)	chr01	425000	66	0.728757
(612,680)(412986,458510)(410000,460000)	chr01	435000	70	0.705269
(648,680)(422091,458510)(420000,470000)	chr01	445000	34	0.792490
(657,693)(440110,477626)(430000,480000)	chr01	455000	38	0.636099
(657,719)(440110,489540)(440000,490000)	chr01	465000	64	0.603568
(668,730)(458290,497075)(450000,500000)	chr01	475000	64	0.516920
(681,730)(472791,497075)(460000,510000)	chr01	485000	51	0.575659
(681,731)(472791,519445)(470000,520000)	chr01	495000	52	0.565113
(694,752)(482579,527912)(480000,530000)	chr01	505000	60	0.611715
(720,752)(490388,527912)(490000,540000)	chr01	515000	34	0.668378
(731,754)(519445,546039)(500000,550000)	chr01	525000	25	0.652753
(731,761)(519445,556579)(510000,560000)	chr01	535000	32	0.614755
(732,768)(520967,567617)(520000,570000)	chr01	545000	38	0.627523
(753,768)(546012,567617)(530000,580000)	chr01	555000	17	0.634860
(753,768)(546012,567617)(540000,590000)	chr01	565000	17	0.634860
(755,784)(553209,598747)(550000,600000)	chr01	575000	31	0.614334
(762,805)(567497,609080)(560000,610000)	chr01	585000	45	0.568268
(769,811)(598538,615712)(570000,620000)	chr01	595000	44	0.626620
(769,825)(598538,629014)(580000,630000)	chr01	605000	58	0.590336
(769,847)(598538,639995)(590000,640000)	chr01	615000	80	0.556023
(785,849)(608808,647580)(600000,650000)	chr01	625000	66	0.508634
(806,849)(615547,647580)(610000,660000)	chr01	635000	45	0.521150
(812,861)(622726,664539)(620000,670000)	chr01	645000	51	0.672473
(826,928)(631986,679765)(630000,680000)	chr01	655000	104	0.829204
(848,928)(647375,679765)(640000,690000)	chr01	665000	82	0.888588
(850,931)(664341,699440)(650000,700000)	chr01	675000	83	0.897362
(850,949)(664341,705398)(660000,710000)	chr01	685000	101	0.875221
(862,959)(670057,710536)(670000,720000)	chr01	695000	99	0.834416
(929,991)(699339,726075)(680000,730000)	chr01	705000	64	0.651477
(929,1024)(699339,736121)(690000,740000)	chr01	715000	97	0.612367
(932,1030)(702087,749383)(700000,750000)	chr01	725000	100	0.629049
(950,1032)(710398,751567)(710000,760000)	chr01	735000	84	0.595579
(960,1068)(720265,768507)(720000,770000)	chr01	745000	110	0.669632
(992,1073)(730423,774383)(730000,780000)	chr01	755000	83	0.671282
(1025,1074)(749258,780712)(740000,790000)	chr01	765000	51	0.746133
(1031,1074)(751549,780712)(750000,800000)	chr01	775000	45	0.736489
(1033,1078)(760149,800296)(760000,810000)	chr01	785000	47	0.743539
(1069,1108)(774173,819725)(770000,820000)	chr01	795000	41	0.400553
(1074,1110)(780712,824471)(780000,830000)	chr01	805000	38	0.406453
(1075,1162)(800261,839979)(790000,840000)	chr01	815000	89	0.478606
(1075,1163)(800261,849991)(800000,850000)	chr01	825000	90	0.479132
(1079,1170)(816740,855718)(810000,860000)	chr01	835000	93	0.444261
(1109,1173)(824403,860813)(820000,870000)	chr01	845000	66	0.506580
(1111,1179)(830052,877821)(830000,880000)	chr01	855000	70	0.509660
(1163,1191)(849991,888203)(840000,890000)	chr01	865000	30	0.785960
(1164,1206)(852666,898885)(850000,900000)	chr01	875000	44	0.837402
(1171,1217)(860727,909542)(860000,910000)	chr01	885000	48	0.868129
(1174,1247)(876147,916778)(870000,920000)	chr01	895000	75	0.856054
(1180,1274)(881512,929364)(880000,930000)	chr01	905000	96	0.822555
(1192,1278)(890743,936207)(890000,940000)	chr01	915000	88	0.781192
(1207,1311)(902874,949937)(900000,950000)	chr01	925000	106	0.709702
(1218,1324)(911188,952812)(910000,960000)	chr01	935000	108	0.684729
(1248,1332)(921481,969688)(920000,970000)	chr01	945000	86	0.616959
(1275,1377)(933153,979790)(930000,980000)	chr01	955000	104	0.482626
(1279,1397)(941192,981690)(940000,990000)	chr01	965000	120	0.463524
(1312,1413)(951051,994392)(950000,1000000)	chr01	975000	103	0.411169
(1325,1415)(964396,1007159)(960000,1010000)	chr01	985000	92	0.359728
(1333,1451)(972160,1019757)(970000,1020000)	chr01	995000	120	0.378007
(1378,1454)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.420009
(1398,1468)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.452204
(1414,1487)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.651238
(1416,1491)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.642092
(1452,1507)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.899894
(1455,1507)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.900792
(1469,1529)(1040190,1088668)(1040000,1090000)	chr01	1065000	62	0.830015
(1488,1529)(1059222,1088668)(1050000,1100000)	chr01	1075000	43	0.787812
(1492,1534)(1060081,1106471)(1060000,1110000)	chr01	1085000	44	0.807907
(1508,1548)(1080464,1118148)(1070000,1120000)	chr01	1095000	42	0.707033
