region	chr	midPos	Nsites
(2,13)(34877,49138)(10000,60000)	chr01	35000	13	0.795980
(2,13)(34877,49138)(20000,70000)	chr01	45000	13	0.795980
(2,48)(34877,79275)(30000,80000)	chr01	55000	48	0.828591
(3,48)(40565,79275)(40000,90000)	chr01	65000	47	0.829518
(14,50)(72927,99748)(50000,100000)	chr01	75000	38	0.858533
(14,83)(72927,109295)(60000,110000)	chr01	85000	71	0.826393
(14,140)(72927,119132)(70000,120000)	chr01	95000	128	0.813429
(49,165)(99745,121372)(80000,130000)	chr01	105000	118	0.816974
(49,179)(99745,131673)(90000,140000)	chr01	115000	132	0.826458
(51,194)(101120,148599)(100000,150000)	chr01	125000	145	0.805571
(84,219)(112439,159252)(110000,160000)	chr01	135000	137	0.810970
(141,240)(121114,169571)(120000,170000)	chr01	145000	101	0.791927
(166,247)(131445,175991)(130000,180000)	chr01	155000	83	0.783269
(180,250)(146066,183449)(140000,190000)	chr01	165000	72	0.764342
(195,262)(155765,197658)(150000,200000)	chr01	175000	69	0.787937
(220,287)(165376,204116)(160000,210000)	chr01	185000	69	0.781002
(241,314)(175855,216832)(170000,220000)	chr01	195000	75	0.879967
(248,335)(183430,229717)(180000,230000)	chr01	205000	89	0.896243
(251,335)(193065,229717)(190000,240000)	chr01	215000	86	0.903103
(263,373)(202400,249999)(200000,250000)	chr01	225000	112	0.877378
(288,409)(215040,257533)(210000,260000)	chr01	235000	123	0.842793
(315,428)(224519,268043)(220000,270000)	chr01	245000	115	0.771998
(336,455)(241035,278351)(230000,280000)	chr01	255000	121	0.755329
(336,476)(241035,286071)(240000,290000)	chr01	265000	142	0.779964
(374,483)(250021,291347)(250000,300000)	chr01	275000	111	0.799359
(410,494)(267752,305489)(260000,310000)	chr01	285000	86	0.852882
(429,494)(270347,305489)(270000,320000)	chr01	295000	67	0.881760
(456,506)(281515,324273)(280000,330000)	chr01	305000	52	0.923583
(477,532)(291233,339583)(290000,340000)	chr01	315000	57	0.953945
(484,538)(305433,348196)(300000,350000)	chr01	325000	56	0.960388
(495,555)(322110,359771)(310000,360000)	chr01	335000	62	0.854802
(495,563)(322110,360805)(320000,370000)	chr01	345000	70	0.832046
(507,582)(334023,373127)(330000,380000)	chr01	355000	77	0.764712
(533,585)(342750,384275)(340000,390000)	chr01	365000	54	0.701046
(539,593)(356572,399618)(350000,400000)	chr01	375000	56	0.686063
(556,602)(360718,406909)(360000,410000)	chr01	385000	48	0.716685
(564,638)(371165,418272)(370000,420000)	chr01	395000	76	0.756690
(583,647)(384248,426178)(380000,430000)	chr01	405000	66	0.778508
(586,647)(399494,426178)(390000,440000)	chr01	415000	63	0.758573
(594,647)(405929,426178)(400000,450000)	chr01	425000	55	0.776202
(603,660)(412986,458510)(410000,460000)	chr01	435000	59	0.779611
(639,660)(422091,458510)(420000,470000)	chr01	445000	23	0.731029
(648,673)(458290,477626)(430000,480000)	chr01	455000	27	0.577317
(648,699)(458290,489540)(440000,490000)	chr01	465000	53	0.665517
(648,710)(458290,497075)(450000,500000)	chr01	475000	64	0.691136
(661,710)(472791,497075)(460000,510000)	chr01	485000	51	0.706362
(661,711)(472791,519445)(470000,520000)	chr01	495000	52	0.703952
(674,732)(482579,527912)(480000,530000)	chr01	505000	60	0.724101
(700,732)(490388,527912)(490000,540000)	chr01	515000	34	0.766420
(711,734)(519445,546039)(500000,550000)	chr01	525000	25	0.705127
(711,734)(519445,546039)(510000,560000)	chr01	535000	25	0.705127
(712,741)(520967,567617)(520000,570000)	chr01	545000	31	0.721536
(733,741)(546012,567617)(530000,580000)	chr01	555000	10	0.658552
(733,741)(546012,567617)(540000,590000)	chr01	565000	10	0.658552
(735,757)(567497,598747)(550000,600000)	chr01	575000	24	0.845867
(735,778)(567497,609080)(560000,610000)	chr01	585000	45	0.747356
(742,778)(598538,609080)(570000,620000)	chr01	595000	38	0.746702
(742,778)(598538,609080)(580000,630000)	chr01	605000	38	0.746702
(742,800)(598538,639995)(590000,640000)	chr01	615000	60	0.648619
(758,801)(608808,647580)(600000,650000)	chr01	625000	45	0.564312
(779,801)(631986,647580)(610000,660000)	chr01	635000	24	0.552822
(779,801)(631986,647580)(620000,670000)	chr01	645000	24	0.552822
(779,805)(631986,679765)(630000,680000)	chr01	655000	28	0.591307
(801,805)(647580,679765)(640000,690000)	chr01	665000	6	0.860298
(802,808)(679713,699440)(650000,700000)	chr01	675000	8	0.713254
(802,826)(679713,705398)(660000,710000)	chr01	685000	26	0.932699
(802,836)(679713,710536)(670000,720000)	chr01	695000	36	0.858637
(806,868)(699339,726075)(680000,730000)	chr01	705000	64	0.803101
(806,901)(699339,736121)(690000,740000)	chr01	715000	97	0.770789
(809,907)(702087,749383)(700000,750000)	chr01	725000	100	0.786383
(827,909)(710398,751567)(710000,760000)	chr01	735000	84	0.715770
(837,945)(720265,768507)(720000,770000)	chr01	745000	110	0.679854
(869,950)(730423,774383)(730000,780000)	chr01	755000	83	0.634687
(902,951)(749258,780712)(740000,790000)	chr01	765000	51	0.639494
(908,951)(751549,780712)(750000,800000)	chr01	775000	45	0.581283
