region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.336186
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.204036
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.306163
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.306348
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.296281
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.284844
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.239869
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.153889
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.155389
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.158554
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.151702
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.218513
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.204832
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.222881
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.251724
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.332466
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.448650
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.471408
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.476252
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.414111
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.350346
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.192403
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.134428
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.147772
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.181125
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.160831
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.202746
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.210817
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.228680
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.154619
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.115056
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.120746
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.166444
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.136993
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.133495
(641,692)(360718,406909)(360000,410000)	chr01	385000	53	0.208619
(649,730)(371165,418272)(370000,420000)	chr01	395000	83	0.148450
(668,739)(384248,426178)(380000,430000)	chr01	405000	73	0.193995
(671,739)(399494,426178)(390000,440000)	chr01	415000	70	0.194002
(679,759)(405929,447446)(400000,450000)	chr01	425000	82	0.244382
(693,772)(412909,458510)(410000,460000)	chr01	435000	81	0.337648
(731,772)(422091,458510)(420000,470000)	chr01	445000	43	0.487990
(740,785)(440021,477626)(430000,480000)	chr01	455000	47	0.377696
(740,811)(440021,489540)(440000,490000)	chr01	465000	73	0.335103
(760,822)(458290,497075)(450000,500000)	chr01	475000	64	0.317340
(773,822)(472791,497075)(460000,510000)	chr01	485000	51	0.128564
(773,823)(472791,519445)(470000,520000)	chr01	495000	52	0.130094
(786,844)(482579,527912)(480000,530000)	chr01	505000	60	0.088938
(812,844)(490388,527912)(490000,540000)	chr01	515000	34	0.063734
(823,846)(519445,546039)(500000,550000)	chr01	525000	25	0.199751
(823,853)(519445,556579)(510000,560000)	chr01	535000	32	0.288101
(824,860)(520967,567617)(520000,570000)	chr01	545000	38	0.266043
(845,860)(546012,567617)(530000,580000)	chr01	555000	17	0.385890
(845,860)(546012,567617)(540000,590000)	chr01	565000	17	0.385890
(847,876)(553209,598747)(550000,600000)	chr01	575000	31	0.261450
(854,897)(567497,609080)(560000,610000)	chr01	585000	45	0.260611
(861,903)(598538,615712)(570000,620000)	chr01	595000	44	0.291889
(861,917)(598538,629014)(580000,630000)	chr01	605000	58	0.232625
(861,939)(598538,639995)(590000,640000)	chr01	615000	80	0.214281
(877,943)(608808,647580)(600000,650000)	chr01	625000	68	0.213441
(898,943)(615547,647580)(610000,660000)	chr01	635000	47	0.149282
(904,955)(622726,664539)(620000,670000)	chr01	645000	53	0.297478
(918,1022)(631986,679765)(630000,680000)	chr01	655000	106	0.476555
(940,1022)(640931,679765)(640000,690000)	chr01	665000	84	0.508707
(944,1025)(664341,699440)(650000,700000)	chr01	675000	83	0.524032
(944,1047)(664341,705398)(660000,710000)	chr01	685000	105	0.470427
(956,1057)(670057,710536)(670000,720000)	chr01	695000	103	0.424181
(1023,1092)(699339,726176)(680000,730000)	chr01	705000	71	0.118482
(1023,1125)(699339,736121)(690000,740000)	chr01	715000	104	0.139482
(1026,1131)(702035,749383)(700000,750000)	chr01	725000	107	0.131790
(1048,1134)(710398,754850)(710000,760000)	chr01	735000	88	0.161039
(1058,1174)(720265,768507)(720000,770000)	chr01	745000	118	0.152278
(1093,1181)(730423,774383)(730000,780000)	chr01	755000	90	0.137364
(1126,1182)(749258,780712)(740000,790000)	chr01	765000	58	0.097878
(1132,1182)(751549,780712)(750000,800000)	chr01	775000	52	0.104697
(1135,1186)(760149,800296)(760000,810000)	chr01	785000	53	0.086013
(1175,1216)(771638,819725)(770000,820000)	chr01	795000	43	0.032717
(1182,1218)(780712,824471)(780000,830000)	chr01	805000	38	0.035260
(1183,1272)(800261,839979)(790000,840000)	chr01	815000	91	0.062779
(1183,1273)(800261,849991)(800000,850000)	chr01	825000	92	0.062677
(1187,1280)(816740,855718)(810000,860000)	chr01	835000	95	0.060532
(1217,1283)(824403,860813)(820000,870000)	chr01	845000	68	0.096628
(1219,1289)(830052,877821)(830000,880000)	chr01	855000	72	0.142139
(1273,1301)(849991,888203)(840000,890000)	chr01	865000	30	0.308882
(1274,1316)(852666,898885)(850000,900000)	chr01	875000	44	0.340162
(1281,1341)(860727,909640)(860000,910000)	chr01	885000	62	0.233385
(1284,1371)(876147,916778)(870000,920000)	chr01	895000	89	0.141971
(1290,1398)(881512,929364)(880000,930000)	chr01	905000	110	0.077466
