region	chr	midPos	Nsites
(2,13)(34877,49138)(10000,60000)	chr01	35000	13	0.824506
(2,13)(34877,49138)(20000,70000)	chr01	45000	13	0.824506
(2,48)(34877,79275)(30000,80000)	chr01	55000	48	0.861748
(3,48)(40565,79275)(40000,90000)	chr01	65000	47	0.861804
(14,50)(72927,99748)(50000,100000)	chr01	75000	38	0.889163
(14,83)(72927,109295)(60000,110000)	chr01	85000	71	0.798231
(14,140)(72927,119132)(70000,120000)	chr01	95000	128	0.757420
(49,165)(99745,121372)(80000,130000)	chr01	105000	118	0.739331
(49,179)(99745,131673)(90000,140000)	chr01	115000	132	0.753004
(51,194)(101120,148599)(100000,150000)	chr01	125000	145	0.732181
(84,219)(112439,159252)(110000,160000)	chr01	135000	137	0.750436
(141,240)(121114,169571)(120000,170000)	chr01	145000	101	0.761075
(166,247)(131445,175991)(130000,180000)	chr01	155000	83	0.763395
(180,250)(146066,183449)(140000,190000)	chr01	165000	72	0.747841
(195,262)(155765,197658)(150000,200000)	chr01	175000	69	0.733629
(220,287)(165376,204116)(160000,210000)	chr01	185000	69	0.706884
(241,314)(175855,216832)(170000,220000)	chr01	195000	75	0.778796
(248,335)(183430,229717)(180000,230000)	chr01	205000	89	0.795564
(251,335)(193065,229717)(190000,240000)	chr01	215000	86	0.795544
(263,373)(202400,249999)(200000,250000)	chr01	225000	112	0.770263
(288,409)(215040,257533)(210000,260000)	chr01	235000	123	0.694902
(315,428)(224519,268043)(220000,270000)	chr01	245000	115	0.642275
(336,455)(241035,278351)(230000,280000)	chr01	255000	121	0.647408
(336,476)(241035,286071)(240000,290000)	chr01	265000	142	0.694239
(374,483)(250021,291347)(250000,300000)	chr01	275000	111	0.741552
(410,494)(267752,305489)(260000,310000)	chr01	285000	86	0.856810
(429,494)(270347,305489)(270000,320000)	chr01	295000	67	0.885463
(456,506)(281515,324273)(280000,330000)	chr01	305000	52	0.928053
(477,532)(291233,339583)(290000,340000)	chr01	315000	57	0.928099
(484,538)(305433,348196)(300000,350000)	chr01	325000	56	0.931621
(495,555)(322110,359771)(310000,360000)	chr01	335000	62	0.775668
(495,563)(322110,360805)(320000,370000)	chr01	345000	70	0.729950
(507,582)(334023,373127)(330000,380000)	chr01	355000	77	0.621571
(533,585)(342750,384275)(340000,390000)	chr01	365000	54	0.542560
(539,593)(356572,399618)(350000,400000)	chr01	375000	56	0.490580
(556,602)(360718,406909)(360000,410000)	chr01	385000	48	0.542434
(564,638)(371165,418272)(370000,420000)	chr01	395000	76	0.585249
(583,647)(384248,426178)(380000,430000)	chr01	405000	66	0.647247
(586,647)(399494,426178)(390000,440000)	chr01	415000	63	0.608736
(594,653)(405929,447272)(400000,450000)	chr01	425000	61	0.667977
(603,666)(412986,458510)(410000,460000)	chr01	435000	65	0.663122
(639,666)(422091,458510)(420000,470000)	chr01	445000	29	0.891904
(648,679)(447201,477626)(430000,480000)	chr01	455000	33	0.648221
(648,705)(447201,489540)(440000,490000)	chr01	465000	59	0.655655
(654,716)(458290,497075)(450000,500000)	chr01	475000	64	0.664481
(667,716)(472791,497075)(460000,510000)	chr01	485000	51	0.665021
(667,717)(472791,519445)(470000,520000)	chr01	495000	52	0.659552
(680,738)(482579,527912)(480000,530000)	chr01	505000	60	0.699553
(706,738)(490388,527912)(490000,540000)	chr01	515000	34	0.751255
(717,740)(519445,546039)(500000,550000)	chr01	525000	25	0.677161
(717,741)(519445,556579)(510000,560000)	chr01	535000	26	0.673863
(718,748)(520967,567617)(520000,570000)	chr01	545000	32	0.672048
(739,748)(546012,567617)(530000,580000)	chr01	555000	11	0.594862
(739,748)(546012,567617)(540000,590000)	chr01	565000	11	0.594862
(741,764)(556579,598747)(550000,600000)	chr01	575000	25	0.726683
(742,785)(567497,609080)(560000,610000)	chr01	585000	45	0.652538
(749,785)(598538,609080)(570000,620000)	chr01	595000	38	0.656403
(749,794)(598538,622801)(580000,630000)	chr01	605000	47	0.641662
(749,816)(598538,639995)(590000,640000)	chr01	615000	69	0.568755
(765,818)(608808,647580)(600000,650000)	chr01	625000	55	0.517158
(786,818)(622726,647580)(610000,660000)	chr01	635000	34	0.522281
(786,822)(622726,664510)(620000,670000)	chr01	645000	38	0.520185
(795,822)(631986,664510)(630000,680000)	chr01	655000	29	0.525208
(817,826)(647375,687537)(640000,690000)	chr01	665000	11	0.746458
(819,829)(664448,699440)(650000,700000)	chr01	675000	12	0.597970
(819,847)(664448,705398)(660000,710000)	chr01	685000	30	0.723380
(823,857)(687435,710536)(670000,720000)	chr01	695000	36	0.663296
(823,889)(687435,726075)(680000,730000)	chr01	705000	68	0.614752
(827,922)(699339,736121)(690000,740000)	chr01	715000	97	0.591423
(830,928)(702087,749383)(700000,750000)	chr01	725000	100	0.613993
(848,930)(710398,751567)(710000,760000)	chr01	735000	84	0.574212
(858,966)(720265,768507)(720000,770000)	chr01	745000	110	0.576002
(890,971)(730423,774383)(730000,780000)	chr01	755000	83	0.617714
(923,972)(749258,780712)(740000,790000)	chr01	765000	51	0.663945
(929,972)(751549,780712)(750000,800000)	chr01	775000	45	0.613613
(931,976)(760149,800296)(760000,810000)	chr01	785000	47	0.635486
(967,1006)(774173,819725)(770000,820000)	chr01	795000	41	0.936363
(972,1008)(780712,824471)(780000,830000)	chr01	805000	38	0.935505
(973,1060)(800261,839979)(790000,840000)	chr01	815000	89	0.879579
(973,1061)(800261,849991)(800000,850000)	chr01	825000	90	0.879572
(977,1066)(816740,852734)(810000,860000)	chr01	835000	91	0.874629
(1007,1069)(824403,860813)(820000,870000)	chr01	845000	64	0.789152
(1009,1075)(830052,877821)(830000,880000)	chr01	855000	68	0.781377
(1061,1087)(849991,888203)(840000,890000)	chr01	865000	28	0.818026
(1062,1099)(852666,898885)(850000,900000)	chr01	875000	39	0.868362
(1067,1110)(860727,909542)(860000,910000)	chr01	885000	45	0.866752
(1070,1140)(876147,916778)(870000,920000)	chr01	895000	72	0.760074
(1076,1167)(881512,929364)(880000,930000)	chr01	905000	93	0.692746
(1088,1171)(892877,936207)(890000,940000)	chr01	915000	85	0.665007
(1100,1204)(902874,949937)(900000,950000)	chr01	925000	106	0.606917
(1111,1217)(911188,952812)(910000,960000)	chr01	935000	108	0.590560
(1141,1225)(921481,969688)(920000,970000)	chr01	945000	86	0.541924
(1168,1270)(933153,979790)(930000,980000)	chr01	955000	104	0.556486
(1172,1290)(941192,981690)(940000,990000)	chr01	965000	120	0.495221
(1205,1306)(951051,994392)(950000,1000000)	chr01	975000	103	0.524979
(1218,1308)(964396,1007159)(960000,1010000)	chr01	985000	92	0.463736
(1226,1344)(972160,1019757)(970000,1020000)	chr01	995000	120	0.396357
(1271,1347)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.395663
(1291,1361)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.415740
(1307,1380)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.612536
(1309,1381)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.649878
(1345,1394)(1023745,1066860)(1020000,1070000)	chr01	1045000	51	0.862051
(1348,1394)(1030079,1066860)(1030000,1080000)	chr01	1055000	48	0.862209
(1362,1403)(1040190,1088668)(1040000,1090000)	chr01	1065000	43	0.872811
(1381,1403)(1059222,1088668)(1050000,1100000)	chr01	1075000	24	0.816576
(1382,1408)(1060081,1106471)(1060000,1110000)	chr01	1085000	28	0.797599
(1395,1411)(1080464,1118148)(1070000,1120000)	chr01	1095000	18	0.787551
(1395,1412)(1080464,1129684)(1080000,1130000)	chr01	1105000	19	0.786599
(1404,1442)(1106311,1137795)(1090000,1140000)	chr01	1115000	40	0.807156
(1404,1463)(1106311,1148852)(1100000,1150000)	chr01	1125000	61	0.840186
(1409,1465)(1110213,1156484)(1110000,1160000)	chr01	1135000	58	0.844504
(1412,1493)(1129684,1169984)(1120000,1170000)	chr01	1145000	83	0.809953
(1413,1500)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.778443
