region	chr	midPos	Nsites
(2,21)(27510,49086)(10000,60000)	chr01	35000	21	0.773649
(2,21)(27510,49086)(20000,70000)	chr01	45000	21	0.773649
(7,43)(34877,75784)(30000,80000)	chr01	55000	38	0.449227
(8,43)(40565,75784)(40000,90000)	chr01	65000	37	0.409088
(22,45)(72990,99748)(50000,100000)	chr01	75000	25	0.379710
(22,81)(72990,109295)(60000,110000)	chr01	85000	61	0.496639
(22,152)(72990,119227)(70000,120000)	chr01	95000	132	0.689052
(44,177)(99745,121372)(80000,130000)	chr01	105000	135	0.752658
(44,205)(99745,131673)(90000,140000)	chr01	115000	163	0.753703
(46,220)(101120,148599)(100000,150000)	chr01	125000	176	0.745899
(82,245)(112439,159252)(110000,160000)	chr01	135000	165	0.781876
(153,266)(121114,169571)(120000,170000)	chr01	145000	115	0.754654
(178,273)(130856,175991)(130000,180000)	chr01	155000	97	0.715732
(206,276)(146066,183449)(140000,190000)	chr01	165000	72	0.698551
(221,288)(155765,197658)(150000,200000)	chr01	175000	69	0.677694
(246,313)(165376,204116)(160000,210000)	chr01	185000	69	0.616230
(267,348)(175855,216859)(170000,220000)	chr01	195000	83	0.587764
(274,370)(183430,229717)(180000,230000)	chr01	205000	98	0.658572
(277,370)(193065,229717)(190000,240000)	chr01	215000	95	0.663058
(289,410)(202400,249999)(200000,250000)	chr01	225000	123	0.658994
(314,444)(214936,257492)(210000,260000)	chr01	235000	132	0.706516
(349,460)(224519,268043)(220000,270000)	chr01	245000	113	0.693439
(371,474)(241035,278259)(230000,280000)	chr01	255000	105	0.591148
(371,484)(241035,285977)(240000,290000)	chr01	265000	115	0.596363
(411,484)(250021,285977)(250000,300000)	chr01	275000	75	0.630271
(445,499)(267752,305489)(260000,310000)	chr01	285000	56	0.623080
(461,499)(270347,305489)(270000,320000)	chr01	295000	40	0.719611
(475,504)(284735,323234)(280000,330000)	chr01	305000	31	0.765829
(485,519)(303105,339583)(290000,340000)	chr01	315000	36	0.677772
(485,524)(303105,348196)(300000,350000)	chr01	325000	41	0.712941
(500,542)(322110,359771)(310000,360000)	chr01	335000	44	0.500514
(500,550)(322110,360805)(320000,370000)	chr01	345000	52	0.492558
(505,569)(334023,373127)(330000,380000)	chr01	355000	66	0.439595
(520,572)(342750,384275)(340000,390000)	chr01	365000	54	0.422026
(525,580)(356572,399618)(350000,400000)	chr01	375000	57	0.245525
(543,594)(360718,406909)(360000,410000)	chr01	385000	53	0.184823
(551,632)(371165,418272)(370000,420000)	chr01	395000	83	0.310915
(570,641)(384248,426178)(380000,430000)	chr01	405000	73	0.451032
(573,641)(399494,426178)(390000,440000)	chr01	415000	70	0.453601
