region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.448930
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.436953
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.357019
(24,102)(66768,109295)(60000,110000)	chr01	85000	80	0.421738
(31,176)(72927,119227)(70000,120000)	chr01	95000	147	0.473731
(66,201)(99745,121372)(80000,130000)	chr01	105000	137	0.522092
(66,229)(99745,131673)(90000,140000)	chr01	115000	165	0.522352
(68,244)(101120,148599)(100000,150000)	chr01	125000	178	0.489624
(103,269)(112439,159252)(110000,160000)	chr01	135000	168	0.476227
(177,290)(121114,169571)(120000,170000)	chr01	145000	115	0.389378
(202,297)(130856,175991)(130000,180000)	chr01	155000	97	0.389257
(230,300)(146066,183449)(140000,190000)	chr01	165000	72	0.312353
(245,312)(155765,197658)(150000,200000)	chr01	175000	69	0.290932
(270,337)(165376,204116)(160000,210000)	chr01	185000	69	0.518078
(291,371)(175855,216832)(170000,220000)	chr01	195000	82	0.597065
(298,393)(183430,229717)(180000,230000)	chr01	205000	97	0.633748
(301,393)(193065,229717)(190000,240000)	chr01	215000	94	0.646704
(313,433)(202400,249999)(200000,250000)	chr01	225000	122	0.701589
(338,470)(214936,258347)(210000,260000)	chr01	235000	134	0.694023
(372,489)(224519,268043)(220000,270000)	chr01	245000	119	0.634355
(394,518)(241035,278351)(230000,280000)	chr01	255000	126	0.582840
(394,542)(241035,286093)(240000,290000)	chr01	265000	150	0.559905
(434,551)(250021,296664)(250000,300000)	chr01	275000	119	0.469699
(471,573)(267752,307842)(260000,310000)	chr01	285000	104	0.200589
(490,574)(270347,317230)(270000,320000)	chr01	295000	86	0.260031
(519,586)(281515,324273)(280000,330000)	chr01	305000	69	0.261339
(543,606)(291233,339583)(290000,340000)	chr01	315000	65	0.529405
(552,612)(303105,348196)(300000,350000)	chr01	325000	62	0.558387
(574,629)(317230,359771)(310000,360000)	chr01	335000	57	0.710953
(575,637)(322110,360805)(320000,370000)	chr01	345000	64	0.727288
(587,657)(336747,373127)(330000,380000)	chr01	355000	72	0.754431
(607,660)(342750,384275)(340000,390000)	chr01	365000	55	0.721399
(613,668)(356572,399618)(350000,400000)	chr01	375000	57	0.684026
(630,676)(360718,406909)(360000,410000)	chr01	385000	48	0.680054
(638,705)(371165,418272)(370000,420000)	chr01	395000	69	0.640599
(658,714)(384248,426178)(380000,430000)	chr01	405000	58	0.649755
(661,714)(399494,426178)(390000,440000)	chr01	415000	55	0.615435
(669,734)(405929,447446)(400000,450000)	chr01	425000	67	0.541730
(677,747)(412986,458510)(410000,460000)	chr01	435000	72	0.500393
(706,747)(422091,458510)(420000,470000)	chr01	445000	43	0.461010
(715,760)(440021,477626)(430000,480000)	chr01	455000	47	0.321698
(715,762)(440021,482581)(440000,490000)	chr01	465000	49	0.325278
(735,765)(458290,497075)(450000,500000)	chr01	475000	32	0.369629
(748,765)(472791,497075)(460000,510000)	chr01	485000	19	0.414977
(748,766)(472791,519445)(470000,520000)	chr01	495000	20	0.411165
(761,787)(482579,527912)(480000,530000)	chr01	505000	28	0.402700
(763,787)(496996,527912)(490000,540000)	chr01	515000	26	0.397243
(766,789)(519445,546039)(500000,550000)	chr01	525000	25	0.389073
(766,796)(519445,556579)(510000,560000)	chr01	535000	32	0.364569
(767,803)(520967,567617)(520000,570000)	chr01	545000	38	0.323556
(788,803)(546012,567617)(530000,580000)	chr01	555000	17	0.201927
(788,803)(546012,567617)(540000,590000)	chr01	565000	17	0.201927
(790,819)(553209,598747)(550000,600000)	chr01	575000	31	0.222335
(797,840)(567497,609080)(560000,610000)	chr01	585000	45	0.277160
