region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.373140
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.271692
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.195765
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.195800
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.111220
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.085171
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.076954
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.076013
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.083033
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.106948
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.120962
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.169428
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.159929
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.181676
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.316999
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.366023
(294,368)(175855,216859)(170000,220000)	chr01	195000	76	0.629755
(301,390)(183430,229717)(180000,230000)	chr01	205000	91	0.626758
(304,390)(193065,229717)(190000,240000)	chr01	215000	88	0.633765
(316,430)(202400,249999)(200000,250000)	chr01	225000	116	0.545521
(341,467)(215040,258347)(210000,260000)	chr01	235000	128	0.477876
(369,486)(224519,268043)(220000,270000)	chr01	245000	119	0.155886
(391,515)(241035,278351)(230000,280000)	chr01	255000	126	0.140970
(391,539)(241035,286093)(240000,290000)	chr01	265000	150	0.162396
(431,548)(250021,296664)(250000,300000)	chr01	275000	119	0.175850
(468,570)(267752,307842)(260000,310000)	chr01	285000	104	0.201654
(487,571)(270347,317230)(270000,320000)	chr01	295000	86	0.292227
(516,583)(281515,324273)(280000,330000)	chr01	305000	69	0.267491
(540,609)(291233,339583)(290000,340000)	chr01	315000	71	0.378926
(549,615)(303105,348196)(300000,350000)	chr01	325000	68	0.365985
(571,633)(317230,359771)(310000,360000)	chr01	335000	64	0.267184
(572,641)(322110,360805)(320000,370000)	chr01	345000	71	0.259912
(584,660)(334023,373127)(330000,380000)	chr01	355000	78	0.283410
(610,663)(342750,384275)(340000,390000)	chr01	365000	55	0.242495
(616,671)(356572,399618)(350000,400000)	chr01	375000	57	0.241279
(634,685)(360718,406909)(360000,410000)	chr01	385000	53	0.404265
(642,723)(371165,418272)(370000,420000)	chr01	395000	83	0.315472
(661,732)(384248,426178)(380000,430000)	chr01	405000	73	0.333256
(664,732)(399494,426178)(390000,440000)	chr01	415000	70	0.306697
(672,752)(405929,447446)(400000,450000)	chr01	425000	82	0.353228
(686,765)(412909,458510)(410000,460000)	chr01	435000	81	0.376130
(724,765)(422091,458510)(420000,470000)	chr01	445000	43	0.520954
(733,778)(440021,477626)(430000,480000)	chr01	455000	47	0.430905
(733,804)(440021,489540)(440000,490000)	chr01	465000	73	0.391131
(753,815)(458290,497075)(450000,500000)	chr01	475000	64	0.394374
(766,815)(472791,497075)(460000,510000)	chr01	485000	51	0.237268
(766,816)(472791,519445)(470000,520000)	chr01	495000	52	0.235432
(779,837)(482579,527912)(480000,530000)	chr01	505000	60	0.339871
(805,837)(490388,527912)(490000,540000)	chr01	515000	34	0.420016
(816,839)(519445,546039)(500000,550000)	chr01	525000	25	0.484217
(816,843)(519445,556579)(510000,560000)	chr01	535000	29	0.568307
(817,850)(520967,567617)(520000,570000)	chr01	545000	35	0.588756
