region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.353974
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.282284
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.247877
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.247391
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.192303
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.392167
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.348265
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.357556
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.324822
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.339870
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.262123
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.337810
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.353047
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.410278
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.367663
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.302008
(294,368)(175855,216859)(170000,220000)	chr01	195000	76	0.245567
(301,390)(183430,229717)(180000,230000)	chr01	205000	91	0.230443
(304,390)(193065,229717)(190000,240000)	chr01	215000	88	0.229580
(316,430)(202400,249999)(200000,250000)	chr01	225000	116	0.241533
(341,467)(215040,258347)(210000,260000)	chr01	235000	128	0.236434
(369,486)(224519,268043)(220000,270000)	chr01	245000	119	0.178573
(391,515)(241035,278351)(230000,280000)	chr01	255000	126	0.201829
(391,539)(241035,286093)(240000,290000)	chr01	265000	150	0.202915
(431,548)(250021,296664)(250000,300000)	chr01	275000	119	0.180033
(468,570)(267752,307842)(260000,310000)	chr01	285000	104	0.162311
(487,571)(270347,317230)(270000,320000)	chr01	295000	86	0.212010
(516,583)(281515,324273)(280000,330000)	chr01	305000	69	0.168303
(540,609)(291233,339583)(290000,340000)	chr01	315000	71	0.289330
(549,615)(303105,348196)(300000,350000)	chr01	325000	68	0.297794
(571,633)(317230,359771)(310000,360000)	chr01	335000	64	0.293555
(572,641)(322110,360805)(320000,370000)	chr01	345000	71	0.282007
(584,660)(334023,373127)(330000,380000)	chr01	355000	78	0.289346
(610,663)(342750,384275)(340000,390000)	chr01	365000	55	0.236308
(616,670)(356572,399618)(350000,400000)	chr01	375000	56	0.232852
(634,684)(360718,406909)(360000,410000)	chr01	385000	52	0.377560
(642,722)(371165,418272)(370000,420000)	chr01	395000	82	0.335485
(661,731)(384248,426178)(380000,430000)	chr01	405000	72	0.441907
(664,731)(399494,426178)(390000,440000)	chr01	415000	69	0.427423
(671,751)(405929,447446)(400000,450000)	chr01	425000	82	0.339097
(685,764)(412909,458510)(410000,460000)	chr01	435000	81	0.298548
(723,764)(422091,458510)(420000,470000)	chr01	445000	43	0.318822
(732,777)(440021,477626)(430000,480000)	chr01	455000	47	0.211580
(732,798)(440021,489386)(440000,490000)	chr01	465000	68	0.409017
(752,801)(458290,497075)(450000,500000)	chr01	475000	51	0.526506
(765,801)(472791,497075)(460000,510000)	chr01	485000	38	0.577666
(765,802)(472791,519445)(470000,520000)	chr01	495000	39	0.569465
(778,823)(482579,527912)(480000,530000)	chr01	505000	47	0.595138
(799,823)(496996,527912)(490000,540000)	chr01	515000	26	0.429421
(802,825)(519445,546039)(500000,550000)	chr01	525000	25	0.431575
(802,829)(519445,556579)(510000,560000)	chr01	535000	29	0.425922
(803,836)(520967,567617)(520000,570000)	chr01	545000	35	0.451577
(824,836)(546012,567617)(530000,580000)	chr01	555000	14	0.470025
(824,836)(546012,567617)(540000,590000)	chr01	565000	14	0.470025
(826,852)(553209,598747)(550000,600000)	chr01	575000	28	0.449956
(830,873)(567497,609080)(560000,610000)	chr01	585000	45	0.508559
(837,879)(598538,615712)(570000,620000)	chr01	595000	44	0.446074
(837,893)(598538,629014)(580000,630000)	chr01	605000	58	0.336136
(837,921)(598538,639995)(590000,640000)	chr01	615000	86	0.307781
(853,925)(608808,647580)(600000,650000)	chr01	625000	74	0.360768
(874,925)(615547,647580)(610000,660000)	chr01	635000	53	0.259085
(880,937)(622726,664539)(620000,670000)	chr01	645000	59	0.319931
(894,1004)(631986,679765)(630000,680000)	chr01	655000	112	0.344846
(922,1010)(640931,687635)(640000,690000)	chr01	665000	90	0.353558
(926,1013)(664341,699440)(650000,700000)	chr01	675000	89	0.295727
(926,1020)(664341,702232)(660000,710000)	chr01	685000	96	0.300844
(938,1030)(670057,710536)(670000,720000)	chr01	695000	94	0.379612
(1005,1065)(687435,726176)(680000,730000)	chr01	705000	62	0.512274
(1011,1098)(699339,736121)(690000,740000)	chr01	715000	89	0.430838
(1014,1104)(702035,749383)(700000,750000)	chr01	725000	92	0.428742
(1021,1107)(710398,754850)(710000,760000)	chr01	735000	88	0.418785
(1031,1147)(720265,768507)(720000,770000)	chr01	745000	118	0.494597
(1066,1154)(730423,774383)(730000,780000)	chr01	755000	90	0.484706
(1099,1155)(749258,780712)(740000,790000)	chr01	765000	58	0.615866
(1105,1155)(751549,780712)(750000,800000)	chr01	775000	52	0.634315
(1108,1159)(760149,800296)(760000,810000)	chr01	785000	53	0.644287
(1148,1189)(771638,819725)(770000,820000)	chr01	795000	43	0.476701
(1155,1191)(780712,824471)(780000,830000)	chr01	805000	38	0.470754
(1156,1245)(800261,839979)(790000,840000)	chr01	815000	91	0.401021
(1156,1246)(800261,849991)(800000,850000)	chr01	825000	92	0.400085
(1160,1251)(816740,852734)(810000,860000)	chr01	835000	93	0.381311
(1190,1254)(824403,860813)(820000,870000)	chr01	845000	66	0.321075
(1192,1260)(830052,877821)(830000,880000)	chr01	855000	70	0.330327
(1246,1270)(849991,888203)(840000,890000)	chr01	865000	26	0.599801
