region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.550683
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.583024
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.494042
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.464034
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.507053
(26,103)(66768,109295)(60000,110000)	chr01	85000	79	0.673339
(33,177)(72927,119227)(70000,120000)	chr01	95000	146	0.621951
(68,202)(99745,121372)(80000,130000)	chr01	105000	136	0.628331
(68,230)(99745,131673)(90000,140000)	chr01	115000	164	0.616589
(70,245)(101120,148599)(100000,150000)	chr01	125000	177	0.616121
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.506773
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.517288
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.542785
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.537954
(246,313)(155765,197658)(150000,200000)	chr01	175000	69	0.516556
(271,338)(165376,204116)(160000,210000)	chr01	185000	69	0.503111
(292,373)(175855,216859)(170000,220000)	chr01	195000	83	0.310849
(299,395)(183430,229717)(180000,230000)	chr01	205000	98	0.408889
(302,395)(193065,229717)(190000,240000)	chr01	215000	95	0.411739
(314,435)(202400,249999)(200000,250000)	chr01	225000	123	0.550085
(339,472)(214936,258347)(210000,260000)	chr01	235000	135	0.562837
(374,491)(224519,268043)(220000,270000)	chr01	245000	119	0.590511
(396,520)(241035,278351)(230000,280000)	chr01	255000	126	0.529596
(396,544)(241035,286093)(240000,290000)	chr01	265000	150	0.505447
(436,553)(250021,296664)(250000,300000)	chr01	275000	119	0.394287
(473,575)(267752,307842)(260000,310000)	chr01	285000	104	0.392801
(492,576)(270347,317230)(270000,320000)	chr01	295000	86	0.471227
(521,588)(281515,324273)(280000,330000)	chr01	305000	69	0.507191
(545,614)(291233,339583)(290000,340000)	chr01	315000	71	0.634749
(554,620)(303105,348196)(300000,350000)	chr01	325000	68	0.614792
(576,638)(317230,359771)(310000,360000)	chr01	335000	64	0.523875
(577,646)(322110,360805)(320000,370000)	chr01	345000	71	0.547837
(589,665)(334023,373127)(330000,380000)	chr01	355000	78	0.607389
(615,668)(342750,384275)(340000,390000)	chr01	365000	55	0.587805
(621,676)(356572,399618)(350000,400000)	chr01	375000	57	0.590130
(639,689)(360718,406783)(360000,410000)	chr01	385000	52	0.753276
(647,716)(371165,418272)(370000,420000)	chr01	395000	71	0.713946
(666,725)(384248,426178)(380000,430000)	chr01	405000	61	0.721394
(669,725)(399494,426178)(390000,440000)	chr01	415000	58	0.710423
(677,745)(405929,447446)(400000,450000)	chr01	425000	70	0.729255
(690,758)(413073,458510)(410000,460000)	chr01	435000	70	0.636449
(717,758)(422091,458510)(420000,470000)	chr01	445000	43	0.645576
(726,768)(440021,476556)(430000,480000)	chr01	455000	44	0.510910
(726,794)(440021,489540)(440000,490000)	chr01	465000	70	0.514574
(746,805)(458290,497075)(450000,500000)	chr01	475000	61	0.534116
(759,805)(472791,497075)(460000,510000)	chr01	485000	48	0.541666
(759,806)(472791,519445)(470000,520000)	chr01	495000	49	0.553918
(769,827)(482579,527912)(480000,530000)	chr01	505000	60	0.544199
(795,827)(490388,527912)(490000,540000)	chr01	515000	34	0.569084
(806,829)(519445,546039)(500000,550000)	chr01	525000	25	0.480737
(806,836)(519445,556579)(510000,560000)	chr01	535000	32	0.499456
(807,843)(520967,567617)(520000,570000)	chr01	545000	38	0.460281
(828,843)(546012,567617)(530000,580000)	chr01	555000	17	0.466819
(828,843)(546012,567617)(540000,590000)	chr01	565000	17	0.466819
