region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.437356
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.437439
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.410249
(24,102)(66768,109295)(60000,110000)	chr01	85000	80	0.470064
(31,176)(72927,119227)(70000,120000)	chr01	95000	147	0.429660
(66,201)(99745,121372)(80000,130000)	chr01	105000	137	0.419528
(66,229)(99745,131673)(90000,140000)	chr01	115000	165	0.425204
(68,244)(101120,148599)(100000,150000)	chr01	125000	178	0.425998
(103,269)(112439,159252)(110000,160000)	chr01	135000	168	0.409177
(177,290)(121114,169571)(120000,170000)	chr01	145000	115	0.461036
(202,297)(130856,175991)(130000,180000)	chr01	155000	97	0.481802
(230,300)(146066,183449)(140000,190000)	chr01	165000	72	0.488539
(245,312)(155765,197658)(150000,200000)	chr01	175000	69	0.461929
(270,337)(165376,204116)(160000,210000)	chr01	185000	69	0.490242
(291,371)(175855,216832)(170000,220000)	chr01	195000	82	0.605077
(298,393)(183430,229717)(180000,230000)	chr01	205000	97	0.577811
(301,393)(193065,229717)(190000,240000)	chr01	215000	94	0.581644
(313,433)(202400,249999)(200000,250000)	chr01	225000	122	0.532795
(338,470)(214936,258347)(210000,260000)	chr01	235000	134	0.499743
(372,489)(224519,268043)(220000,270000)	chr01	245000	119	0.260064
(394,518)(241035,278351)(230000,280000)	chr01	255000	126	0.252001
(394,542)(241035,286093)(240000,290000)	chr01	265000	150	0.248892
(434,551)(250021,296664)(250000,300000)	chr01	275000	119	0.258070
(471,573)(267752,307842)(260000,310000)	chr01	285000	104	0.186551
(490,574)(270347,317230)(270000,320000)	chr01	295000	86	0.244710
(519,586)(281515,324273)(280000,330000)	chr01	305000	69	0.239081
(543,606)(291233,339583)(290000,340000)	chr01	315000	65	0.390675
(552,612)(303105,348196)(300000,350000)	chr01	325000	62	0.438755
(574,629)(317230,359771)(310000,360000)	chr01	335000	57	0.460005
