region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.165789
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.204633
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.313608
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.313763
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.343478
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.320725
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.261039
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.191868
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.186375
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.194713
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.152505
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.189423
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.186567
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.207260
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.220241
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.240126
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.495543
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.485738
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.490909
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.422580
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.387140
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.101796
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.107947
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.125775
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.157072
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.188592
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.280696
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.260226
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.299537
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.302499
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.181382
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.122032
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.080409
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.054713
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.079552
(641,692)(360718,406909)(360000,410000)	chr01	385000	53	0.184906
(649,730)(371165,418272)(370000,420000)	chr01	395000	83	0.160853
(668,739)(384248,426178)(380000,430000)	chr01	405000	73	0.243111
(671,739)(399494,426178)(390000,440000)	chr01	415000	70	0.225206
(679,759)(405929,447446)(400000,450000)	chr01	425000	82	0.271901
(693,772)(412909,458510)(410000,460000)	chr01	435000	81	0.309202
(731,772)(422091,458510)(420000,470000)	chr01	445000	43	0.468380
(740,785)(440021,477626)(430000,480000)	chr01	455000	47	0.373490
(740,811)(440021,489540)(440000,490000)	chr01	465000	73	0.320480
(760,822)(458290,497075)(450000,500000)	chr01	475000	64	0.286906
(773,822)(472791,497075)(460000,510000)	chr01	485000	51	0.159322
(773,823)(472791,519445)(470000,520000)	chr01	495000	52	0.154624
(786,844)(482579,527912)(480000,530000)	chr01	505000	60	0.168951
(812,844)(490388,527912)(490000,540000)	chr01	515000	34	0.187413
(823,846)(519445,546039)(500000,550000)	chr01	525000	25	0.336332
(823,853)(519445,556579)(510000,560000)	chr01	535000	32	0.327191
(824,860)(520967,567617)(520000,570000)	chr01	545000	38	0.320824
(845,860)(546012,567617)(530000,580000)	chr01	555000	17	0.444786
(845,860)(546012,567617)(540000,590000)	chr01	565000	17	0.444786
(847,876)(553209,598747)(550000,600000)	chr01	575000	31	0.312517
(854,897)(567497,609080)(560000,610000)	chr01	585000	45	0.217681
(861,903)(598538,615712)(570000,620000)	chr01	595000	44	0.323302
(861,917)(598538,629014)(580000,630000)	chr01	605000	58	0.283491
(861,939)(598538,639995)(590000,640000)	chr01	615000	80	0.307281
(877,943)(608808,647580)(600000,650000)	chr01	625000	68	0.280904
(898,943)(615547,647580)(610000,660000)	chr01	635000	47	0.342073
(904,955)(622726,664539)(620000,670000)	chr01	645000	53	0.322271
(918,1022)(631986,679765)(630000,680000)	chr01	655000	106	0.399610
(940,1022)(640931,679765)(640000,690000)	chr01	665000	84	0.401677
(944,1025)(664341,699440)(650000,700000)	chr01	675000	83	0.416119
(944,1047)(664341,705398)(660000,710000)	chr01	685000	105	0.370481
(956,1057)(670057,710536)(670000,720000)	chr01	695000	103	0.329854
(1023,1092)(699339,726176)(680000,730000)	chr01	705000	71	0.113903
(1023,1125)(699339,736121)(690000,740000)	chr01	715000	104	0.099215
(1026,1131)(702035,749383)(700000,750000)	chr01	725000	107	0.101522
(1048,1134)(710398,754850)(710000,760000)	chr01	735000	88	0.145640
(1058,1174)(720265,768507)(720000,770000)	chr01	745000	118	0.162820
(1093,1181)(730423,774383)(730000,780000)	chr01	755000	90	0.150057
(1126,1182)(749258,780712)(740000,790000)	chr01	765000	58	0.196647
(1132,1182)(751549,780712)(750000,800000)	chr01	775000	52	0.195871
(1135,1186)(760149,800296)(760000,810000)	chr01	785000	53	0.145307
(1175,1216)(771638,819725)(770000,820000)	chr01	795000	43	0.213236
(1182,1218)(780712,824471)(780000,830000)	chr01	805000	38	0.238926
(1183,1272)(800261,839979)(790000,840000)	chr01	815000	91	0.201080
(1183,1273)(800261,849991)(800000,850000)	chr01	825000	92	0.200351
(1187,1280)(816740,855718)(810000,860000)	chr01	835000	95	0.195078
(1217,1283)(824403,860813)(820000,870000)	chr01	845000	68	0.157424
(1219,1289)(830052,877821)(830000,880000)	chr01	855000	72	0.159393
(1273,1301)(849991,888203)(840000,890000)	chr01	865000	30	0.199652
(1274,1316)(852666,898885)(850000,900000)	chr01	875000	44	0.285376
(1281,1341)(860727,909640)(860000,910000)	chr01	885000	62	0.230888
(1284,1371)(876147,916778)(870000,920000)	chr01	895000	89	0.184337
(1290,1398)(881512,929364)(880000,930000)	chr01	905000	110	0.164842
(1302,1402)(890743,936207)(890000,940000)	chr01	915000	102	0.149821
(1317,1435)(902874,949937)(900000,950000)	chr01	925000	120	0.194613
(1342,1448)(911188,952812)(910000,960000)	chr01	935000	108	0.193392
(1372,1456)(921481,969688)(920000,970000)	chr01	945000	86	0.194667
(1399,1506)(933153,979790)(930000,980000)	chr01	955000	109	0.167805
(1403,1526)(941192,981690)(940000,990000)	chr01	965000	125	0.166249
(1436,1542)(951051,994392)(950000,1000000)	chr01	975000	108	0.099381
(1449,1544)(964396,1007159)(960000,1010000)	chr01	985000	97	0.096685
(1457,1580)(972160,1019757)(970000,1020000)	chr01	995000	125	0.093752
(1507,1583)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.105724
(1527,1597)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.088657
(1543,1616)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.104070
(1545,1620)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.137428
(1581,1636)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.290472
(1584,1636)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.291119
(1598,1659)(1040190,1088668)(1040000,1090000)	chr01	1065000	63	0.240171
(1617,1659)(1059222,1088668)(1050000,1100000)	chr01	1075000	44	0.200073
(1621,1664)(1060081,1106471)(1060000,1110000)	chr01	1085000	45	0.146167
(1637,1677)(1080464,1118148)(1070000,1120000)	chr01	1095000	42	0.087094
(1637,1689)(1080464,1129684)(1080000,1130000)	chr01	1105000	54	0.076906
(1660,1720)(1106311,1137795)(1090000,1140000)	chr01	1115000	62	0.145852
(1660,1741)(1106311,1148852)(1100000,1150000)	chr01	1125000	83	0.153490
(1665,1743)(1110213,1156484)(1110000,1160000)	chr01	1135000	80	0.178462
(1678,1771)(1125674,1169984)(1120000,1170000)	chr01	1145000	95	0.234201
(1690,1778)(1131938,1175775)(1130000,1180000)	chr01	1155000	90	0.217016
(1721,1782)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.245951
(1742,1789)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.337020
(1744,1797)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.303626
(1772,1811)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.143717
(1779,1811)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.218325
(1783,1830)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.150167
(1790,1838)(1202564,1248625)(1200000,1250000)	chr01	1225000	50	0.316840
(1798,1838)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.320920
(1812,1843)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.386690
(1812,1849)(1230664,1271087)(1230000,1280000)	chr01	1255000	39	0.320057
(1831,1864)(1242138,1287173)(1240000,1290000)	chr01	1265000	35	0.307537
(1839,1867)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.192872
(1839,1910)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.139483
(1844,1918)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.097513
(1850,1927)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.132176
(1865,1951)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.110765
(1868,1986)(1306965,1348194)(1300000,1350000)	chr01	1325000	120	0.077485
(1911,1990)(1311649,1355827)(1310000,1360000)	chr01	1335000	81	0.078312
(1919,2002)(1326979,1369999)(1320000,1370000)	chr01	1345000	85	0.173583
(1928,2027)(1330096,1376926)(1330000,1380000)	chr01	1355000	101	0.188022
(1952,2029)(1340379,1380434)(1340000,1390000)	chr01	1365000	79	0.213551
(1987,2086)(1354558,1399777)(1350000,1400000)	chr01	1375000	101	0.205692
(1991,2123)(1365354,1408031)(1360000,1410000)	chr01	1385000	134	0.198638
(2003,2143)(1370042,1417953)(1370000,1420000)	chr01	1395000	142	0.149778
(2028,2165)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.114640
(2030,2173)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.134409
(2087,2195)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.265374
(2124,2195)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.301043
(2144,2211)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.355470
(2166,2222)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.354822
